identifier1	identifier2	annotator	judgment	comment	lemma
26120215_1956_04_22_02_105.tcf.xml-65-30	davidis_kochbuch_1879-597-37	stekade	1	 	abgebrüht
26120215_1977_10_20_01_265.tcf.xml-13-7	26120215_1986_04_05_01_040.tcf.xml-9-17	stekade	1	 	abgebrüht
26120215_1969_05_31_01_070.tcf.xml-7-20	davidis_kochbuch_1849-2367-2	stekade	1	 	abgebrüht
26120215_1953_01_17_01_130.tcf.xml-2-60	26120215_1951_10_12_01_036.tcf.xml-5-14	stekade	3	 	abgebrüht
2532889X_1956-02-05_01_105.tcf.xml-67-9	26120215_1965_02_07_01_482.tcf.xml-57-7	stekade	4	 	abgebrüht
26120215_1965_04_07_01_070.tcf.xml-3-5	26120215_1971_05_27_01_276.tcf.xml-76-9	stekade	0	 	abgebrüht
davidis_kochbuch_1879-3146-3	26120215_1963_12_08_01_177.tcf.xml-15-13	stekade	1	 	abgebrüht
davidis_kochbuch_1879-591-25	26120215_1977_08_16_01_150.tcf.xml-28-11	stekade	4	 	abgebrüht
2532889X_1956-11-11_01_073.tcf.xml-9-11	26120215_1953_01_17_01_130.tcf.xml-2-60	stekade	3	 	abgebrüht
26120215_1956_12_23_02_234.tcf.xml-27-2	davidis_kochbuch_1849-3498-5	stekade	1	 	abgebrüht
2532889X_1968-10-03_01_147.tcf.xml-5-30	26120215_1956_08_05_02_318.tcf.xml-5-12	stekade	3	 	abgebrüht
davidis_kochbuch_1849-5896-7	davidis_kochbuch_1849-2034-12	stekade	4	 	abgebrüht
2532889X_1961-09-09_01_018.tcf.xml-5-12	2532889X_1962-07-13_01_039.tcf.xml-23-13	stekade	0	 	abgebrüht
2532889X_1969-06-05_01_127.tcf.xml-12-17	davidis_kochbuch_1879-3868-23	stekade	1	 	abgebrüht
davidis_kochbuch_1879-5129-12	26120215_1971_02_23_01_109.tcf.xml-10-13	stekade	1	 	abgebrüht
davidis_kochbuch_1879-591-25	silberer_traber_1883-605-60	stekade	3	 	abgebrüht
2532889X_1961-09-02_01_130.tcf.xml-29-20	2532889X_1949-07-09_01_048.tcf.xml-1-18	stekade	3	 	abgebrüht
26120215_1963_12_08_01_177.tcf.xml-15-13	26120215_1985_02_23_01_462.tcf.xml-5-9	stekade	0	 	abgebrüht
26120215_1971_02_23_01_109.tcf.xml-10-13	26120215_1946_11_05_01_038.tcf.xml-10-60	stekade	3	 	abgebrüht
krafft_landwirthschaft03_1876-3285-18	davidis_kochbuch_1849-3498-5	stekade	4	 	abgebrüht
26120215_1957_03_12_01_174.tcf.xml-16-10	2532889X_1956-06-24_01_051.tcf.xml-2-21	stekade	3	 	abgebrüht
26120215_1961_12_24_01_483.tcf.xml-31-38	davidis_kochbuch_1879-583-65	stekade	4	 	abgebrüht
26120215_1953_01_17_01_130.tcf.xml-2-60	davidis_kochbuch_1849-3513-5	stekade	1	 	abgebrüht
26120215_1957_05_19_02_149.tcf.xml-23-17	davidis_kochbuch_1879-591-25	stekade	1	 	abgebrüht
davidis_kochbuch_1849-4053-7	26120215_1946_12_21_01_040.tcf.xml-7-5	stekade	1	 	abgebrüht
davidis_kochbuch_1879-3146-3	davidis_kochbuch_1849-2367-2	stekade	4	 	abgebrüht
platen_oedipus_1829-1032-10	26120215_1977_10_20_01_265.tcf.xml-13-7	stekade	1	 	abgebrüht
26120215_1971_02_23_01_109.tcf.xml-10-13	davidis_kochbuch_1879-2506-4	stekade	1	 	abgebrüht
2532889X_1948-12-23_01_078.tcf.xml-2-92	davidis_kochbuch_1849-3625-6	stekade	1	 	abgebrüht
2532889X_1959-04-28_01_013.tcf.xml-1-26	2532889X_1961-09-16_01_006.tcf.xml-7-11	FWetzel	4	 	abgebrüht
2532889X_1953-08-15_01_095.tcf.xml-101-3	davidis_kochbuch_1879-721-7	FWetzel	2	 	abgebrüht
davidis_kochbuch_1879-2506-4	26120215_1969_05_31_01_070.tcf.xml-7-20	FWetzel	2	 	abgebrüht
26120215_1957_05_19_02_149.tcf.xml-23-17	davidis_kochbuch_1879-721-7	FWetzel	2	 	abgebrüht
davidis_kochbuch_1879-6739-7	26120215_1977_08_16_01_150.tcf.xml-28-11	FWetzel	4	 	abgebrüht
26120215_1949_10_29_01_046.tcf.xml-53-19	2532889X_1956-12-01_01_149.tcf.xml-5-71	FWetzel	3	 	abgebrüht
davidis_kochbuch_1849-2221-8	2532889X_1947-10-04_01_046.tcf.xml-35-9	FWetzel	2	 	abgebrüht
davidis_kochbuch_1879-3332-4	26120215_1963_07_09_01_005.tcf.xml-2-27	FWetzel	2	 	abgebrüht
2532889X_1961-09-16_01_006.tcf.xml-7-11	rein_japan02_1886-2847-26	FWetzel	2	 	abgebrüht
silberer_traber_1883-605-60	davidis_kochbuch_1879-7229-4	FWetzel	4	 	abgebrüht
davidis_kochbuch_1879-721-7	toennies_gemeinschaft_1887-2092-149	FWetzel	2	 	abgebrüht
2532889X_1961-09-16_01_006.tcf.xml-7-11	2532889X_1963-03-21_01_008.tcf.xml-8-12	FWetzel	3	 	abgebrüht
26120215_1989_04_28_01_171.tcf.xml-2-7	26120215_1954_04_22_01_173.tcf.xml-23-3	FWetzel	3	 	abgebrüht
davidis_kochbuch_1879-591-25	davidis_kochbuch_1879-597-37	FWetzel	4	 	abgebrüht
davidis_kochbuch_1849-2034-12	davidis_kochbuch_1849-3745-3	FWetzel	4	 	abgebrüht
davidis_kochbuch_1879-2506-4	davidis_kochbuch_1879-4195-4	FWetzel	4	 	abgebrüht
26120215_1956_08_01_01_176.tcf.xml-23-35	26120215_1979_03_01_01_078.tcf.xml-8-14	FWetzel	3	 	abgebrüht
26120215_1958_12_24_01_169.tcf.xml-28-12	26120215_1957_03_12_01_174.tcf.xml-16-10	FWetzel	3	 	abgebrüht
2532889X_1990-08-03_01_044.tcf.xml-3-14	2532889X_1961-09-16_01_007.tcf.xml-137-11	FWetzel	4	 	abgebrüht
26120215_1967_06_28_01_098.tcf.xml-46-9	26120215_1957_05_19_02_149.tcf.xml-23-17	FWetzel	4	 	abgebrüht
26120215_1958_12_24_01_169.tcf.xml-28-12	2532889X_1963-03-21_01_008.tcf.xml-8-12	FWetzel	4	 	abgebrüht
