lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
aufrechterhalten	VVPP	1892	1	brunner_rechtsgeschichte02_1892-7408-20	 	Nur in Streitigkeiten um Freiheit und Grundeigentum wurde die volksrechtliche Form der Ladung vor das echte Ding noch als Erfordernis aufrechterhalten; im übrigen war die Mannitio der überlegenen Konkurrenz der dem Kläger minder gefährlichen und minder beschwerlichen Bannitio preisgegeben, die denn auch jene schliesslich schlechthin verdrängte.	134:150	0:346
aufrechterhalten	VVIZU	1973	2	2532889X_1973-09-20_01_025.tcf.xml-29-19	 	Die Charta der Vereinten Nationen sieht als erstes und höchstes Ziel vor, den Weltfrieden und die internationale Sicherheit aufrechtzuerhalten.	124:142	0:143
aufrechterhalten	VVPP	1895	1	mayer_verwaltungsrecht01_1895-5288-41	 	Der Polizeistrafrechtssatz berührt sich darin mit dem Polizeizwang und steht im Gegensatz zu den bisher behandelten Rechtsinstituten des Befehls und der Erlaubnis, welche nur die rechtliche Ordnung selbst bestimmen, ohne noch das Mittel zu geben, mit welchem sie aufrechterhalten werden soll.	263:279	0:292
aufrechterhalten	VVPP	1960	2	2532889X_1960-09-29_01_158.tcf.xml-2-18	 	Der für kurze Zeit gestörte S-Bahn-Verkehr wurde auf dem Streckenabschnitt S-Bahnhof Witzleben und S-Bahnhof Haiensee durch Pendelzüge aufrechterhalten.	135:151	0:152
aufrechterhalten	VVPP	1961	2	2532889X_1961-08-31_01_005.tcf.xml-63-17	 	In der Tat — ist es denn realistisch zu glauben, daß auf die Dauer ein Zustand aufrechterhalten werden kann, bei dem die einen Staaten, die in. der Ausnutzung der Kernenergie für Kriegszwecke weit vorgestürmt sind, weiterhin Berge von Atom-und Wasserstoffbomben auf der Grundlage der bereits von ihnen durchgeführten Versuche anhäufen, während die anderen die Hände in den Schoß legen und zusehen, wie sie in ihrer militärischen Macht immer weiter hinter den Atommächten zurückbleiben und folglich auch in der Möglichkeit, ihre Sicherheit zu gewährleisten.	79:95	0:556
aufrechterhalten	VVIZU	1963	2	26120215_1963_04_05_01_058.tcf.xml-19-18	 	„Für uns kommt es jetzt darauf an, um jeden Preis die während des Streiks erzielte Einheit aufrechtzuerhalten.	91:109	0:110
aufrechterhalten	VVIZU	1979	2	26120215_1979_02_23_01_095.tcf.xml-109-30	 	Die Monopolbourgeoisie und die imperialistischen Mächte, die aus der Ausbeutung der Völker Simbabwes, Namibias und Südafrikas klingende Münze schlagen, sind um jeden Preis bestrebt, ihre Herrschaft aufrechtzuerhalten.	198:216	0:217
aufrechterhalten	VVIZU	1963	2	26120215_1963_05_24_01_233.tcf.xml-96-75	 	„Im Hinblick auf die weite Ausdehnung der besetzten Gebiete im Osten werden die für Sicherheitszwecke vorhandenen Kräfte in diesen Gebieten nur dann genügen, wenn jeder Widerstand bestraft wird, nicht durch gesetzliche Verfolgung des Schuldigen, sondern durch Verbreitung eines solchen Terrors durch die Wehrmacht, der geeignet ist, jede Neigung zum Widerstand unter der Bevölkerung auszumerzen... Kommandeure müssen die Mittel finden, um die Ordnung durch drakonische Maßnahmen aufrechtzuerhalten.	479:497	0:498
aufrechterhalten	VVPP	1971	2	2532889X_1971-07-18_01_033.tcf.xml-6-21	 	Nur mit Hilfe Washingtons kann Franco, der sich nach 1945 unter die Fittiche des USA-Imperialismus begab, seine Diktatur noch aufrechterhalten.	126:142	0:143
aufrechterhalten	VVIZU	1956	2	2532889X_1956-05-29_01_091.tcf.xml-23-21	 	Mit diesem Manöver hofft er offensichtlich auch die wachsende sozialistisch-kommunistische Einheitsbewegung zur Beendigung des Krieges In Algerlen abzubremsen und die Spaltung aufrechtzuerhalten.	176:194	0:195
