identifier1	identifier2	annotator	judgment	comment	lemma
daguerre_daguerrereotyp_1839-388-46	siemens_abhandlungen_1881-344-19	Zori	4	 	ausspannen
2532889X_1966-03-30_01_026.tcf.xml-9-3	huber_reisejournal_1811-1765-15	FWetzel	2	 	ausspannen
baumstark_encyclopaedie_1835-8093-35	goerres_volksbuecher_1807-1475-29	FWetzel	3	 	ausspannen
blumenbach_naturgeschichte_1803-513-20	blumenbach_knochen_1807-4153-12	FWetzel	3	 	ausspannen
26120215_1975_05_31_01_323.tcf.xml-9-5	26120215_1985_10_26_01_442.tcf.xml-59-24	FWetzel	1	 	ausspannen
hug_familie_1896-6016-3	strouhal_tonerregung_1878-161-22	FWetzel	3	 	ausspannen
boerne_paris01_1832-2201-14	26120215_1987_01_09_01_151.tcf.xml-18-15	FWetzel	2	 	ausspannen
26120215_1963_09_26_01_035.tcf.xml-24-24	26120215_1955_05_11_01_243.tcf.xml-25-9	FWetzel	0	 	ausspannen
vogt_briefe02_1851-227-17	arent_dichtercharaktere_1885-1223-28	FWetzel	3	 	ausspannen
lasswitz_planeten02_1897-6689-9	strouhal_tonerregung_1878-125-32	FWetzel	2	 	ausspannen
treviranus_biologie06_1822-2667-11	ganswindt_faerberei_1889-7572-13	FWetzel	3	 	ausspannen
treviranus_biologie06_1822-2667-11	2532889X_1966-01-11_01_157.tcf.xml-24-12	FWetzel	1	 	ausspannen
burckhardt_cicerone_1855-18610-52	falke_trachten01_1858-3379-29	FWetzel	4	 	ausspannen
26120215_1972_11_21_01_108.tcf.xml-32-5	arent_dichtercharaktere_1885-1223-28	Zori	2	 	ausspannen
26120215_1957_11_09_01_178.tcf.xml-10-17	rueckert_brahmane05_1839-2336-9	Zori	0	 	ausspannen
26120215_1950_01_15_01_039.tcf.xml-2-23	26120215_1947_10_31_01_042.tcf.xml-21-32	Zori	2	 	ausspannen
paul_flegeljahre02_1804-85-86	laube_europa0201_1837-327-10	Zori	2	 	ausspannen
steinen_naturvoelker_1894-13972-26	2532889X_1987-07-18_01_318.tcf.xml-20-8	Zori	2	 	ausspannen
vogt_briefe02_1851-2090-25	2532889X_1957-09-18_01_148.tcf.xml-64-15	Zori	2	 	ausspannen
virchow_cellularpathologie_1858-3493-16	keller_seldwyla_1856-2820-11	Zori	4	 	ausspannen
2532889X_1966-03-30_01_026.tcf.xml-9-3	26120215_1963_09_26_01_035.tcf.xml-24-24	Zori	2	 	ausspannen
blumenbach_knochen_1807-4106-61	wrangel_luxusfuhrwerk_1898-454-27	Zori	2	 	ausspannen
26120215_1968_02_04_01_125.tcf.xml-18-6	2532889X_1950-09-27_01_045.tcf.xml-31-9	Zori	0	 	ausspannen
2532889X_1966-03-30_01_026.tcf.xml-9-3	2532889X_1953-02-14_01_066.tcf.xml-30-15	Zori	3	 	ausspannen
ludwig_physiologie01_1852-5686-26	schubert_naturwissenschaft_1808-1556-30	Zori	4	 	ausspannen
immermann_muenchhausen03_1839-1432-26	26120215_1951_06_01_01_228.tcf.xml-7-13	Zori	2	 	ausspannen
26120215_1952_10_10_01_029.tcf.xml-31-11	gerstner_mechanik01_1831-10959-4	Zori	2	 	ausspannen
2532889X_1958-08-28_01_036.tcf.xml-35-20	26120215_1979_05_21_01_090.tcf.xml-9-10	Zori	0	 	ausspannen
siemens_abhandlungen_1881-344-19	vogt_thierstaaten_1851-1792-10	Zori	4	 	ausspannen
26120215_1973_04_21_01_145.tcf.xml-7-16	26120215_1990_07_28_01_690.tcf.xml-22-27	FWetzel	4	 	ausspannen
gerstner_mechanik01_1831-10959-4	26120215_1955_05_11_01_243.tcf.xml-25-9	FWetzel	2	 	ausspannen
2532889X_1961-07-06_01_113.tcf.xml-31-2	burckhardt_cicerone_1855-10934-69	FWetzel	3	 	ausspannen
26120215_1957_09_05_01_242.tcf.xml-20-13	2532889X_1976-08-21_01_381.tcf.xml-36-21	FWetzel	1	 	ausspannen
arnimb_goethe01_1835-2022-28	burckhardt_cicerone_1855-18610-52	FWetzel	3	 	ausspannen
eckstein_dudler_1893-128-6	2532889X_1966-03-30_01_026.tcf.xml-9-3	FWetzel	0	 	ausspannen
poelitz_poetik_1825-488-8	siemens_abhandlungen_1881-344-19	FWetzel	0	 	ausspannen
immermann_muenchhausen02_1839-1222-16	26120215_1989_05_17_01_187.tcf.xml-57-12	FWetzel	1	 	ausspannen
26120215_1977_10_15_01_409.tcf.xml-12-6	pfeiffer_frauenfahrt03_1850-2999-32	FWetzel	2	 	ausspannen
mueller_staatskunst02_1809-567-49	2532889X_1946-05-08_01_151.tcf.xml-42-10	FWetzel	0	 	ausspannen
2532889X_1980-10-18_01_072.tcf.xml-9-15	boerne_paris01_1832-2103-9	FWetzel	2	 	ausspannen
tieck_phantasus01_1812-2957-35	2532889X_1957-10-31_01_024.tcf.xml-24-29	FWetzel	1	 	ausspannen
poelitz_poetik_1825-488-8	blumenbach_naturgeschichte_1803-513-20	FWetzel	0	 	ausspannen
26120215_1972_11_21_01_108.tcf.xml-32-5	baumstark_encyclopaedie_1835-10653-16	FWetzel	1	 	ausspannen
26120215_1988_12_20_01_113.tcf.xml-11-4	26120215_1973_04_21_01_145.tcf.xml-7-16	FWetzel	2	 	ausspannen
arnimb_goethe01_1835-1661-7	26120215_1955_08_24_01_259.tcf.xml-9-28	FWetzel	1	 	ausspannen
varnhagen_rahel03_1834-2258-33	26120215_1957_09_05_01_242.tcf.xml-20-13	FWetzel	0	 	ausspannen
blumenbach_naturgeschichte_1830-873-25	26120215_1968_04_07_01_397.tcf.xml-68-10	FWetzel	1	 	ausspannen
keller_seldwyla_1856-2820-11	26120215_1950_07_18_01_213.tcf.xml-3-21	FWetzel	1	 	ausspannen
hug_familie_1896-6016-3	26120215_1954_02_18_01_185.tcf.xml-16-16	FWetzel	1	 	ausspannen
blumenbach_naturgeschichte_1803-513-20	2532889X_1946-05-08_01_052.tcf.xml-46-13	FWetzel	1	 	ausspannen
poelitz_poetik_1825-488-8	2532889X_1964-06-06_01_120.tcf.xml-73-12	FWetzel	0	 	ausspannen
tieck_phantasus01_1812-343-47	26120215_1950_08_09_01_233.tcf.xml-12-27	FWetzel	1	 	ausspannen
26120215_1960_04_15_01_377.tcf.xml-13-12	2532889X_1950-09-27_01_045.tcf.xml-31-9	FWetzel	1	 	ausspannen
wundt_medizinische_1867-3076-13	2532889X_1969-03-19_01_076.tcf.xml-69-7	FWetzel	1	 	ausspannen
baumstark_encyclopaedie_1835-10653-16	arnimb_goethe01_1835-2022-28	FWetzel	3	 	ausspannen
2532889X_1956-06-25_01_016.tcf.xml-38-32	2532889X_1981-05-02_01_137.tcf.xml-113-29	FWetzel	2	 	ausspannen
treitschke_geschichte03_1885-6239-7	lasswitz_planeten02_1897-8147-4	FWetzel	3	 	ausspannen
26120215_1980_01_09_01_167.tcf.xml-4-5	26120215_1952_10_10_01_029.tcf.xml-31-11	FWetzel	1	 	ausspannen
ganswindt_faerberei_1889-7572-13	poelitz_poetik_1825-4616-15	FWetzel	0	 	ausspannen
26120215_1975_12_10_01_051.tcf.xml-90-2	goerres_volksbuecher_1807-1475-29	FWetzel	1	 	ausspannen
2532889X_1958-08-28_01_036.tcf.xml-35-20	2532889X_1957-10-31_01_024.tcf.xml-24-29	FWetzel	2	 	ausspannen
chamisso_schlemihl_1814-93-5	2532889X_1959-08-15_01_134.tcf.xml-39-12	FWetzel	1	 	ausspannen
2532889X_1981-05-02_01_137.tcf.xml-113-29	blumenbach_naturgeschichte_1816-481-20	FWetzel	1	 	ausspannen
2532889X_1987-07-18_01_318.tcf.xml-20-8	eckstein_dudler_1893-128-6	FWetzel	2	 	ausspannen
baumstark_encyclopaedie_1835-8093-35	2532889X_1976-08-21_01_381.tcf.xml-36-21	FWetzel	3	 	ausspannen
26120215_1953_12_23_01_037.tcf.xml-9-9	alexis_ruhe03_1852-4633-13	FWetzel	1	 	ausspannen
chamisso_schlemihl_1814-93-5	26120215_1948_08_17_01_114.tcf.xml-5-32	stekade	1	 	ausspannen
pueckler_briefe04_1831-569-14	daguerre_daguerrereotyp_1839-388-46	stekade	1	 	ausspannen
26120215_1968_04_07_01_397.tcf.xml-68-10	2532889X_1986-01-11_01_217.tcf.xml-5-4	stekade	4	 	ausspannen
26120215_1955_12_18_02_208.tcf.xml-34-10	26120215_1961_07_11_01_223.tcf.xml-69-9	stekade	1	 	ausspannen
hauff_phantasien_1827-676-15	blumenbach_naturgeschichte_1803-798-25	stekade	3	 	ausspannen
2532889X_1962-07-21_01_014.tcf.xml-20-35	26120215_1973_08_22_01_053.tcf.xml-18-4	stekade	0	 	ausspannen
humboldt_ideen_1806-180-17	2532889X_1961-02-17_01_046.tcf.xml-35-11	stekade	1	 	ausspannen
2532889X_1957-09-18_01_148.tcf.xml-64-15	blumenbach_knochen_1807-4153-12	stekade	0	 	ausspannen
2532889X_1954-09-12_01_130.tcf.xml-15-16	26120215_1979_08_28_01_035.tcf.xml-50-18	stekade	1	 	ausspannen
2532889X_1964-06-06_01_120.tcf.xml-73-12	2532889X_1964-08-15_01_126.tcf.xml-10-46	stekade	1	 	ausspannen
baumstark_encyclopaedie_1835-8093-35	keller_seldwyla_1856-2820-11	stekade	3	 	ausspannen
blumenbach_naturgeschichte_1816-481-20	baumstark_encyclopaedie_1835-8093-35	stekade	2	 	ausspannen
clodius_poetik01_1804-3729-19	baumstark_encyclopaedie_1835-10653-16	stekade	2	 	ausspannen
2532889X_1962-07-21_01_014.tcf.xml-20-35	strouhal_tonerregung_1878-161-22	stekade	0	 	ausspannen
2532889X_1980-10-18_01_072.tcf.xml-9-15	alexis_ruhe04_1852-4102-41	stekade	1	 	ausspannen
tieck_phantasus01_1812-343-47	arnimb_goethe01_1835-1661-7	stekade	0	 	ausspannen
26120215_1950_08_09_01_233.tcf.xml-12-27	blumenbach_naturgeschichte_1832-846-25	stekade	1	 	ausspannen
26120215_1975_06_26_01_258.tcf.xml-16-6	poelitz_poetik_1825-4616-15	stekade	1	 	ausspannen
2532889X_1959-09-18_01_058.tcf.xml-6-22	2532889X_1948-06-27_01_084.tcf.xml-9-4	stekade	0	 	ausspannen
lasswitz_planeten01_1897-5368-24	26120215_1951_06_01_01_228.tcf.xml-7-13	stekade	1	 	ausspannen
falke_trachten01_1858-3379-29	26120215_1979_08_28_01_035.tcf.xml-50-18	stekade	1	 	ausspannen
hug_familie_1896-6016-3	26120215_1956_11_04_02_103.tcf.xml-11-19	stekade	1	 	ausspannen
26120215_1950_08_09_01_233.tcf.xml-12-27	2532889X_1990-04-18_01_270.tcf.xml-2-34	stekade	1	 	ausspannen
26120215_1968_02_04_01_125.tcf.xml-18-6	26120215_1954_01_26_01_178.tcf.xml-21-9	stekade	0	 	ausspannen
hauff_phantasien_1827-676-15	baumstark_encyclopaedie_1835-10653-16	stekade	3	 	ausspannen
virchow_cellularpathologie_1858-3493-16	26120215_1976_07_23_01_035.tcf.xml-45-5	stekade	1	 	ausspannen
arent_dichtercharaktere_1885-1223-28	wrangel_luxusfuhrwerk_1898-454-27	stekade	1	 	ausspannen
26120215_1980_05_06_01_028.tcf.xml-5-26	ludwig_physiologie02_1856-1585-37	stekade	1	 	ausspannen
26120215_1985_09_12_01_093.tcf.xml-45-28	arnimb_goethe01_1835-2022-28	stekade	3	 	ausspannen
schubert_naturwissenschaft_1808-1556-30	26120215_1953_12_23_01_037.tcf.xml-9-9	stekade	1	 	ausspannen
2532889X_1950-09-27_01_045.tcf.xml-31-9	siemens_abhandlungen_1881-344-19	stekade	1	 	ausspannen
hauff_phantasien_1827-676-15	2532889X_1973-06-04_01_063.tcf.xml-13-23	stekade	1	 	ausspannen
26120215_1961_10_29_01_395.tcf.xml-88-15	gerstner_mechanik01_1831-10959-4	stekade	1	 	ausspannen
26120215_1951_06_01_01_228.tcf.xml-7-13	2532889X_1960-04-09_01_106.tcf.xml-44-15	stekade	1	 	ausspannen
wrangel_luxusfuhrwerk_1898-454-27	26120215_1964_11_14_01_244.tcf.xml-8-2	stekade	1	 	ausspannen
humboldt_ideen_1806-180-17	lasswitz_planeten02_1897-8147-4	stekade	3	 	ausspannen
26120215_1955_05_26_01_040.tcf.xml-48-36	26120215_1974_01_02_01_190.tcf.xml-70-15	stekade	0	 	ausspannen
huber_reisejournal_1811-1765-15	2532889X_1957-09-18_01_148.tcf.xml-64-15	stekade	4	 	ausspannen
arnimb_goethe01_1835-2022-28	26120215_1963_07_21_01_214.tcf.xml-30-20	stekade	1	 	ausspannen
siemens_abhandlungen_1881-344-19	keller_seldwyla_1856-2818-9	stekade	1	 	ausspannen
2532889X_1977-09-10_01_333.tcf.xml-20-18	goerres_volksbuecher_1807-1475-29	stekade	1	 	ausspannen
26120215_1975_12_10_01_051.tcf.xml-90-2	mueller_hellenische03_1824-4335-46	stekade	0	 	ausspannen
2532889X_1960-04-09_01_106.tcf.xml-44-15	alexis_ruhe03_1852-4633-13	stekade	1	 	ausspannen
26120215_1975_06_26_01_258.tcf.xml-16-6	fontane_brandenburg04_1882-617-18	stekade	1	 	ausspannen
26120215_1961_10_29_01_395.tcf.xml-88-15	varnhagen_rahel03_1834-2258-33	stekade	0	 	ausspannen
26120215_1949_01_12_01_024.tcf.xml-1-34	rueckert_brahmane05_1839-2336-9	stekade	1	 	ausspannen
26120215_1962_01_18_01_225.tcf.xml-19-3	treitschke_geschichte03_1885-6239-7	stekade	1	 	ausspannen
26120215_1953_09_17_01_170.tcf.xml-5-12	fontane_brandenburg03_1873-1974-53	stekade	1	 	ausspannen
26120215_1961_07_11_01_223.tcf.xml-69-9	gerstner_mechanik01_1831-10959-4	stekade	1	 	ausspannen
vogt_briefe02_1851-5420-23	arnimb_goethe01_1835-2022-28	stekade	2	 	ausspannen
