identifier1	identifier2	annotator	judgment	comment	lemma
26120215_1957_11_02_01_034.tcf.xml-8-20	2532889X_1955-10-19_01_117.tcf.xml-2-18	stekade	3	 	beimischen
vischer_aesthetik030205_1857-2414-28	humboldt_sprachbau_1826-23-31	stekade	3	 	beimischen
altmann_elementarorganismen_1890-948-45	quenstedt_mineralogie_1854-6955-31	stekade	3	 	beimischen
wackernagel_poetik_1873-1449-101	26120215_1957_06_23_02_075.tcf.xml-12-8	stekade	2	 	beimischen
26120215_1969_10_22_01_282.tcf.xml-42-8	26120215_1980_01_12_01_521.tcf.xml-11-14	stekade	2	 	beimischen
26120215_1987_04_06_01_172.tcf.xml-46-23	menzel_maurer_1847-913-19	stekade	3	 	beimischen
2532889X_1983-05-07_01_416.tcf.xml-36-15	2532889X_1987-01-31_01_228.tcf.xml-4-3	stekade	3	 	beimischen
26120215_1953_02_15_01_311.tcf.xml-5-8	blumenbach_kleineschriften_1804-281-32	stekade	3	 	beimischen
davidis_kochbuch_1879-4828-10	2532889X_1970-03-25_01_187.tcf.xml-10-5	stekade	3	 	beimischen
2532889X_1983-04-26_01_073.tcf.xml-18-27	26120215_1968_06_09_01_054.tcf.xml-20-18	stekade	3	 	beimischen
menzel_maurer_1847-913-19	brandes_naturlehre02_1831-346-33	stekade	3	 	beimischen
kerner_besessene_1834-57-42	26120215_1965_09_01_01_065.tcf.xml-9-11	stekade	2	 	beimischen
quenstedt_mineralogie_1854-8408-25	26120215_1969_10_22_01_282.tcf.xml-42-8	stekade	2	 	beimischen
26120215_1950_01_28_01_013.tcf.xml-8-19	26120215_1989_06_22_01_037.tcf.xml-43-19	stekade	3	 	beimischen
26120215_1957_11_02_01_034.tcf.xml-8-20	2532889X_1970-12-12_01_262.tcf.xml-31-26	stekade	2	 	beimischen
baumgart_poetik_1887-3056-15	26120215_1969_10_22_01_282.tcf.xml-42-8	stekade	3	 	beimischen
thaer_landwirthschaft02_1810-1490-6	26120215_1969_10_22_01_282.tcf.xml-42-8	stekade	2	 	beimischen
altmann_elementarorganismen_1890-948-45	26120215_1969_01_08_01_268.tcf.xml-32-11	stekade	2	 	beimischen
ledebur_eisenhuettenkunde_1884-2514-39	thaer_landwirthschaft02_1810-4648-21	stekade	3	 	beimischen
26120215_1960_08_31_01_037.tcf.xml-19-29	2532889X_1952-04-13_01_045.tcf.xml-30-7	stekade	2	 	beimischen
2532889X_1956-10-28_01_115.tcf.xml-70-26	ludwig_physiologie02_1856-337-18	stekade	2	 	beimischen
krafft_landwirthschaft03_1876-3574-22	carus_gynaekologie01_1820-1089-76	stekade	3	 	beimischen
quenstedt_mineralogie_1854-8408-25	26120215_1982_02_19_01_093.tcf.xml-16-24	stekade	3	 	beimischen
2532889X_1981-08-31_01_039.tcf.xml-5-9	hug_familie_1896-3654-39	stekade	2	 	beimischen
ganswindt_faerberei_1889-6404-4	marx_kapital01_1867-3784-29	stekade	3	 	beimischen
ganswindt_faerberei_1889-4093-58	26120215_1954_03_24_01_165.tcf.xml-7-15	stekade	3	 	beimischen
quenstedt_mineralogie_1854-6955-31	wackernagel_poetik_1873-1449-101	stekade	2	 	beimischen
26120215_1972_10_28_01_379.tcf.xml-3-12	brandes_naturlehre03_1832-1714-60	stekade	3	 	beimischen
26120215_1950_01_06_01_205.tcf.xml-4-12	blumenbach_naturgeschichte_1803-10422-20	stekade	3	 	beimischen
beck_eisen01_1884-10664-21	2532889X_1948-08-01_01_053.tcf.xml-25-10	stekade	2	 	beimischen
26120215_1988_10_08_01_065.tcf.xml-10-11	26120215_1967_11_18_01_223.tcf.xml-4-15	stekade	2	 	beimischen
burckhardt_renaissance_1860-1551-33	schleiden_pflanze_1848-182-91	stekade	3	 	beimischen
26120215_1981_07_06_01_039.tcf.xml-25-24	2532889X_1964-02-22_01_111.tcf.xml-18-37	stekade	3	 	beimischen
2532889X_1962-01-23_01_042.tcf.xml-12-15	2532889X_1981-08-31_01_039.tcf.xml-5-9	Zori	4	 	beimischen
2532889X_1980-05-21_01_201.tcf.xml-16-17	gottschall_poetik_1858-5642-17	Zori	3	 	beimischen
steinen_naturvoelker_1894-1233-57	beck_eisen03_1897-7977-40	Zori	3	 	beimischen
vischer_aesthetik030203_1854-2658-32	berlin_wortblindheit_1887-514-41	Zori	4	 	beimischen
steinen_naturvoelker_1894-3867-31	2532889X_1946-10-02_01_045.tcf.xml-12-23	Zori	4	 	beimischen
menzel_maurer_1847-913-19	26120215_1948_07_18_01_163.tcf.xml-17-10	Zori	4	 	beimischen
26120215_1983_02_15_01_261.tcf.xml-9-12	pueckler_briefe04_1831-1033-15	Zori	3	 	beimischen
2532889X_1980-05-21_01_201.tcf.xml-16-17	bechstein_dunkelgraf_1854-2010-62	Zori	3	 	beimischen
2532889X_1970-01-24_01_262.tcf.xml-2-20	quenstedt_mineralogie_1854-14836-26	Zori	4	 	beimischen
26120215_1989_06_22_01_037.tcf.xml-43-19	dilthey_poetik_1887-1756-18	Zori	3	 	beimischen
