identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1972-08-03_01_137.tcf.xml-16-3	spielhagen_problematische03_1861-1574-13	FWetzel	1	 	überspannen
rosenkranz_aesthetik_1853-1698-0	pocci_komoedienbuechlein01_1859-3910-27	FWetzel	0	 	überspannen
beck_eisen04_1899-1092-20	26120215_1951_05_01_02_045.tcf.xml-17-10	FWetzel	3	 	überspannen
bluntschli_voelkerrecht_1868-7175-2	vischer_aesthetik030201_1852-1537-66	FWetzel	1	 	überspannen
26120215_1976_04_09_01_146.tcf.xml-1-39	berlepsch_alpen_1861-3003-122	FWetzel	3	 	überspannen
2532889X_1955-05-03_01_035.tcf.xml-56-13	2532889X_1983-07-26_01_034.tcf.xml-17-18	FWetzel	3	 	überspannen
2532889X_1967-01-18_01_012.tcf.xml-17-5	26120215_1975_08_05_01_010.tcf.xml-6-6	FWetzel	4	 	überspannen
26120215_1978_11_27_01_139.tcf.xml-13-12	2532889X_1977-06-04_01_532.tcf.xml-2-11	FWetzel	4	 	überspannen
rapsilber_reichstagsgebaeude_1895-208-11	laube_bernsteinhexe_1846-1080-4	FWetzel	1	 	überspannen
strauss_jesus01_1835-2171-1	26120215_1956_01_28_01_033.tcf.xml-4-32	FWetzel	4	 	überspannen
vischer_aesthetik030201_1852-249-11	steinen_naturvoelker_1894-4559-24	FWetzel	2	 	überspannen
muellner_kaliber_1829-736-4	26120215_1985_07_23_01_051.tcf.xml-9-26	FWetzel	1	 	überspannen
26120215_1973_02_21_01_352.tcf.xml-22-1	humboldt_grenzen_1851-641-50	FWetzel	1	 	überspannen
menzel_maurer_1847-3296-7	2532889X_1965-12-05_01_014.tcf.xml-3-10	FWetzel	1	 	überspannen
2532889X_1981-03-17_01_086.tcf.xml-42-16	baumstark_encyclopaedie_1835-10729-28	FWetzel	1	 	überspannen
menzel_maurer_1847-3001-8	2532889X_1964-12-17_01_185.tcf.xml-6-16	FWetzel	4	 	überspannen
lasswitz_planeten02_1897-210-12	2532889X_1981-02-14_01_071.tcf.xml-7-20	FWetzel	2	 	überspannen
