identifier1	identifier2	annotator	judgment	comment	lemma
beyer_poetik03_1884-6614-36	2532889X_1958-09-15_01_070.tcf.xml-5-5	stekade	3	 	vergönnen
schiller_stuart_1801-3104-16	robert_griechische_1881-1135-54	stekade	4	 	vergönnen
26120215_1949_01_27_01_029.tcf.xml-18-31	2532889X_1961-01-15_01_059.tcf.xml-14-5	stekade	1	 	vergönnen
clauren_liebe_1827-325-3	robert_griechische_1881-1135-54	stekade	4	 	vergönnen
peschel_voelkerkunde_1874-6234-42	mommsen_roemische03_1856-5663-52	stekade	2	 	vergönnen
26120215_1977_01_17_01_138.tcf.xml-37-18	dahlmann_geschichte_1845-1819-98	stekade	3	 	vergönnen
2532889X_1970-11-14_01_1204.tcf.xml-63-11	temme_volkssagen_1840-1739-3	stekade	2	 	vergönnen
brunn_griechen02_1859-24-57	ludwig_physiologie01_1852-6006-18	stekade	2	 	vergönnen
holtei_vagabunden03_1852-1734-14	goethe_faust01_1808-2465-8	stekade	0	 	vergönnen
2532889X_1950-12-22_01_060.tcf.xml-7-38	26120215_1962_12_31_01_092.tcf.xml-24-5	stekade	2	 	vergönnen
26120215_1974_12_22_01_144.tcf.xml-23-5	fontane_brandenburg02_1863-3148-23	stekade	3	 	vergönnen
26120215_1962_12_31_01_092.tcf.xml-24-5	2532889X_1967-08-15_01_162.tcf.xml-37-43	Zori	4	 	vergönnen
2532889X_1950-06-06_01_010.tcf.xml-21-15	2532889X_1951-11-07_01_010.tcf.xml-65-4	Zori	4	 	vergönnen
2532889X_1982-06-14_01_039.tcf.xml-39-55	26120215_1960_06_22_01_219.tcf.xml-36-6	Zori	4	 	vergönnen
lewald_jenny02_1843-1324-20	2532889X_1981-01-28_01_064.tcf.xml-26-5	Zori	4	 	vergönnen
nn_nrhz190_1849-334-25	brehm_thierleben06_1869-3432-13	Zori	4	 	vergönnen
urbanitzky_electricitaet_1885-643-5	moerike_gedichte_1838-290-6	Zori	4	 	vergönnen
2532889X_1966-05-12_01_296.tcf.xml-5-5	2532889X_1951-10-19_01_042.tcf.xml-10-4	Zori	4	 	vergönnen
2532889X_1980-12-08_01_063.tcf.xml-42-4	goerres_volksbuecher_1807-1478-26	Zori	4	 	vergönnen
26120215_1967_09_15_01_396.tcf.xml-357-10	goethe_divan_1819-1589-13	Zori	0	 	vergönnen
arent_dichtercharaktere_1885-2171-20	2532889X_1978-09-23_01_057.tcf.xml-4-9	Zori	4	 	vergönnen
hoffmann_elixiere02_1816-1683-1	lewald_jenny01_1843-2000-29	Zori	4	 	vergönnen
gotthelf_sagen_1842-825-11	schwab_sagen03_1840-1969-2	Zori	4	 	vergönnen
26120215_1967_09_15_01_396.tcf.xml-357-10	bechstein_dunkelgraf_1854-321-6	Zori	0	 	vergönnen
bechstein_dunkelgraf_1854-321-6	26120215_1948_07_01_01_183.tcf.xml-1-35	Zori	4	 	vergönnen
saar_novellen_1877-212-4	tieck_phantasus03_1816-5944-23	Zori	4	 	vergönnen
temme_volkssagen_1840-1739-3	26120215_1946_09_28_01_038.tcf.xml-8-7	Zori	4	 	vergönnen
26120215_1967_09_15_01_396.tcf.xml-357-10	beck_eisen02_1895-8191-26	Zori	0	 	vergönnen
2532889X_1982-06-14_01_039.tcf.xml-39-55	2532889X_1970-03-15_01_009.tcf.xml-9-3	Zori	4	 	vergönnen
2532889X_1974-05-04_01_240.tcf.xml-66-19	munzinger_japaner_1898-3248-15	Zori	4	 	vergönnen
nn_nrhz190_1849-334-25	schiller_stuart_1801-3104-16	Zori	4	 	vergönnen
tieck_phantasus03_1816-5953-52	niebuhr_roemische01_1811-179-26	Zori	4	 	vergönnen
2532889X_1954-08-03_01_034.tcf.xml-10-18	uhland_gedichte_1815-1312-12	Zori	4	 	vergönnen
26120215_1954_05_13_01_042.tcf.xml-26-10	2532889X_1981-01-28_01_064.tcf.xml-26-5	Zori	4	 	vergönnen
2532889X_1960-01-30_01_111.tcf.xml-13-14	ludwig_physiologie01_1852-6006-18	Zori	4	 	vergönnen
26120215_1956_01_04_01_134.tcf.xml-28-3	schiller_stuart_1801-3104-16	Zori	4	 	vergönnen
26120215_1962_12_31_01_092.tcf.xml-24-5	chamberlain_grundlagen01_1899-4091-12	Zori	4	 	vergönnen
2532889X_1970-03-15_01_009.tcf.xml-9-3	nn_nrhz190_1849-334-25	Zori	4	 	vergönnen
goerres_volksbuecher_1807-1478-26	2532889X_1981-01-28_01_064.tcf.xml-26-5	Zori	4	 	vergönnen
hoffmann_elixiere02_1816-1683-1	paul_titan03_1802-752-13	Zori	4	 	vergönnen
2532889X_1951-06-05_01_008.tcf.xml-10-26	tieck_phantasus03_1816-1692-0	Zori	4	 	vergönnen
26120215_1953_05_12_01_210.tcf.xml-2-26	goethe_divan_1819-1589-13	Zori	4	 	vergönnen
2532889X_1950-12-22_01_060.tcf.xml-7-38	schiller_stuart_1801-3293-11	Zori	4	 	vergönnen
26120215_1951_08_17_01_052.tcf.xml-2-7	bechstein_dunkelgraf_1854-3987-29	Zori	4	 	vergönnen
2532889X_1982-08-19_01_105.tcf.xml-8-13	moerike_gedichte_1838-290-6	Zori	4	 	vergönnen
goethe_divan_1819-1589-13	2532889X_1979-11-30_01_225.tcf.xml-9-46	Zori	4	 	vergönnen
26120215_1946_09_28_01_038.tcf.xml-8-7	26120215_1963_06_12_01_357.tcf.xml-13-30	Zori	4	 	vergönnen
26120215_1963_06_12_01_357.tcf.xml-13-30	26120215_1953_05_12_01_210.tcf.xml-2-26	Zori	4	 	vergönnen
2532889X_1946-12-12_01_021.tcf.xml-25-32	ranke_reformation02_1839-5018-26	Zori	4	 	vergönnen
tieck_phantasus03_1816-5953-52	platen_gedichte_1828-682-5	Zori	4	 	vergönnen
tieck_phantasus03_1816-5944-23	26120215_1966_11_26_01_085.tcf.xml-2-13	Zori	4	 	vergönnen
2532889X_1971-03-06_01_244.tcf.xml-14-39	2532889X_1973-07-24_01_027.tcf.xml-15-13	Zori	4	 	vergönnen
anzengruber_gwissenswurm_1874-1109-13	2532889X_1950-06-06_01_010.tcf.xml-21-15	Zori	0	 	vergönnen
heffter_voelkerrecht_1844-1156-19	26120215_1946_10_31_01_039.tcf.xml-3-6	Zori	4	 	vergönnen
vischer_auch01_1879-625-24	26120215_1954_05_13_01_042.tcf.xml-26-10	Zori	4	 	vergönnen
2532889X_1950-12-22_01_060.tcf.xml-7-38	26120215_1967_09_15_01_396.tcf.xml-357-10	Zori	0	 	vergönnen
26120215_1951_08_17_01_052.tcf.xml-2-7	brehm_thierleben06_1869-3432-13	Zori	4	 	vergönnen
2532889X_1973-07-24_01_027.tcf.xml-15-13	2532889X_1946-12-12_01_021.tcf.xml-25-32	Zori	4	 	vergönnen
2532889X_1980-12-08_01_063.tcf.xml-42-4	2532889X_1988-09-10_01_391.tcf.xml-16-30	Zori	4	 	vergönnen
26120215_1951_08_17_01_052.tcf.xml-2-7	2532889X_1977-02-14_01_059.tcf.xml-21-5	Zori	4	 	vergönnen
paul_titan03_1802-752-13	otto_schloss03_1846-1299-12	Zori	4	 	vergönnen
tieck_phantasus02_1812-9685-30	2532889X_1960-01-30_01_111.tcf.xml-13-14	Zori	4	 	vergönnen
justi_velazquez02_1888-6387-32	schroeder_logik03_1895-6062-19	Zori	4	 	vergönnen
26120215_1982_08_25_01_148.tcf.xml-153-23	2532889X_1981-01-28_01_064.tcf.xml-26-5	Zori	4	 	vergönnen
hoffmann_nachtstuecke02_1817-1086-3	2532889X_1956-09-27_01_012.tcf.xml-3-22	Zori	4	 	vergönnen
2532889X_1970-12-12_01_149.tcf.xml-22-18	26120215_1947_08_27_01_029.tcf.xml-2-17	Zori	4	 	vergönnen
tieck_phantasus03_1816-5953-52	wolff_ausverkauf_1824-429-1	Zori	4	 	vergönnen
hundtradowsky_judenschule01_1822-2510-44	2532889X_1960-09-11_01_086.tcf.xml-16-4	Zori	4	 	vergönnen
