identifier1	identifier2	annotator	judgment	comment	lemma
brehm_thierleben06_1869-405-18	26120215_1968_10_20_01_467.tcf.xml-5-0	stekade	2	 	voranstellen
beseler_kommentar_1851-9308-7	26120215_1986_08_16_01_087.tcf.xml-9-36	stekade	2	 	voranstellen
2532889X_1985-01-18_01_044.tcf.xml-5-25	2532889X_1947-02-06_01_119.tcf.xml-4-17	stekade	3	 	voranstellen
2532889X_1971-01-10_01_035.tcf.xml-7-27	26120215_1969_04_30_01_205.tcf.xml-5-23	stekade	3	 	voranstellen
2532889X_1973-06-14_01_047.tcf.xml-6-9	stein_verwaltungslehre01_1865-2440-57	stekade	2	 	voranstellen
koelliker_entwicklungs_1861-3950-4	beyer_poetik01_1882-7284-11	Zori	3	 	voranstellen
2532889X_1976-10-30_01_542.tcf.xml-31-5	huber_verkehr_1893-920-18	Zori	3	 	voranstellen
altmann_elementarorganismen_1890-427-9	2532889X_1985-10-19_01_146.tcf.xml-10-14	Zori	3	 	voranstellen
2532889X_1990-08-10_01_123.tcf.xml-4-28	mommsen_roemische02_1855-3318-24	Zori	3	 	voranstellen
droysen_historik_1868-735-10	2532889X_1988-09-23_01_096.tcf.xml-3-8	Zori	3	 	voranstellen
nn_badener056_1898-29-7	26120215_1959_08_21_01_212.tcf.xml-12-23	Zori	3	 	voranstellen
drude_pflanzengeographie_1890-3076-5	26120215_1967_12_17_01_418.tcf.xml-5-0	Zori	4	 	voranstellen
steinen_naturvoelker_1894-7388-31	herbart_psychologie02_1825-5575-12	Zori	4	 	voranstellen
drude_pflanzengeographie_1890-3076-5	2532889X_1949-06-22_01_057.tcf.xml-162-31	Zori	4	 	voranstellen
herbart_psychologie01_1824-484-42	brehm_thierleben01_1864-8689-15	Zori	4	 	voranstellen
2532889X_1963-08-25_01_067.tcf.xml-6-18	brunner_rechtsgeschichte01_1887-7855-8	Zori	4	 	voranstellen
26120215_1971_03_09_01_231.tcf.xml-3-30	huber_verkehr_1893-920-18	Zori	4	 	voranstellen
2532889X_1962-03-10_01_168.tcf.xml-14-30	2532889X_1963-05-26_01_089.tcf.xml-6-16	Zori	3	 	voranstellen
carus_zoologie_1872-4383-37	droysen_historik_1868-735-10	Zori	3	 	voranstellen
26120215_1962_11_16_01_079.tcf.xml-15-12	rumohr_forschungen02_1827-153-106	Zori	4	 	voranstellen
2532889X_1980-10-15_01_049.tcf.xml-44-8	rumohr_forschungen01_1827-113-15	Zori	0	 	voranstellen
26120215_1990_06_30_01_142.tcf.xml-9-2	rumohr_forschungen01_1827-581-34	Zori	3	 	voranstellen
26120215_1982_01_16_01_104.tcf.xml-46-15	schroeder_logik01_1890-2491-24	Zori	3	 	voranstellen
brunner_rechtsgeschichte01_1887-6805-26	schroeder_logik01_1890-2491-24	Zori	4	 	voranstellen
2532889X_1985-05-21_01_034.tcf.xml-151-16	borinski_poetik_1895-2306-10	Zori	3	 	voranstellen
2532889X_1986-03-01_01_118.tcf.xml-9-12	schleiermacher_hermeneutik_1838-3086-6	Zori	3	 	voranstellen
brandes_naturlehre03_1832-275-46	26120215_1979_05_19_01_104.tcf.xml-9-16	Zori	4	 	voranstellen
stein_verwaltungslehre02_1866-943-20	droysen_historik_1868-735-10	Zori	3	 	voranstellen
26120215_1965_05_23_01_051.tcf.xml-1-16	rumohr_forschungen02_1827-153-106	Zori	4	 	voranstellen
siebold_suesswasserfische_1863-373-27	2532889X_1986-03-01_01_118.tcf.xml-9-12	Zori	4	 	voranstellen
2532889X_1947-12-12_01_032.tcf.xml-45-25	borinski_poetik_1895-2306-10	Zori	3	 	voranstellen
2532889X_1955-07-17_01_083.tcf.xml-44-25	26120215_1960_08_03_01_290.tcf.xml-58-43	Zori	4	 	voranstellen
rumohr_forschungen01_1827-125-22	drude_pflanzengeographie_1890-725-58	Zori	3	 	voranstellen
vischer_aesthetik01_1846-413-12	2532889X_1968-02-25_01_053.tcf.xml-4-31	FWetzel	3	 	voranstellen
schroeder_logik03_1895-1006-4	beck_eisen02_1895-15-9	FWetzel	3	 	voranstellen
nn_nrhz007b_1848-37-32	leskien_declination_1876-333-23	FWetzel	3	 	voranstellen
26120215_1953_09_29_01_202.tcf.xml-58-4	26120215_1961_02_09_01_239.tcf.xml-2-11	FWetzel	0	 	voranstellen
