lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
vorliegen	VVFIN	1859	1	mohl_staatswissenschaften_1859-3913-15	 	Vielmehr ist, wenn thatsächlich bei einem Theile der Geschlechter ein minderer Anspruch auf Bevorzugung vorliegt, auch eine nur theilweise Einräumung von Rechten angezeigt 2).	104:112	0:175
vorliegen	VVINF	1865	1	jhering_recht03_1865-1363-40	 	Nicht also ist der Hergang so zu denken, als ob der Mancipant erst Eigenthum übertrüge und sodann der Empfänger, auf Grund des so eben erworbenen Eigenthums die Servitut bestellte — dann würden in der That juristisch zwei Rechtsgeschäfte vorliegen — sondern der Mancipant behält von dem, was er überträgt, etwas zurück, er zieht etwas ab (deducit) — eine Wendung im Geist der analytischen Methode, zu welcher der Proceß in dem „cum deductione und compensatione agere“ (S. 79) ein Seitenstück darbietet, und deren materielle Statthaftigkeit die alten Juristen auf die oben in Bezug genommenen Worte der XII Tafeln über die Mancipation stützen konnten.	238:247	0:650
vorliegen	VVFIN	1890	1	schroeder_logik01_1890-8162-47	 	So kommt — in Beantwortung der ersten Frage unsres speziellen Problems — die Klasse a nur vor in Verbindung mit b c d1 + b c1 d + b1 c d1 + b1 c1 d + b1 c1 d1, und wo eine von diesen fünf Kombinationen vorliegt, da kann auch a sich finden; a1 aber kommt nur mit den dreien b c d + b c1 d1 + b1 c d verbunden vor; und entweder bei mindestens einer von den fünfen wird a oder bei mindestens einer von den dreien wird a1 sich auch finden müssen, da nicht alle Glieder, deren Summe ja = 1 ist, zugleich verschwinden können.	202:210	0:519
vorliegen	VVFIN	1964	2	26120215_1964_07_09_01_032.tcf.xml-9-12	 	In dieser Erklärung wird betont, daß ein Bruch de « Völkerrechts vorliegt, wenn ein Land — wie die Bundesrepublik es ablehnt, nazistische Gewaltverbrechen und Massenmorde weiter zu verfolgen.	65:73	0:191
vorliegen	VVINF	1979	2	2532889X_1979-11-26_01_049.tcf.xml-15-20	 	Zum 35. Jahrestag der Befreiung vom Hitlerfaschismus wird eines der bewährten Anschauungsmaterialien unter dem Titel „Der große Sieg\" vorliegen.	134:143	0:144
vorliegen	VVINF	1965	2	2532889X_1965-06-29_01_160.tcf.xml-8-11	 	Nachdem nun die ersten umfassenden Erfahrungen aus der Tätigkeit der VVB vorliegen, ist der Zeitpunkt herangereift, auch die Aufgaben und die Arbeitsweise der örtlichen Volksvertretungen und ihrer Organe unter den Bedingungen des neuen ökonomischen Svstems der Planung und Leitung der Volkswirtschaft klar zu bestimmen.	73:82	0:319
vorliegen	VVINF	1848	1	nn_nrhz112_1848-276-11	 	In einer Zeit wie die jetzige wo solche Armeebefehle und Tagesbefehle vorliegen, dürfen wir keinen Tag ausschließen, um das zu verhandeln was das Land interessiren könnte, die Versammlung würde sich sonst der größten Verantwortung aussetzen und das vergossene Blut wurde auf unsere Kopfe kommen, denn Niemand weiß, was uns der morgende Tag bringt.	70:79	0:347
vorliegen	VVFIN	1876	1	roepell_polen_1876-2258-99	 	„Die Mittel der Vertheidigung gegen solche Angriffe waren: 1) die Vorlage eines laudum, d. h. eines den Würdenträgern der Woiwodschaft vorgelegten Attestes der Wahlbeamten, daß dieser und dieser rechtmäßig gewählt sei; 2) der Nachweis, daß der gegen den Gewählten eingelegte Protest von solchen unterschrieben sei, welche persönlich auf dem Landtage nicht gegenwärtig gewesen wären, oder daß sie 3) obwohl gegenwärtig ihren Widerspruch bei der Wahl nicht laut erklärt hätten; 4) daß die Protestirenden ohne Grundbesitz im Bezirk wären; 5) daß gegen sie selbst Condemnate vorlägen, oder endlich 6) das Einbringen eines Verzichts auf das Condemnat von Seiten dessen, auf dessen Klage es erlassen war.	571:579	0:698
vorliegen	VVINF	1848	1	nn_nrhz192_1849-229-8	 	Das erste der beiden Dokumente, die uns vorliegen, heißt:	40:49	0:57
vorliegen	VVINF	1964	2	26120215_1964_01_19_01_050.tcf.xml-7-26	 	Die dem Komitee angehörenden bewährten Praktiker und Neuerer der sozialistischen Landwirtschaft unterbreiteten zum vorliegenden Entwurf der, den Delegierten des Bauernkongresses zur. Diskussion und Beschlußfassung vorliegen wird, weitere wertvolle Vorschläge.	214:223	0:259
vorliegen	VVFIN	1872	1	carus_zoologie_1872-3302-68	 	Es ist nach dem Erwähnten natürlich, daß die Thiernamen mit Ausnahme der bekanntesten in einem ebenso verstümmelten und kaum wiederzuerkennenden Aufzuge erscheinen, wie es bei Thomas der Fall ist, und zwar erscheinen diese Thiere nicht etwa nur jetzt fremdartig und unbekannt, sondern es ist ganz sicher, daß sich Albert selbst von ihnen kein Bild gemacht, sondern nur zusammengeschrieben hat, was ihm vorlag, wie denn überhaupt von einer Originalarbeit im heutigen Sinne bei seiner Schrift über die Thiere nicht die Rede sein kann.	402:408	0:532
vorliegen	VVFIN	1847	1	vischer_aesthetik0201_1847-1537-45	 	Dieser Stoff bleibt ganz passiv, alle Form geht vom Künstler aus; Stoff bedeutet hier blos Material, das für ästhetische Form erst verwandt werden soll, wie der Stein vom Baumeister, wogegen uns die übrige Naturschönheit, die uns in diesem Abschnitte vorliegt, nach allen übrigen Seiten einen schon geformten Stoff vor das Auge stellt, von welchem sich nur erst fragen soll, ob er so bleiben kann oder ob er einer Umschaffung bedarf, wenn wahrhaft Schönes soll entstehen können, einen Stoff, den wir als eine nur noch unreife, zur Umbildung bestimmte Form erkennen werden, als einen Stoff im Sinne der Vorlage, des Vorbilds.	251:259	0:624
vorliegen	VVFIN	1947	2	26120215_1947_07_20_01_213.tcf.xml-32-23	 	„was haben Sie sich bei diesen Worten gedacht?\" fragte der Richter die Zeugin, um festzustellen, ob eine Beleiciiaunc vorlag.	118:124	0:125
vorliegen	VVFIN	1950	2	26120215_1950_10_24_01_016.tcf.xml-15-30	 	Auf all diese Fragen antworte ich, daß ->s nicht vernünftig ist, daß eine derartige Erwägung keiner Kritik standhalten kann und daß kein Grund für eine derartige Erwähn » vorliegt.	171:179	0:180
vorliegen	VVINF	1972	2	2532889X_1972-09-08_01_036.tcf.xml-19-3	 	Je mehr Informationen vorliegen, desto geneigter ist man, die Handlungsweise der Behörden in diesem Fall in Frage zu setzen.	22:31	0:124
vorliegen	VVFIN	1965	2	2532889X_1965-11-13_01_194.tcf.xml-34-14	 	Von 29 -Anträgen, die anläßlich des ADGB-Kongresses im Juni 1922 zum Vorstandsbericht vorlagen, forderten darum allein 14, nunmehr endlich entschiedene Maßnahmen einzuleiten, um die zehn Forderungen zu verwirklichen.	86:94	0:216
vorliegen	VVFIN	1846	1	vischer_aesthetik01_1846-5944-34	 	Die lustige Person faßt sich in die Einheit des objectiv und subjectiv Komischen zusammen und spricht ebenso auch eine Ahnung des allgemeinen Widerspruchs aus, der sich in dem handgreiflichen verbirgt, welcher ihr vorliegt; aber vergleichungsweise bewußtlos, wie sie bleibt, hat sie sich weder zu der sittlichen Tiefe ausgebildet, noch den unendlichen Schmerz erlebt, den der wirkliche Humor voraussetzt; daher bringt es jene Ahnung weder zu einer tieferen Reflexion in sich, noch zu einer wahren Allgemeinheit des Gedankens, daher bleibt hier auch das Gefühl des unendlichen Widerspruchs in dem Natur-Elemente ungebrochener Lustigkeit stehen.	214:222	0:643
vorliegen	VVFIN	1858	1	falke_trachten02_1858-3057-19	 	Wenn wir weiter keine Nachrichten darüber hätten, so würden wir aus dem Resultat, wie es uns heute vorliegt, den vollgültigsten Beweis schöpfen können.	99:107	0:151
vorliegen	VVINF	1894	1	purtscheller_alpinismus_1894-89-24	 	Wenn auch das Gemswild in unseren Ost-Alpen vor 300 Jahren selbst in der unteren Berg-und Waldregion nicht selten war, worüber genügende Beweise vorliegen, so hatte sich doch der Jäger, ebenso wie der Hirte, weit früher alle Hochthäler bis hinauf zur Gletscherregion erobert.	145:154	0:275
vorliegen	VVFIN	1988	2	2532889X_1988-07-05_01_035.tcf.xml-12-19	 	Ein weiterer Schritt wird mit der Veränderung der Ausbildung von Juristen getan, wofür seit Juni eine bestätigte Konzeption vorliegt Gleichzeitig bereiten die wissenschaftlichen Beiräte die Weiterentwicklung der Ausbildung in Mathematik, Medizin, den Natur-und Gesellschaftswissenschaften vor.	124:132	0:293
vorliegen	VVFIN	1967	2	26120215_1967_05_17_01_049.tcf.xml-7-49	 	In einem Brief -an die Zeitung „Guardian ', der Montag veröffentlicht wurde, bedauert Ennals. daß Vertreter der Deutschen Liga für die Vereinten Nationen auf Grund dieser Praxis nicht an einer Konferenz der britischen Vereinigung teilnehmen konnten, obwohl Visa für ihren Besuch in Großbritannien vorlagen.	297:305	0:306
