identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1948-08-21_01_034.tcf.xml-27-53	2532889X_1968-03-08_01_081.tcf.xml-5-13	Zori	4	 	vorweisen
2532889X_1948-04-02_01_010.tcf.xml-3-15	26120215_1965_10_31_01_549.tcf.xml-6-21	Zori	4	 	vorweisen
raabe_odfeld_1889-460-12	2532889X_1982-07-12_01_005.tcf.xml-8-26	stekade	2	 	vorweisen
26120215_1966_02_23_01_209.tcf.xml-13-18	2532889X_1983-08-13_01_384.tcf.xml-18-17	stekade	3	 	vorweisen
nn_nrhz067_1848-136-6	2532889X_1973-10-05_01_056.tcf.xml-30-12	stekade	2	 	vorweisen
26120215_1976_03_27_01_216.tcf.xml-7-10	2532889X_1962-12-11_01_115.tcf.xml-7-16	stekade	2	 	vorweisen
2532889X_1976-08-21_01_350.tcf.xml-5-8	nettelbeck_lebensbeschreibung02_1821-593-16	stekade	2	 	vorweisen
26120215_1985_08_21_01_153.tcf.xml-20-14	nn_nrhz068_1848-205-14	stekade	0	 	vorweisen
26120215_1985_08_21_01_153.tcf.xml-20-14	2532889X_1977-03-04_01_119.tcf.xml-15-10	stekade	3	 	vorweisen
2532889X_1984-09-14_01_071.tcf.xml-42-42	26120215_1965_10_31_01_549.tcf.xml-6-21	stekade	2	 	vorweisen
nn_nrhz067_1848-62-16	2532889X_1966-12-01_01_160.tcf.xml-19-13	stekade	3	 	vorweisen
2532889X_1979-09-29_01_156.tcf.xml-4-25	2532889X_1969-05-15_01_065.tcf.xml-54-12	stekade	2	 	vorweisen
26120215_1965_10_31_01_067.tcf.xml-23-20	26120215_1948_04_01_01_009.tcf.xml-10-55	stekade	2	 	vorweisen
2532889X_1956-02-12_01_020.tcf.xml-19-24	26120215_1963_09_05_01_005.tcf.xml-23-20	stekade	2	 	vorweisen
schwappach_forstpolitik_1894-4710-29	2532889X_1977-01-06_01_191.tcf.xml-5-10	stekade	3	 	vorweisen
heckert_schulgesetzgebung_1847-5743-32	2532889X_1948-08-21_01_034.tcf.xml-27-53	Zori	4	 	vorweisen
keller_sinngedicht_1882-1787-21	26120215_1965_10_31_01_067.tcf.xml-23-20	Zori	3	 	vorweisen
buechner_werke_1879-9043-28	26120215_1976_03_27_01_216.tcf.xml-7-10	Zori	4	 	vorweisen
heckert_schulgesetzgebung_1847-5743-32	2532889X_1979-10-31_01_153.tcf.xml-5-9	Zori	3	 	vorweisen
26120215_1976_01_24_01_314.tcf.xml-8-10	burckhardt_cicerone_1855-18498-17	Zori	4	 	vorweisen
2532889X_1969-06-14_01_220.tcf.xml-5-9	brunner_rechtsgeschichte02_1892-7554-26	Zori	3	 	vorweisen
26120215_1956_04_28_01_196.tcf.xml-5-30	2532889X_1956-02-12_01_020.tcf.xml-19-24	Zori	4	 	vorweisen
nn_nrhz155b_1848-213-14	2532889X_1986-01-10_01_053.tcf.xml-24-12	Zori	3	 	vorweisen
26120215_1986_01_28_01_283.tcf.xml-18-16	bluntschli_voelkerrecht_1868-3052-15	Zori	3	 	vorweisen
2532889X_1969-07-22_01_174.tcf.xml-2-20	heckert_schulgesetzgebung_1847-5018-33	Zori	4	 	vorweisen
schroeder_logik0201_1891-490-65	2532889X_1979-09-29_01_156.tcf.xml-4-25	stekade	1	 	vorweisen
2532889X_1972-10-06_01_161.tcf.xml-11-33	2532889X_1982-12-15_01_052.tcf.xml-8-13	stekade	3	 	vorweisen
2532889X_1969-09-20_01_164.tcf.xml-16-18	2532889X_1985-10-26_01_196.tcf.xml-4-12	stekade	3	 	vorweisen
moerike_nolten02_1832-1822-66	2532889X_1968-03-08_01_081.tcf.xml-5-13	Zori	4	 	vorweisen
2532889X_1987-06-06_01_262.tcf.xml-21-8	2532889X_1970-04-08_01_009.tcf.xml-5-30	Zori	3	 	vorweisen
2532889X_1987-04-24_01_149.tcf.xml-127-27	lehnert_seehaefen01_1891-3022-27	Zori	4	 	vorweisen
nn_nrhz080_1848-657-13	moerike_nolten02_1832-2526-11	stekade	1	 	vorweisen
26120215_1948_10_03_01_231.tcf.xml-98-48	2532889X_1969-07-22_01_174.tcf.xml-2-20	Zori	3	 	vorweisen
2532889X_1965-03-26_01_060.tcf.xml-16-19	26120215_1986_04_19_01_170.tcf.xml-393-21	Zori	4	 	vorweisen
buechner_werke_1879-9043-28	26120215_1950_01_12_01_007.tcf.xml-13-15	Zori	4	 	vorweisen
nn_badener101_1896-272-11	steinen_naturvoelker_1894-1969-27	Zori	3	 	vorweisen
treitschke_geschichte05_1894-5996-17	schiller_stuart_1801-656-8	Zori	0	 	vorweisen
2532889X_1978-08-27_01_028.tcf.xml-9-8	2532889X_1988-03-01_01_180.tcf.xml-35-40	Zori	4	 	vorweisen
oken_biologie_1805-476-25	26120215_1969_03_09_01_026.tcf.xml-67-25	Zori	4	 	vorweisen
2532889X_1970-04-29_01_061.tcf.xml-41-14	nn_nrhz099b_1848-302-29	Zori	3	 	vorweisen
paul_titan03_1802-647-9	26120215_1973_04_04_01_018.tcf.xml-2-21	Zori	3	 	vorweisen
2532889X_1949-08-11_01_196.tcf.xml-16-25	26120215_1983_09_13_01_070.tcf.xml-10-9	Zori	0	 	vorweisen
schwab_sagen01_1838-3146-38	paul_titan03_1802-647-9	Zori	4	 	vorweisen
2532889X_1986-01-10_01_053.tcf.xml-24-12	nn_nrhz290_1849-104-21	Zori	3	 	vorweisen
26120215_1989_04_26_01_121.tcf.xml-12-20	brehm_thierleben06_1869-16473-8	Zori	3	 	vorweisen
2532889X_1954-12-23_01_074.tcf.xml-2-24	baumgart_poetik_1887-7809-17	Zori	3	 	vorweisen
2532889X_1984-06-23_01_141.tcf.xml-22-14	26120215_1981_06_01_01_051.tcf.xml-20-44	Zori	3	 	vorweisen
burckhardt_cicerone_1855-18498-17	2532889X_1983-05-26_01_159.tcf.xml-6-10	Zori	3	 	vorweisen
2532889X_1970-06-13_01_033.tcf.xml-51-17	steinen_naturvoelker_1894-9948-19	Zori	3	 	vorweisen
26120215_1982_01_16_01_112.tcf.xml-6-15	burckhardt_cicerone_1855-11341-26	Zori	4	 	vorweisen
2532889X_1965-03-26_01_060.tcf.xml-16-19	2532889X_1986-03-07_01_091.tcf.xml-2-15	Zori	4	 	vorweisen
2532889X_1952-05-15_01_036.tcf.xml-2-46	26120215_1971_08_27_01_278.tcf.xml-7-7	Zori	4	 	vorweisen
26120215_1985_08_21_01_153.tcf.xml-20-14	26120215_1969_03_09_01_026.tcf.xml-67-25	Zori	3	 	vorweisen
2532889X_1971-10-29_01_068.tcf.xml-8-19	2532889X_1989-06-30_01_133.tcf.xml-33-19	Zori	4	 	vorweisen
26120215_1950_01_12_01_007.tcf.xml-13-15	keller_sinngedicht_1882-1787-21	Zori	3	 	vorweisen
2532889X_1976-08-21_01_350.tcf.xml-5-8	nn_nrhz081_1848-231-15	Zori	3	 	vorweisen
holtei_vagabunden03_1852-2562-20	nn_nrhz081_1848-194-13	Zori	4	 	vorweisen
26120215_1986_01_28_01_283.tcf.xml-18-16	2532889X_1975-04-19_01_158.tcf.xml-3-10	Zori	3	 	vorweisen
2532889X_1979-11-23_01_060.tcf.xml-32-10	26120215_1952_01_05_01_020.tcf.xml-29-7	Zori	3	 	vorweisen
2532889X_1978-08-27_01_028.tcf.xml-9-8	2532889X_1986-04-17_01_060.tcf.xml-47-12	Zori	4	 	vorweisen
2532889X_1985-10-26_01_196.tcf.xml-4-12	nn_nrhz290_1849-104-21	stekade	0	 	vorweisen
2532889X_1987-09-29_01_042.tcf.xml-17-21	brehm_thierleben06_1869-16473-8	stekade	3	 	vorweisen
schiller_stuart_1801-656-8	lehnert_seehaefen01_1891-3022-27	stekade	3	 	vorweisen
2532889X_1946-10-20_01_020.tcf.xml-2-26	2532889X_1957-01-01_01_133.tcf.xml-117-39	stekade	3	 	vorweisen
26120215_1988_08_04_01_030.tcf.xml-6-11	brunner_rechtsgeschichte02_1892-7409-18	stekade	3	 	vorweisen
baumstark_encyclopaedie_1835-18542-91	2532889X_1978-08-27_01_028.tcf.xml-9-8	stekade	3	 	vorweisen
2532889X_1975-04-19_01_158.tcf.xml-3-10	2532889X_1957-01-01_01_133.tcf.xml-117-39	stekade	3	 	vorweisen
2532889X_1971-10-29_01_068.tcf.xml-8-19	brunner_rechtsgeschichte02_1892-7554-26	stekade	3	 	vorweisen
2532889X_1956-01-03_01_116.tcf.xml-21-9	2532889X_1985-10-26_01_196.tcf.xml-4-12	stekade	3	 	vorweisen
nn_badener101_1896-272-11	keller_sinngedicht_1882-1590-20	stekade	0	 	vorweisen
26120215_1971_08_27_01_278.tcf.xml-7-7	2532889X_1976-08-21_01_350.tcf.xml-5-8	stekade	4	 	vorweisen
baumstark_encyclopaedie_1835-18542-91	nn_nrhz080_1848-662-13	stekade	2	 	vorweisen
2532889X_1970-09-28_01_087.tcf.xml-6-7	nn_nrhz081_1848-231-15	stekade	0	 	vorweisen
baumstark_encyclopaedie_1835-18542-91	2532889X_1968-10-30_01_014.tcf.xml-14-29	stekade	3	 	vorweisen
nn_nrhz067_1848-136-6	26120215_1956_04_28_01_196.tcf.xml-5-30	stekade	3	 	vorweisen
2532889X_1986-10-30_01_137.tcf.xml-13-7	steinthal_grammatik_1855-2321-12	stekade	2	 	vorweisen
26120215_1948_10_06_01_040.tcf.xml-21-11	nn_nrhz058b_1848-256-20	stekade	2	 	vorweisen
treitschke_geschichte05_1894-9817-34	2532889X_1987-06-06_01_262.tcf.xml-21-8	stekade	3	 	vorweisen
2532889X_1983-05-26_01_159.tcf.xml-6-10	26120215_1960_08_03_01_307.tcf.xml-8-35	stekade	3	 	vorweisen
26120215_1989_04_26_01_121.tcf.xml-12-20	steinen_naturvoelker_1894-9948-19	stekade	3	 	vorweisen
