lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
vorweisen	VVIZU	1897	1	lasswitz_planeten02_1897-6935-15	 	Doch muß ich Sie bitten, mir die Papiere des Schiffes und Jhre eigene Legitimation vorzuweisen. ‟	83:94	0:97
vorweisen	VVINF	1980	2	26120215_1980_10_03_01_042.tcf.xml-32-8	 	Das kann die Industrie nicht in ausreichendem Maße vorweisen.	51:60	0:61
vorweisen	VVINF	1988	2	2532889X_1988-03-01_01_180.tcf.xml-35-40	 	Die Rede des Generalsekretars des ZK der SED und Vorsitzenden des Staatsrates, Erich Honecker, vor den 1. Sekretären der Kreisleitungen der SED verdeutlichte, daß wir in einer politisch bewegten Zeit wirken, in der wir große Erfolge vorweisen können und für die ein reiches geistig-kulturelles Leben bestimmend ist, eine Zeit, die Fragen und Probleme als Begleiter unseres Vorankommens hervorbringt, betonte der Redner.	233:242	0:419
vorweisen	VVINF	1948	2	26120215_1948_04_01_01_009.tcf.xml-10-55	 	1. Alle militärischen wie auch zivilen Mitarbeiter der Militärverwaltung amerikanischer, britischer und französischer Staatsangehörigkeit sowie deren Familien, die die sowjetische Besatzungszone auf der Autobahn Berlin— Helmstedt passieren, müssen vom 1. April 1948 ab am Kontrollpunkt Marienborn und am Kontrollpunkt der an der Autobahn zwei Kilometer östlich von Nowawes errichtet wird, Dokumente vorweisen, aus denen sich ihre Person und ihre Zugehörigkeit zu den Organen der Militärverwaltung in Deutschland ergeben.	399:408	0:520
vorweisen	VVIZU	1987	2	2532889X_1987-09-29_01_042.tcf.xml-17-21	 	Wo gibt es schon solch überragende Stimmpracht solch fülliges Volumen und solche gesangliche Disziplin, wie sie der Opernchor des Bolschoi vorzuweisen hat?	139:150	0:155
vorweisen	VVFIN	1982	2	26120215_1982_01_16_01_112.tcf.xml-6-15	 	„Der Rote Platz\" ist ein Buch mit historischen Dimensionen, das einen Helden vorweist, der in seiner ganzen Individualität, in seiner Liebe, in seinen Beziehungen zur direkten Umwelt plastisch und greifbar wird.	77:85	0:211
vorweisen	VVINF	1973	2	26120215_1973_04_04_01_018.tcf.xml-2-21	 	Die Regierungen der DRV und der RSV konnten jetzt in ^ Bilanzen der ersten 60 Tage seit Inkrafttreten des Pariser Vietnamabkommens vorweisen, daß sie alle Bestimmungen eingehalten und gewissenhaft erfü t haben.	131:140	0:210
vorweisen	VVINF	1969	2	2532889X_1969-06-14_01_220.tcf.xml-5-9	 	Die Meßgerätewerker im erzgebirglschen Zwönltz z. B. können einiges vorweisen: 81 von 96 Brigaden haben in letzter Zeit an ökonomisch-kulturellen Leistungsvergleichen teilgenommen.	68:77	0:180
vorweisen	VVIZU	1962	2	2532889X_1962-12-11_01_115.tcf.xml-7-16	 	anwaltes nicht in der Lage, eine ordnungsgemäß verkündete gesetzliche Bestimmung für die Rechtsmäßigkeit ihrer Maßnahmen vorzuweisen.	121:132	0:133
vorweisen	VVINF	1968	2	2532889X_1968-10-30_01_014.tcf.xml-14-29	 	Jetzt kommt es darauf an, daraus Schlußfolgerungen für den sozialistischen Wettbewerb zum 20. Jahrestag ' unserer Republik zu ziehen, um bis zu diesem Tag weitere greifbare Resultate vorweisen zu können.	183:192	0:203
