lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
weitgreifend	ADJA	1982	2	2532889X_1982-09-04_01_421.tcf.xml-4-25	 	Schon am kommenden Dienstag folgt mit Schillers „Wilhelm Teil\" (Regie Martin Hellberg) eine weitere Premiere, deutlich signalisierend, daß die weitgreifenden Vorhaben der Goethe-und Schiller-Ehrungen der DDR in den Jahren 1980 bis 1984 die Spielplangestaltung des Nationaltheaters prägen.	143:157	0:288
weitgreifend	ADJA	1984	2	26120215_1984_10_23_01_096.tcf.xml-7-11	 	maß gereift ist, Schubert als Klassiker begreift und dabei die weitgreifenden Melodienbögen ebenso auskostete, wie sie auch den immer wieder einbrechenden schmerzlichen Irritationen gerecht wurde.	63:77	0:196
weitgreifend	ADJA	1809	1	paul_katzenberger02_1809-1059-2	 	In jeder weitgreifenden Handlung wagt das Herz, wenn nicht sich, doch sein Glück; nur wenigen Glücklichen hat das Schicksal ein reines Verhältniß zum Thun beschieden, aller guter Wille der Absicht reicht nicht aus, da wir obwohl nicht für den Erfolg aber doch für dessen Berechnung, die oft eine des Unendlichen ist, zu stehen haben.	9:23	0:333
weitgreifend	ADJA	1855	1	burckhardt_cicerone_1855-3966-17	 	In Padua ist gerade die frühere Renaissance baulich nicht so vertreten, wie man es nach der weitgreifenden decorativen Wirksamkeit der dortigen Künstler erwarten sollte.	92:106	0:169
weitgreifend	ADJA	1979	2	2532889X_1979-01-27_01_161.tcf.xml-88-2	 	Es wurden weitgreifende Ziele gestellt, aber zugleich Initiativen zu kleinen und kleinsten Schritten ergriffen, um jede reale Möglichkeit zu erproben.	10:23	0:150
weitgreifend	ADJA	1948	2	26120215_1948_09_02_01_012.tcf.xml-8-15	 	„Die gesamte fortschrittliche Welt hat einen hervorragenden Theoretiker der neuen Sowjetkultur verloren, dem weitgreifende Erkenntnisse in Fragen der Philosophie, Literatur und Musik zu verdanken sind.	109:122	0:201
weitgreifend	ADJA	1969	2	26120215_1969_02_15_01_176.tcf.xml-20-7	 	Oder nehmen wir die immer frechere und weitgreifendere Aktivität der NP.	39:54	0:72
weitgreifend	ADJA	1966	2	26120215_1966_06_25_01_231.tcf.xml-138-4	 	Eine derartig umfassende und weitgreifende Aufgabe wie die sozialistische Rationalisierung und Standardisierung als ständiges Prinzip sozialistischer Wirtschaftsführung verlangt ein generelles Umdenken, erfordert grundsätzlich neue Lösungswege zu beschreiten.	29:42	0:259
weitgreifend	ADJA	1858	1	gottschall_poetik_1858-3415-20	 	Der dreifüßige Jambus, wenn er ganz rein gehalten ist, hat einen sanften Charakter; er bezeichnet ein nicht weitgreifendes Streben, das sich rasch beruhigt:	108:122	0:156
weitgreifend	ADJA	1973	2	26120215_1973_08_16_01_108.tcf.xml-29-24	 	Dem Neuen gerecht zu werden, bedarf es eines tiefen Eindringens in die Wirklichkeit, der engen Verbundenheit mit der Arbeiterklasse, der Fähigkeit weitgreifender künstlerischer Verallgemeinerung und fortschreitender Eroberung der	147:161	0:229
weitgreifend	ADJA	1825	1	herbart_psychologie02_1825-4562-27	 	Dass Kant dieses so wenig fühlte, dass ein Mann von so gesundem Verstande, so richtigem Tacte auch ausserhalb des speculativen Gebietes, und von so weitgreifender, anhaltender Wirksamkeit, in diesem Puncte durch ein schwarzgefärbtes Glas sah; dass er dadurch sich zu der wahrhaft unseligen Behauptung eines radicalen Bösen verleiten liess: dies verdient aufrichtiges, tiefes Bedauern.	148:162	0:384
weitgreifend	ADJA	1984	2	26120215_1984_11_23_01_179.tcf.xml-502-4	 	Damit verbinden sich unmittelbar weitgreifende Zielstellungen zur Senkung des spezifischen Energieverbrauchs.	33:46	0:109
weitgreifend	ADJA	1848	1	nn_nrhz277ii_1849-94-16	 	Es entsteht hiernach die Vermuthung, daß die Bestrebungen des Julikönigs wieder praktischen und vielleicht ziemlich weitgreifenden Boden gewinnen.	116:130	0:146
weitgreifend	ADJA	1803	1	raabe_postgeheimnisse_1803-43-8	 	Das Postwesen ist gegenwärtig eine so ausgebreitete und weitgreiffende Anstalt, welche überall ohne Zweifel die bequemste und wohlfeilste Gelegenheit, etwas zu versenden und Reisen anzustellen, darbietet, daß nicht leicht ein Mensch, der mit andern Menschen in Verbindung steht, desselben entbehren kann, oder sich eines andern Mittels zu jener Absicht bedienen wird.	56:70	0:367
weitgreifend	ADJA	1885	1	curtius_sprachforschung_1885-1759-14	 	Das persönliche bestand darin, zu zeigen, dass ich eine Reihe von Behauptungen weitgreifender Art nicht etwa aus Laune oder aus trägem Beharren beim alten, sondern aus Gründen ablehne, die hier nun zu jedermanns Prüfung vorliegen.	79:93	0:230
weitgreifend	ADJA	1977	2	2532889X_1977-11-08_01_219.tcf.xml-5-33	 	Die Vorlagen der Filme: ein kammerspielartiges Theaterstück des hochbegabten, früh verstorbenen Dramatikers Alexander Wampilow, dessen oftmals heiter-ironische Stücke zum Repertoire vieler Bühnen auch unseres Landes gehören, und der episch weitgreifende Roman von Alexe j Tolstoi.	240:253	0:280
weitgreifend	ADJA	1983	2	26120215_1983_09_21_01_003.tcf.xml-34-8	 	Sie so zu führen, daß daraus neue weitgreifende Initiativen für die allseitige Stärkung der DDR, für die Erfüllung ' und gezielte Uberbietung des Planes 1983 und damit der Voraussetzungen für den Plan 1984 erwachsen, wurde als das Entscheidende bezeichnet.	34:47	0:256
weitgreifend	ADJA	1973	2	2532889X_1973-11-13_01_060.tcf.xml-9-11	 	Auch ihre Wertmaßstäbe gewann sie von und hatte dadurch naturnotwendig einen weitgreifenden ideellen Kontext, der mit der Gestaltung interessanter Charaktere, kämpferischer Haltungen, internationaler Weite und einem gro-Beziehungsreichtum der Fieinherging.	77:91	0:256
weitgreifend	ADJA	1871	1	parthey_jugenderinnerungen01_1871-2198-23	 	Nach Nicolais Tode hatte Göckingk eine kurze Biographie von ihm herausgegeben, die einen äußeren Umriß seiner Erlebnisse enthält, aber über seine weitgreifende litterarische Wirksamkeit nur wenig Andeutungen giebt.	146:159	0:214
weitgreifend	ADJA	1966	2	26120215_1966_03_05_01_071.tcf.xml-3-2	 	Nach der weitgreifenden politischen Krise im vergangenen Sommer hat sich die Position der Regierung Stephanopoulus keineswegs verbessert.	9:23	0:137
weitgreifend	ADJA	1952	2	26120215_1952_01_19_01_029.tcf.xml-31-3	 	Es ist ein weitgreifendes Gebiet der Chemie, das sich auch für den Nichtfachmann anschaulicher machen läßt, als man nach der wissenschaftlichen Bezeichnung vermuten sollte.	11:25	0:172
weitgreifend	ADJA	1989	2	2532889X_1989-08-14_01_085.tcf.xml-4-30	 	Nach jüngsten Angaben aus den Erzgruben hat sich deren Belegschaft seit Beginn der achtziger Jahre halbiert, während der Umsatz bei einigen Gesellschaften bis auf das Sechsfache gestiegen ist Nach weitgreifenden Rationalisierungsmaßnahmen und bei starker Nachfrage im I. Quartal dieses Jahres verzeichnen de Montan-Konzerne eine Profitexplosion mit durchschnittlichen Steigerungsraten von 73 Prozent.	197:211	0:400
weitgreifend	ADJA	1857	1	vischer_aesthetik030205_1857-1608-8	 	Der Roman, wiewohl er die großen Lebensäußerungen weitgreifender That nicht oder nur als Hintergrund in sich aufnimmt, gibt doch in seiner wahren Gestalt ebenfalls ein umfassendes Bild der Gesellschaft, Nation, Zeit.	50:64	0:216
weitgreifend	ADJA	1824	1	mueller_hellenische02_1824-4975-10	 	so versteht sich, daß diese eben so schwere als weitgreifende Aufgabe — besonders weil jene Einwirkung, wie die organische Ausbildung des Cultus selbst, größtentheils jenseits der Historie liegt — hier nichts weniger als eigentlich gelöst, sondern blos auf eine aphoristische Weise berührt werden kann. —	48:61	0:304
weitgreifend	ADJA	1984	2	2532889X_1984-08-07_01_065.tcf.xml-23-7	 	Daneben finden sich auch Plastiken mit gesellschaftlich weitgreifender Thematik, wie etwa Werner Stötzers Gruppenstudien zu „Auschwitz (1974/75).	56:70	0:145
weitgreifend	ADJA	1873	1	berg_ostasien03_1873-2319-4	 	Schon diese Prüfung erfordert weitgreifende literarische Studien, welche erhebliche Früchte für die Volksbildung tragen.	30:43	0:120
