lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
attack-nn	nn1	1997	2	fic_1997_42316.txt-364-12	 	This couldn't be the man who had died of a heart attack at 46.	49:55	0:62
attack-nn	nn1	1994	2	fic_1994_54062.txt-136-17	 	To be based in Bekesbourne, between London and Flanders, directly in the path of the attack.	85:91	0:92
attack-nn	nn1	1841	1	mag_1841_554950.txt-246-9	 	The \" Notices, \" in remarking upon this attack, point out several errors in the arrangement of the troops.	40:46	0:106
attack-nn	nn1	1841	1	mag_1841_554950.txt-201-18	 	These were probably among the prevailing motives, which induced the general commanding to change the order of attack in some degree.	110:116	0:132
attack-nn	nn1	1988	2	mag_1988_480840.txt-40-17	 	Although no nation or territory under U.S. protection in the Western Hemisphere is currently in danger of attack by forces outside the region, prudence demands a defense strategy adequate to counter such an attack.	106:112	0:214
attack-nn	nn2	1834	1	mag_1834_564742.txt-1025-11	 	It is this notion which has gained attention for the multiplied attacks which have of late been made upon the whole system, as well as given virulence and personal feeling to those attacks themselves.	64:71	0:200
attack-nn	nn2	1986	2	news_1986_670456.txt-77-3	 	There may be attacks in all of those areas, \" he said.	13:20	0:54
attack-nn	nn1	1980	2	fic_1980_14207.txt-459-27	 	Best buckin ' horse on the circuit, name of Piss ' N \" Vinegar, took one look at them clowns, had him a heart attack and died.	110:116	0:126
attack-nn	nn1	1829	1	nf_1829_751465.txt-2217-22	 	The people of Coin, being prepared for this attempt, sallied forth as they saw the white banner and made an attack upon the Christian camp, and in the confusion of the moment Hamet and his followers galloped into the gates.	108:114	0:223
attack-nn	nn1	1843	1	fic_1843_7208.txt-1962-24	 	From the number that reached the Honorable Abimelech Blower, that gentleman formed a sudden conception that he was becoming the general centre of attack, and that the whole meeting had risen to a man and was bestowing its favors upon his person.	146:152	0:245
attack-nn	nn2_vvz@	2000	2	mag_2000_368596.txt-1-38	 	Although the drugs can not stop an asthma attack that has already started (different medications are needed for that), inhaled steroids are very good at counteracting the chronic inflammation that predisposes the lungs to asthma attacks in the first place.	229:236	0:256
attack-nn	nn1	1835	1	fic_1835_7016.txt-52-17	 	marching compactly, and in strict order, so as to be best able to resist an attack of enemies.	76:82	0:94
attack-nn	nn1	1843	1	fic_1843_7061.txt-4624-27	 	Take any question that arises, in England, for example, any look, any personage, any system of philosophy, there will be an attack and a defence.	124:130	0:145
attack-nn	nn1	1824	1	mag_1824_553547.txt-271-9	 	in th centre of Europe, exposed to an attack on all sides, whether from France, Austria, or the Czar, it has been felt, that nothing but the public spirit of the nation can preserve its existence, and that spirit has been kept up by the gradual abolition of all feudal wrongs, and the general diffusion of intelligence.	38:44	0:319
attack-nn	nn1	1848	1	nf_1848_765263.txt-32-21	 	Origin of the Sac and Fox Indians -- Removal to Green Bay -- Their subjugation of the Illini confederacy -- Their attack upon St. Louis in 1779 -- Col. George Rogers Clark relieves the town -- Governor Harrison's letter -- Maj. Forsyth's account of the conquest of the Illini -- Death of the Sac chief Pontiac -- Sac and Fox village on Rock river -- Description of the	114:120	0:368
attack-nn	nn1	1960	2	fic_1960_5311.txt-4384-3	 	\" Then the attack will work, \" Jason said excitedly. \"	11:17	0:54
attack-nn	nn1	1815	1	fic_1815_8679.txt-1191-18	 	Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.	77:83	0:136
attack-nn	nn2	1859	1	fic_1859_270.txt-1707-6	 	Such is the vehemence of these attacks, that the unfortunate subjects of them are often driven backwards for great distances at immense speed, on the well-known principle of the aeolipile.	31:38	0:188
attack-nn	nn2	1856	1	mag_1856_590703.txt-145-15	 	my idea of the fault of the system which sometimes leaves an opening for the attacks of	77:84	0:87
attack-nn	nn1	1855	1	fic_1855_1209.txt-1154-11	 	The truth was, he had not been taken resisting the attack of Captain Bramble and his men, but his accusers did not hesitate to represent that he was thus guilty, and several were prepared, Maud among the rest, to swear to this charge.	51:57	0:234
attack-nn	nn1	2001	2	fic_2001_32401.txt-347-4	 	This was no abstract attack on a village.	21:27	0:41
attack-nn	nn2	1988	2	mag_1988_432422.txt-80-23	 	Neither does Bush have to be a weatherman to know which way the wind's blowing when it comes to the kind of attacks he will face. \"	108:115	0:131
attack-nn	nn1_vv0	1968	2	news_1968_726954.txt-55-43	 	Has \" No Knowledge \" said in the first place t h e officer referred to was not a squadron commander and that, according to's recollection, the prisoner had said he had \" no knowledge \" of the Aug. 4 attack.	199:205	0:206
attack-nn	nn1	1986	2	news_1986_668716.txt-2-4	 	Foote leveled a scathing attack on the government for having granted immunity from prosecution to more than a dozen witnesses who testified that they arranged for loans to Holzer.	25:31	0:179
