lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
head-nn	nn1	1841	1	nf_1841_747926.txt-2727-8	 	It grows to a fine, rather broad head, about 30 or 40 feet high, with dense and luxuriant foliage much more massy and finely tufted than that of most other pinnated-leaved trees.	33:37	0:178
head-nn	nn1	1998	2	mag_1998_69124.txt-151-3	 	David put his head in the sand, but we finally had some talks.	14:18	0:62
head-nn	nn1	1962	2	fic_1962_10423.txt-2985-3	 	He shook his head. \"	13:17	0:20
head-nn	nn1	1835	1	fic_1835_7281.txt-1345-6	 	\" MArthur turned his horse's head abruptly, and spurred	29:33	0:55
head-nn	nn1	2001	2	mag_2001_416465.txt-126-23	 	// SCHOOLS IN: PC Show and Tells detailed audiovisual tutorials, like this one for PhotoDeluxe, will push you to the head of the class.	117:121	0:135
head-nn	nn1	1839	1	mag_1839_554748.txt-170-33	 	lamo is doomed to die, but death begins at his feet, and he cunningly directs his head to be cut off just as it reaches the neck; thus saving his head	146:150	0:150
head-nn	nn2	1843	1	fic_1843_7208.txt-3500-2	 	At their heads are disposed the helms which covered them in the day of battle, and on their now pulseless breasts lie polished pieces of copper, in the form of the cross.	9:14	0:170
head-nn	nn1	1851	1	fic_1851_201.txt-37-18	 	Again, however, and again, and yet other agains, she could not help turning her head to the window to see how	80:84	0:109
head-nn	nn1	1847	1	fic_1847_7094.txt-2660-15	 	They say one must never laugh when they see the devil or a death's head! \"	67:71	0:74
head-nn	nn1	1837	1	nf_1837_755525.txt-2405-6	 	The President, stationed at the head of this circular apartment, had on his right hand the Secretary of State and the Secretary of the Treasury, on his left the Secretary of War and the Secretary of the Navy, and, ranged on each side the room, were the other gentlemen invited to be present at this interview.	32:36	0:309
head-nn	nn1	1856	1	fic_1856_5515.txt-2586-10	 	It was but a moment, however, before the head was raised, and the face turned toward the heavens, with a look so full of reverence and earnestness, that the delicate child shrunk away from her secret observatory, with the feeling that it was a sacrilege to witness the poor lad's sacred emotions, and with suffused eyes and a throbbing heart she left the spot in order to return to her petted cousin. \"	41:45	0:402
head-nn	nn1	1961	2	fic_1961_10405.txt-1848-15	 	in his own vigil, in the chair so recently arranged for him, his head bowed over his knees.	65:69	0:91
head-nn	nn1	1972	2	mag_1972_103846.txt-39-7	 	He is a husky six-footer, his head crowned by a Marxist (Harpo) aureole of curly blond hair that reaches below his collar, his eyes peering around a jib of a nose, his mouth as expressive as a 12-string guitar. \"	30:34	0:212
head-nn	nn1	1844	1	fic_1844_7187.txt-809-29	 	Each Ranger reined his steed up by the trunk of some giant tree, and lifting his rifle to his shoulder, brought its tube to bear upon the head of a particular dragoon, or in common parlance \" picked his man; \" and as the British soldiers turned to pursue their scattered foes, a stunning report broke from the woods on either side, and of the twenty-three rifle balls, nineteen proved faithful to the aim, and as many steeds were without riders, while the ground was strewed with the British dead.	138:142	0:497
head-nn	nn1	1848	1	fic_1848_3752.txt-2693-60	 	He conceives his occupation to be more honorable than the proconsulship of a province, and his name, he pleases himself with believing, is familiar to more ears than any man's, save the Emperor's, and has been known in Rome for a longer period than any other person's living, excepting only the head of the Senate, the venerable Tacitus.	295:299	0:337
head-nn	nn1	1967	2	fic_1967_10483.txt-2845-1	 	His head came up.	4:8	0:17
head-nn	nn1	1824	1	fic_1824_7279.txt-889-8	 	My uncle has taken it into his wise head to institute a partnership concern between Fenton and myself; and on the very day of Fenton's arrival in this country, he announced by letter his supreme will to me, in much the same terms he would employ to convey his orders to a supercargo.	36:40	0:283
head-nn	nn1	1960	2	fic_1960_5311.txt-3283-13	 	Skop sank into an apparent doze in his chair and Jason, his head propped against the pull of gravity by one arm, began a working sketch of his machine.	60:64	0:151
head-nn	nn1	1988	2	fic_1988_780084.txt-308-5	 	Childlike, she bowed her head and pulled the coat open to examine it.	25:29	0:69
head-nn	nn1_jj@	2006	2	fic_2006_27486.txt-9-3	 	He carried his head high and erect because he knew he had a good profile, and he carried his mouth like a switch knife	15:19	0:118
head-nn	nn1	2002	2	fic_2002_30145.txt-17-5	 	She considered giving Whinney her head; her horse was more accustomed to large groups of strangers now, and was not usually high-strung, but she seemed nervous, too.	34:38	0:165
head-nn	nn1	2004	2	fic_2004_31146.txt-68-18	 	It looked like the goose was answering him, shaking its head no, but by shaking its head at all it was actually answering yes \" Used to be something else out there, \" Sandy said. \"	84:88	0:180
head-nn	nn1	2009	2	fic_2009_36736.txt-88-4	 	The voice in his head was abruptly silenced.	17:21	0:44
head-nn	nn1	1851	1	nf_1851_771607.txt-1191-25	 	But the eatables were removed, silence restored, and three enormous flagons, apparently of pure gold, placed on the table near its head.	131:135	0:136
head-nn	nn1	1978	2	fic_1978_10636.txt-8174-3	 	She lay her head beside my arm, her jaw ajar, and with a gray tongue licked the sweat from my pores.	12:16	0:100
head-nn	nn1_vv0@	2000	2	news_2000_633288.txt-42-13	 	In the late 1970s John Bryan, then Sara Lee chairman (now head of the Art Institute Board of Trustees), heard that Cummings	58:62	0:123
head-nn	nn1	1993	2	fic_1993_1040072.txt-3933-4	 	He stood with his head raised into the wind and his eyes closed.	18:22	0:64
head-nn	nn1	1849	1	fic_1849_7196.txt-1011-20	 	Braddock's jet black horse -- it was the sixth he had bestrode on this fatal day -- hung his head over the neck of Washington's grey steed, as the riders conversed in hurried and subdued tones.	93:97	0:193
head-nn	nn1	1994	2	fic_1994_54095.txt-182-4	 	The skylight above his head holds a dim winter sun, a few maverick snowflakes.	23:27	0:78
