lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
lane-nn	nn1	1821	1	nf_1821_749178.txt-2087-24	 	There was a lane with a high fence on each side, leading up to the house, and the cavalry picketted in the lane.	107:111	0:112
lane-nn	nnl1	1975	2	fic_1975_10605.txt-2489-6	 	So he went back to Firehouse Lane.	29:33	0:34
lane-nn	nn1	1848	1	fic_1848_7193.txt-9597-36	 	he cried, as surmounting a hill, he saw the long line of dark gray fabrics, peeping from a chaos of leaves and blossoms Then down the hill, into a dell, the lane wandered with rustic walls of stone, -- crowned with wild flowers -- on either hand, and the breeze blowing freshly all the while, with its varied perfumes, stolen from the shrubs by the water-side.	157:161	0:360
lane-nn	nnl1	1850	1	fic_1850_7171.txt-5257-8	 	The Church gained in the improvement of Knuckle Lane.	48:52	0:53
lane-nn	nn1	1843	1	nf_1843_748690.txt-1196-21	 	ruinous and seemingly half deserted; we went up the street, from which she turned into a narrow and dark lane, and presently opened the gate of a large dilapidated house; \" Come in, \" said she. \"	105:109	0:195
lane-nn	nn1	1859	1	mag_1859_591226.txt-181-0	 	Lane.	0:4	0:5
lane-nn	nn2	2003	2	fic_2003_26419.txt-87-9	 	I'd been up at dawn cruising the still-darkened lanes of Savannah, trying to beat the trashmen to the spoils of the town's leading lights.	48:53	0:138
lane-nn	nn2	2002	2	mag_2002_387141.txt-93-14	 	// Allied victory at Coral Sea blocked further Japanese expansion, preserved vital sea lanes to Australia and, as the first acid test of naval carrier doctrine, built confidence in American naval aviation, which would sweep across the Pacific.	87:92	0:243
lane-nn	nn1	1823	1	fic_1823_7213.txt-2919-7	 	A few minutes brought them to the lane, where they met Gilbert; and Maria becoming soon satisfied, from their conversation, that the stranger was not from Philadelphia, the fluttering of her bosom gradually subsided. \"	34:38	0:218
lane-nn	nn1	1966	2	fic_1966_781993.txt-4909-4	 	He walked down the lane that leads out of the piazza until he came to a line of vehicles pulled up in the shadows of the lane hiding under camouflage nets.	19:23	0:155
lane-nn	nnl1	1993	2	fic_1993_1040083.txt-2542-30	 	Fred, as deftly as possible, starting from the preponderance of blue velvet in the room, brought the conversation around to the China trade, the Fitz Hugh Lane of Captain Apthorp's clipper ship the Hester Prynne, and sea slugs.	155:159	0:227
lane-nn	nn2	1841	1	nf_1841_747926.txt-251-30	 	The whole of this neighborhood of Brookline is a kind of landscape garden, and there is nothing in America, of the sort, so inexpressibly charming as the lanes which lead from one cottage, or villa, to another.	154:159	0:210
lane-nn	nn2	2003	2	news_2003_628522.txt-25-5	 	In an effort to keep lanes open in each direction at all times, Howard said city crews paved over the median so that people can drive on that while the main lanes are under construction.	21:26	0:186
lane-nn	nn1	1857	1	fic_1857_2618.txt-2272-46	 	The women were gossipping together, and the children amusing themselves in sports becoming their age, while the soldiers were ranged in double files, extending from a large chair or kind of throne placed near the body of the tree, thus forming a lane, only by passing through which could access be had to it.	246:250	0:308
lane-nn	nn2	1976	2	fic_1976_10607.txt-4011-10	 	For several minutes, the two cars raced in their lanes toward each other.	49:54	0:73
