lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
multitude-nn	nn1	1828	1	fic_1828_7245.txt-1587-26	 	And if I feel this -- I -- who have grown up to a habit if not of speaking, at least of reading before a multitude; I, who have	105:114	0:127
multitude-nn	nn1	1836	1	nf_1836_747959.txt-2285-4	 	Medicine nas deduced a multitude of errors from those apparent analogies of the vegetable and animal kingdoms.	23:32	0:110
multitude-nn	nn1	1841	1	fic_1841_799.txt-131-20	 	Then we have it once again in sculpture, the \" tongue on the balance of expression, \" a multitude of forms in the utmost freedom of action and never transgressing the ideal serenity; like votaries performing some religious dance before the gods, and, though in convulsive pain or mortal combat, never daring to break the figure and decorum of their dance.	88:97	0:355
multitude-nn	nn2	1964	2	fic_1964_10443.txt-3152-5	 	Up into his injured gaze multitudes seemed to swim, myriads, swarms and legions marched from all the ages and kingdoms of man, carrying off his books,	25:35	0:150
multitude-nn	nn2	1845	1	mag_1845_565440.txt-510-2	 	There are multitudes, who have been coi * flrmed, and are communicants, and not a few who are, or have been, in holy orders, even among bishops; but who are not members of	10:20	0:171
multitude-nn	nn1	1999	2	nf_1999_773781.txt-301-70	 	Locke did not propose to make the people into the governing authority, nor to raise the people to the level of coequal with the monarch; rather, he was concerned with providing a criterion, namely collective community consent, by which to gauge the right of a political authority to rule, while at the same time providing guarantees against \" the credulous superstition of the giddy multitude. \"	383:392	0:395
multitude-nn	nn1	1981	2	mag_1981_480306.txt-66-11	 	which declaimers use to prevail upon the feeble imagination of the multitude and to traffic in the word; it is a very serious art destined to instruct, to repress the passions, to correct manners, to uphold the laws, to direct public deliberations, to render men good and happy....	67:76	0:281
multitude-nn	nn1	1977	2	fic_1977_782019.txt-3249-6	 	The Pharisees would not risk the multitude's anger, especially when it was close to Passover time.	33:42	0:98
multitude-nn	nn1	1854	1	mag_1854_505186.txt-37-42	 	If such illustrious instances of the port of men not really great are so refreshing, even when they had every reason and occasion to seem heroic, whether they really were so or not, think of that solitary and lost multitude, that hecatomb of brave victims, sinking in the sea, without a cause	214:223	0:292
multitude-nn	nn1	1860	1	fic_1860_9817.txt-5081-68	 	And remembering, that when I was at the head of Cromwell's thunderbolt regiment, as he was pleased to call it, I had the unusual power of voice to make my words of command, when ordering an onset, clearly distinguishable to the distance of a full mile, I ascended a pine tree, and from its top held forth to the distant multitude in such utterance of denunciation and warning as came uppermost.	320:329	0:394
