lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
record-nn	nn2	1859	1	nf_1859_747415.txt-2119-15	 	Thus he says: \" While engaged in palasontological researches, I sought for earlier records of the aboriginal races of man than have reached us through vague traditions or through later authentic history, but without being able to discover any positive evidences of the exact geological period of the advent of man in the fauna of the earth.	83:90	0:340
record-nn	nn1	1998	2	news_1998_626738.txt-90-33	 	And Lee Williams, a teammate of Thornton's at Texas Christian, is bringing his Fort Worth Wyatt 400 relay team to the state meet this weekend after it set a national record of 39.99 in the regional meet at Lubbock.	166:172	0:214
record-nn	nn1	2001	2	mag_2001_418204.txt-32-6	 	Overall, you had the second-best record in the majors and were the hottest team in baseball going into the playoffs.	33:39	0:116
record-nn	nn1	1859	1	nf_1859_747415.txt-1647-8	 	/z/ \" If we suppose that an accurate record of the successive reigns and the length of each was preserved from the very commencement of the monarchy, we might easily deduce the chronology of the whole interval from Menes to Nectanebus, by adding together the length of all the reigns.	37:43	0:284
record-nn	nn1	1832	1	mag_1832_554153.txt-1-42	 	Without doubt much has already been lost, in this country as in all others, which such associations might have rescued in due time; but much, also, has been searched out, simplified, systematized and put on record, for the good and the gratification of other ages.	207:213	0:264
record-nn	nn1	1858	1	mag_1858_566996.txt-145-4	 	that there is a record, many years old, in their possession, which states that Saturn was once seen in the shape of an almond; but that they know nothing of any rings or any satellites belonging to it. \"	16:22	0:203
record-nn	nn1	1850	1	fic_1850_7304.txt-20-13	 	preserve all the vital details of the event, as embodied in the record, and have only ventured my own \" graffings \" upon it in those portions of the history which exhibited a certain baldness in their details, and seemed to demand the helping agency of art.	64:70	0:257
record-nn	nn1	1851	1	fic_1851_746.txt-4790-31	 	Interweaving in its proper place this darker thread with the story as publicly narrated on the ship, the whole of this strange affair I now proceed to put on lasting record.	166:172	0:173
record-nn	nn1	1838	1	mag_1838_586203.txt-294-17	 	invective-lofty de // clamation-for all that is spirit-stirring and glorious in eloquence, there is not on record, in any language, as noble and perfect a specimen as this Oration for the Crown. \"	107:113	0:196
record-nn	nn1	2001	2	mag_2001_415828.txt-535-2	 	Teachers College Record, 107, 1754-1787.	17:23	0:40
record-nn	nn1	1843	1	mag_1843_565235.txt-474-3	 	They keep a record of ecclesiastical births, hut not of ecclesiastical deaths. \"	12:18	0:80
record-nn	nn1	1856	1	fic_1856_9797.txt-6315-7	 	But it is written in an ancient record, \" Weeping may endure for a night, but joy cometh in the morning; \" and, verily, the next morning Teddy started up in bed, and awakened his sister with a cry of joy. \"	32:38	0:206
record-nn	nn2	1964	2	news_1964_724170.txt-6-1	 	the records of many others.	4:11	0:27
record-nn	nn2_vvz@	1852	1	nf_1852_771569.txt-1535-16	 	The seamen of Northern Europe, the Norsemen and Scandinavians, seem, from the earliest records extant, to have sought for the glory attendant upon braving the perils of Polar Seas.	87:94	0:180
record-nn	nn1	1846	1	mag_1846_555387.txt-242-21	 	But it was not a thing which sat very heavy on his heart; there are some very pleasant scenes on record, as having taken place when the subject was talked over in their councils, such as flinging a cushion in sport at Ludlow's head; which may have some deep meaning, \" unrecognizable by the present age, \" hut to our dim vision appears rather more funny than decorous at such a time.	97:103	0:383
record-nn	nn1	2007	2	mag_2007_390968.txt-47-2	 	Charlie Walk RECORD BREAKER \" A few years ago, it felt like the end to a lot of people in my business, \" says Charlie Walk, president of Epic Records. \"	13:19	0:152
record-nn	nn2	2005	2	nf_2005_776565.txt-799-9	 	In some years, according to Washington's own records, the days he devoted to fox hunting added up to a month.	45:52	0:109
record-nn	nn2	1817	1	nf_1817_747573.txt-3290-22	 	Shall we not, therefore, aim to secure an incorruptible inheritance in the skies, and an unfading pre-eminence in the records of eternity? \"	118:125	0:140
record-nn	nn2	1975	2	fic_1975_10595.txt-6711-18	 	I heard it from a most reliable source -- someone's private investigation agency poking around -- courthouse records, I believe -- or is that a lie?	109:116	0:148
