lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
thump-nn	nn1_vv0	1987	2	mag_1987_492490.txt-190-1	 	thump thump.	6:11	0:12
thump-nn	nn1	1978	2	fic_1978_10636.txt-11569-13	 	Even in Bern the pavement underfoot had seemed to quake to the near thump of German boots.	68:73	0:90
thump-nn	nn1	2007	2	fic_2007_33468.txt-130-4	 	Lu could feel the thump of bass drums in her feet. \"	18:23	0:52
thump-nn	nn1	1832	1	fic_1832_9478.txt-978-17	 	Another gives me a diamond as big as a fist, and you, it's a thump of the fist you give me.	61:66	0:91
thump-nn	nn1@_jj@	1834	1	fic_1834_7032.txt-1907-4	 	Only reflect what a thumping there is against my ribs, whenever I think of the subject with which I commenced this epistle: a pretty story I made of it, indeed; but then it is natural that it should be so, after all.	20:28	0:216
thump-nn	nn2	2001	2	fic_2001_29746.txt-95-3	 	Lon heard faint thumps, moving toward the blind end of the car next to the tender. \"	16:22	0:84
thump-nn	nn1	1970	2	fic_1970_10530.txt-4200-2	 	A heavy thump on the floor below the lock followed, then a hard click as the lock closed and complete darkness returned.	8:13	0:120
thump-nn	nn1@	2005	2	fic_2005_31594.txt-24-4	 	I could hear the thumping of my blood.	17:25	0:38
thump-nn	nn1	1970	2	mag_1970_277286.txt-23-26	 	When they reach the footlights, the mood is suddenly jolted by a more familiar noise: the harsh twang of amplified guitars and the racketing thump of a rock beat.	141:146	0:162
thump-nn	nn2_vvz	1840	1	fic_1840_8770.txt-155-42	 	Why, Crowder, you are one of those fellows in every party, who are allowed to make a noise in proportion to their real want of confidence and information; in the same way as poor Bill Baffin the stevedore thumps and whistles and plies his mallet on the outside of a ship on the stocks,	205:211	0:285
thump-nn	nn1_vv0	1838	1	fic_1838_7250.txt-1406-33	 	The boldest, having approached the door to listen, applied their ears to the keyhole, and heard as follows: \" Turn out your toes -- forward two -- tol-de-rol-tiddle (thump) -- tiddle (bump) -- twiddle (bang!)	166:171	0:208
thump-nn	nn1	1973	2	fic_1973_10568.txt-4241-4	 	We could hear the thump of the sticks as she got them out of the basket behind the door and the clank of iron as she put them in the stove.	18:23	0:139
thump-nn	nn1	1966	2	fic_1966_10469.txt-1541-22	 	As winter approached, Koshland went out for basketball, and he and his teammates made the floor above bounce to the thump and rattle of scrimmages with a tennis ball and a wastebasket.	116:121	0:184
thump-nn	nn2	1835	1	fic_1835_7203.txt-1302-36	 	The struggle seemed to wax hotter and hotter, for a short time after Michael came to the ground, and he threw the children about in all directions and postures, giving some of them thumps which would have placed the ruffle-shirted little darlings of the present day, under the discipline of paregoric and opodeldoc for a week; but these hardy sons of the forest, seemed not to feel them.	181:187	0:387
thump-nn	nn1	1860	1	fic_1860_615.txt-2332-3	 	With the dead thump upon the stones below had come an unutterable horror. \"	14:19	0:75
thump-nn	nn1@	1834	1	fic_1834_7032.txt-2020-62	 	The large branching silver candlesticks, which stood at each side of a full-length picture of General Washington, on the mantel-piece, were richly fringed with white bridal ornaments, after the good old fashion; and as lively a set of lads and lasses as ever moved through the figures of a cotillion, were keeping time to the impetuous thumping of their own hearts, and the long-sweeping bow-hands of two hereditary fiddlers stationed behind the door.	336:344	0:451
thump-nn	nn1	1856	1	fic_1856_2470.txt-2425-28	 	But unfortunately he had made some miscalculation or slip, for instead of alighting square upon the skates, his heels flew up, and with a tremendous thump, down came poor Bill upon his back. \"	149:154	0:192
thump-nn	nn1@	1984	2	fic_1984_782027.txt-2676-17	 	Mattilon's third eye had spotted the entrance of Serge Luboque; he turned around as the thumping became louder on the floor.	88:96	0:124
thump-nn	nn1	1997	2	mag_1997_388994.txt-96-37	 	The most compelling of these appear in \" The Art of Demolition, \" a four-minute montage accompanied by a synthesizer soundtrack that sounds like a cross between the theme from Chariots of Fire and the bass-heavy thump of a porno flick. \"	212:217	0:237
thump-nn	nn1@_vvg_jj@	1856	1	nf_1856_755595.txt-739-7	 	I was roused early by a general thumping and clattering, and, making the hasty toilette which one is compelled to do when destitute of appliances, I found the stage at the early hour of six ready at the door; and, to my surprise, the coachman was muffled up in furs, and the morning was intensely cold.	32:40	0:302
thump-nn	nn2	1993	2	fic_1993_1040072.txt-817-8	 	The tape started with the usual static and thumps of setting up.	43:49	0:64
thump-nn	nn1@	1845	1	fic_1845_7170.txt-7510-7	 	Pluck sings, accompanied with a violent thumping of his fists on the table, \" We have a sister scarcely growne, For she is such a little one That yet no breaste hath she, What thing shall we now undertake To doe for thys our sister's sake If spoken for	40:48	0:252
thump-nn	nn1	2007	2	fic_2007_52049.txt-275-7	 	Sigurt landed beside her with a soft thump, wrapping slippery folds of	37:42	0:70
thump-nn	nn1@_jj@	1814	1	fic_1814_8564.txt-320-50	 	3 Four wives requiring that Ali should bestir, Why he soon fell to work as before, With his hammer, Making as much noise as ever; Yet the neighbours heard it never, The ladies contrived to make a little more Than the hammer: All the thumping, all the knocking	233:241	0:259
thump-nn	nn1	1811	1	fic_1811_8637.txt-501-3	 	Now the tang-tang thump; big tabala beat; While the flute and the bells make music sweet; And the negro girl on the simbing play, For this be missy's wedding day.	18:23	0:162
