lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
attack_nn	nn1	1846	1	mag_1846_555400.txt-243-7	 	Ridicule is, of all modes of attack, that least readily forgiven, particularly when directed by an inferior.	29:35	0:108
attack_nn	nn1	1834	1	mag_1834_554263.txt-306-48	 	The great object with each party seemed to be to make the other begin the attack: the English would not do this, because they saw that their artillery was rapidly thinning the ranks of their enemies; and Charles was under the necessity of making the attack.	250:256	0:257
attack_nn	nn1	1835	1	fic_1835_7016.txt-2023-9	 	As the stranger fell to the earth under an attack so impetuous and unexpected, he uttered an exclamation in which Juan recognized the language of Mexico.	43:49	0:153
attack_nn	nn1	1838	1	mag_1838_586307.txt-86-4	 	A system of personal attack was, therefore, organized against Mr. Porter, of the most profligate and disgraceful description.	21:27	0:125
attack_nn	nn1_vv0	2009	2	fic_2009_36778.txt-461-18	 	I didn't mean it to come out that harshly, but damn it, I felt under attack here.	69:75	0:81
attack_nn	nn1	1970	2	mag_1970_315464.txt-8-1	 	The attack that really lent urgency to Lon Nol's requests for outside military aid (see THE NATION) was a show of Communist power and Cambodian impotence at Saang, a handsome French provincial town only 15 miles south of Phnom-Penh on the west bank of the Bassac River.	4:10	0:269
attack_nn	nn1	1961	2	news_1961_721939.txt-37-3	 	\" A great attack has to be made on the soggy complacency of some managements and the appalling indifference of some workers, \" he declared.	10:16	0:139
attack_nn	nn1	1848	1	fic_1848_7009.txt-1181-32	 	I gathered from him enough to convince me that my fears, which I have already spoken of, were true; and as I afterwards heard the facts of that fatal attack, I will here relate them to you. \"	150:156	0:191
attack_nn	nn1	1844	1	fic_1844_3928.txt-3498-7	 	Bugeaud's plan is this: Instant attack with an overwhelming force of artillery, cavalry and infantry of the Line, (which, he asserts, he has now all ready in position in anticipation of this event, and well disposed to act,) on all the barricades	32:38	0:246
attack_nn	nn1	1977	2	nf_1977_773747.txt-57-27	 	This lands him in difficulties with Gothic architecture which he is forced to explain not as an expression of the feudal and monastic Zeitgeist but as an attack on it.	154:160	0:167
attack_nn	nn1	1839	1	fic_1839_7024.txt-2377-9	 	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	38:44	0:130
attack_nn	nn2_vvz@	1966	2	news_1966_725841.txt-34-33	 	They feel the war in Vietnam could be concluded honorably if only the parties concerned accepted U Thant's three points, beginning with the first which calls for the suspension of air attacks on North Vietnam.	184:191	0:209
attack_nn	nn1	1981	2	mag_1981_322209.txt-3-7	 	Mubarak ordered his government to launch an attack on the economic malaise that many analysts consider to be the main cause of the discontent that threatens his regime.	44:50	0:168
attack_nn	nn1	1845	1	mag_1845_555245.txt-299-1	 	The attack of the Boston Teachers upon the Board of Education and its Secretary has failed, - signally and disgracefully failed.	4:10	0:128
attack_nn	nn1	1980	2	mag_1980_296744.txt-5-30	 	One was that Jordan's attractive blond companion, Martha Coleman, 36, a longtime civil rights worker in Fort Wayne, was in any way involved in the attack.	147:153	0:154
attack_nn	nn2	2002	2	mag_2002_371999.txt-12-46	 	At least one face is familiar to U.S. investigators: Ramzi Binalshibh, a 29-year-old Yemeni who appears wearing a red kaffiyeh, was named as an unindicted co-conspirator of Zacarias Moussaoui, the French operative arrested in August and indicted Dec. 11 for planning terrorist attacks.	277:284	0:285
attack_nn	nn1	1858	1	fic_1858_1282.txt-1444-24	 	Indeed such was the shattered condition of the little tenement, that you might easily have imagined it suffering from a forty years ' attack of chronic disease, and quite unfit for the habitation of so great a military hero.	134:140	0:224
attack_nn	nn1	1849	1	nf_1849_772497.txt-842-8	 	William, however, advanced immediately to the attack of the ambuscaders.	46:52	0:72
attack_nn	nn1	1856	1	fic_1856_2655.txt-4746-13	 	The public felt this event the more that its proximate cause was an attack made upon his brother's house by Paradisi, now imprisoned in the Castle of St. Angelo, pending a law process for proof of his accusations.	68:74	0:213
