identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
fic_1986_16266.txt-1941-23	fic_1967_10489.txt-1997-3	amariac810	4.0	 	2023-12-15 00:47:18.301	ball_nn
nf_1979_774342.txt-1216-30	fic_1967_10489.txt-1997-3	amariac810	2.0	 	2023-12-15 00:50:38.212	ball_nn
nf_1979_774342.txt-1216-30	fic_1986_16266.txt-1941-23	amariac810	2.0	 	2023-12-15 01:02:16.855	ball_nn
fic_1973_10570.txt-1937-3	fic_1967_10489.txt-1997-3	amariac810	2.0	 	2023-12-15 01:05:35.606	ball_nn
fic_1856_1562.txt-4022-8	fic_1967_10489.txt-1997-3	amariac810	2.0	 	2023-12-15 01:16:33.074	ball_nn
mag_1989_492445.txt-76-35	fic_1967_10489.txt-1997-3	amariac810	2.0	 	2023-12-15 01:23:31.097	ball_nn
fic_1973_10570.txt-1937-3	nf_1979_774342.txt-1216-30	amariac810	2.0	 	2023-12-15 01:23:53.307	ball_nn
fic_1856_1562.txt-4022-8	fic_1986_16266.txt-1941-23	amariac810	2.0	 	2023-12-15 01:28:28.481	ball_nn
nf_1979_774342.txt-1216-30	mag_1989_492445.txt-76-35	amariac810	2.0	 	2023-12-15 01:28:44.146	ball_nn
fic_1856_1562.txt-4022-8	nf_1979_774342.txt-1216-30	amariac810	2.0	 	2023-12-15 01:29:13.517	ball_nn
fic_1856_1562.txt-4022-8	mag_1989_492445.txt-76-35	amariac810	2.0	 	2023-12-15 01:29:26.356	ball_nn
fic_1973_10570.txt-1937-3	mag_1989_492445.txt-76-35	amariac810	2.0	 	2023-12-15 01:32:37.798	ball_nn
fic_1856_1562.txt-4022-8	fic_1973_10570.txt-1937-3	amariac810	2.0	 	2023-12-15 01:32:44.241	ball_nn
fic_1973_10570.txt-1937-3	fic_1986_16266.txt-1941-23	amariac810	3.0	 	2023-12-15 01:32:49.099	ball_nn
fic_1851_746.txt-5431-59	mag_1989_492445.txt-76-35	amariac810	2.0	 	2023-12-15 00:45:37.794	ball_nn
fic_1834_7030.txt-1386-21	mag_1989_492445.txt-76-35	amariac810	2.0	 	2023-12-15 00:50:06.676	ball_nn
fic_1848_7193.txt-531-19	nf_1849_747900.txt-2608-10	amariac810	2.0	 	2023-12-15 01:16:22.91	ball_nn
fic_1834_7030.txt-1386-21	fic_1851_746.txt-5431-59	amariac810	4.0	 	2023-12-15 01:24:00.195	ball_nn
nf_1849_747900.txt-2608-10	nf_1855_771880.txt-246-8	amariac810	2.0	 	2023-12-15 01:30:51.277	ball_nn
fic_1823_7241.txt-6369-39	fic_1967_10489.txt-1997-3	amariac810	2.0	 	2023-12-15 01:33:31.023	ball_nn
fic_1840_9329.txt-1163-29	fic_1967_10489.txt-1997-3	amariac810	2.0	 	2023-12-15 02:01:36.846	ball_nn
mag_1850_589154.txt-180-14	fic_1967_10489.txt-1997-3	st189492	2.0	 	2023-11-23 11:27:05.431	ball_nn
nf_1849_747900.txt-2608-10	mag_1850_589154.txt-180-14	st189492	3.0	 	2023-11-23 11:27:24.821	ball_nn
fic_1856_1562.txt-4022-8	fic_1967_10489.txt-1997-3	st189492	2.0	 	2023-11-23 11:28:16.423	ball_nn
fic_1845_7183.txt-96-4	nf_1849_747900.txt-2608-10	st189492	1.0	 	2023-11-23 11:28:43.588	ball_nn
fic_1834_7030.txt-1791-42	fic_1840_7292.txt-1417-20	st189492	3.0	 	2023-11-23 11:29:10.875	ball_nn
fic_1840_7292.txt-1417-20	mag_1989_492445.txt-76-35	st189492	3.0	 	2023-11-23 11:29:29.995	ball_nn
fic_1840_7292.txt-1417-20	mag_1850_589154.txt-180-14	st189492	3.0	 	2023-11-23 11:31:46.307	ball_nn
fic_1834_7030.txt-1791-42	fic_1967_10489.txt-1997-3	st189492	2.0	 	2023-11-23 11:31:57.066	ball_nn
fic_1851_746.txt-5431-59	fic_1973_10570.txt-1937-3	st189492	3.0	 	2023-11-23 11:32:08.993	ball_nn
nf_1855_750257.txt-1221-22	mag_1850_589154.txt-180-14	st189492	4.0	 	2023-11-23 11:32:32.68	ball_nn
fic_1834_7030.txt-1386-21	fic_1840_7292.txt-1417-20	st189492	3.0	 	2023-11-23 11:32:48.643	ball_nn
nf_1849_747900.txt-2608-10	mag_1989_492445.txt-76-35	st189492	4.0	 	2023-11-23 11:32:55.92	ball_nn
fic_1851_746.txt-5431-59	fic_1856_1562.txt-4022-8	st189492	3.0	 	2023-11-23 11:33:05.728	ball_nn
nf_1855_750257.txt-1221-22	fic_1967_10489.txt-1997-3	st189492	2.0	 	2023-11-23 11:33:12.365	ball_nn
fic_1834_7030.txt-1791-42	nf_1849_747900.txt-2608-10	st189492	2.0	 	2023-11-23 11:33:25.467	ball_nn
fic_1823_7241.txt-6369-39	fic_1973_10570.txt-1937-3	st189492	3.0	 	2023-11-23 11:33:38.882	ball_nn
mag_1850_589154.txt-180-14	mag_1992_61837.txt-47-12	st189492	2.0	 	2023-11-23 11:33:51.133	ball_nn
fic_1965_13271.txt-12-9	fic_1967_10489.txt-1997-3	st189492	4.0	 	2023-11-23 11:33:55.847	ball_nn
fic_1973_10570.txt-1937-3	mag_2001_416864.txt-126-1	st189492	3.0	 	2023-11-23 11:34:26.4	ball_nn
fic_1834_7030.txt-1386-21	nf_1849_747900.txt-2608-10	st189492	2.0	 	2023-11-23 11:34:37.758	ball_nn
fic_1851_746.txt-5431-59	mag_1850_589154.txt-180-14	st189492	4.0	 	2023-11-23 11:34:45.039	ball_nn
nf_1849_747900.txt-2608-10	fic_1965_13271.txt-12-9	st189492	1.0	 	2023-11-23 11:34:51.638	ball_nn
fic_1856_1562.txt-4022-8	fic_1986_16266.txt-1941-23	st189492	2.0	 	2023-11-23 11:35:05.645	ball_nn
fic_1856_1562.txt-4022-8	mag_1989_492445.txt-76-35	st189492	3.0	 	2023-11-23 11:35:16.172	ball_nn
fic_1845_7183.txt-96-4	fic_1973_10570.txt-1937-3	st189492	1.0	 	2023-11-23 11:35:21.798	ball_nn
fic_1845_7183.txt-96-4	fic_1856_1562.txt-4022-8	st189492	1.0	 	2023-11-23 11:35:27.42	ball_nn
mag_1850_589154.txt-180-14	fic_1973_10570.txt-1937-3	st189492	3.0	 	2023-11-23 11:35:35.46	ball_nn
fic_1823_7241.txt-6369-39	fic_1840_7292.txt-1417-20	st189492	3.0	 	2023-11-23 11:36:04.83	ball_nn
fic_1994_41224.txt-397-7	fic_1967_10489.txt-1997-3	st189492	4.0	 	2023-11-23 11:36:10.561	ball_nn
