identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
news_1985_671481.txt-8-31	mag_1998_358401.txt-25-12	st189492	3.0	 	2023-11-29 13:53:23.448	grain_nn
nf_1961_774087.txt-2112-10	nf_1961_774312.txt-125-80	st189492	4.0	 	2023-12-05 13:21:46.533	grain_nn
nf_1847_748116.txt-1358-31	nf_1961_774087.txt-151-21	st189492	1.0	 	2023-12-05 13:21:50.006	grain_nn
fic_1833_7046.txt-1469-12	mag_1977_431927.txt-118-16	st189492	1.0	 	2023-12-05 13:22:17.654	grain_nn
nf_1961_774087.txt-151-21	mag_1986_492576.txt-160-3	st189492	1.0	 	2023-12-05 13:22:31.343	grain_nn
mag_1998_358401.txt-25-12	nf_1976_774315.txt-1263-10	st189492	3.0	 	2023-12-05 13:24:58.751	grain_nn
mag_2002_398683.txt-74-48	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-11-29 13:55:43.711	grain_nn
nf_1973_774330.txt-133-21	nf_1966_774177.txt-1915-4	st189492	4.0	 	2023-11-29 13:57:11.978	grain_nn
nf_1961_774312.txt-125-80	fic_2004_31226.txt-123-1	st189492	2.0	 	2023-11-29 13:57:23.374	grain_nn
nf_1961_774087.txt-2112-10	nf_1976_774315.txt-1263-10	st189492	4.0	 	2023-11-29 15:49:40.662	grain_nn
nf_1976_774315.txt-2019-44	nf_1976_774315.txt-1263-10	st189492	4.0	 	2023-11-29 15:50:13.936	grain_nn
fic_1855_9053.txt-7324-13	nf_1961_774312.txt-125-80	st189492	1.0	 	2023-11-29 15:51:05.891	grain_nn
news_1988_670255.txt-35-11	nf_1961_774087.txt-151-21	st189492	1.0	 	2023-11-29 15:51:39.823	grain_nn
nf_1961_774087.txt-151-21	fic_2004_31226.txt-123-1	st189492	1.0	 	2023-11-29 15:52:03.968	grain_nn
fic_1855_9053.txt-7324-13	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-11-29 15:52:20.357	grain_nn
nf_1961_774087.txt-2112-10	mag_1977_431927.txt-118-16	st189492	4.0	 	2023-11-29 15:52:23.868	grain_nn
news_1985_671481.txt-8-31	nf_1961_774087.txt-151-21	st189492	3.0	 	2023-11-29 15:54:09.717	grain_nn
fic_1845_622.txt-1234-16	nf_1976_774315.txt-1263-10	st189492	4.0	 	2023-11-29 15:54:44.918	grain_nn
nf_1976_774315.txt-1263-10	mag_1986_492576.txt-160-3	st189492	1.0	 	2023-11-29 15:55:03.594	grain_nn
nf_1847_748116.txt-1358-31	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-11-29 15:55:07.474	grain_nn
mag_1977_431927.txt-118-16	nf_1961_774087.txt-151-21	st189492	4.0	 	2023-11-29 15:55:48.334	grain_nn
news_1988_670261.txt-50-22	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-11-29 15:56:07.843	grain_nn
nf_1961_774087.txt-215-10	nf_1966_774177.txt-1915-4	st189492	1.0	 	2023-11-29 15:56:17.695	grain_nn
mag_1852_555790.txt-362-1	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-11-29 15:57:38.581	grain_nn
mag_1998_358401.txt-25-12	nf_1961_774087.txt-151-21	st189492	1.0	 	2023-11-29 15:57:55.856	grain_nn
mag_1852_555790.txt-561-11	nf_1966_774177.txt-1915-4	st189492	1.0	 	2023-11-29 15:58:04.127	grain_nn
nf_1961_774312.txt-125-80	nf_1973_774379.txt-1345-13	st189492	4.0	 	2023-11-29 15:58:07.334	grain_nn
nf_1961_774312.txt-125-80	news_1988_670261.txt-50-22	st189492	1.0	 	2023-11-29 15:58:11.415	grain_nn
nf_1847_754437.txt-1669-5	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-11-29 15:58:56.36	grain_nn
fic_1844_800.txt-1208-31	nf_1976_774315.txt-1263-10	st189492	4.0	 	2023-11-29 15:59:49.336	grain_nn
fic_1844_800.txt-1208-31	mag_1977_431927.txt-118-16	st189492	4.0	 	2023-11-29 16:00:11.793	grain_nn
mag_1852_555790.txt-561-11	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-11-29 16:00:23.683	grain_nn
nf_1961_774087.txt-2112-10	nf_1961_774087.txt-151-21	st189492	4.0	 	2023-11-29 16:01:10.187	grain_nn
nf_1961_774312.txt-125-80	fic_1971_10541.txt-1-2	st189492	1.0	 	2023-11-29 16:01:17.442	grain_nn
nf_1961_774087.txt-151-21	nf_1976_774315.txt-2019-44	st189492	4.0	 	2023-11-29 16:01:20.588	grain_nn
nf_1961_774087.txt-480-4	nf_1961_774087.txt-151-21	st189492	4.0	 	2023-11-29 16:01:46.911	grain_nn
nf_1976_774315.txt-1263-10	nf_1961_774087.txt-630-5	st189492	4.0	 	2023-12-01 12:07:41.425	grain_nn
nf_1961_774087.txt-480-4	nf_1966_774177.txt-1915-4	st189492	1.0	 	2023-12-01 12:07:51.126	grain_nn
nf_1961_774087.txt-480-4	mag_1977_431927.txt-118-16	st189492	4.0	 	2023-12-01 12:07:54.903	grain_nn
nf_1961_774087.txt-151-21	nf_1996_774086.txt-1832-8	st189492	4.0	 	2023-12-01 12:09:37.066	grain_nn
mag_1981_480279.txt-65-13	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-12-01 12:09:40.709	grain_nn
fic_2004_31226.txt-123-1	nf_1976_774315.txt-1263-10	st189492	1.0	 	2023-12-01 12:10:33.037	grain_nn
