identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
fic_1852_9232.txt-1069-16	fic_1974_10590.txt-1512-5	st189492	3.0	 	2023-12-05 13:41:25.553	heel_nn
fic_1854_70.txt-2563-57	fic_1995_39735.txt-513-7	st189492	4.0	 	2023-12-05 13:42:47.511	heel_nn
mag_1980_494008.txt-84-36	nf_1985_774316.txt-437-56	st189492	2.0	 	2023-12-05 13:43:00.777	heel_nn
fic_1980_780027.txt-895-24	fic_1974_10590.txt-1512-5	st189492	3.0	 	2023-12-05 13:43:36.605	heel_nn
fic_1844_7148.txt-905-4	mag_1960_204866.txt-23-12	st189492	1.0	At first this looks like a verb use of heel. But calling to heel means ordering to be at your side.	2023-12-05 13:45:08.322	heel_nn
fic_1855_9098.txt-2073-8	fic_1853_9158.txt-40-11	st189492	4.0	 	2023-12-05 13:45:25.817	heel_nn
fic_1856_9779.txt-3394-30	nf_1990_774020.txt-1666-35	st189492	3.0	 	2023-12-05 13:45:52.332	heel_nn
fic_2008_36192.txt-52-7	nf_1990_774020.txt-1666-35	st189492	1.0	 	2023-12-05 13:46:03.027	heel_nn
fic_1851_746.txt-2547-1	fic_1852_9232.txt-1069-16	st189492	3.0	 	2023-12-05 13:46:23.609	heel_nn
fic_1973_10568.txt-1121-16	nf_1985_774316.txt-437-56	st189492	4.0	 	2023-12-05 13:46:32.034	heel_nn
fic_1993_25035.txt-2043-20	fic_1995_39735.txt-513-7	st189492	3.0	 	2023-12-05 13:46:36.945	heel_nn
fic_1854_70.txt-2563-57	nf_1990_774020.txt-1666-35	st189492	4.0	 	2023-12-05 13:46:48.204	heel_nn
mag_1960_204866.txt-23-12	fic_2001_45868.txt-263-10	st189492	3.0	 	2023-12-05 13:46:57.427	heel_nn
fic_1976_10612.txt-3153-12	fic_1992_53585.txt-527-25	st189492	3.0	 	2023-12-05 13:47:19.257	heel_nn
fic_1845_7183.txt-2743-8	fic_1980_780027.txt-895-24	st189492	1.0	 	2023-12-05 13:47:25.868	heel_nn
fic_1843_7208.txt-9167-3	nf_1985_774316.txt-437-56	st189492	3.0	 	2023-12-05 13:47:39.16	heel_nn
fic_2008_36192.txt-52-7	news_2003_603960.txt-23-12	st189492	1.0	 	2023-12-05 13:48:27.559	heel_nn
news_1977_733054.txt-45-14	fic_2005_31871.txt-3-7	st189492	4.0	 	2023-12-05 13:48:31.398	heel_nn
fic_1851_746.txt-2547-1	fic_1845_7183.txt-2743-8	st189492	4.0	 	2023-12-05 13:48:38.161	heel_nn
fic_1976_10612.txt-3153-12	fic_1974_10590.txt-1512-5	st189492	3.0	 	2023-12-05 13:48:43.955	heel_nn
fic_1992_53585.txt-527-25	fic_1978_10634.txt-6656-6	st189492	1.0	 	2023-12-05 14:41:22.275	heel_nn
news_1977_733054.txt-45-14	news_2003_603960.txt-23-12	st189492	2.0	 	2023-12-05 14:41:41.782	heel_nn
mag_1960_204866.txt-23-12	fic_1975_10595.txt-11281-7	st189492	1.0	 	2023-12-05 14:43:26.75	heel_nn
fic_1853_9158.txt-40-11	fic_1980_780027.txt-895-24	st189492	3.0	 	2023-12-06 12:27:23.657	heel_nn
fic_1848_7154.txt-1881-30	fic_1980_780027.txt-895-24	st189492	2.0	 	2023-12-06 12:27:40.58	heel_nn
fic_1853_9158.txt-40-11	fic_1993_25035.txt-2043-20	st189492	3.0	 	2023-12-06 12:27:48.418	heel_nn
fic_1848_7154.txt-1881-30	fic_1995_39735.txt-513-7	st189492	2.0	 	2023-12-06 12:28:07.683	heel_nn
fic_2009_36395.txt-19-14	news_1968_727533.txt-17-4	st189492	2.0	 	2023-12-06 12:28:13.566	heel_nn
fic_1980_780027.txt-895-24	fic_2008_36192.txt-52-7	st189492	4.0	 	2023-12-06 12:28:31.494	heel_nn
fic_1852_9232.txt-1069-16	fic_1995_39356.txt-46-9	st189492	2.0	 	2023-12-06 12:28:49.341	heel_nn
fic_1973_10568.txt-1121-16	fic_1974_10590.txt-1512-5	st189492	3.0	 	2023-12-06 12:29:04.849	heel_nn
fic_1852_9232.txt-1069-16	mag_1980_494008.txt-84-36	st189492	2.0	 	2023-12-06 12:30:07.881	heel_nn
mag_1960_204866.txt-23-12	news_2003_603960.txt-23-12	st189492	3.0	 	2023-12-06 12:30:14.703	heel_nn
fic_1844_7148.txt-905-4	fic_1993_25035.txt-2043-20	st189492	1.0	 	2023-12-06 12:30:20.985	heel_nn
fic_1848_7154.txt-1881-30	news_1968_727533.txt-17-4	st189492	3.0	 	2023-12-06 12:31:06.938	heel_nn
fic_1856_9779.txt-3394-30	nf_1965_773954.txt-883-23	st189492	4.0	 	2023-12-06 12:31:37.36	heel_nn
fic_1992_40270.txt-88-18	fic_2009_36395.txt-19-14	st189492	3.0	 	2023-12-06 12:31:47.959	heel_nn
fic_1856_9779.txt-3394-30	fic_1853_9158.txt-40-11	st189492	3.0	 	2023-12-06 12:32:16.541	heel_nn
fic_1993_25035.txt-2043-20	news_1968_727533.txt-17-4	st189492	2.0	 	2023-12-06 12:32:24.547	heel_nn
fic_1844_7148.txt-905-4	fic_1974_10590.txt-1512-5	st189492	1.0	 	2023-12-06 12:32:29.168	heel_nn
fic_1980_780027.txt-895-24	news_1977_733054.txt-45-14	st189492	1.0	 	2023-12-06 12:32:32.253	heel_nn
fic_1853_9158.txt-40-11	fic_1845_7183.txt-2743-8	st189492	4.0	 	2023-12-06 12:32:42.285	heel_nn
news_1977_733054.txt-45-14	mag_1993_396023.txt-13-8	st189492	2.0	 	2023-12-06 12:32:50.845	heel_nn
mag_1980_494008.txt-84-36	mag_1993_396023.txt-13-8	st189492	1.0	 	2023-12-06 12:33:03.29	heel_nn
fic_1848_7154.txt-1881-30	fic_1974_10590.txt-1512-5	st189492	3.0	 	2023-12-06 12:33:09.002	heel_nn
fic_1997_54603.txt-36-13	fic_2001_45868.txt-263-10	st189492	2.0	 	2023-12-06 12:33:37.861	heel_nn
fic_1992_53585.txt-527-25	fic_2001_45868.txt-263-10	st189492	3.0	 	2023-12-06 12:34:10.848	heel_nn
fic_1853_9158.txt-40-11	fic_1978_10634.txt-6656-6	st189492	2.0	 	2023-12-06 12:34:22.826	heel_nn
mag_1980_494008.txt-84-36	fic_1975_10595.txt-11281-7	st189492	1.0	 	2023-12-06 12:34:27.1	heel_nn
fic_1980_780027.txt-895-24	fic_1995_39356.txt-46-9	st189492	2.0	 	2023-12-06 12:34:31.448	heel_nn
fic_1848_7154.txt-1881-30	nf_1990_774020.txt-1666-35	st189492	3.0	 	2023-12-06 12:34:38.184	heel_nn
fic_1992_40270.txt-88-18	nf_1990_774020.txt-1666-35	st189492	3.0	 	2023-12-06 12:34:42.183	heel_nn
fic_1975_10595.txt-11281-7	news_2003_603960.txt-23-12	st189492	1.0	 	2023-12-06 12:35:05.623	heel_nn
fic_1980_780027.txt-895-24	news_2003_603960.txt-23-12	st189492	1.0	 	2023-12-06 12:36:41.702	heel_nn
fic_1851_746.txt-2547-1	nf_1965_773954.txt-883-23	st189492	3.0	 	2023-12-06 12:37:06.78	heel_nn
fic_1961_10411.txt-7836-20	fic_1993_25035.txt-2043-20	st189492	4.0	 	2023-12-06 12:37:11.984	heel_nn
fic_1961_10411.txt-7836-20	fic_1993_53808.txt-660-41	st189492	1.0	 	2023-12-06 12:37:16.263	heel_nn
fic_1852_9232.txt-1069-16	nf_1985_774316.txt-437-56	st189492	2.0	 	2023-12-06 12:37:52.898	heel_nn
news_1977_733054.txt-45-14	fic_1992_53585.txt-527-25	st189492	3.0	 	2023-12-06 12:37:58.528	heel_nn
fic_1973_10568.txt-1121-16	fic_2005_31871.txt-3-7	st189492	4.0	 	2023-12-06 12:38:22.567	heel_nn
fic_1973_10568.txt-1121-16	fic_2009_36395.txt-19-14	st189492	4.0	 	2023-12-06 12:38:25.247	heel_nn
fic_1854_70.txt-2563-57	fic_1851_746.txt-2547-1	st189492	3.0	 	2023-12-06 12:38:37.288	heel_nn
fic_1844_7148.txt-905-4	fic_1992_40270.txt-88-18	st189492	1.0	 	2023-12-06 22:31:12.669	heel_nn
fic_1856_9779.txt-3394-30	fic_2008_36192.txt-52-7	st189492	2.0	 	2023-12-06 22:31:32.118	heel_nn
fic_1852_9232.txt-1069-16	fic_1980_780027.txt-895-24	st189492	2.0	 	2023-12-06 22:31:56.997	heel_nn
fic_1844_7148.txt-905-4	fic_1853_9158.txt-40-11	st189492	1.0	 	2023-12-06 22:32:12.455	heel_nn
mag_1960_204866.txt-23-12	nf_1985_774316.txt-437-56	st189492	4.0	 	2023-12-06 22:32:33.914	heel_nn
fic_1848_7154.txt-1881-30	fic_1854_70.txt-2563-57	st189492	3.0	 	2023-12-06 22:32:51.274	heel_nn
nf_1990_774020.txt-1666-35	fic_1993_25035.txt-2043-20	st189492	4.0	 	2023-12-06 22:32:54.814	heel_nn
nf_1985_774316.txt-437-56	fic_2009_36395.txt-19-14	st189492	3.0	 	2023-12-06 22:33:19.932	heel_nn
fic_2009_36395.txt-19-14	news_2003_603960.txt-23-12	st189492	3.0	 	2023-12-06 22:33:36.07	heel_nn
fic_1980_780027.txt-895-24	nf_1990_774020.txt-1666-35	st189492	2.0	 	2023-12-06 22:34:31.488	heel_nn
