lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
pick_vb	vvn	1828	1	mag_1828_553896.txt-106-75	 	The science of government, and even history, which forms its natural complement, are nearly overlooked in the usual routine of collegiate and professional studies; and most of our statesmen e * iter the halls of Congress and of the state legislatures, unprovided with any other notions on the great subjects of politics, ethics, political economy, and history, ancient and modern, excepting such as they have picked up by chance in their leisure reading.	409:415	0:454
pick_vb	vvi	1962	2	fic_1962_10420.txt-3439-9	 	Saturday all day he was fine and seemed to pick up strength, but late at night I was watching T.V.	43:47	0:98
pick_vb	vvn	1852	1	fic_1852_2751.txt-3110-9	 	Pull us a little, Wint'rop -- we have picked everything.	38:44	0:56
pick_vb	vvi	1848	1	fic_1848_7265.txt-233-16	 	\" I should have to run away if I did, for mother wants me to pick up wood, and father wants me to do every thing; but I would not mind running away, for they are no parents to me, and I've no need to be a son to them.	61:65	0:217
pick_vb	vvn	1855	1	fic_1855_9053.txt-304-12	 	The battle was not long, and by the time Ellie had picked up her armful of wood, and taken Charley by the hand, (he looked very sorry now,) Wide-Awake's victory was achieved.	51:57	0:174
pick_vb	vvi	2000	2	fic_2000_27747.txt-133-4	 	I thought they'd pick it up from their mamma, like I did from mine, but LaNelle always worked so much, she just had time to cook, clean, transport, and fuss.	17:21	0:157
pick_vb	vvz	1993	2	fic_1993_14202.txt-767-6	 	D25 Chambers Street Traffic) Jinny picks up and Reads Newspaper- NY Times Science Section - p. 49 49 \" ' January 10,, Scientists postulate a single African Woman as the ancestor of all humankind! \"	35:40	0:197
pick_vb	vvn	1836	1	nf_1836_747779.txt-2487-39	 	all the whites, exeept some of the most beautiful women, whom they intended to keep as wives; said that these white men had told them that they might do so, and that he had already picked out one for himself; and that he and his wife had already had a quarrel in consequence of his having told her his intention.	181:187	0:312
pick_vb	vvd	1993	2	fic_1993_1040095.txt-3020-1	 	Ben picked up the can of snuff and offered it to the man.	4:10	0:57
pick_vb	vv0	1834	1	fic_1834_7323.txt-2407-16	 	So I want you to go to work as soon as you get this, and pick up my letters, and begin to print ' em in a book; and I ' ll set down and write a history of my life to put into it, and send it along as fast as I can get it done.	57:61	0:226
pick_vb	vvi	2007	2	mag_2007_389563.txt-113-21	 	* The E-Z Reacher and the Easy Gripper from Walt Nicke Co. are two tools that help you retrieve items and pick up garden debris without bending.	106:110	0:144
pick_vb	vvi	1960	2	fic_1960_10392.txt-5687-6	 	Except I might be able to pick the Big Dipper out of the mess. \"	26:30	0:64
pick_vb	vvi	2009	2	fic_2009_36571.txt-65-2	 	You could pick on Christie for trying too hard, you could note the moment when Mr. Thorn said, \" Fuck it, \" took off his tuxedo jacket, and started doing body shots with the bridesmaids, but you didn't pick on the groom's looks.	10:14	0:228
pick_vb	vvi	1988	2	fic_1988_24002.txt-248-12	 	I wanted to leave him there to fend for himself, to pick my daughter up, take her to the dinghy, and row in over this false sea to our house.	52:56	0:141
pick_vb	vvn	1835	1	fic_1835_7134.txt-2852-3	 	The average weight picked by all the hands on a place, will seldom exceed 150 or 160 lbs.	19:25	0:89
pick_vb	vvd	1854	1	fic_1854_9826.txt-5835-1	 	She picked up the comb, and gave it to her aunt with not a	4:10	0:58
pick_vb	vvd	1852	1	fic_1852_69.txt-8436-1	 	She picked very fast and very clean, and with an air of scorn, as if she despised both the work and the disgrace and humiliation of the circumstances in which she was placed.	4:10	0:174
pick_vb	vvz	1963	2	fic_1963_16356.txt-1488-10	 	(slides smoothly around the end of the bar, picks up his drink) Like Sir Laurence Oliver.	44:49	0:89
pick_vb	vvi	1844	1	nf_1844_749098.txt-1153-20	 	Such was the confidence in his fidelity and skill that a roving commission was granted him, with liberty to pick his associates from the Brigade.	108:112	0:145
pick_vb	vvi	1998	2	fic_1998_29104.txt-342-13	 	A few nights after the performance, he stopped by the restaurant to pick me up on his way home.	68:72	0:95
pick_vb	vvg	1964	2	mag_1964_431693.txt-128-9	 	It was all I could do t ' avoid picking fights in public and keep up a good front for my family.	32:39	0:96
pick_vb	vv0	1856	1	fic_1856_9779.txt-12362-10	 	So don't be down in the mouth; but pick up, and hev a good heart, and you may see sights of fine fighting before many days.	35:39	0:123
pick_vb	vvg	1827	1	fic_1827_7270.txt-1511-15	 	Magawisca saw two of the men go off in pursuit, while the other remained picking up the implements that Everell had dropped, and muttering something of old Barnaby sleeping as if he slept his last sleep.	73:80	0:203
pick_vb	vv0	1975	2	fic_1975_10598.txt-4467-1	 	You pick out the voice you want and just skip over the rest.	4:8	0:60
pick_vb	vvg	1972	2	news_1972_729961.txt-36-4	 	While the process of picking six alternates now is going on, the jury has already been sequestered, over the objections of the defense.	21:28	0:135
pick_vb	vvn	1962	2	fic_1962_10416.txt-901-13	 	Keith \" -- she gestured toward the kitchen, where ice was being picked -- \" Keith was in Nevada on the same errand.	64:70	0:115
pick_vb	vvn	1981	2	fic_1981_782025.txt-5359-52	 	I steered him toward the main door again, but he bent down and picked up the mail and handed it to me; in our haste to prepare for the party, no one had been to the mail slot at the front lobby door all day; no one had picked up the mail.	219:225	0:238
pick_vb	vv0	1849	1	fic_1849_2605.txt-522-11	 	It's as fine sport to knock them down as to pick them up. \"	44:48	0:59
pick_vb	vvd	1847	1	fic_1847_8807.txt-160-7	 	Ned Mathews Well, I fancy he picked him up in the street, with his French.	29:35	0:74
