identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
fic_1993_53812.txt-351-17	mag_1999_361704.txt-0-20	st189492	3.0	 	2023-12-06 23:19:37.416	pin_vb
fic_1843_8760.txt-59-8	mag_1999_361704.txt-0-20	st189492	3.0	 	2023-12-06 23:19:42.467	pin_vb
fic_2005_780525.txt-1247-12	news_1966_725756.txt-24-3	st189492	2.0	 	2023-12-06 23:20:02.984	pin_vb
fic_1843_7074.txt-3126-6	news_1966_725756.txt-24-3	st189492	0.0	Second sentence doesnt make sense, think it should say clipboards pins down	2023-12-06 23:21:02.149	pin_vb
mag_1968_478849.txt-47-13	news_1966_725756.txt-24-3	st189492	1.0	 	2023-12-06 23:21:08.182	pin_vb
fic_1843_8760.txt-59-8	fic_2005_780525.txt-1247-12	st189492	3.0	 	2023-12-06 23:21:14.421	pin_vb
fic_1994_54047.txt-260-5	fic_2007_52173.txt-382-8	st189492	1.0	 	2023-12-06 23:21:31.618	pin_vb
mag_1999_361704.txt-0-20	news_1966_725756.txt-24-3	st189492	1.0	 	2023-12-06 23:21:38.402	pin_vb
fic_2007_33460.txt-91-42	mag_1999_361704.txt-0-20	st189492	3.0	 	2023-12-06 23:21:44.761	pin_vb
fic_1843_8760.txt-59-8	fic_1963_10432.txt-3514-3	st189492	0.0	pinned off balance doesn't mean anything	2023-12-06 23:22:14.324	pin_vb
fic_2005_780525.txt-1247-12	mag_1999_361704.txt-0-20	st189492	2.0	 	2023-12-06 23:22:20.903	pin_vb
fic_1843_8760.txt-59-8	fic_1994_41224.txt-342-44	st189492	3.0	 	2023-12-06 23:22:28.569	pin_vb
nf_1849_747900.txt-1682-31	mag_1999_361704.txt-0-20	st189492	2.0	 	2023-12-06 23:22:34.667	pin_vb
fic_1843_8760.txt-59-8	fic_1966_1008.txt-2519-23	st189492	4.0	 	2023-12-06 23:22:39.837	pin_vb
fic_2007_33460.txt-91-42	fic_2007_52173.txt-382-8	st189492	2.0	 	2023-12-06 23:22:46.737	pin_vb
fic_1858_9768.txt-4185-16	fic_2005_780525.txt-1247-12	st189492	2.0	 	2023-12-06 23:23:41.937	pin_vb
fic_1843_8760.txt-59-8	news_1966_725756.txt-24-3	st189492	1.0	 	2023-12-06 23:23:47.19	pin_vb
