lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
stroke_vb	vvd	1860	1	fic_1860_3347.txt-720-8	 	No one ever called her beautiful, nor stroked her hair, nor kissed her brow; and when she stood by the side of the twin sisters at the gate, and the people, in passing, praised the flaxen	38:45	0:187
stroke_vb	vvi	2000	2	fic_2000_30669.txt-189-9	 	Fisher, \" he said, reaching up to stroke his friend, \" I have to go back and help deliver that baby now.	34:40	0:104
stroke_vb	vvd	1855	1	fic_1855_2494.txt-2484-7	 	She moaned in very sympathy, and stroked gently back the straight raven hair, now clotted with blood.	33:40	0:101
stroke_vb	vvd	1852	1	fic_1852_69.txt-9982-13	 	Cassy sat down by her, put her arm round her neck, stroked her soft, brown hair; and Emmeline then wondered at the beauty of her magnificent eyes, now soft with tears. \"	51:58	0:169
stroke_vb	vvg	1857	1	mag_1857_556473.txt-198-13	 	At last he closed his eyes with his own hands, and gently stroking his own forehead, with a smile in his countenance, he gave a little groan, and so expired his blessed soul into the arms of his fellow-servants, the holy angels, on July 7, 1647.	58:66	0:245
stroke_vb	vvg	2003	2	fic_2003_29392.txt-324-0	 	Stroking its great fierce head, he lifted the heavy antennae, still moist and curled, and let the creature taste the flavor of his skin until it was entirely under his command.	0:8	0:176
stroke_vb	vv0	2005	2	fic_2005_50610.txt-209-6	 	I think ofthat, as I stroke the side of her face, near the temple, where I'd have to put the bullet.	21:27	0:100
stroke_vb	vvd	1858	1	fic_1858_1282.txt-5010-7	 	Mr. Tickler shook his head, and stroked his beard, despondingly. \"	32:39	0:66
stroke_vb	vvd	1969	2	fic_1969_10520.txt-2929-7	 	When she didn't answer, he stroked her hair and said that he would get it for her.	27:34	0:82
stroke_vb	vvi	2006	2	fic_2006_31077.txt-19-21	 	He wagged his tail, splashing water everywhere, put a muddy paw on her, and when she bent to stroke him, he reached up and licked her face, and then ran away again as she laughed.	93:99	0:179
stroke_vb	vvg	1838	1	nf_1838_747482.txt-720-57	 	If you see, for instance, a pretty woman alone, with her curry companion, you can just walk on, \" commercing with the skies \" till the lady gets one side of you and the dog the other; this will give you the opportunity of begging her pardon, of patting and stroking the dog a little; it may break the ice toward an acquaintance; or, if the place be convenient to fall, you had better let her trip you up, and then she will be very sorry.	257:265	0:437
stroke_vb	vvg	1852	1	fic_1852_2751.txt-3242-9	 	Mrs. Landholm was silent a minute or two, stroking Winifred's head and kissing her. \"	42:50	0:85
stroke_vb	vv0_nn1	1853	1	fic_1853_9158.txt-3583-2	 	Stroke after stroke the heavy bells rang midnight, and it seemed, to each of those excited minds, as though an age elapsed between each	13:19	0:135
stroke_vb	vvg	1858	1	fic_1858_1282.txt-1878-15	 	, red face crimsoned, and his thoughts seemed in his beard, for after stroking and fretting it for some seconds, he spoke as follows: \" Fellow-citizens: I am sure I have not merited the great homage bestowed upon me to-day.	70:78	0:223
stroke_vb	vvd	1853	1	fic_1853_1196.txt-1666-1	 	Edward stroked his face and run his fingers along the edge of his collar, remarking, indifferently, as he did so -- \" It's no matter.	7:14	0:133
stroke_vb	vvg	1976	2	fic_1976_10607.txt-1735-15	 	She and the nanny had always confined themselves to admonitions, and their own few stroking motions, from the shallow end.	83:91	0:122
stroke_vb	vv0_nn1	2003	2	mag_2003_385345.txt-40-1	 	Yet stroke has no pink ribbon, no symbol to remind us of the risk, to teach us to protect ourselves, or to remember the lives damaged or lost.	4:10	0:142
stroke_vb	vvd	1980	2	fic_1980_10670.txt-2825-11	 	tender contrition, he stooped and kissed her forehead, and stroked her damp, curly hair.	59:66	0:88
stroke_vb	vvg	1856	1	fic_1856_9077.txt-1811-10	 	It is only age, \" he said, slowly stroking his white beard, \" that teaches us wisdom, and persuades us to renounce the hope of escaping ourselves; and just as we are discovering the Philosopher's Stone, relieves our anxiety by pointing the way to Eldorado. \"	34:42	0:258
stroke_vb	vvg	1977	2	fic_1977_10621.txt-5480-28	 	He became tender, kissing the soft skin on the nape of her neck, sniffing its fluffy hair, tasting the salty sweat, his fingers lightly stroking her temples.	136:144	0:157
stroke_vb	vvd	1836	1	fic_1836_7111.txt-1004-6	 	And as he ceased speaking he stroked his whiskers, and glanced with much apparent self-approval upon his bright breastplate which reflected his handsome features as in a mirror. \"	29:36	0:179
stroke_vb	vvd	1977	2	fic_1977_780162.txt-1848-6	 	The proprietor waved his hands, stroked his beard, and looked sage.	32:39	0:67
stroke_vb	vvg	1856	1	fic_1856_9797.txt-4198-12	 	said Fanny, who felt more encouraged, as she saw Dred stroking a squirrel. \"	54:62	0:76
stroke_vb	vvg	1860	1	fic_1860_9072.txt-584-26	 	A little later, she once more glided up the staircase, seated herself on a low stool at her father's feet, and, stroking the head of her little gazelle, listened attentively to the animated conversation,	112:120	0:203
stroke_vb	vvd_vvn@	1855	1	fic_1855_2494.txt-1641-30	 	Florence seated herself, and as she did so, leaned her head on Mary's shoulder, while the latter wound her arm fondly about her, and gently stroked back the	140:147	0:156
stroke_vb	vvg	1842	1	fic_1842_7289.txt-1828-11	 	at the company, Mr. Lowe took his departure, involuntarily stroking with increased affection the nasal eminence which had furnished occasion for so much misplaced merriment. \"	59:67	0:175
stroke_vb	vvg	1856	1	fic_1856_9852.txt-1526-14	 	\" I don't know, you little thing, \" said Harry, stroking her head fondly. \"	48:56	0:75
stroke_vb	vvd	1835	1	fic_1835_7016.txt-84-4	 	As he looked he stroked his beard, and muttered, addressing himself to the hunchback, \" Harkee, Najara, man!	16:23	0:108
stroke_vb	vvz	1999	2	fic_1999_55365.txt-1124-1	 	He strokes the strings like a drum, beats them hard with his hand, up down up down I turn the tape player up that's right and then you're down some more son better watch your updown and then you're turned around.	3:10	0:212
stroke_vb	vvd	1990	2	fic_1990_53198.txt-276-1	 	She stroked his back, whispering, \" Naoki, Naoki, \" his Japanese middle name that she used when they were alone and whenever she thought of him.	4:11	0:144
stroke_vb	vvi	2001	2	fic_2001_31325.txt-227-15	 	As if she had conjured it, Cam reached for her wrist and began to stroke it with his thumb.	66:72	0:91
stroke_vb	vvd	1976	2	fic_1976_10614.txt-2591-10	 	from a pan, while Justine crouched beside them and stroked their tufted spines.	51:58	0:79
stroke_vb	vvz	2001	2	fic_2001_28191.txt-201-2	 	Now she strokes red, yellow, and brown pigments into a thick smear of white lead paint on her palette until it turns a pale flesh color.	8:15	0:136
stroke_vb	vvd	1845	1	fic_1845_622.txt-11495-11	 	back into his place, and, removing his cap, stroked down the remnants of his gray and sandy locks, with an air of mortification mingled with submission.	44:51	0:152
stroke_vb	vvi	1996	2	fic_1996_41962.txt-293-2	 	You must stroke an animal as lightly as you'd stroke a hummingbird.	9:15	0:67
stroke_vb	vv0	1998	2	mag_1998_401996.txt-70-1	 	Gently stroke thc lobe, maybe do a little soft blowing, \" recommends Arava.	7:13	0:75
stroke_vb	vvz_nn2	1853	1	fic_1853_3819.txt-945-17	 	The first thing that attracted their attention was the sound of a bell, which struck four strokes very distinctly, and in a very peculiar manner, near where the helmsman stood in steering the ship.	90:97	0:197
stroke_vb	vvi	2000	2	mag_2000_403485.txt-34-7	 	I took her hand and began to stroke it, and Irish began doing the same on the boy's soaked and shivering shoulder. \"	29:35	0:116
stroke_vb	vvd	1980	2	fic_1980_780046.txt-2845-1	 	She stroked his arm, and he shuddered again, but did not draw himself away.	4:11	0:75
stroke_vb	vv0_nn1	1840	1	nf_1840_768793.txt-556-13	 	My setting forward was somewhat before seauen in the morning; my Taberer stroke up merrily; and as fast as kinde peoples thronging together would giue mee leaue, thorow London I leapt.	73:79	0:184
