lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
afternoon_nn	nnt1	1986	2	fic_1986_782031.txt-439-25	 	These random thoughts of her friend led now, possibly through a natural association of Olga's mean street with the one on which that afternoon's miracle had taken place, back to her own emotion.	133:142	0:194
afternoon_nn	nnt1	1987	2	fic_1987_10764.txt-9951-7	 	If he could have traveled to the afternoon of the tenth, prior to the accident and the shoot-out with Kokoschka, he would have done so in the hope of saving Danny.	33:42	0:163
afternoon_nn	nnt1	2005	2	fic_2005_50067.txt-597-8	 	She liked to go to movies in the afternoon and to seances in the evenings.	33:42	0:74
afternoon_nn	nnt1	2008	2	nf_2008_774723.txt-0-8	 	@@774723 1 Two Years Earlier // One weekday afternoon in May 2004, General George Casey bounded up the stairs to the third floor of his government-furnished quarters, a beautiful old brick mansion on the Potomac River at Fort McNair in Washington, D.C. His wife, Sheila, was packing for a move across the river to Fort Myer, in Virginia, the designated quarters of the Army's vice chief of staff.	44:53	0:396
afternoon_nn	nnt1	1854	1	nf_1854_750816.txt-2159-41	 	The very foremast men of the Saint Michael had already heard him say things which ought to have been reserved for the ears of his confidential advisers, 170 The voyage was safely and quietly performed; and, on the afternoon of the twelfth of March, James landed in the harbour of Kinsale.	214:223	0:288
afternoon_nn	nnt1	1979	2	fic_1979_10650.txt-8749-42	 	Of course it was too early to expect a full report on the list of eleven parasites that Aachen had relayed to the comrades there; obviously museums and galleries would not open till ten, which would be four in the afternoon here.	214:223	0:229
afternoon_nn	nnt1	1844	1	fic_1844_7135.txt-185-2	 	But towards afternoon the pirate, having repaired damages, overhauled him for the eighth time, and getting within range began to open his fire.	12:21	0:143
afternoon_nn	nnt1	1855	1	fic_1855_2965.txt-1490-13	 	Substituting it for the gold ring, he wore it to school that afternoon; and a little negotiation, after school was dismissed, settled the business -- the coveted dog-collar was his!	61:70	0:181
afternoon_nn	nnt1	1997	2	mag_1997_428407.txt-43-45	 	Several scholars, chosen to spend a year doing research at the Getty, complained a few years ago that they were treated too well: tastefully furnished apartments with maid service, catered lunches with excellent wine, servings of tea and cookies every afternoon, no pressure to produce. \"	252:261	0:288
afternoon_nn	nnt1	1838	1	fic_1838_7174.txt-193-12	 	I doubt the brow of our brave dame hath been cloudy this afternoon.	57:66	0:67
