identifier1	identifier2	annotator	judgment	comment	lemma
nf_2008_774816.txt-78-20	fic_1853_2486.txt-330-33	emmaccaulfield	4	 	attack_nn
mag_2004_365334.txt-2-9	nf_2008_774816.txt-78-20	emmaccaulfield	2	 	attack_nn
mag_2005_379002.txt-22-10	mag_1832_564345.txt-180-28	emmaccaulfield	4	 	attack_nn
fic_1988_780054.txt-2791-11	nf_1994_773891.txt-987-21	emmaccaulfield	3	 	attack_nn
fic_1858_1282.txt-1444-24	mag_1853_590234.txt-200-60	emmaccaulfield	2	 	attack_nn
fic_1838_7250.txt-1095-10	nf_2007_775314.txt-41-4	emmaccaulfield	4	 	attack_nn
fic_1982_780070.txt-3698-5	nf_1966_773935.txt-336-23	emmaccaulfield	2	 	attack_nn
fic_2004_49050.txt-745-14	fic_1853_9142.txt-2686-17	emmaccaulfield	2	 	attack_nn
fic_1860_9817.txt-2290-22	fic_1857_9075.txt-4573-21	emmaccaulfield	2	 	attack_nn
mag_1853_590234.txt-200-60	mag_1962_492071.txt-8-21	emmaccaulfield	4	 	attack_nn
news_1968_727226.txt-22-9	fic_1854_9193.txt-8301-13	emmaccaulfield	3	 	attack_nn
fic_1962_781986.txt-3553-2	news_1989_669714.txt-32-21	emmaccaulfield	4	 	attack_nn
fic_1838_7086.txt-2732-33	mag_1846_524014.txt-277-34	emmaccaulfield	4	 	attack_nn
news_1982_671107.txt-19-96	mag_1828_553929.txt-364-34	emmaccaulfield	2	 	attack_nn
mag_2002_398773.txt-149-9	fic_1986_782032.txt-5195-1	emmaccaulfield	3	 	attack_nn
mag_1981_322209.txt-3-7	fic_1835_7309.txt-3267-10	emmaccaulfield	2	 	attack_nn
nf_1844_749098.txt-536-37	mag_1834_554263.txt-306-48	emmaccaulfield	4	 	attack_nn
mag_2005_379095.txt-6-29	mag_1962_492071.txt-8-21	emmaccaulfield	4	 	attack_nn
mag_2004_365334.txt-2-9	mag_1834_554263.txt-216-17	emmaccaulfield	2	 	attack_nn
fic_1839_7024.txt-2377-9	mag_1994_425911.txt-209-3	emmaccaulfield	4	 	attack_nn
mag_1972_278489.txt-11-19	news_1977_733365.txt-24-10	emmaccaulfield	2	 	attack_nn
news_1965_724715.txt-15-7	fic_1827_2832.txt-890-31	emmaccaulfield	2	 	attack_nn
nf_1994_773891.txt-987-21	fic_1986_782032.txt-5195-1	emmaccaulfield	2	 	attack_nn
mag_1832_564307.txt-140-16	mag_1970_315464.txt-8-1	emmaccaulfield	4	 	attack_nn
fic_1835_7309.txt-3267-10	mag_2005_379095.txt-6-29	emmaccaulfield	4	 	attack_nn
news_2001_661984.txt-79-12	nf_1833_747463.txt-2020-14	emmaccaulfield	2	 	attack_nn
nf_2001_746295.txt-103-27	news_1960_721229.txt-32-12	emmaccaulfield	2	 	attack_nn
mag_1832_564239.txt-203-30	news_1960_721229.txt-32-12	emmaccaulfield	3	 	attack_nn
nf_1847_754437.txt-3107-5	fic_1856_9779.txt-7124-6	emmaccaulfield	4	 	attack_nn
fic_1987_782033.txt-287-7	mag_1846_524014.txt-26-2	emmaccaulfield	3	 	attack_nn
mag_1968_212735.txt-7-17	mag_1846_524014.txt-26-2	emmaccaulfield	2	 	attack_nn
fic_1834_2652.txt-5065-36	mag_1980_296543.txt-17-11	emmaccaulfield	4	 	attack_nn
mag_1840_586497.txt-150-6	nf_1845_748321.txt-2041-23	emmaccaulfield	2	 	attack_nn
mag_1970_282294.txt-7-3	mag_2000_368897.txt-14-26	emmaccaulfield	4	 	attack_nn
news_1997_611600.txt-65-2	news_1961_721939.txt-37-3	emmaccaulfield	0	 	attack_nn
nf_1821_749178.txt-186-12	nf_1977_773747.txt-57-27	emmaccaulfield	2	 	attack_nn
fic_1853_9142.txt-2686-17	fic_1831_7210.txt-1507-8	emmaccaulfield	2	 	attack_nn
nf_1845_747928.txt-826-66	nf_1845_748321.txt-2041-23	emmaccaulfield	2	 	attack_nn
fic_1845_7170.txt-4861-9	news_2005_650884.txt-75-29	emmaccaulfield	2	 	attack_nn
nf_1829_751465.txt-2786-42	nf_1849_772497.txt-842-8	emmaccaulfield	4	 	attack_nn
news_1987_669591.txt-19-7	mag_1993_424232.txt-41-14	emmaccaulfield	2	 	attack_nn
fic_1824_7212.txt-597-16	mag_1981_322209.txt-3-7	emmaccaulfield	2	 	attack_nn
mag_1986_432304.txt-168-36	fic_1986_782032.txt-5195-1	emmaccaulfield	3	 	attack_nn
