identifier1	identifier2	annotator	judgment	comment	lemma
fic_1966_1008.txt-1049-4	mag_1995_418713.txt-95-15	amariac810	3	 	bit_nn
mag_1982_492283.txt-17-3	nf_1837_757476.txt-767-14	amariac810	2	 	bit_nn
nf_1997_773513.txt-272-7	fic_1840_7332.txt-2839-38	amariac810	1	 	bit_nn
fic_2002_47331.txt-149-16	fic_1838_7547.txt-2696-2	amariac810	3	 	bit_nn
news_1983_669272.txt-15-1	fic_1848_7265.txt-153-9	amariac810	3	 	bit_nn
fic_1844_7081.txt-2476-7	fic_1827_7261.txt-949-17	amariac810	2	 	bit_nn
fic_1858_1282.txt-3157-23	fic_1860_9072.txt-1590-18	amariac810	3	 	bit_nn
fic_1843_7074.txt-991-19	fic_1966_1008.txt-3443-14	amariac810	3	 	bit_nn
fic_2007_52343.txt-275-5	fic_1859_9037.txt-439-7	amariac810	4	 	bit_nn
fic_1860_3347.txt-573-8	fic_1848_7265.txt-1990-27	amariac810	4	 	bit_nn
fic_1823_7248.txt-2489-20	fic_1977_10629.txt-2755-16	amariac810	1	 	bit_nn
fic_1830_7238.txt-227-10	fic_1834_7252.txt-496-36	amariac810	4	 	bit_nn
nf_1859_747504.txt-1366-77	nf_1854_747500.txt-1269-28	amariac810	4	 	bit_nn
mag_1991_422593.txt-378-23	fic_1835_7328.txt-1895-71	shur	2	 	bit_nn
fic_1833_7240.txt-1787-3	fic_1971_10542.txt-553-4	shur	2	 	bit_nn
nf_1837_757476.txt-3891-24	fic_1989_10785.txt-3149-14	shur	0	 	bit_nn
fic_1969_10521.txt-5644-1	mag_1858_506103.txt-91-18	shur	4	 	bit_nn
fic_1977_780161.txt-4109-6	fic_1848_7193.txt-9902-12	shur	3	 	bit_nn
fic_1859_9037.txt-439-7	fic_1972_10555.txt-6815-18	shur	4	 	bit_nn
fic_1852_2751.txt-14751-9	fic_1860_616.txt-648-21	shur	4	 	bit_nn
news_1982_671085.txt-4-24	fic_1848_7265.txt-153-9	shur	4	 	bit_nn
mag_1991_422593.txt-378-23	fic_1998_32409.txt-69-22	shur	4	 	bit_nn
fic_1859_9037.txt-3196-40	fic_1839_7336.txt-2807-12	amariac810	4	 	bit_nn
fic_1839_7182.txt-2477-6	nf_2001_776362.txt-61-7	amariac810	2	 	bit_nn
nf_1837_757476.txt-1114-18	fic_1859_9037.txt-3196-40	amariac810	2	 	bit_nn
fic_1839_7182.txt-2477-6	fic_1833_7321.txt-2268-4	amariac810	2	 	bit_nn
fic_2008_36192.txt-236-9	fic_1850_7222.txt-1753-50	amariac810	2	 	bit_nn
mag_1998_401997.txt-71-16	fic_1973_10576.txt-1116-7	amariac810	2	 	bit_nn
nf_1969_774314.txt-476-11	nf_1997_773513.txt-272-7	amariac810	2	 	bit_nn
fic_1848_7193.txt-4338-5	mag_1845_555339.txt-10-10	amariac810	3	 	bit_nn
fic_1969_23866.txt-474-3	fic_1856_1552.txt-8126-21	amariac810	4	 	bit_nn
fic_1827_7261.txt-949-17	news_1982_671085.txt-4-24	amariac810	3	 	bit_nn
fic_1828_7245.txt-2249-12	fic_1835_7328.txt-40-16	amariac810	3	 	bit_nn
fic_1857_9075.txt-1339-30	mag_1855_556100.txt-248-14	amariac810	2	 	bit_nn
fic_1860_3347.txt-573-8	fic_1969_23866.txt-474-3	amariac810	2	 	bit_nn
fic_2007_33473.txt-152-24	nf_1969_774314.txt-477-2	amariac810	2	 	bit_nn
mag_1858_506103.txt-91-18	fic_1853_9069.txt-508-4	amariac810	2	 	bit_nn
fic_1972_780109.txt-1145-12	fic_1982_10698.txt-560-9	amariac810	3	 	bit_nn
mag_1977_490791.txt-9-13	nf_1837_757476.txt-1114-18	amariac810	4	 	bit_nn
mag_1990_420108.txt-9-10	news_1987_668817.txt-35-9	amariac810	2	 	bit_nn
mag_2002_396786.txt-166-11	fic_1856_1281.txt-3685-0	amariac810	4	 	bit_nn
fic_2009_36803.txt-116-20	fic_1840_7292.txt-1672-13	amariac810	2	 	bit_nn
fic_1830_7238.txt-227-10	fic_1828_7245.txt-2249-12	amariac810	4	 	bit_nn
mag_1999_407884.txt-518-22	fic_1973_10576.txt-1116-7	amariac810	3	 	bit_nn
fic_1860_9165.txt-3399-17	news_1997_652831.txt-66-11	amariac810	0	 	bit_nn
nf_1981_773908.txt-998-11	mag_1972_103841.txt-133-6	amariac810	0	 	bit_nn
fic_1987_10755.txt-637-12	fic_1833_7321.txt-3755-25	amariac810	2	 	bit_nn
fic_1843_7074.txt-991-19	fic_1856_1552.txt-8126-21	amariac810	4	 	bit_nn
fic_1823_7214.txt-2604-6	mag_1858_506103.txt-91-18	amariac810	1	 	bit_nn
fic_1986_10747.txt-8-12	nf_2008_774725.txt-325-15	amariac810	0	 	bit_nn
fic_1966_10477.txt-210-5	fic_1987_10756.txt-669-21	amariac810	2	 	bit_nn
fic_1853_9158.txt-97-26	fic_1825_7283.txt-354-18	amariac810	1	 	bit_nn
fic_1840_7332.txt-1696-11	nf_1855_748146.txt-1524-6	amariac810	3	 	bit_nn
mag_2009_405396.txt-22-5	fic_1998_32409.txt-69-22	amariac810	3	 	bit_nn
news_1987_668817.txt-35-9	mag_1960_431623.txt-15-9	amariac810	3	 	bit_nn
fic_1977_780161.txt-4109-6	mag_1960_431623.txt-15-9	amariac810	4	 	bit_nn
mag_1858_506103.txt-91-18	fic_1858_1282.txt-3157-23	amariac810	4	 	bit_nn
mag_2000_411179.txt-115-3	fic_1843_7074.txt-991-19	amariac810	4	 	bit_nn
fic_1853_3465.txt-1401-134	fic_2002_27923.txt-256-14	amariac810	2	 	bit_nn
news_1983_669272.txt-15-1	fic_2003_48664.txt-150-2	amariac810	2	 	bit_nn
nf_1837_757476.txt-767-14	fic_1859_270.txt-4126-24	amariac810	2	 	bit_nn
news_1985_668615.txt-35-11	fic_1839_7336.txt-2807-12	amariac810	2	 	bit_nn
fic_1961_4455.txt-5016-28	fic_1853_3465.txt-1016-47	amariac810	2	 	bit_nn
fic_1853_9158.txt-97-26	fic_2002_46761.txt-334-7	amariac810	1	 	bit_nn
fic_1850_7222.txt-1753-50	fic_1840_7332.txt-2839-38	amariac810	4	 	bit_nn
nf_2001_776362.txt-61-7	fic_1833_7321.txt-2268-4	amariac810	4	 	bit_nn
nf_2001_776362.txt-61-7	news_1983_669272.txt-15-1	amariac810	4	 	bit_nn
fic_1850_7222.txt-1753-50	fic_1827_7261.txt-944-9	amariac810	2	 	bit_nn
fic_1835_7328.txt-40-16	fic_1977_10629.txt-2755-16	amariac810	2	 	bit_nn
fic_1827_7261.txt-940-20	fic_1986_10747.txt-8-12	amariac810	3	 	bit_nn
fic_1856_9779.txt-6280-1	fic_1983_10712.txt-1546-9	amariac810	3	 	bit_nn
fic_1844_7081.txt-2476-7	fic_1853_3465.txt-1016-47	amariac810	2	 	bit_nn
fic_2004_32047.txt-132-6	fic_1856_5515.txt-524-25	amariac810	3	 	bit_nn
nf_1859_747504.txt-1366-77	fic_1983_780037.txt-2172-18	emmaccaulfield	3	 	bit_nn
fic_1834_7032.txt-942-15	fic_1835_7014.txt-280-18	emmaccaulfield	1	 	bit_nn
fic_1975_780111.txt-2178-3	mag_1960_431623.txt-15-9	emmaccaulfield	1	 	bit_nn
fic_1968_23855.txt-157-35	mag_1960_431623.txt-15-9	emmaccaulfield	1	 	bit_nn
fic_1982_10687.txt-11810-22	fic_2007_52343.txt-275-5	emmaccaulfield	1	 	bit_nn
fic_1840_7292.txt-1919-10	fic_1845_7170.txt-5018-35	emmaccaulfield	2	 	bit_nn
news_1998_610624.txt-107-35	fic_1823_7214.txt-2604-6	emmaccaulfield	1	 	bit_nn
fic_1966_10469.txt-2680-20	fic_1838_7250.txt-2608-32	emmaccaulfield	1	 	bit_nn
fic_1860_3347.txt-655-27	fic_1850_7222.txt-1746-26	emmaccaulfield	2	 	bit_nn
nf_1837_757476.txt-3891-24	fic_1851_688.txt-41-8	emmaccaulfield	3	 	bit_nn
fic_2008_36192.txt-236-9	mag_1845_555339.txt-10-10	emmaccaulfield	2	 	bit_nn
fic_1851_688.txt-41-8	fic_1835_7014.txt-280-18	emmaccaulfield	1	 	bit_nn
news_2006_604854.txt-83-37	fic_1986_10747.txt-8-12	emmaccaulfield	4	 	bit_nn
fic_1855_9053.txt-1148-7	fic_1851_688.txt-41-8	emmaccaulfield	2	 	bit_nn
fic_1964_14121.txt-148-7	fic_1966_10469.txt-2680-20	emmaccaulfield	4	 	bit_nn
fic_1848_7193.txt-9902-12	fic_1964_10453.txt-834-4	emmaccaulfield	4	 	bit_nn
fic_1997_32347.txt-32-17	mag_1991_422593.txt-378-23	emmaccaulfield	4	 	bit_nn
fic_1860_9165.txt-3399-17	fic_2006_51046.txt-30-3	emmaccaulfield	3	 	bit_nn
fic_2002_27923.txt-256-14	fic_1989_5359.txt-3560-23	emmaccaulfield	3	 	bit_nn
nf_2008_774725.txt-325-15	nf_1979_773532.txt-870-20	emmaccaulfield	1	 	bit_nn
fic_1961_780072.txt-2205-4	fic_2007_52343.txt-275-5	emmaccaulfield	1	 	bit_nn
fic_1858_1282.txt-3157-23	fic_1968_10503.txt-3002-10	emmaccaulfield	3	 	bit_nn
fic_1833_7240.txt-1787-3	fic_1987_10755.txt-637-12	emmaccaulfield	4	 	bit_nn
fic_2002_46761.txt-334-7	fic_1823_7248.txt-2489-20	emmaccaulfield	1	 	bit_nn
fic_1851_3300.txt-1984-5	fic_1972_780109.txt-1145-12	emmaccaulfield	3	 	bit_nn
fic_1968_10503.txt-3002-10	fic_1972_780109.txt-1145-12	emmaccaulfield	3	 	bit_nn
fic_1982_10690.txt-4985-19	fic_1971_10542.txt-553-4	emmaccaulfield	2	 	bit_nn
fic_1811_8637.txt-1110-25	fic_1856_1281.txt-1700-30	emmaccaulfield	2	 	bit_nn
fic_1853_9040.txt-3483-43	fic_1832_9464.txt-182-10	emmaccaulfield	4	 	bit_nn
fic_1853_9040.txt-3483-43	fic_1851_3300.txt-2242-45	emmaccaulfield	1	 	bit_nn
fic_1855_9053.txt-1148-7	fic_1980_10671.txt-1020-34	emmaccaulfield	2	 	bit_nn
mag_1974_316561.txt-5-12	fic_1969_23866.txt-474-3	emmaccaulfield	2	 	bit_nn
fic_1844_7081.txt-2476-7	nf_1853_747976.txt-1572-25	emmaccaulfield	1	 	bit_nn
fic_1998_32409.txt-69-22	mag_1858_506103.txt-91-18	emmaccaulfield	3	 	bit_nn
nf_1837_757476.txt-537-19	news_1962_722562.txt-24-2	emmaccaulfield	3	 	bit_nn
mag_1845_555339.txt-10-10	fic_1840_7332.txt-2839-38	emmaccaulfield	3	 	bit_nn
fic_1989_10785.txt-3149-14	fic_1858_1282.txt-3157-23	emmaccaulfield	3	 	bit_nn
nf_2008_774725.txt-325-15	fic_1856_1281.txt-1700-30	emmaccaulfield	1	 	bit_nn
fic_1826_8999.txt-271-5	fic_1975_780111.txt-2178-3	emmaccaulfield	4	 	bit_nn
fic_1960_23770.txt-175-8	fic_2004_32047.txt-132-6	emmaccaulfield	2	 	bit_nn
fic_2004_32047.txt-132-6	fic_1853_9040.txt-3483-43	emmaccaulfield	1	 	bit_nn
fic_1989_5359.txt-3560-23	nf_1853_747976.txt-1572-25	emmaccaulfield	1	 	bit_nn
fic_1968_23855.txt-157-35	mag_1991_422593.txt-378-23	emmaccaulfield	2	 	bit_nn
fic_1857_9075.txt-1339-30	fic_1818_7631.txt-303-79	emmaccaulfield	4	 	bit_nn
fic_1860_9165.txt-3399-17	mag_1855_556100.txt-248-14	emmaccaulfield	2	 	bit_nn
news_1988_668951.txt-44-7	fic_1851_688.txt-41-8	emmaccaulfield	4	 	bit_nn
fic_1983_780037.txt-2172-18	fic_1972_780109.txt-1145-12	emmaccaulfield	3	 	bit_nn
mag_1855_556100.txt-248-14	fic_1964_10453.txt-834-4	emmaccaulfield	3	 	bit_nn
nf_1859_747504.txt-1366-77	fic_1846_556.txt-3541-8	emmaccaulfield	4	 	bit_nn
nf_2001_776362.txt-61-7	mag_1960_431623.txt-15-9	emmaccaulfield	1	 	bit_nn
fic_1859_9037.txt-3196-40	fic_1966_10477.txt-210-5	emmaccaulfield	4	 	bit_nn
fic_1839_7336.txt-2807-12	fic_1982_10690.txt-4985-19	emmaccaulfield	3	 	bit_nn
