identifier1	identifier2	annotator	judgment	comment	lemma
mag_1848_565755.txt-398-1	fic_1860_9072.txt-2975-6	amariac810	4	 	donkey_nn
nf_1838_747585.txt-3-21	fic_1983_10710.txt-2763-15	amariac810	4	 	donkey_nn
nf_1843_748690.txt-1150-18	mag_1848_565755.txt-432-16	amariac810	3	 	donkey_nn
mag_1981_297232.txt-5-42	fic_1852_2751.txt-4862-10	amariac810	3	 	donkey_nn
fic_1860_615.txt-1436-40	fic_1835_8114.txt-1965-30	amariac810	4	 	donkey_nn
mag_1848_565755.txt-420-24	fic_1961_14307.txt-2701-8	amariac810	3	 	donkey_nn
nf_1843_748690.txt-1049-25	mag_1848_565755.txt-427-5	amariac810	0	 	donkey_nn
news_1982_669225.txt-8-12	nf_1838_747482.txt-1930-7	amariac810	2	 	donkey_nn
news_1993_630370.txt-2-41	fic_1850_2535.txt-122-17	amariac810	4	 	donkey_nn
fic_1990_16024.txt-55-5	nf_1838_747585.txt-1265-14	amariac810	4	 	donkey_nn
fic_1843_7208.txt-11956-37	nf_1843_748690.txt-1171-18	amariac810	4	 	donkey_nn
mag_1853_504777.txt-20-0	fic_1835_8114.txt-1965-30	amariac810	4	 	donkey_nn
nf_1838_747585.txt-3-21	nf_1843_748690.txt-467-47	amariac810	4	 	donkey_nn
fic_1993_1040075.txt-591-5	fic_1839_7352.txt-1973-3	amariac810	4	 	donkey_nn
fic_1852_3609.txt-313-8	nf_1838_747585.txt-435-20	emmaccaulfield	4	 	donkey_nn
fic_2005_50069.txt-390-5	fic_1993_1040057.txt-226-29	emmaccaulfield	4	 	donkey_nn
nf_1990_774020.txt-815-7	fic_1987_10753.txt-7144-3	amariac810	4	 	donkey_nn
nf_1838_747585.txt-874-19	mag_1848_565755.txt-420-24	amariac810	4	 	donkey_nn
fic_1839_1484.txt-1830-35	nf_1990_774020.txt-757-13	amariac810	3	 	donkey_nn
fic_1855_602.txt-4503-54	fic_1997_54593.txt-116-14	amariac810	4	 	donkey_nn
nf_1838_747585.txt-438-30	fic_1990_53195.txt-165-1	amariac810	4	 	donkey_nn
nf_1990_774020.txt-757-13	fic_1839_1484.txt-211-74	amariac810	3	 	donkey_nn
nf_1843_748690.txt-467-47	fic_1987_10753.txt-5243-11	amariac810	4	 	donkey_nn
fic_1981_10686.txt-1350-7	fic_1832_8862.txt-325-57	amariac810	3	 	donkey_nn
nf_1838_747585.txt-1529-15	mag_1848_565755.txt-397-21	amariac810	4	 	donkey_nn
mag_1961_246109.txt-19-52	fic_1987_10753.txt-7144-3	amariac810	0	 	donkey_nn
nf_1838_747585.txt-459-2	fic_1984_10723.txt-1931-32	amariac810	4	 	donkey_nn
fic_1987_10753.txt-7846-6	mag_1853_590188.txt-55-11	amariac810	4	 	donkey_nn
fic_1968_13276.txt-831-9	nf_1838_747585.txt-8-17	amariac810	4	 	donkey_nn
fic_1835_7353.txt-663-9	nf_1838_747585.txt-901-9	amariac810	4	 	donkey_nn
fic_1994_54030.txt-305-13	mag_1973_431860.txt-18-42	amariac810	4	 	donkey_nn
fic_1839_7352.txt-891-11	fic_1966_781993.txt-2170-9	amariac810	4	 	donkey_nn
nf_1838_747585.txt-874-19	fic_1846_7036.txt-2125-21	amariac810	4	 	donkey_nn
fic_1974_10580.txt-8228-6	fic_1975_10601.txt-83-16	amariac810	2	 	donkey_nn
nf_1843_748690.txt-1154-34	fic_1852_3609.txt-300-19	amariac810	4	 	donkey_nn
fic_1987_10753.txt-7717-15	fic_1983_10710.txt-482-40	amariac810	3	 	donkey_nn
fic_1988_13990.txt-761-6	fic_1848_7193.txt-1295-33	amariac810	2	 	donkey_nn
fic_1993_25024.txt-2073-8	fic_1848_7193.txt-1295-33	amariac810	2	 	donkey_nn
fic_1847_7124.txt-543-5	fic_1992_16254.txt-452-3	amariac810	4	 	donkey_nn
mag_1845_587513.txt-312-13	fic_1993_1040090.txt-4023-11	amariac810	4	 	donkey_nn
nf_1838_747585.txt-481-57	fic_1851_746.txt-2590-6	amariac810	3	 	donkey_nn
fic_1843_7208.txt-2343-17	nf_1843_748690.txt-467-47	amariac810	3	 	donkey_nn
fic_1855_604.txt-809-10	fic_1983_23976.txt-771-10	amariac810	3	 	donkey_nn
nf_1838_747585.txt-481-57	fic_2008_36244.txt-94-2	amariac810	0	 	donkey_nn
fic_1984_10723.txt-1468-14	nf_1856_755595.txt-89-1	amariac810	4	 	donkey_nn
fic_1843_7208.txt-2339-7	fic_1974_10580.txt-8228-6	amariac810	2	 	donkey_nn
nf_1843_748690.txt-1587-35	fic_1852_3609.txt-1151-3	amariac810	4	 	donkey_nn
fic_1852_3609.txt-300-19	fic_1983_10704.txt-1836-8	amariac810	4	 	donkey_nn
nf_1843_748690.txt-1154-34	nf_1854_755030.txt-147-11	amariac810	4	 	donkey_nn
fic_1852_2751.txt-4862-10	fic_1843_7208.txt-2342-16	amariac810	2	 	donkey_nn
fic_1987_10753.txt-7144-3	fic_1860_615.txt-1436-40	emmaccaulfield	4	 	donkey_nn
fic_1984_10723.txt-565-8	nf_1838_747585.txt-1531-29	emmaccaulfield	4	 	donkey_nn
fic_1843_7039.txt-3001-5	fic_1838_7085.txt-1618-2	shur	2	 	donkey_nn
fic_1969_10510.txt-1908-23	fic_1997_54593.txt-116-14	shur	4	 	donkey_nn
fic_2009_36726.txt-8-6	fic_1835_7353.txt-663-9	shur	4	 	donkey_nn
nf_1852_752548.txt-796-22	fic_1999_30759.txt-67-16	shur	2	 	donkey_nn
fic_1987_782034.txt-8660-41	nf_1852_752548.txt-796-22	shur	0	 	donkey_nn
nf_1838_747585.txt-1265-14	fic_1971_10544.txt-4957-8	shur	4	 	donkey_nn
fic_1984_10723.txt-413-26	fic_1835_8114.txt-1961-4	shur	4	 	donkey_nn
fic_1859_270.txt-4207-53	fic_1850_184.txt-1431-25	shur	2	 	donkey_nn
fic_1984_10723.txt-2046-9	news_1993_630370.txt-2-41	emmaccaulfield	4	 	donkey_nn
nf_1838_747585.txt-436-15	fic_1994_41307.txt-1046-52	emmaccaulfield	4	 	donkey_nn
nf_1990_774020.txt-820-5	fic_1852_3726.txt-347-4	emmaccaulfield	0	 	donkey_nn
fic_1839_7352.txt-891-11	nf_1990_774020.txt-1034-29	emmaccaulfield	0	 	donkey_nn
fic_1984_10723.txt-413-26	news_1982_669225.txt-8-12	emmaccaulfield	3	 	donkey_nn
fic_1860_9072.txt-2975-6	fic_1993_1040090.txt-4023-11	emmaccaulfield	4	 	donkey_nn
fic_1860_616.txt-1354-0	fic_1847_7124.txt-543-5	emmaccaulfield	4	 	donkey_nn
fic_1860_616.txt-1354-0	fic_1993_1040057.txt-226-29	emmaccaulfield	4	 	donkey_nn
fic_1835_8114.txt-1961-4	fic_1970_10536.txt-1122-9	emmaccaulfield	2	 	donkey_nn
fic_2000_38940.txt-106-26	fic_1860_9072.txt-3702-25	emmaccaulfield	4	 	donkey_nn
fic_1960_10402.txt-120-4	mag_1847_524175.txt-916-3	emmaccaulfield	0	 	donkey_nn
news_1984_671409.txt-15-28	fic_1960_10400.txt-5015-10	emmaccaulfield	4	 	donkey_nn
mag_1853_504777.txt-20-0	fic_1968_13276.txt-831-9	amariac810	4	 	donkey_nn
fic_1850_2535.txt-122-17	news_2007_637936.txt-1-10	amariac810	3	 	donkey_nn
mag_1961_246109.txt-19-52	fic_1983_23976.txt-771-10	amariac810	4	 	donkey_nn
fic_1859_270.txt-4207-53	nf_1843_748690.txt-1151-22	amariac810	2	 	donkey_nn
nf_1838_747585.txt-8-17	mag_1966_211235.txt-8-4	amariac810	4	 	donkey_nn
fic_1852_3609.txt-1151-3	mag_1856_505599.txt-27-8	amariac810	4	 	donkey_nn
nf_1999_774019.txt-609-4	fic_1835_7353.txt-1191-8	amariac810	4	 	donkey_nn
fic_1984_10723.txt-598-16	mag_1999_404075.txt-254-9	amariac810	0	 	donkey_nn
fic_1984_10723.txt-1278-9	fic_1984_10723.txt-755-3	amariac810	4	 	donkey_nn
nf_1843_748690.txt-1154-34	mag_1999_404075.txt-254-9	amariac810	4	 	donkey_nn
fic_1970_782001.txt-2725-9	nf_1990_774020.txt-1034-29	amariac810	3	 	donkey_nn
news_1993_630370.txt-2-41	fic_1855_9053.txt-137-57	amariac810	3	 	donkey_nn
fic_1846_7036.txt-2125-21	fic_1984_10723.txt-1278-9	amariac810	4	 	donkey_nn
nf_1988_773806.txt-873-15	fic_1860_615.txt-1436-40	amariac810	4	 	donkey_nn
fic_1969_10510.txt-1908-23	fic_1855_604.txt-1880-34	amariac810	4	 	donkey_nn
mag_1848_565755.txt-432-16	fic_1984_10723.txt-1468-14	amariac810	3	 	donkey_nn
mag_1852_504526.txt-224-7	fic_1843_7208.txt-12805-16	amariac810	4	 	donkey_nn
nf_1838_747585.txt-438-30	nf_1852_752548.txt-796-22	amariac810	4	 	donkey_nn
fic_1854_9218.txt-1169-19	nf_1990_774020.txt-911-20	amariac810	4	 	donkey_nn
nf_1859_748120.txt-0-25	fic_1856_7698.txt-472-2	amariac810	4	 	donkey_nn
fic_1987_10753.txt-7830-8	fic_1987_10753.txt-7144-3	amariac810	4	 	donkey_nn
fic_1960_10402.txt-120-4	fic_2008_36244.txt-94-2	amariac810	2	 	donkey_nn
fic_1852_3609.txt-313-8	fic_1859_270.txt-4207-53	amariac810	2	 	donkey_nn
nf_1838_747585.txt-481-57	nf_1990_774020.txt-911-20	amariac810	4	 	donkey_nn
news_1993_630370.txt-2-41	mag_1843_555104.txt-706-25	amariac810	4	 	donkey_nn
fic_1987_10753.txt-7717-15	fic_1851_746.txt-2559-7	amariac810	4	 	donkey_nn
fic_1843_7208.txt-6866-63	nf_1990_774020.txt-1034-29	amariac810	2	 	donkey_nn
news_1993_630370.txt-2-41	fic_1835_8114.txt-1961-4	amariac810	4	 	donkey_nn
nf_1999_774012.txt-1341-9	nf_1838_747585.txt-438-30	amariac810	4	 	donkey_nn
fic_1848_7193.txt-1295-33	fic_1975_10601.txt-83-16	amariac810	4	 	donkey_nn
nf_1838_747585.txt-1265-14	fic_1999_30759.txt-67-16	amariac810	3	 	donkey_nn
news_1982_669225.txt-8-12	news_1984_671409.txt-15-28	amariac810	2	 	donkey_nn
fic_1855_9053.txt-137-57	fic_1843_7208.txt-2342-16	amariac810	2	 	donkey_nn
mag_1848_565755.txt-397-21	fic_1854_3384.txt-1965-12	amariac810	2	 	donkey_nn
fic_1846_7036.txt-2125-21	fic_1860_9072.txt-1841-7	amariac810	4	 	donkey_nn
nf_1838_747585.txt-1265-14	fic_1983_10704.txt-1836-8	amariac810	4	 	donkey_nn
nf_1843_748690.txt-1049-25	fic_1993_1040090.txt-4023-11	amariac810	0	 	donkey_nn
fic_1987_782034.txt-8660-41	fic_1984_10723.txt-684-6	amariac810	4	 	donkey_nn
fic_1860_9072.txt-2975-6	fic_1961_14307.txt-2701-8	amariac810	4	 	donkey_nn
fic_1856_7698.txt-435-19	mag_1961_246109.txt-19-52	amariac810	4	 	donkey_nn
fic_1852_3726.txt-347-4	fic_1984_10723.txt-1468-14	amariac810	0	 	donkey_nn
fic_1843_7208.txt-2343-17	nf_1843_748690.txt-1049-25	amariac810	0	 	donkey_nn
nf_1843_748690.txt-1587-35	fic_1843_7208.txt-2342-16	amariac810	2	 	donkey_nn
fic_1850_2535.txt-122-17	nf_1843_748690.txt-467-47	amariac810	4	 	donkey_nn
fic_1984_10723.txt-926-4	fic_1833_7201.txt-454-18	amariac810	4	 	donkey_nn
news_1984_671409.txt-15-28	fic_1976_10615.txt-992-15	amariac810	4	 	donkey_nn
nf_1838_747585.txt-1265-14	nf_1843_748690.txt-1414-27	amariac810	4	 	donkey_nn
nf_1838_747585.txt-3-21	fic_1852_2751.txt-4862-10	amariac810	4	 	donkey_nn
fic_1992_16254.txt-452-3	nf_1838_747585.txt-1529-15	amariac810	4	 	donkey_nn
fic_1984_10723.txt-3174-22	nf_1991_746789.txt-20-30	amariac810	4	 	donkey_nn
news_1993_630370.txt-2-41	fic_2005_50069.txt-390-5	amariac810	3	 	donkey_nn
fic_1984_10723.txt-3174-22	mag_1978_479996.txt-153-1	amariac810	4	 	donkey_nn
mag_1853_590188.txt-55-11	mag_1961_246109.txt-19-52	amariac810	4	 	donkey_nn
mag_1966_211235.txt-8-4	fic_1960_10402.txt-120-4	amariac810	2	 	donkey_nn
fic_1992_16254.txt-518-11	fic_1994_54030.txt-305-13	amariac810	4	 	donkey_nn
news_1993_655718.txt-34-45	fic_1984_10723.txt-1278-9	emmaccaulfield	4	 	donkey_nn
fic_1983_10704.txt-1836-8	fic_1845_7317.txt-1588-14	emmaccaulfield	4	 	donkey_nn
mag_1966_211235.txt-8-4	fic_1854_3384.txt-1965-12	emmaccaulfield	4	 	donkey_nn
fic_1839_1484.txt-1830-35	fic_1984_10723.txt-926-4	emmaccaulfield	4	 	donkey_nn
news_1984_671409.txt-15-28	nf_1852_752548.txt-796-22	emmaccaulfield	4	 	donkey_nn
fic_1984_10723.txt-1278-9	nf_1988_773806.txt-873-15	emmaccaulfield	4	 	donkey_nn
mag_1848_565755.txt-432-16	nf_1838_747585.txt-436-15	emmaccaulfield	4	 	donkey_nn
fic_1981_10686.txt-1350-7	fic_1839_1484.txt-211-74	emmaccaulfield	4	 	donkey_nn
fic_1993_25024.txt-2073-8	mag_1962_268753.txt-14-7	emmaccaulfield	3	 	donkey_nn
mag_1961_246109.txt-19-52	nf_1838_747585.txt-1265-14	emmaccaulfield	4	 	donkey_nn
nf_1990_773851.txt-1129-6	fic_1856_7698.txt-435-19	emmaccaulfield	4	 	donkey_nn
nf_1991_746789.txt-20-30	fic_1855_604.txt-809-10	emmaccaulfield	4	 	donkey_nn
fic_1839_7352.txt-1973-3	mag_1848_565755.txt-398-1	emmaccaulfield	4	 	donkey_nn
mag_1847_524175.txt-916-3	fic_2000_38940.txt-106-26	emmaccaulfield	2	 	donkey_nn
nf_1843_748690.txt-1587-35	nf_1838_747585.txt-901-9	emmaccaulfield	4	 	donkey_nn
mag_1852_504502.txt-398-19	fic_1966_781993.txt-2170-9	emmaccaulfield	4	 	donkey_nn
fic_2005_50069.txt-390-5	nf_1843_748690.txt-1151-22	emmaccaulfield	4	 	donkey_nn
fic_1850_184.txt-1431-25	fic_1843_7208.txt-2343-17	emmaccaulfield	3	 	donkey_nn
mag_1848_565755.txt-397-21	fic_1975_16400.txt-1817-37	emmaccaulfield	4	 	donkey_nn
news_1993_655718.txt-34-45	fic_1993_53894.txt-128-12	emmaccaulfield	4	 	donkey_nn
fic_1847_7124.txt-543-5	fic_1961_14307.txt-2701-8	emmaccaulfield	3	 	donkey_nn
nf_1838_747585.txt-901-9	fic_1852_3609.txt-300-19	emmaccaulfield	4	 	donkey_nn
fic_1993_1040075.txt-370-6	fic_1981_10686.txt-1350-7	emmaccaulfield	2	 	donkey_nn
fic_2000_38940.txt-106-26	fic_1856_7698.txt-435-19	emmaccaulfield	4	 	donkey_nn
fic_1843_7208.txt-2343-17	fic_2000_28733.txt-74-25	emmaccaulfield	3	 	donkey_nn
news_1993_630370.txt-2-41	nf_1990_774020.txt-911-20	emmaccaulfield	2	 	donkey_nn
nf_1838_747585.txt-438-30	fic_1843_7208.txt-2342-16	emmaccaulfield	2	 	donkey_nn
fic_1838_7085.txt-1618-2	nf_1838_747585.txt-912-36	emmaccaulfield	2	 	donkey_nn
fic_2000_28733.txt-74-25	nf_1838_747585.txt-8-17	emmaccaulfield	4	 	donkey_nn
fic_1846_7036.txt-2125-21	fic_1996_29811.txt-147-27	emmaccaulfield	4	 	donkey_nn
mag_1848_565755.txt-420-24	mag_1845_587513.txt-312-13	emmaccaulfield	4	 	donkey_nn
nf_1838_747585.txt-912-36	fic_1994_41271.txt-167-5	emmaccaulfield	2	 	donkey_nn
fic_1843_7208.txt-2339-7	news_1984_671409.txt-15-28	emmaccaulfield	2	 	donkey_nn
mag_1966_211235.txt-8-4	fic_1984_10723.txt-598-16	emmaccaulfield	4	 	donkey_nn
nf_1838_747585.txt-435-20	fic_1850_2535.txt-122-17	emmaccaulfield	4	 	donkey_nn
fic_1974_10580.txt-8228-6	fic_1852_2751.txt-4862-10	emmaccaulfield	2	 	donkey_nn
fic_1983_10710.txt-2763-15	fic_1860_9072.txt-2829-2	emmaccaulfield	4	 	donkey_nn
fic_1984_10723.txt-1278-9	nf_1856_755595.txt-90-25	emmaccaulfield	4	 	donkey_nn
fic_1990_53195.txt-165-1	mag_1847_524175.txt-916-3	emmaccaulfield	2	 	donkey_nn
nf_1843_748690.txt-1158-8	news_1984_671409.txt-15-28	emmaccaulfield	4	 	donkey_nn
nf_1843_748690.txt-1151-22	fic_1987_10753.txt-7144-3	emmaccaulfield	4	 	donkey_nn
fic_1994_54030.txt-305-13	fic_1993_1040057.txt-226-29	emmaccaulfield	4	 	donkey_nn
mag_1990_421215.txt-146-20	news_1984_671409.txt-15-28	emmaccaulfield	3	 	donkey_nn
mag_1973_105602.txt-74-24	nf_1843_748690.txt-1151-22	emmaccaulfield	4	 	donkey_nn
fic_1984_10723.txt-926-4	fic_1846_7036.txt-2125-21	emmaccaulfield	4	 	donkey_nn
nf_1856_755595.txt-90-25	fic_1961_14307.txt-2701-8	shur	0	 	donkey_nn
nf_1990_773851.txt-1129-6	fic_1984_10723.txt-1278-9	shur	4	 	donkey_nn
nf_1838_747585.txt-436-15	mag_1856_505599.txt-27-8	shur	2	 	donkey_nn
nf_1843_748690.txt-1151-22	nf_1838_747585.txt-1531-29	shur	4	 	donkey_nn
nf_1990_773851.txt-1129-6	fic_1984_10723.txt-1931-32	shur	4	 	donkey_nn
nf_1859_748120.txt-0-25	fic_1977_10620.txt-714-2	shur	0	 	donkey_nn
fic_1990_16024.txt-55-5	nf_1854_755030.txt-147-11	shur	4	 	donkey_nn
nf_1990_774020.txt-1017-3	fic_1843_7208.txt-2342-16	shur	0	 	donkey_nn
fic_1994_41271.txt-167-5	fic_1992_16254.txt-452-3	shur	2	 	donkey_nn
fic_1960_10402.txt-120-4	fic_1977_780102.txt-2383-1	shur	4	 	donkey_nn
fic_1846_7036.txt-2123-11	nf_1990_773851.txt-1129-6	shur	4	 	donkey_nn
fic_1860_616.txt-3124-92	fic_1993_1040075.txt-370-6	shur	2	 	donkey_nn
fic_1843_7208.txt-11924-17	fic_2009_36726.txt-8-6	shur	4	 	donkey_nn
fic_1992_16254.txt-518-11	nf_1843_748690.txt-1158-8	shur	4	 	donkey_nn
fic_1855_602.txt-4503-54	nf_1990_774020.txt-815-7	shur	0	 	donkey_nn
mag_1990_421215.txt-146-20	nf_1856_755595.txt-2253-41	shur	4	 	donkey_nn
nf_1990_774020.txt-861-8	fic_1839_1484.txt-211-74	shur	4	 	donkey_nn
mag_1848_565755.txt-397-21	news_1982_669225.txt-8-12	shur	4	 	donkey_nn
nf_1838_747585.txt-8-17	fic_1855_9053.txt-3687-7	shur	4	 	donkey_nn
nf_1852_752548.txt-798-31	fic_1987_10753.txt-5243-11	shur	2	 	donkey_nn
fic_1984_10723.txt-926-4	fic_1984_10723.txt-598-16	shur	4	 	donkey_nn
fic_1983_10704.txt-1836-8	fic_1984_10723.txt-413-26	shur	4	 	donkey_nn
fic_1999_30759.txt-67-16	fic_1860_9072.txt-1841-7	shur	2	 	donkey_nn
fic_1983_10710.txt-2763-15	mag_1990_421215.txt-146-20	shur	4	 	donkey_nn
nf_1838_747585.txt-481-57	fic_1983_10710.txt-2763-15	shur	4	 	donkey_nn
fic_1854_9218.txt-1169-19	fic_1855_9053.txt-137-57	shur	4	 	donkey_nn
fic_1996_29811.txt-147-27	fic_1974_10580.txt-8228-6	shur	4	 	donkey_nn
mag_1978_479996.txt-153-1	news_2007_637936.txt-36-12	shur	4	 	donkey_nn
fic_1832_8862.txt-325-57	fic_1966_781993.txt-2170-9	shur	4	 	donkey_nn
fic_2000_28733.txt-74-25	nf_1852_752548.txt-798-31	shur	2	 	donkey_nn
fic_1854_3384.txt-1965-12	fic_1846_7036.txt-2123-11	shur	4	 	donkey_nn
nf_1988_773806.txt-873-15	fic_1997_54593.txt-116-14	shur	4	 	donkey_nn
fic_1838_7085.txt-1618-2	mag_1843_555104.txt-706-25	shur	2	 	donkey_nn
news_1993_630370.txt-2-41	fic_1854_3384.txt-1965-12	shur	4	 	donkey_nn
nf_1856_755595.txt-2253-41	fic_1843_7208.txt-2343-17	shur	4	 	donkey_nn
fic_1851_746.txt-2559-7	nf_1990_773851.txt-1129-6	shur	4	 	donkey_nn
fic_1987_10753.txt-7144-3	fic_1984_10723.txt-1278-9	shur	0	 	donkey_nn
fic_1843_7039.txt-3001-5	fic_1993_1040057.txt-226-29	shur	4	 	donkey_nn
fic_1846_7036.txt-2125-21	nf_1990_774020.txt-820-5	shur	4	 	donkey_nn
mag_1981_297232.txt-5-42	mag_1963_269445.txt-16-39	shur	2	 	donkey_nn
fic_1993_1040075.txt-591-5	fic_1860_9072.txt-2829-2	shur	0	 	donkey_nn
fic_1993_25024.txt-2073-8	fic_1987_10753.txt-7846-6	shur	2	 	donkey_nn
mag_1852_504502.txt-398-19	fic_1990_16024.txt-55-5	shur	4	 	donkey_nn
nf_1843_748690.txt-1158-8	nf_1990_774020.txt-1034-29	shur	0	 	donkey_nn
fic_1970_10536.txt-1122-9	mag_1981_297232.txt-5-42	shur	2	 	donkey_nn
nf_1838_747585.txt-912-36	fic_1984_10723.txt-3174-22	shur	4	 	donkey_nn
fic_1971_10544.txt-4957-8	fic_1987_782034.txt-8660-41	shur	0	 	donkey_nn
fic_1966_10472.txt-5131-110	mag_1978_479996.txt-153-1	shur	4	 	donkey_nn
fic_1994_41307.txt-1046-52	fic_1983_10704.txt-1836-8	shur	4	 	donkey_nn
nf_1838_747585.txt-874-19	fic_2000_38940.txt-106-26	shur	4	 	donkey_nn
nf_1990_774020.txt-1017-3	fic_1835_7353.txt-663-9	shur	0	 	donkey_nn
nf_1852_752548.txt-798-31	fic_1860_616.txt-1354-0	shur	2	 	donkey_nn
