identifier1	identifier2	annotator	judgment	comment	lemma
fic_1855_2730.txt-1391-6	fic_1983_10704.txt-8379-13	amariac810	0	 	lane_nn
mag_1965_491996.txt-170-16	fic_1849_7218.txt-3145-7	amariac810	0	 	lane_nn
fic_1849_583.txt-1636-22	fic_1848_7193.txt-6564-15	amariac810	0	 	lane_nn
mag_1990_419996.txt-83-20	fic_1827_7168.txt-711-47	amariac810	4	 	lane_nn
news_1983_668568.txt-1-25	fic_2004_29297.txt-20-8	amariac810	0	 	lane_nn
fic_2009_36491.txt-72-6	fic_2006_51059.txt-23-15	amariac810	0	 	lane_nn
news_1980_734630.txt-11-14	fic_2009_36349.txt-22-7	amariac810	0	 	lane_nn
fic_1859_9037.txt-623-77	fic_1856_1281.txt-5817-35	amariac810	4	 	lane_nn
fic_1975_10601.txt-1150-9	fic_1860_9188.txt-5205-18	emmaccaulfield	3	 	lane_nn
news_1967_726411.txt-62-0	fic_1817_8809.txt-8-8	emmaccaulfield	1	 	lane_nn
fic_1850_7171.txt-5203-23	fic_1980_10659.txt-4046-7	emmaccaulfield	3	 	lane_nn
fic_1855_602.txt-3576-18	fic_1998_27532.txt-18-9	emmaccaulfield	3	 	lane_nn
fic_1994_41277.txt-19-8	fic_1835_7143.txt-1845-13	emmaccaulfield	2	 	lane_nn
fic_1850_7171.txt-150-13	news_1989_670790.txt-16-12	emmaccaulfield	1	 	lane_nn
mag_1844_587318.txt-562-14	mag_2009_405373.txt-0-8	emmaccaulfield	3	 	lane_nn
nf_1840_768793.txt-692-82	fic_1848_7193.txt-215-13	emmaccaulfield	4	 	lane_nn
fic_1850_7171.txt-150-13	fic_2005_30095.txt-93-8	emmaccaulfield	3	 	lane_nn
nf_1843_747536.txt-2573-52	news_1983_668568.txt-1-25	emmaccaulfield	3	 	lane_nn
mag_1844_587318.txt-562-14	fic_2007_52155.txt-153-27	emmaccaulfield	4	 	lane_nn
fic_1849_7218.txt-3145-7	mag_2000_408698.txt-68-23	emmaccaulfield	3	 	lane_nn
fic_1835_7143.txt-1845-13	fic_1986_23984.txt-75-9	emmaccaulfield	4	 	lane_nn
fic_1835_7064.txt-3003-4	fic_1854_9160.txt-2935-1	emmaccaulfield	4	 	lane_nn
fic_1995_52953.txt-10-22	nf_1852_771569.txt-1053-5	emmaccaulfield	2	 	lane_nn
fic_1839_7088.txt-1960-61	nf_1846_748061.txt-80-31	emmaccaulfield	4	 	lane_nn
nf_1846_748061.txt-111-13	fic_2003_48659.txt-211-10	emmaccaulfield	2	 	lane_nn
