identifier1	identifier2	annotator	judgment	comment	lemma
fic_1847_7149.txt-48-54	fic_1846_544.txt-333-4	amariac810	4	 	lass_nn
fic_1974_780164.txt-1256-32	fic_1972_10557.txt-2747-5	amariac810	4	 	lass_nn
nf_1984_774242.txt-1326-11	fic_1843_7116.txt-477-15	amariac810	4	 	lass_nn
fic_2001_14559.txt-594-15	fic_2005_50424.txt-0-36	amariac810	4	 	lass_nn
fic_1844_7081.txt-543-12	fic_1986_10746.txt-660-9	amariac810	3	 	lass_nn
nf_1854_755030.txt-3112-24	nf_1832_758144.txt-421-17	amariac810	4	 	lass_nn
fic_1824_7211.txt-2316-18	fic_1824_7211.txt-745-21	amariac810	4	 	lass_nn
fic_1818_8861.txt-495-8	fic_1843_7208.txt-10532-32	amariac810	4	 	lass_nn
fic_1847_9120.txt-24-3	fic_1833_7058.txt-1562-15	amariac810	4	 	lass_nn
mag_1988_487706.txt-108-9	fic_1835_7334.txt-1114-91	amariac810	4	 	lass_nn
fic_1854_8328.txt-5343-12	fic_1974_780164.txt-1989-3	amariac810	4	 	lass_nn
fic_1854_2820.txt-5129-20	fic_1844_7081.txt-1867-11	amariac810	4	 	lass_nn
fic_1823_7213.txt-1732-5	fic_1837_7395.txt-3207-35	amariac810	4	 	lass_nn
fic_1815_8719.txt-718-15	fic_1847_7149.txt-48-54	amariac810	4	 	lass_nn
fic_1854_8328.txt-5343-12	fic_2004_32368.txt-134-15	amariac810	4	 	lass_nn
fic_1977_10628.txt-4037-4	fic_1974_780164.txt-382-3	amariac810	3	 	lass_nn
fic_1860_8725.txt-8-2	fic_1999_44468.txt-90-4	amariac810	0	 	lass_nn
fic_1848_7193.txt-13264-28	fic_1853_3465.txt-2755-5	amariac810	4	 	lass_nn
fic_1823_7213.txt-551-14	fic_1845_7103.txt-24-29	amariac810	4	 	lass_nn
fic_2005_31478.txt-87-12	mag_1964_208036.txt-1-10	amariac810	3	 	lass_nn
fic_1832_7177.txt-3501-37	fic_1824_7211.txt-1161-4	amariac810	3	 	lass_nn
fic_1838_7085.txt-2447-18	news_2001_661933.txt-35-0	amariac810	4	 	lass_nn
fic_1974_10593.txt-3510-10	fic_1985_10727.txt-2751-2	amariac810	3	 	lass_nn
fic_1847_7149.txt-2014-29	fic_1849_5168.txt-2217-20	amariac810	4	 	lass_nn
nf_1852_752548.txt-2830-27	fic_1995_39439.txt-273-15	amariac810	4	 	lass_nn
fic_1824_8753.txt-829-11	fic_1849_5295.txt-473-8	amariac810	4	 	lass_nn
fic_1849_7333.txt-1254-39	fic_1823_9628.txt-498-19	amariac810	4	 	lass_nn
fic_2004_32497.txt-94-6	fic_1843_7155.txt-1237-67	amariac810	3	 	lass_nn
fic_1845_7103.txt-24-29	fic_2004_29590.txt-142-2	amariac810	4	 	lass_nn
nf_1854_755030.txt-3112-24	fic_1848_7193.txt-13264-28	amariac810	4	 	lass_nn
fic_1859_9220.txt-669-14	fic_1845_7103.txt-24-29	amariac810	4	 	lass_nn
fic_1834_7032.txt-2020-45	fic_1815_8613.txt-100-9	amariac810	4	 	lass_nn
fic_1999_44468.txt-90-4	fic_1823_8520.txt-1516-23	amariac810	4	 	lass_nn
fic_1837_7395.txt-1589-33	fic_1999_44468.txt-104-7	amariac810	3	 	lass_nn
fic_2005_32787.txt-402-4	nf_1824_747448.txt-1941-90	amariac810	3	 	lass_nn
fic_1998_43328.txt-596-9	fic_2006_29620.txt-90-43	amariac810	3	 	lass_nn
fic_2006_26899.txt-32-22	nf_1832_758144.txt-421-17	amariac810	4	 	lass_nn
fic_1844_7081.txt-543-12	fic_1823_7213.txt-551-14	emmaccaulfield	4	 	lass_nn
fic_1824_7211.txt-1090-18	fic_1854_7839.txt-1700-3	emmaccaulfield	4	 	lass_nn
fic_1824_8753.txt-829-11	nf_1974_773785.txt-272-22	emmaccaulfield	4	 	lass_nn
fic_1999_44468.txt-98-8	fic_1849_5168.txt-4805-6	emmaccaulfield	4	 	lass_nn
fic_1973_10576.txt-2136-2	fic_1835_7272.txt-1843-27	emmaccaulfield	4	 	lass_nn
mag_1846_565490.txt-312-31	fic_2002_28914.txt-4-24	emmaccaulfield	0	 	lass_nn
fic_1824_7211.txt-745-21	fic_1997_28876.txt-24-17	emmaccaulfield	4	 	lass_nn
fic_1998_43328.txt-596-9	fic_1854_2820.txt-5129-20	emmaccaulfield	1	 	lass_nn
fic_1986_10746.txt-660-9	fic_1977_10628.txt-4037-4	emmaccaulfield	4	 	lass_nn
fic_1818_8861.txt-495-8	fic_1815_8613.txt-100-9	emmaccaulfield	4	 	lass_nn
fic_1846_8819.txt-1886-16	fic_1995_39439.txt-273-15	emmaccaulfield	1	 	lass_nn
fic_2000_38940.txt-758-38	fic_1824_7211.txt-745-21	emmaccaulfield	4	 	lass_nn
fic_1974_780164.txt-382-3	fic_1854_8328.txt-5343-12	emmaccaulfield	4	 	lass_nn
fic_1815_8717.txt-1117-15	fic_1849_583.txt-2574-50	emmaccaulfield	0	 	lass_nn
mag_2001_417106.txt-800-8	fic_1824_7211.txt-189-15	emmaccaulfield	4	 	lass_nn
mag_1987_494263.txt-44-14	fic_2004_32497.txt-94-6	emmaccaulfield	4	 	lass_nn
fic_1846_4464.txt-1316-28	fic_1999_45249.txt-99-2	emmaccaulfield	4	 	lass_nn
fic_1974_780164.txt-1015-9	fic_2009_36846.txt-47-6	emmaccaulfield	4	 	lass_nn
news_2001_661933.txt-35-0	fic_1818_8861.txt-495-8	emmaccaulfield	1	 	lass_nn
mag_1967_492341.txt-284-23	fic_1987_782033.txt-1026-16	emmaccaulfield	0	 	lass_nn
mag_1966_488145.txt-89-11	fic_1849_583.txt-4636-79	emmaccaulfield	0	 	lass_nn
fic_1965_780078.txt-2158-5	fic_2004_29590.txt-147-20	emmaccaulfield	4	 	lass_nn
nf_1859_749190.txt-1021-9	fic_1849_5168.txt-4805-6	emmaccaulfield	0	 	lass_nn
fic_1844_7114.txt-736-14	fic_1843_7325.txt-795-1	emmaccaulfield	4	 	lass_nn
news_1985_668689.txt-13-13	fic_1989_13956.txt-513-4	emmaccaulfield	4	 	lass_nn
news_1985_668689.txt-13-13	fic_1824_7211.txt-1178-21	emmaccaulfield	4	 	lass_nn
fic_1854_9826.txt-1896-19	fic_1835_7334.txt-1114-91	emmaccaulfield	4	 	lass_nn
fic_1824_7211.txt-745-21	fic_1971_10537.txt-9882-7	emmaccaulfield	4	 	lass_nn
news_1985_668689.txt-13-13	fic_2004_32497.txt-94-6	emmaccaulfield	4	 	lass_nn
fic_1838_7086.txt-2825-11	fic_1853_3465.txt-2755-5	emmaccaulfield	0	 	lass_nn
fic_1838_7086.txt-2825-11	fic_1997_28876.txt-24-17	emmaccaulfield	4	 	lass_nn
fic_1853_9158.txt-109-11	fic_1824_7211.txt-1178-21	emmaccaulfield	4	 	lass_nn
fic_1989_13956.txt-513-4	mag_1995_415117.txt-3-23	emmaccaulfield	0	 	lass_nn
fic_1972_10557.txt-2747-5	fic_1999_44468.txt-98-8	emmaccaulfield	4	 	lass_nn
fic_1818_7631.txt-309-6	fic_2004_32368.txt-134-15	emmaccaulfield	4	 	lass_nn
fic_1846_544.txt-2641-14	fic_1857_8225.txt-230-6	emmaccaulfield	4	 	lass_nn
fic_1844_7081.txt-1867-11	fic_1989_13956.txt-513-4	emmaccaulfield	4	 	lass_nn
