identifier1	identifier2	annotator	judgment	comment	lemma
fic_2005_30279.txt-4-36	mag_1848_524975.txt-590-21	amariac810	2	 	part_nn
mag_1845_522622.txt-157-63	mag_1822_553396.txt-366-22	amariac810	3	 	part_nn
fic_1972_10554.txt-2899-9	mag_1963_248804.txt-14-6	amariac810	3	 	part_nn
mag_1980_432017.txt-25-34	fic_2004_49116.txt-54-7	amariac810	0	 	part_nn
fic_1975_10595.txt-8483-26	fic_2000_14544.txt-546-4	amariac810	4	 	part_nn
fic_1851_3300.txt-350-3	nf_1975_774042.txt-1179-30	amariac810	2	 	part_nn
nf_1844_747533.txt-338-15	news_1987_670535.txt-43-10	amariac810	3	 	part_nn
nf_1844_747533.txt-338-15	fic_1860_9168.txt-4532-28	amariac810	3	 	part_nn
mag_1985_487752.txt-340-6	nf_1853_771274.txt-2139-18	amariac810	4	 	part_nn
nf_1853_771274.txt-2139-18	fic_1841_799.txt-2512-9	amariac810	3	 	part_nn
mag_1996_427618.txt-283-5	fic_1849_5168.txt-3794-11	amariac810	2	 	part_nn
fic_1978_23930.txt-96-28	nf_2004_746398.txt-93-9	amariac810	3	 	part_nn
fic_1856_2880.txt-3640-3	fic_1857_9075.txt-2528-22	amariac810	4	 	part_nn
nf_1855_748146.txt-2661-64	nf_1857_755095.txt-581-3	amariac810	2	 	part_nn
news_2006_636184.txt-14-2	fic_1832_7177.txt-509-4	amariac810	2	 	part_nn
fic_1987_10755.txt-2723-1	fic_1966_10474.txt-9144-22	amariac810	2	 	part_nn
nf_2006_776557.txt-17-14	mag_1825_553595.txt-55-41	amariac810	3	 	part_nn
fic_1972_10550.txt-2200-0	mag_1822_553396.txt-366-22	amariac810	3	 	part_nn
news_1983_671249.txt-27-31	fic_2004_30097.txt-61-7	amariac810	2	 	part_nn
fic_1980_14207.txt-935-2	mag_1987_334446.txt-13-2	amariac810	2	 	part_nn
fic_1987_10756.txt-5827-1	mag_1858_556423.txt-30-36	amariac810	2	 	part_nn
nf_1859_753344.txt-838-21	news_1976_732370.txt-5-12	amariac810	2	 	part_nn
nf_1857_755095.txt-581-3	fic_2004_49116.txt-54-7	amariac810	4	 	part_nn
fic_2004_30097.txt-61-7	mag_1856_522858.txt-209-29	amariac810	2	 	part_nn
nf_1848_754438.txt-2588-3	fic_1978_10633.txt-623-5	amariac810	2	 	part_nn
mag_1979_319029.txt-15-18	news_1997_621089.txt-202-25	amariac810	4	 	part_nn
nf_1855_748146.txt-2661-64	mag_1859_556800.txt-66-5	amariac810	3	 	part_nn
mag_1989_432456.txt-7-6	fic_1835_1103.txt-4993-19	amariac810	2	 	part_nn
mag_1826_553694.txt-10-19	nf_1980_774208.txt-1429-16	amariac810	2	 	part_nn
nf_1962_774267.txt-608-18	mag_1828_553929.txt-239-17	amariac810	4	 	part_nn
fic_1832_7177.txt-509-4	fic_1835_7172.txt-4339-14	amariac810	2	 	part_nn
nf_1817_747651.txt-5040-41	mag_1852_504512.txt-37-17	amariac810	3	 	part_nn
news_1970_728376.txt-129-2	nf_1844_747533.txt-338-15	amariac810	4	 	part_nn
fic_1841_8303.txt-288-9	mag_1848_524969.txt-156-6	amariac810	1	 	part_nn
mag_1851_566010.txt-183-27	mag_1846_524042.txt-173-25	amariac810	2	 	part_nn
fic_1977_780162.txt-2553-10	mag_1856_522858.txt-209-29	amariac810	2	 	part_nn
nf_1841_768644.txt-2891-42	news_1987_670535.txt-43-10	amariac810	3	 	part_nn
nf_1975_774042.txt-1179-30	nf_1969_774314.txt-1448-7	amariac810	3	 	part_nn
nf_1836_749613.txt-1941-9	mag_1824_553527.txt-122-28	amariac810	2	 	part_nn
news_1983_735633.txt-13-17	nf_1853_771274.txt-2139-18	amariac810	4	 	part_nn
fic_1857_9075.txt-2528-22	nf_1822_747604.txt-1013-38	amariac810	2	 	part_nn
news_1970_728376.txt-129-2	nf_1979_773997.txt-823-19	amariac810	2	 	part_nn
nf_1966_774000.txt-694-15	fic_1856_2880.txt-3640-3	amariac810	2	 	part_nn
fic_1838_7359.txt-1802-20	fic_2002_29740.txt-365-6	amariac810	2	 	part_nn
fic_1836_7276.txt-844-31	fic_1847_7152.txt-704-37	amariac810	2	 	part_nn
mag_1985_487752.txt-340-6	fic_1978_10633.txt-623-5	amariac810	3	 	part_nn
mag_1980_432017.txt-25-34	nf_1848_754438.txt-2588-3	amariac810	1	 	part_nn
nf_1824_747685.txt-354-2	nf_1843_747650.txt-2589-68	amariac810	3	 	part_nn
fic_1834_7323.txt-3011-79	nf_1845_747909.txt-889-16	amariac810	3	 	part_nn
