identifier1	identifier2	annotator	judgment	comment	lemma
fic_1853_9040.txt-4758-26	fic_1972_10558.txt-5897-16	amariac810	4	 	quilt_nn
fic_1992_53593.txt-135-10	fic_1859_9037.txt-373-11	amariac810	3	 	quilt_nn
mag_2002_393038.txt-8-0	fic_1853_9040.txt-419-10	amariac810	0	 	quilt_nn
fic_1972_10558.txt-5897-16	fic_2006_32227.txt-58-3	amariac810	4	 	quilt_nn
fic_1967_10486.txt-1986-21	fic_1852_9804.txt-139-32	amariac810	4	 	quilt_nn
mag_2001_419629.txt-54-12	fic_1849_7192.txt-1650-33	amariac810	0	 	quilt_nn
fic_1853_9040.txt-350-20	fic_1858_1282.txt-1571-6	amariac810	3	 	quilt_nn
fic_1860_3347.txt-189-54	mag_2003_400888.txt-5-72	amariac810	4	 	quilt_nn
fic_1839_7182.txt-151-31	mag_1972_316160.txt-16-22	amariac810	3	 	quilt_nn
fic_1853_9040.txt-378-68	fic_1839_7182.txt-137-2	amariac810	4	 	quilt_nn
fic_1843_7325.txt-778-98	fic_1859_9037.txt-403-24	amariac810	3	 	quilt_nn
mag_1857_523523.txt-645-22	fic_1853_9040.txt-866-11	amariac810	3	 	quilt_nn
fic_1852_9804.txt-139-32	fic_1859_9037.txt-427-43	amariac810	4	 	quilt_nn
fic_1994_41330.txt-169-19	fic_1859_9037.txt-386-9	amariac810	3	 	quilt_nn
fic_2003_29829.txt-394-9	fic_2003_29829.txt-309-9	amariac810	4	 	quilt_nn
fic_1988_16142.txt-474-6	fic_1845_7183.txt-2471-9	amariac810	4	 	quilt_nn
mag_1968_490663.txt-60-13	fic_1853_9040.txt-371-2	amariac810	2	 	quilt_nn
fic_1850_7171.txt-237-80	fic_1995_39389.txt-467-9	amariac810	4	 	quilt_nn
mag_2002_427156.txt-37-17	fic_1972_10558.txt-5897-16	amariac810	4	 	quilt_nn
mag_2003_402116.txt-22-10	fic_1856_9779.txt-1695-24	amariac810	3	 	quilt_nn
fic_2003_29829.txt-68-24	fic_1853_9040.txt-397-17	amariac810	4	 	quilt_nn
fic_1982_10699.txt-405-2	fic_2003_29829.txt-68-24	amariac810	4	 	quilt_nn
fic_1835_7268.txt-1888-52	fic_2003_29829.txt-4-21	amariac810	4	 	quilt_nn
fic_2002_31835.txt-147-12	fic_1849_7192.txt-1259-17	amariac810	4	 	quilt_nn
fic_1858_1282.txt-3648-38	mag_1972_316160.txt-16-22	amariac810	3	 	quilt_nn
fic_1843_7325.txt-778-98	news_2000_627649.txt-1752-1	amariac810	4	 	quilt_nn
fic_1845_7170.txt-988-68	fic_1993_1040095.txt-3725-7	amariac810	2	 	quilt_nn
fic_1994_41330.txt-80-9	fic_1859_9037.txt-581-12	amariac810	4	 	quilt_nn
fic_2002_31835.txt-147-12	fic_1988_16142.txt-474-6	amariac810	4	 	quilt_nn
fic_1967_10486.txt-1986-21	fic_1853_9040.txt-594-12	amariac810	4	 	quilt_nn
fic_1848_7341.txt-59-13	mag_1980_491735.txt-71-26	amariac810	3	 	quilt_nn
mag_1997_398797.txt-19-2	fic_1853_9040.txt-403-41	amariac810	0	 	quilt_nn
fic_1994_41330.txt-150-25	fic_1853_9040.txt-423-9	amariac810	4	 	quilt_nn
fic_1982_10695.txt-1606-3	fic_1843_7325.txt-221-12	amariac810	4	 	quilt_nn
fic_1859_9037.txt-382-4	mag_2002_395216.txt-152-8	amariac810	2	 	quilt_nn
mag_2001_419629.txt-54-8	fic_1994_54045.txt-357-20	amariac810	4	 	quilt_nn
nf_1856_755595.txt-2200-10	fic_1976_10607.txt-5327-3	amariac810	2	 	quilt_nn
nf_1856_755595.txt-438-35	fic_1982_10699.txt-2288-23	amariac810	4	 	quilt_nn
fic_2007_34349.txt-7-4	fic_2003_29829.txt-20-29	amariac810	3	 	quilt_nn
fic_1853_9040.txt-131-29	fic_1849_7167.txt-1726-11	amariac810	4	 	quilt_nn
fic_1994_41330.txt-100-1	fic_1852_9804.txt-139-32	amariac810	4	 	quilt_nn
fic_1853_9040.txt-360-9	mag_1972_316160.txt-16-22	amariac810	3	 	quilt_nn
fic_2001_45724.txt-441-5	fic_1856_9779.txt-1695-24	amariac810	3	 	quilt_nn
fic_1996_41636.txt-253-2	fic_1848_7341.txt-59-13	amariac810	4	 	quilt_nn
mag_1979_490819.txt-62-19	mag_2002_427156.txt-37-17	amariac810	4	 	quilt_nn
mag_1976_290955.txt-20-4	fic_1853_9040.txt-469-1	amariac810	2	 	quilt_nn
fic_1994_41330.txt-97-41	fic_1995_39362.txt-547-10	amariac810	4	 	quilt_nn
fic_1972_10558.txt-5897-16	fic_1849_7192.txt-1467-17	amariac810	4	 	quilt_nn
fic_1964_10443.txt-6397-17	mag_2002_395216.txt-152-8	amariac810	2	 	quilt_nn
fic_1845_7183.txt-149-44	fic_1980_10661.txt-2769-23	amariac810	4	 	quilt_nn
fic_2007_34349.txt-7-4	fic_1858_1282.txt-3648-38	amariac810	4	 	quilt_nn
fic_1966_10468.txt-2642-33	fic_1976_10607.txt-5327-3	amariac810	2	 	quilt_nn
fic_1960_23758.txt-244-5	fic_1967_10489.txt-833-13	amariac810	4	 	quilt_nn
fic_1856_9779.txt-1695-24	fic_1853_9040.txt-4758-26	amariac810	4	 	quilt_nn
fic_1853_9040.txt-438-32	fic_1994_41330.txt-150-25	amariac810	4	 	quilt_nn
fic_1859_9037.txt-427-43	fic_1852_9804.txt-140-14	amariac810	4	 	quilt_nn
fic_1996_41636.txt-253-2	fic_1995_39238.txt-29-3	amariac810	4	 	quilt_nn
mag_1972_316160.txt-16-22	fic_2003_29829.txt-20-29	amariac810	3	 	quilt_nn
fic_1853_3465.txt-747-10	fic_2000_32016.txt-346-19	amariac810	4	 	quilt_nn
fic_1853_9040.txt-423-9	fic_2003_29829.txt-301-21	shur	4	 	quilt_nn
mag_1857_523523.txt-642-29	nf_1983_774380.txt-687-8	shur	4	 	quilt_nn
fic_2003_29829.txt-42-10	fic_1994_54045.txt-357-20	shur	4	 	quilt_nn
fic_1999_55557.txt-360-37	fic_1966_10468.txt-2642-33	shur	4	 	quilt_nn
fic_1994_41330.txt-139-26	fic_1988_16142.txt-474-6	shur	4	 	quilt_nn
mag_2002_393038.txt-8-0	fic_1853_9040.txt-354-4	shur	0	 	quilt_nn
mag_2001_419629.txt-54-8	fic_1845_7183.txt-2471-9	shur	4	 	quilt_nn
fic_1994_41330.txt-80-9	fic_1982_10695.txt-1606-3	shur	0	 	quilt_nn
mag_2003_400888.txt-5-72	fic_1973_23893.txt-190-24	shur	4	 	quilt_nn
nf_1838_747585.txt-1930-56	fic_1860_3347.txt-189-54	shur	0	 	quilt_nn
fic_2007_34349.txt-7-4	fic_2001_45724.txt-441-5	shur	4	 	quilt_nn
fic_1854_9230.txt-1114-18	fic_1999_55557.txt-360-37	shur	4	 	quilt_nn
fic_1847_2352.txt-781-19	fic_1853_9040.txt-336-27	shur	4	 	quilt_nn
fic_1993_1040095.txt-3725-7	fic_2003_29829.txt-68-24	shur	4	 	quilt_nn
fic_1853_9040.txt-447-36	fic_1852_9804.txt-140-14	shur	4	 	quilt_nn
nf_1987_773961.txt-24-2	fic_1853_9040.txt-336-27	shur	0	 	quilt_nn
fic_1859_9037.txt-612-11	mag_1997_398797.txt-19-2	shur	0	 	quilt_nn
fic_1991_53496.txt-38-6	fic_1849_7192.txt-1650-33	shur	0	 	quilt_nn
fic_1994_41309.txt-527-36	fic_2003_29829.txt-4-21	shur	4	 	quilt_nn
fic_2002_46910.txt-345-21	fic_2003_27792.txt-295-11	shur	4	 	quilt_nn
news_1998_615318.txt-26-18	fic_2006_32227.txt-58-3	shur	4	 	quilt_nn
nf_1987_773961.txt-32-6	fic_2009_36450.txt-72-6	shur	4	 	quilt_nn
fic_2006_28357.txt-52-18	fic_1999_55557.txt-360-37	shur	4	 	quilt_nn
fic_1856_1552.txt-2827-23	fic_1853_9040.txt-377-25	shur	4	 	quilt_nn
fic_1843_7325.txt-778-98	fic_1839_7182.txt-151-31	shur	4	 	quilt_nn
fic_1849_7192.txt-1259-17	fic_1994_41309.txt-527-45	shur	4	 	quilt_nn
fic_2002_46910.txt-345-21	fic_1853_9040.txt-397-17	shur	0	 	quilt_nn
mag_1994_425352.txt-2-8	fic_1859_9037.txt-612-11	shur	0	 	quilt_nn
fic_1967_10489.txt-833-13	fic_1991_53496.txt-38-6	shur	4	 	quilt_nn
fic_1853_3465.txt-747-10	fic_1980_10672.txt-2071-17	shur	4	 	quilt_nn
fic_1853_9040.txt-345-11	fic_1994_41330.txt-100-1	shur	4	 	quilt_nn
fic_2006_28357.txt-52-18	mag_2003_400888.txt-5-72	shur	4	 	quilt_nn
fic_1853_9040.txt-866-11	fic_1859_9037.txt-612-11	shur	0	 	quilt_nn
fic_1994_41330.txt-80-9	fic_2008_36221.txt-155-13	shur	0	 	quilt_nn
fic_1967_10486.txt-1986-21	fic_1853_9040.txt-424-15	shur	4	 	quilt_nn
fic_1850_7171.txt-237-80	fic_2003_29829.txt-394-9	shur	4	 	quilt_nn
fic_2003_27792.txt-295-11	fic_1848_7107.txt-277-17	shur	4	 	quilt_nn
fic_1860_3347.txt-189-54	fic_1988_16142.txt-474-6	shur	4	 	quilt_nn
fic_1994_41309.txt-527-45	fic_1994_41330.txt-169-19	shur	4	 	quilt_nn
fic_1823_7242.txt-1137-28	mag_1980_491735.txt-71-26	shur	4	 	quilt_nn
fic_1972_10558.txt-6068-5	fic_1972_10558.txt-6041-5	shur	4	 	quilt_nn
mag_1996_427680.txt-21-6	fic_2002_31835.txt-147-12	shur	4	 	quilt_nn
fic_1849_7192.txt-1467-17	fic_1849_7192.txt-1149-14	shur	4	 	quilt_nn
mag_1968_490663.txt-60-13	fic_2003_29829.txt-68-24	shur	4	 	quilt_nn
fic_2003_29829.txt-4-21	mag_2003_402116.txt-22-10	shur	0	 	quilt_nn
fic_1964_10443.txt-6397-17	mag_2003_400888.txt-5-72	shur	4	 	quilt_nn
fic_1839_1484.txt-2252-27	fic_1839_7182.txt-137-2	shur	4	 	quilt_nn
fic_1997_43068.txt-391-8	fic_1853_9040.txt-1439-8	shur	0	 	quilt_nn
fic_1859_9037.txt-382-4	fic_1843_7325.txt-233-48	shur	0	 	quilt_nn
fic_1999_55557.txt-360-37	fic_1859_9037.txt-425-12	shur	0	 	quilt_nn
fic_1859_9037.txt-398-14	fic_1853_9040.txt-469-1	shur	0	 	quilt_nn
fic_1853_9040.txt-419-10	fic_1994_41330.txt-80-9	shur	0	 	quilt_nn
fic_1823_7242.txt-1137-28	nf_1856_755595.txt-2201-2	shur	0	 	quilt_nn
fic_1859_9037.txt-403-24	fic_1859_9037.txt-398-14	shur	0	 	quilt_nn
fic_1991_53496.txt-38-6	fic_1853_9040.txt-377-25	shur	4	 	quilt_nn
fic_1996_41636.txt-17-13	fic_1973_23893.txt-190-24	shur	4	 	quilt_nn
fic_1853_9040.txt-350-20	fic_1853_9040.txt-529-41	shur	0	 	quilt_nn
fic_1849_7167.txt-1527-19	fic_1848_7107.txt-277-17	shur	4	 	quilt_nn
fic_2006_32227.txt-58-3	fic_1859_9037.txt-120-33	shur	4	 	quilt_nn
fic_2006_28357.txt-52-18	fic_1972_10558.txt-6068-5	shur	4	 	quilt_nn
fic_2003_29829.txt-68-24	nf_1987_773961.txt-0-4	shur	0	 	quilt_nn
fic_1992_53593.txt-135-10	fic_1982_10699.txt-2288-23	amariac810	3	 	quilt_nn
fic_1854_9230.txt-1114-18	fic_1994_41330.txt-150-25	amariac810	4	 	quilt_nn
mag_2002_395216.txt-152-8	fic_1966_10468.txt-2642-33	amariac810	2	 	quilt_nn
nf_1987_773961.txt-0-4	fic_1853_9040.txt-438-32	amariac810	0	 	quilt_nn
fic_1996_41838.txt-907-2	mag_1996_427680.txt-21-6	amariac810	4	 	quilt_nn
nf_1987_773961.txt-0-4	fic_1999_30271.txt-351-17	amariac810	0	 	quilt_nn
fic_1999_55557.txt-360-37	fic_1853_9040.txt-403-41	amariac810	4	 	quilt_nn
fic_1853_9040.txt-419-10	fic_1853_9040.txt-594-12	amariac810	3	 	quilt_nn
fic_1849_7192.txt-1259-17	fic_1845_7183.txt-149-44	amariac810	3	 	quilt_nn
fic_1849_7192.txt-1149-14	mag_2002_393038.txt-8-0	amariac810	0	 	quilt_nn
fic_2000_29816.txt-40-8	fic_1994_41330.txt-139-26	amariac810	4	 	quilt_nn
fic_2003_29829.txt-20-29	fic_1859_9037.txt-403-24	amariac810	3	 	quilt_nn
fic_1853_9040.txt-438-32	fic_2003_29829.txt-301-21	amariac810	3	 	quilt_nn
fic_1859_9037.txt-373-11	fic_1852_9832.txt-2711-27	amariac810	4	 	quilt_nn
fic_1853_9040.txt-469-1	fic_1852_9832.txt-2711-27	amariac810	4	 	quilt_nn
fic_1853_9040.txt-360-9	fic_1859_9037.txt-398-14	amariac810	4	 	quilt_nn
fic_1859_9037.txt-398-14	fic_2007_34349.txt-7-4	amariac810	3	 	quilt_nn
fic_1847_2352.txt-781-19	fic_1853_3465.txt-747-10	amariac810	4	 	quilt_nn
fic_2002_46910.txt-345-21	fic_1858_1282.txt-3648-38	amariac810	4	 	quilt_nn
fic_1853_9040.txt-350-20	fic_1831_7002.txt-1882-8	amariac810	3	 	quilt_nn
mag_2003_402116.txt-22-10	fic_1988_24000.txt-228-1	amariac810	4	 	quilt_nn
news_2001_661942.txt-4-12	mag_1979_490819.txt-62-19	amariac810	3	 	quilt_nn
fic_1853_9040.txt-377-25	fic_1852_9804.txt-140-14	amariac810	3	 	quilt_nn
fic_1991_53496.txt-38-6	fic_2000_32016.txt-346-19	amariac810	4	 	quilt_nn
fic_1853_9040.txt-469-1	fic_1859_9220.txt-1273-124	amariac810	0	 	quilt_nn
fic_1839_7182.txt-137-2	fic_1859_9037.txt-378-20	amariac810	3	 	quilt_nn
fic_2001_45724.txt-441-5	fic_1853_9040.txt-378-68	amariac810	4	 	quilt_nn
fic_2003_29829.txt-42-10	news_1998_615318.txt-26-18	amariac810	4	 	quilt_nn
fic_1853_9040.txt-529-41	fic_2006_32227.txt-58-3	amariac810	4	 	quilt_nn
fic_1999_30271.txt-351-17	mag_1980_491735.txt-71-26	amariac810	4	 	quilt_nn
fic_2003_29829.txt-97-12	fic_1853_9040.txt-447-36	amariac810	4	 	quilt_nn
fic_1835_7268.txt-1888-52	fic_1858_1282.txt-1571-6	emmaccaulfield	4	 	quilt_nn
fic_1994_41309.txt-527-36	fic_1997_43068.txt-391-8	emmaccaulfield	4	 	quilt_nn
fic_1858_1282.txt-3648-38	fic_2003_29829.txt-394-9	emmaccaulfield	4	 	quilt_nn
fic_1997_43068.txt-391-8	news_1998_615318.txt-26-18	emmaccaulfield	4	 	quilt_nn
fic_1993_1040085.txt-1649-19	fic_1860_3347.txt-189-54	emmaccaulfield	4	 	quilt_nn
nf_1838_747585.txt-1930-56	fic_2003_29829.txt-309-9	emmaccaulfield	4	 	quilt_nn
fic_1996_41636.txt-253-2	fic_1982_10699.txt-405-2	emmaccaulfield	4	 	quilt_nn
fic_1854_2820.txt-3581-19	fic_1839_7182.txt-151-31	emmaccaulfield	4	 	quilt_nn
fic_1999_55557.txt-360-37	fic_2000_29816.txt-40-8	emmaccaulfield	4	 	quilt_nn
fic_1849_7192.txt-1149-14	fic_1984_14628.txt-3-29	emmaccaulfield	4	 	quilt_nn
mag_1968_490663.txt-60-13	fic_1859_9037.txt-397-2	emmaccaulfield	2	 	quilt_nn
fic_1982_10699.txt-2288-23	fic_2000_29816.txt-40-8	emmaccaulfield	4	 	quilt_nn
