identifier1	identifier2	annotator	judgment	comment	lemma
fic_1846_544.txt-1419-11	fic_2003_47904.txt-517-7	amariac810	4	 	thump_nn
fic_1845_7170.txt-7510-7	nf_1844_772139.txt-734-18	amariac810	3	 	thump_nn
fic_1835_5605.txt-2166-11	mag_1852_504502.txt-333-37	amariac810	3	 	thump_nn
fic_1981_780031.txt-1211-1	fic_1835_5605.txt-2329-20	amariac810	4	 	thump_nn
fic_1852_69.txt-8025-55	fic_2002_32720.txt-189-12	amariac810	4	 	thump_nn
fic_1995_53076.txt-108-15	fic_1962_23783.txt-278-25	amariac810	4	 	thump_nn
fic_1961_4832.txt-52-1	fic_1997_42218.txt-90-23	amariac810	3	 	thump_nn
fic_1997_42316.txt-135-7	fic_1995_53076.txt-108-15	amariac810	3	 	thump_nn
fic_1855_604.txt-3117-30	fic_2009_36638.txt-1978-3	amariac810	2	 	thump_nn
fic_1849_7218.txt-189-36	fic_1989_5359.txt-546-7	amariac810	3	 	thump_nn
fic_1858_9768.txt-3748-3	fic_1811_8637.txt-1168-23	amariac810	3	 	thump_nn
fic_2002_47140.txt-255-12	fic_1834_7032.txt-2020-62	amariac810	3	 	thump_nn
fic_1999_55357.txt-231-4	fic_1835_7203.txt-1302-36	amariac810	2	 	thump_nn
fic_1983_16197.txt-2014-11	fic_1998_30880.txt-46-24	amariac810	2	 	thump_nn
fic_1998_30065.txt-57-20	fic_1834_7047.txt-813-14	amariac810	2	 	thump_nn
fic_1852_69.txt-1581-9	fic_1851_746.txt-2628-9	amariac810	2	 	thump_nn
fic_1997_42340.txt-385-8	fic_1851_746.txt-2628-13	amariac810	2	 	thump_nn
fic_1854_3384.txt-44-23	fic_1997_54541.txt-512-24	amariac810	4	 	thump_nn
fic_1978_10636.txt-13922-16	fic_1855_604.txt-2870-69	amariac810	2	 	thump_nn
fic_1986_780060.txt-916-2	fic_1852_593.txt-2998-18	emmaccaulfield	3	 	thump_nn
fic_1840_8770.txt-155-42	fic_2002_47140.txt-255-12	emmaccaulfield	3	 	thump_nn
fic_1997_42218.txt-90-23	fic_2003_48243.txt-828-13	emmaccaulfield	4	 	thump_nn
fic_1811_8637.txt-1168-23	fic_2001_27749.txt-280-8	emmaccaulfield	3	 	thump_nn
fic_1847_2352.txt-2257-5	mag_1987_480750.txt-86-4	emmaccaulfield	3	 	thump_nn
fic_1853_3819.txt-1598-15	fic_1854_2820.txt-3349-44	emmaccaulfield	2	 	thump_nn
fic_1840_7256.txt-738-31	fic_1855_9773.txt-1916-37	emmaccaulfield	2	 	thump_nn
fic_1852_69.txt-1581-9	fic_1854_3384.txt-44-23	emmaccaulfield	3	 	thump_nn
fic_1997_54541.txt-512-34	fic_1993_1040082.txt-3185-12	emmaccaulfield	2	 	thump_nn
fic_1838_7250.txt-1406-33	fic_1970_16380.txt-1689-26	emmaccaulfield	4	 	thump_nn
fic_1985_782029.txt-1967-12	fic_1986_10741.txt-6708-15	emmaccaulfield	4	 	thump_nn
fic_1858_9768.txt-3748-3	fic_1976_16789.txt-540-22	emmaccaulfield	4	 	thump_nn
fic_1849_7230.txt-495-50	mag_1986_332055.txt-3-15	emmaccaulfield	2	 	thump_nn
mag_1981_293638.txt-1-8	fic_1856_2655.txt-7488-3	emmaccaulfield	1	 	thump_nn
mag_1998_401580.txt-134-9	fic_1976_782016.txt-4088-4	emmaccaulfield	4	 	thump_nn
nf_1856_755595.txt-1476-13	fic_1986_10741.txt-6708-15	emmaccaulfield	2	 	thump_nn
fic_1967_10489.txt-6302-16	fic_1849_7230.txt-2413-23	emmaccaulfield	4	 	thump_nn
fic_1851_746.txt-2628-9	fic_1811_8637.txt-501-3	emmaccaulfield	0	 	thump_nn
fic_1843_7208.txt-9786-20	fic_2002_47140.txt-255-12	emmaccaulfield	4	 	thump_nn
mag_2006_398341.txt-86-8	fic_1840_7256.txt-738-31	emmaccaulfield	3	 	thump_nn
fic_1997_54789.txt-245-2	fic_1993_1040092.txt-2605-11	emmaccaulfield	4	 	thump_nn
fic_1837_7273.txt-1910-23	fic_1848_7341.txt-1750-2	emmaccaulfield	2	 	thump_nn
fic_1843_7208.txt-4449-45	mag_1986_332055.txt-3-15	emmaccaulfield	4	 	thump_nn
fic_1847_2352.txt-2257-5	fic_1834_7032.txt-1907-4	emmaccaulfield	2	 	thump_nn
nf_1855_750257.txt-923-19	fic_1835_8114.txt-1994-20	emmaccaulfield	3	 	thump_nn
fic_1962_781984.txt-1364-3	fic_1992_53680.txt-95-4	emmaccaulfield	4	 	thump_nn
mag_2000_408971.txt-2-4	fic_1835_8114.txt-1994-20	emmaccaulfield	3	 	thump_nn
fic_1962_781984.txt-1364-3	mag_1960_491715.txt-182-21	emmaccaulfield	3	 	thump_nn
fic_1855_604.txt-3117-30	fic_1995_53082.txt-151-59	emmaccaulfield	4	 	thump_nn
fic_1853_3819.txt-1598-15	fic_1847_1094.txt-3248-10	emmaccaulfield	2	 	thump_nn
fic_1980_23948.txt-23-10	fic_1854_3384.txt-44-23	emmaccaulfield	2	 	thump_nn
fic_2009_36638.txt-1978-3	fic_2002_32720.txt-189-13	emmaccaulfield	2	 	thump_nn
fic_1849_7230.txt-495-50	fic_1967_10488.txt-552-10	emmaccaulfield	2	 	thump_nn
fic_1993_1040056.txt-5489-1	fic_1842_7206.txt-3234-7	emmaccaulfield	4	 	thump_nn
fic_1986_780060.txt-916-2	mag_1960_491715.txt-182-21	emmaccaulfield	3	 	thump_nn
fic_1988_10768.txt-7866-5	fic_1993_25001.txt-1341-1	emmaccaulfield	3	 	thump_nn
fic_1978_10636.txt-13922-16	mag_1986_332055.txt-3-15	emmaccaulfield	3	 	thump_nn
fic_1852_593.txt-2223-13	fic_1846_544.txt-1419-11	emmaccaulfield	4	 	thump_nn
fic_2003_47904.txt-517-7	fic_1851_746.txt-4145-38	emmaccaulfield	2	 	thump_nn
fic_1967_10488.txt-552-10	fic_1834_8947.txt-332-1	shur	4	 	thump_nn
fic_1846_544.txt-1419-11	fic_1968_16170.txt-2157-20	shur	4	 	thump_nn
fic_1976_23911.txt-596-3	fic_1966_13783.txt-506-5	shur	4	 	thump_nn
fic_2009_36638.txt-1978-3	fic_1856_2655.txt-7488-3	shur	4	 	thump_nn
fic_1842_7206.txt-3234-7	fic_1964_10443.txt-7509-24	shur	4	 	thump_nn
