identifier1	identifier2	annotator	judgment	comment	lemma
bib19225758_18950424_144022_94_0001_alto.xml-46-1	bib11653828_18220706_144028_154_0003_alto.xml-4-19	AngelikaM	2	 	aktiv
bib19277277_18290406_147682_79_0001_alto.xml-4-13	bib15761570_18950827_146176_140_0003_alto.xml-127-18	AngelikaM	2	 	aktiv
bib19277277_18950314_147683_72_0006_alto.xml-223-11	bib15873371_18951021_145112_287_0003_alto.xml-177-9	AngelikaM	1	 	aktiv
bib11653828_17940128_144028_22_0003_alto.xml-4-3	bib11653828_17950610_144028_129_0003_alto.xml-2-41	AngelikaM	0	 	aktiv
bib11653828_18120227_144028_48_0002_alto.xml-3-25	bib11653828_17990209_144028_34_0002_alto.xml-0-10	AngelikaM	0	 	aktiv
bib15760600_18950718_146401_84_0002_alto.xml-9-13	bib11653828_18060329_144028_72_0002_alto.xml-1-29	AngelikaM	0	 	aktiv
bib19225772_18210321_148004_34_0002_alto.xml-6-8	bib11653828_17950610_144028_129_0003_alto.xml-2-41	AngelikaM	1	 	aktiv
bib15761570_18951003_146176_164_0002_alto.xml-2-4	bib11653828_18060329_144028_72_0002_alto.xml-1-29	AngelikaM	3	 	aktiv
bib15873371_18950125_145112_24_0003_alto.xml-180-22	bib11653828_17941128_144028_273_0003_alto.xml-9-30	AngelikaM	4	 	aktiv
bib19277277_18290406_147682_79_0001_alto.xml-4-13	bib15873371_18950111_145112_10_0002_alto.xml-15-25	AngelikaM	1	 	aktiv
bib11653828_17990209_144028_34_0002_alto.xml-0-10	bib11653828_17920619_144028_139_0001_alto.xml-2-3	AngelikaM	0	 	aktiv
bib11653792_18070711_146919_28_0002_alto.xml-6-3	bib11653790_18980128_145648_8_0008_alto.xml-19-25	AngelikaM	1	 	aktiv
bib11653828_18290707_144028_153_0003_alto.xml-23-23	bib11653828_17920619_144028_139_0001_alto.xml-2-3	AngelikaM	1	 	aktiv
bib19225758_18950424_144022_94_0001_alto.xml-46-1	bib11653790_18980128_145648_8_0008_alto.xml-19-25	AngelikaM	1	 	aktiv
bib11653828_18170913_144028_212_0002_alto.xml-0-16	bib15760600_18950718_146401_84_0002_alto.xml-9-13	AngelikaM	1	 	aktiv
bib19227462_18950419_147640_90_0004_alto.xml-104-7	bib19225758_18950820_144022_192_0002_alto.xml-0-10	AngelikaM	1	 	aktiv
bib15650837_17950826_146391_68_0003_alto.xml-1-5	bib11653828_18250322_144028_67_0002_alto.xml-9-22	AngelikaM	1	 	aktiv
bib15761570_18951003_146176_164_0002_alto.xml-2-4	bib15978012_18950405_148361_80_0002_alto.xml-144-31	AngelikaM	1	 	aktiv
bib11653790_19010628_145648_50_0002_alto.xml-40-17	bib11653828_18120227_144028_48_0002_alto.xml-3-25	AngelikaM	2	 	aktiv
bib11653828_18220706_144028_154_0003_alto.xml-4-19	bib15873371_18950617_145112_162_0002_alto.xml-187-24	AngelikaM	2	 	aktiv
bib11653790_18980128_145648_8_0008_alto.xml-8-20	bib11653828_18170913_144028_212_0002_alto.xml-0-16	AngelikaM	1	 	aktiv
bib11653828_17941128_144028_273_0003_alto.xml-9-30	bib15873371_18950617_145112_162_0002_alto.xml-187-24	AngelikaM	1	 	aktiv
