identifier1	identifier2	annotator	judgment	comment	lemma
bib15873936_18961229_147385_152_0003_alto.xml-73-30	bib11653815_18950611_146944_68_0003_alto.xml-80-13	hatsab	4	 	bearbeta
bib19225772_18100109_148004_2_0001_alto.xml-7-0	bib19227462_18950209_147640_34_0003_alto.xml-192-6	hatsab	4	 	bearbeta
bib19277277_18950127_147683_26_0003_alto.xml-213-1	bib19227306_18300602_147700_22_0004_alto.xml-12-45	hatsab	4	 	bearbeta
bib11653811_18950130_145317_17_0003_alto.xml-67-36	bib11653811_18990717_145317_107_0003_alto.xml-116-17	hatsab	4	 	bearbeta
bib13506739_18280627_144030_147_0004_alto.xml-32-6	bib11653790_18971123_145648_92_0002_alto.xml-84-24	hatsab	4	 	bearbeta
bib11653828_18260801_144028_175_0002_alto.xml-17-32	bib15650814_18951216_146365_294_0003_alto.xml-72-10	hatsab	4	 	bearbeta
bib11653828_18250412_144028_82_0001_alto.xml-10-7	bib15650837_18070225_146391_16_0003_alto.xml-7-15	hatsab	4	 	bearbeta
bib19227306_18300602_147700_22_0004_alto.xml-12-45	bib13506739_18300604_144030_126_0001_alto.xml-17-14	hatsab	4	 	bearbeta
bib11653811_18960125_145317_13_0003_alto.xml-45-38	bib11653828_18260111_144028_8_0003_alto.xml-7-10	hatsab	4	 	bearbeta
bib19223423_18271212_145063_99_0004_alto.xml-7-8	bib11653828_18260801_144028_175_0002_alto.xml-17-32	hatsab	4	 	bearbeta
bib15650837_18070225_146391_16_0003_alto.xml-7-15	bib19277301_18951114_145146_92_0004_alto.xml-25-17	hatsab	4	 	bearbeta
bib11653823_18210328_144010_73_0007_alto.xml-5-20	bib11653828_18190122_144028_17_0003_alto.xml-11-7	hatsab	4	 	bearbeta
bib11653815_18950521_146944_60_0002_alto.xml-56-49	bib11653815_18950711_146944_81_0002_alto.xml-55-7	hatsab	4	 	bearbeta
bib11653828_18260801_144028_175_0002_alto.xml-17-32	bib13506739_18300604_144030_126_0001_alto.xml-17-14	hatsab	4	 	bearbeta
bib15650837_18300526_146391_42_0003_alto.xml-6-27	bib11653830_18951122_146968_135_0004_alto.xml-16-54	hatsab	4	 	bearbeta
bib11653828_18220705_144028_153_0002_alto.xml-10-68	bib11653815_18950711_146944_81_0002_alto.xml-55-7	hatsab	4	 	bearbeta
bib11653828_18220429_144028_98_0002_alto.xml-9-30	bib19223423_18271212_145063_99_0004_alto.xml-7-8	hatsab	4	 	bearbeta
bib19277277_18950516_147683_132_0010_alto.xml-10-13	bib19277180_18950214_147374_13_0003_alto.xml-156-19	hatsab	4	 	bearbeta
bib19277301_18951114_145146_92_0004_alto.xml-25-17	bib11653790_19011011_145648_80_0004_alto.xml-65-15	hatsab	4	 	bearbeta
bib15650837_18070225_146391_16_0003_alto.xml-7-15	bib15650814_18951216_146365_294_0003_alto.xml-72-10	hatsab	4	 	bearbeta
bib11653828_18291211_144028_288_0003_alto.xml-10-19	bib15650837_18070225_146391_16_0003_alto.xml-7-15	katarinalbrekt	2	 	bearbeta
bib11653830_18980421_146968_31_0002_alto.xml-22-1	bib11653828_18220429_144028_98_0002_alto.xml-9-30	katarinalbrekt	2	 	bearbeta
bib11653790_18971123_145648_92_0002_alto.xml-84-24	bib19225758_18951221_144022_298_0007_alto.xml-294-10	katarinalbrekt	2	 	bearbeta
