lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
antyda	 	1808	1	bib11653825_18080125_145134_11_0002_alto.xml-8-38	 	Officerare, hwilka hittills blifwit qwarhällne i Luxemburg såsom gistlan, för dec största delen af Chur-Hessista Militairen ståndaktigt wäarade ali öfwerlräda sina pligter mot sin rättmätiga Herre och atc ga i Fransik tjenst, hafwa nu blifwit antydde arc äterwanoa hein.	243:250	0:270
antyda	 	1829	1	bib15650837_18290530_146391_43_0004_alto.xml-10-15	 	De som, enligt mine Annoncer frän föregäeude an ännu uraktlåtit inlösa sine panter, antydas ännu ytterliga * att dem ofördröjligen och sist innom Junii månads slut sa ma fullgöra, i annor händelse blifwa de genast demter l&gt; ligen försälde.	84:91	0:242
antyda	 	1820	1	bib13506739_18200104_144030_2_0001_alto.xml-0-7	 	^ufwudstadens HusckgandeInwZnare och Entreprenörerne för allmenna Platsar antydas att und r det nit inträffade starka Snöfall, ivid answar som Renhållnings-Reglementet formar, lä ta genast sammanstötta och till manliga tillätna ställen bortföra dcn öfwerflödiga Snön; Och erinras wederbörande, alt denna Sm » nu lämpligen kan frän stränderna afstjelpas i Sjön.	74:81	0:360
antyda	 	1895	2	bib19277349_18950502_147403_56_0003_alto.xml-124-4	 	— Jag ville bara antyda, att då ni var så redo att taga den främmande i förhör för osanning, var det skada att ni föregaf er taga honom för idioten Harry, under det ni — — — Under det jag hela tiden menade krymplingen Hany, ropade flickan bittert.	17:23	0:247
antyda	 	1818	1	bib13506739_18180903_144030_202_0002_alto.xml-12-14	 	Alla kär I Staben ivarande Kattuns-Tryckcri-Gesäller, som för det närwarande fafna sytzelsättning, antydas för någon dem rörande angelägenhet stull, att Onsdagen den 9 inncw.	99:106	0:174
antyda	 	1895	2	bib19277277_18951213_147683_340_0006_alto.xml-32-10	 	och i krig » är, som redan denna öfverskrift antyder, af öfvervägande nöjsam art.	45:52	0:81
antyda	 	1806	1	bib11653806_18060617_145120_61_0008_alto.xml-9-16	 	Alla de som annu ej betalt sina ffulder till Tvbaks-Fabrikören F. B. Earelii Konkurs-Massa, antyda; härmedelst, att sist inom liästinstulidande Juni månads flut dem betala till Herror Tottie & Arfwedson, sä wida lagsökning will undwikas; svin första gängen kungörc ».	92:98	0:267
antyda	 	1828	1	bib11653823_18281215_144010_293_0002_alto.xml-5-1	 	igenom antyda nedannLinnde personer, eller deras rätts innehafware, alt, inom natt och är härefter, sig till utbekommande as de, ä här utsatte lider i Gefleborgs Landtränteri deponerade medel, hos Kongl.	7:13	0:203
antyda	 	1895	2	bib19227291_18950727_145289_89_0003_alto.xml-92-146	 	Det förefaller vidare underligt, att hans förtjenster, som dock fastslagits genom adresser från Cobdenklubben och andra för en fri och lättad mellanfolklig samfärdsel intresserade och verksamma sällskap, numera ganska fullständigt tyckas hafva råkat i förgätenhet., gätenhet., — I ett högeligen intressant och innehållsrikt arbete,“ Das Buch von der Weltpost11 af“ Veredarius11, hvilket 1884 utkom i sin första oel 1894 i sin tredje upplaga samt hvilket i förtalet särskildt anger sig framträda såsom ett slags festskrift i anledning af verldspostföreningens tioåriga be stånd; göres såväl i kapitlet om sagda förening, örn kongressen, der den beslöts m. m., som ock vid andra lämpliga tillfällen full och välförtjent rättvisa åt föreningens skapare, tyska postverkets chef, den på mångfaldigt sätt så högt förtjente v. Stephan, men ej med ett ord antydes att en Michaelsen funnits, tänkt, skrifvit och verkat.	848:855	0:910
antyda	 	1814	1	bib13506739_18141022_144030_245_0001_alto.xml-0-65	 	S° «, •0111 jag bar miq nogsamt bekant, att en omanlig mängd tjenstlöse och endre Personer utan giltigt för ' iwar, uppcdälla sig här i Staden; alltsä och pä det anledning ej mätte gifwas för nägon^ att lenina iadane ett olagligt ffydd, warda öuSägarne i gemen och denne Stadens Jnnewänare i fonnccbet, HSrig-l om allwar, amm-ligen erinrade och antydde, att wid anfw^ir och påföljd, & lt; om Författningarne utsätta, dos ^swer-Stätbailare-Emdetct genast inlemna ssriftelig och pä betyg, men ej munteliga berättelser, grundad aninäl^n, om det till Vem inflyttande Försnnrs Folk och dylike ut^n ordentelig tjenst warande perfoner, fråSct äetffcdii de flyttat och hwarest de, uader sistledit ärS Mantalsi?rif&gt; iing warit boc » de.	345:352	0:730
antyda	 	1803	1	bib19223423_18030622_145063_49_0002_alto.xml-0-41	 	Emedan Magistraten fätt af förekomne anlednmgar är fa ra, att en stor del Stadens Znwänare underläta att anmäla hit ankommande resande och främ » mande personer, som icke borde förmodas, dä om fullgörandet häraf Stadens Jnwänar » blifwit antydde och päminte genom flere, lid efter annan, utgängre allmänna kungörelftr, senast den Magistraten utfärdat under den 19 Maj fö v * ledit är » och genomen flik oeftertänksam försummelse mängfalldige fadanc olä » genheter uppkomma, hwilka till sine iöljder äro stadelige och icke alltid stä, oaktadt den forgfäliigaste omtanke och det driftigaste bemödande att, förckommaS och afhjelvaS fä stvndsamt som wederbör; Fbrdenstull nödsakas Magistraten härmedelst ytterligare antyda och förständiga samtelige Stadens Znwänare, att dehörigen eiterlefw » hwad uti o^wanförmälte kungörelse af den 10 M&gt; & gt; j förltiit Kr wordet om resandes och alla främmande personers angifwande förestrifwit och ziäbudit, sä wida en hwar, ftm d & gt; ta uMraktläter, willundwika, att, enligt sam » vcia kungörelses innehåll, bit » De R dr 16 si.	238:245	0:1068
antyda	 	1895	2	bib11653830_18950201_146968_14_0003_alto.xml-152-14	 	— Jag har inte brefvet på mig, svarade han kallt, men hon antydde, att hon talat med er och att hon på grund af hvad ni sagt henne måst lemna mitt hus.	58:65	0:151
antyda	 	1897	2	bib19227291_18970311_145289_30_0002_alto.xml-73-37	 	den 26 sisth November anmodat k:s befallningshafvande i Upsala län att yttra sig i ämnet, inkom k:s bfhde med ett den 22 December dagtecknadt utlåtande, hvari framhölls behofvet af en utvidgning af länsstyrelsens embetslokaler och antyddes, att slottets nedre, af landshöfdingen nu disponerade våning borde tagas i anspråk för denna utvidgning, hvaremot slottets tredje våning borde inredas till bostad åt landshöfdingen.	231:239	0:421
antyda	 	1895	2	bib15650837_18950302_146391_52_0006_alto.xml-76-12	 	bade hoa med Ingi ooh fasthet kunnat uthärda den i bennes korrespondens antydda land flykten af två månader; men från det ögonblick, eom hon bestämt sin återkomst, knöde bon ej utan tortyr vänta de tvänna dagar, sorn återstodo.	72:79	0:227
antyda	 	1896	2	bib15975090_18960116_148377_7_0002_alto.xml-26-10	 	Samtidigt med dessa händelser gjorde jag, såsom herr kronofogden antyder, en resa på dressin för att inspektera jernvägslinien och stannade då några minuter vid platsen för stenuttaget.	65:72	0:185
antyda	 	1895	2	bib19277277_18950322_147683_80_0003_alto.xml-37-1	 	befordra antydda syfte, som förbundet sökte på Östermalm utesluta flertalet under omval stående fribandelsvänlige stadsfullmäktige, ett attentat, som dock af valmännen erhöll sin välförtjenta näpst.	9:16	0:198
antyda	 	1827	1	bib19225792_18271208_147359_48_0002_alto.xml-2-23	 	Alla de, som wilja anses berättigade att nästkommande är idka Traktörs » och Gpisqwartersnäring här i Staden och pä dest grund, antydas att ä Fredagen den Tjugoförste (21) uti innewarande Dec.	128:135	0:192
antyda	 	1809	1	bib13506739_18090427_144030_96_0002_alto.xml-3-6	 	Alltså warda de ytterligare härmed alswarligen antydde, att, wid äfwentyr att eljest undergn	47:54	0:92
antyda	 	1895	2	bib19227291_18950912_145289_109_0002_alto.xml-108-12	 	För den händelse att k. m:t skulle utfärda en kungörelse af nu antydda innehåll, anse embetsverken det äfven böra bestämmas, örn det genom k. kungörelsen af den 17 Mars 1893 stadgade förbudet mot införsel af idislare och svinkreatur från Danmark fortfarande skall vara gällande, så väl vid införsel med vanliga fartyg som med ångfärja, eller örn nämda förbud skall upphöra att gälla.	63:70	0:383
antyda	 	1810	1	bib11653825_18101012_145134_123_0007_alto.xml-3-31	 	Torparen Lars Andersson från Ske Socken, Wätte Härad, Bohus Län, som aswikit frän orten och ej pä 9 ', ar lätit höra af sig, warder härmed antydd, att från detta datum inom är och dag gifwa sig tillkänna, i annor händelse will desi Hustru Anna Hansdotter träda i nytt gifte; font härmed tredje gängen kungöreS.	139:145	0:310
antyda	 	1897	2	bib11653811_18970118_145317_9_0003_alto.xml-116-1	 	Herman antydde med en underdånig liten bugning, att han i detta hänseende fullkomligt underordnade sig grefvinnans beslut.	7:14	0:122
antyda	 	1897	2	bib11653815_18970305_146944_26_0003_alto.xml-74-4	 	af honom i torsdags antydda poletiken i allmänhet ablagits af stormakterna.	20:27	0:75
antyda	 	1818	1	bib13506739_18180519_144030_111_0002_alto.xml-6-23	 	I ifrigt erindras ert hwar att utan motsägelse atluda h«ad af Polloe-Betiemngen eller andre, hwilka wid detta Högtidliga tillfälle Äga befattning, antyd? » li!&gt; ordni!	147:152	0:170
antyda	 	1814	1	bib15650837_18140518_146391_39_0001_alto.xml-1-6	 	da dc som hafwa brandlörsäkrade Egendomar antydde, art, ej mindre lör egen säkerhet, än till unowt,	42:49	0:99
antyda	 	1895	2	bib15873371_18950930_145112_266_0003_alto.xml-65-9	 	I ett telegram från Madrid af den 27 dennes antydes ett försök att på underhandlingens väg sluta striden.	44:51	0:105
