identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib15873936_18961229_147385_152_0003_alto.xml-73-30	bib11653811_18990717_145317_107_0003_alto.xml-116-17	Benjamin	2.0	 	2023-07-14 21:00:22.107	bearbeta
bib11653815_18950810_146944_94_0003_alto.xml-87-3	bib11653828_18190122_144028_17_0003_alto.xml-11-7	Benjamin	3.0	 	2023-07-14 21:01:39.226	bearbeta
bib11653828_18250412_144028_82_0001_alto.xml-10-7	bib19349359_18950305_148383_27_0001_alto.xml-13-27	Benjamin	3.0	 	2023-07-14 21:02:26.263	bearbeta
bib13506739_18280627_144030_147_0004_alto.xml-32-6	bib15873936_18961229_147385_152_0003_alto.xml-73-30	Benjamin	4.0	 	2023-07-14 21:03:07.619	bearbeta
bib11653828_18291211_144028_288_0003_alto.xml-10-19	bib11653811_18990717_145317_107_0003_alto.xml-116-17	Benjamin	2.0	 	2023-07-14 21:03:55.248	bearbeta
bib19277277_18950516_147683_132_0010_alto.xml-10-13	bib19225772_18100109_148004_2_0001_alto.xml-7-0	Benjamin	3.0	 	2023-07-14 21:04:43.133	bearbeta
bib11653828_18260128_144028_23_0004_alto.xml-3-17	bib13506739_18280627_144030_147_0004_alto.xml-32-6	Benjamin	4.0	 	2023-07-14 21:05:09.852	bearbeta
bib19277301_18951114_145146_92_0004_alto.xml-25-17	bib13506739_18260202_144030_15_0002_alto.xml-4-13	Benjamin	4.0	 	2023-07-14 21:05:35.545	bearbeta
bib13506739_18300429_144030_97_0004_alto.xml-0-31	bib11653790_18971123_145648_92_0002_alto.xml-84-24	Benjamin	2.0	 	2023-07-14 21:06:58.265	bearbeta
bib19277277_18950516_147683_132_0010_alto.xml-10-13	bib11653811_18960125_145317_13_0003_alto.xml-45-38	Benjamin	2.0	 	2023-07-14 21:08:01.484	bearbeta
bib11653790_18990117_145648_4_0003_alto.xml-96-10	bib15650837_18070225_146391_16_0003_alto.xml-7-15	Benjamin	2.0	 	2023-07-14 21:09:09.775	bearbeta
bib11653828_18220705_144028_153_0002_alto.xml-10-68	bib13506739_18300429_144030_97_0004_alto.xml-0-31	Benjamin	2.0	 	2023-07-14 21:09:51.692	bearbeta
bib11653815_18970903_146944_101_0003_alto.xml-30-21	bib11653815_18950711_146944_81_0002_alto.xml-55-7	Benjamin	2.0	 	2023-07-14 21:11:06.689	bearbeta
bib15873936_18961229_147385_152_0003_alto.xml-73-30	bib11653828_18230131_144028_25_0002_alto.xml-0-28	Benjamin	4.0	 	2023-07-14 21:12:11.7	bearbeta
bib15873936_18961229_147385_152_0003_alto.xml-73-30	bib11653823_18210328_144010_73_0007_alto.xml-5-20	Benjamin	3.0	 	2023-07-14 21:12:37.956	bearbeta
bib15873936_18961229_147385_152_0003_alto.xml-73-30	bib11653815_18950611_146944_68_0003_alto.xml-80-13	Benjamin	4.0	 	2023-07-14 21:12:58.756	bearbeta
bib11653811_18950130_145317_17_0003_alto.xml-67-36	bib11653830_18980421_146968_31_0002_alto.xml-22-1	Benjamin	4.0	 	2023-07-14 21:13:05.963	bearbeta
bib11653815_18950711_146944_81_0002_alto.xml-55-7	bib11653823_18210328_144010_73_0007_alto.xml-5-20	Benjamin	4.0	 	2023-07-14 21:13:23.884	bearbeta
bib11653815_18950611_146944_68_0003_alto.xml-80-13	bib15650837_18070225_146391_16_0003_alto.xml-7-15	Benjamin	2.0	 	2023-07-14 21:13:37.805	bearbeta
bib11653811_18960125_145317_13_0003_alto.xml-45-38	bib11653828_18260801_144028_175_0002_alto.xml-17-32	Benjamin	2.0	 	2023-07-14 21:14:57.047	bearbeta
bib15650837_18300526_146391_42_0003_alto.xml-6-27	bib15650814_18951216_146365_294_0003_alto.xml-72-10	Benjamin	3.0	 	2023-07-14 21:25:34.306	bearbeta
bib11653830_18980421_146968_31_0002_alto.xml-22-1	bib11653828_18260128_144028_23_0004_alto.xml-3-17	Benjamin	3.0	 	2023-07-14 21:26:42.098	bearbeta
bib19225758_18951221_144022_298_0007_alto.xml-294-10	bib11653790_18990117_145648_4_0003_alto.xml-96-10	Benjamin	4.0	 	2023-07-14 21:27:34.228	bearbeta
bib11653828_18220429_144028_98_0002_alto.xml-9-30	bib11653828_18190122_144028_17_0003_alto.xml-11-7	Benjamin	3.0	 	2023-07-14 21:27:59.862	bearbeta
bib15873936_18961229_147385_152_0003_alto.xml-73-30	bib13506739_18260202_144030_15_0002_alto.xml-4-13	Benjamin	3.0	 	2023-07-14 21:28:10.819	bearbeta
bib11653828_18190122_144028_17_0003_alto.xml-11-7	bib11653828_18260801_144028_175_0002_alto.xml-17-32	Benjamin	4.0	 	2023-07-14 21:28:42.204	bearbeta
bib19225758_18951221_144022_298_0007_alto.xml-294-10	bib15873936_18961229_147385_152_0003_alto.xml-73-30	Benjamin	4.0	 	2023-07-14 21:28:54.952	bearbeta
bib13506739_18301117_144030_267_0001_alto.xml-8-58	bib19277277_18950516_147683_132_0010_alto.xml-10-13	Benjamin	2.0	 	2023-07-14 21:29:24.802	bearbeta
bib19225772_18100109_148004_2_0001_alto.xml-7-0	bib11653828_18230131_144028_25_0002_alto.xml-0-28	Benjamin	3.0	 	2023-07-14 21:30:01.599	bearbeta
bib11653811_18960125_145317_13_0003_alto.xml-45-38	bib11653828_18230131_144028_25_0002_alto.xml-0-28	Benjamin	2.0	 	2023-07-14 21:30:11.68	bearbeta
bib15650837_18070225_146391_16_0003_alto.xml-7-15	bib11653823_18250707_144010_153_0002_alto.xml-13-5	Benjamin	2.0	 	2023-07-14 21:30:40.57	bearbeta
bib13506739_18300429_144030_97_0004_alto.xml-0-31	bib11653790_19011011_145648_80_0004_alto.xml-65-15	Benjamin	3.0	 	2023-07-14 21:31:10.924	bearbeta
bib11653790_18990117_145648_4_0003_alto.xml-96-10	bib11653828_18220429_144028_98_0002_alto.xml-9-30	Benjamin	3.0	 	2023-07-14 21:31:20.763	bearbeta
bib11653828_18291211_144028_288_0003_alto.xml-10-19	bib11653828_18260801_144028_175_0002_alto.xml-17-32	Benjamin	4.0	 	2023-07-14 21:31:54.756	bearbeta
