identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib19277277_18950912_147683_248_0010_alto.xml-13-9	bib11653806_18190428_145120_47_0004_alto.xml-3-21	Benjamin	3.0	 	2023-07-15 19:25:46.478	bedömande
bib13506739_18241027_144030_250_0007_alto.xml-11-60	bib11653836_18950419_147011_16_0001_alto.xml-4-48	Benjamin	3.0	 	2023-07-15 19:27:31.921	bedömande
bib11653836_18950419_147011_16_0001_alto.xml-4-48	bib11653823_18280421_144010_92_0007_alto.xml-16-5	Benjamin	4.0	 	2023-07-15 19:27:54.974	bedömande
bib19277349_18951114_147403_144_0002_alto.xml-118-17	bib11653811_19010701_145317_99_0002_alto.xml-61-12	Benjamin	3.0	 	2023-07-15 19:28:28.253	bedömande
bib19227291_18300616_145289_24_0012_alto.xml-1-21	bib19227306_18300616_147700_24_0001_alto.xml-9-40	Benjamin	4.0	 	2023-07-15 19:29:03.338	bedömande
bib11653811_19010701_145317_99_0002_alto.xml-61-12	bib11653830_18951004_146968_114_0002_alto.xml-13-3	Benjamin	3.0	 	2023-07-15 19:29:24.577	bedömande
bib11653823_18280421_144010_92_0007_alto.xml-16-5	bib15650837_18290620_146391_49_0001_alto.xml-3-16	Benjamin	3.0	 	2023-07-15 19:29:59.326	bedömande
bib11653811_18960320_145317_44_0002_alto.xml-76-1	bib19277277_18951119_147683_316_0004_alto.xml-49-37	Benjamin	4.0	 	2023-07-15 19:30:55.805	bedömande
bib11653811_19010701_145317_99_0002_alto.xml-61-12	bib13506739_18291116_144030_266_0001_alto.xml-7-39	Benjamin	3.0	 	2023-07-15 19:32:53.07	bedömande
bib11653811_18980720_145317_109_0001_alto.xml-71-94	bib11653823_18211011_144010_238_0002_alto.xml-1-3	Benjamin	4.0	 	2023-07-15 19:34:02.634	bedömande
bib19277277_18951119_147683_316_0004_alto.xml-49-37	bib19227291_18951112_145289_135_0002_alto.xml-91-20	Benjamin	4.0	 	2023-07-15 19:34:17.262	bedömande
bib13506739_18291116_144030_266_0001_alto.xml-7-39	bib19277277_18950323_147683_81_0004_alto.xml-114-1	Benjamin	4.0	 	2023-07-15 19:34:30.814	bedömande
bib11653836_18950419_147011_16_0001_alto.xml-4-48	bib11653830_18951004_146968_114_0002_alto.xml-13-3	Benjamin	4.0	 	2023-07-15 19:35:16.526	bedömande
bib19227291_18951112_145289_135_0002_alto.xml-91-20	bib13506739_18280502_144030_102_0004_alto.xml-5-7	Benjamin	4.0	 	2023-07-15 19:35:25.542	bedömande
bib13506739_18280502_144030_102_0004_alto.xml-5-7	bib11653811_19000817_145317_126_0001_alto.xml-23-1	Benjamin	4.0	 	2023-07-15 19:35:41.895	bedömande
bib19227291_18300616_145289_24_0012_alto.xml-1-21	bib15975090_18961212_148377_154_0002_alto.xml-92-1	Benjamin	4.0	 	2023-07-15 19:42:10.546	bedömande
bib19227291_18300616_145289_24_0012_alto.xml-1-21	bib19277277_18950912_147683_248_0010_alto.xml-13-9	Benjamin	3.0	 	2023-07-15 19:42:26.445	bedömande
bib11653823_18211011_144010_238_0002_alto.xml-1-3	bib11653823_18280421_144010_92_0007_alto.xml-16-5	Benjamin	4.0	 	2023-07-15 19:43:11.374	bedömande
bib11653811_18960320_145317_44_0002_alto.xml-76-1	bib11653790_18980513_145648_36_0001_alto.xml-14-254	Benjamin	3.0	 	2023-07-15 19:43:39.466	bedömande
bib19277277_18951119_147683_316_0004_alto.xml-49-37	bib11653823_18260602_144010_125_0002_alto.xml-16-2	Benjamin	4.0	 	2023-07-15 19:43:49.338	bedömande
bib11653830_18951004_146968_114_0002_alto.xml-13-3	bib13506739_18290807_144030_180_0001_alto.xml-6-17	Benjamin	4.0	 	2023-07-15 19:44:04.643	bedömande
bib11653790_19000529_145648_42_0004_alto.xml-6-15	bib11653811_18960320_145317_44_0002_alto.xml-76-1	Benjamin	4.0	 	2023-07-15 19:44:26.193	bedömande
bib11653790_18980513_145648_36_0001_alto.xml-14-254	bib19277277_18270719_147682_166_0001_alto.xml-17-247	Benjamin	4.0	 	2023-07-15 19:45:31.409	bedömande
bib13506739_18291116_144030_266_0001_alto.xml-7-39	bib19349359_18950321_148383_34_0004_alto.xml-81-11	Benjamin	4.0	 	2023-07-15 19:45:43.13	bedömande
bib11653811_18960320_145317_44_0002_alto.xml-76-1	bib13506739_18291116_144030_266_0001_alto.xml-7-39	Benjamin	4.0	 	2023-07-15 19:46:09.973	bedömande
bib13506739_18241027_144030_250_0007_alto.xml-11-60	bib15869824_18960919_145700_75_0003_alto.xml-11-7	Benjamin	4.0	 	2023-07-15 19:47:02.696	bedömande
bib19227462_18951125_147640_275_0003_alto.xml-115-24	bib19225772_18090412_148004_40_0001_alto.xml-0-33	Benjamin	4.0	 	2023-07-15 19:47:12.678	bedömande
bib11653828_18280422_144028_92_0004_alto.xml-10-2	bib19227291_18300120_145289_3_0005_alto.xml-10-61	Benjamin	4.0	 	2023-07-15 19:47:27.935	bedömande
bib19227306_18300616_147700_24_0001_alto.xml-9-40	bib11653823_18211011_144010_238_0002_alto.xml-1-3	Benjamin	4.0	 	2023-07-15 19:47:46.095	bedömande
bib11653806_18190428_145120_47_0004_alto.xml-3-21	bib11653828_18280422_144028_92_0004_alto.xml-10-2	Benjamin	4.0	 	2023-07-15 19:47:56.394	bedömande
bib19227306_18300616_147700_24_0001_alto.xml-9-40	bib11653825_18190508_145134_54_0003_alto.xml-7-25	Benjamin	4.0	 	2023-07-15 19:48:14.288	bedömande
bib19277349_18950910_147403_115_0002_alto.xml-25-38	bib11653811_18960320_145317_44_0002_alto.xml-76-1	Benjamin	4.0	 	2023-07-15 19:48:26.332	bedömande
bib11653825_18190515_145134_57_0002_alto.xml-7-49	bib15650837_18290620_146391_49_0001_alto.xml-3-16	Benjamin	4.0	 	2023-07-15 19:48:36.055	bedömande
bib19227462_18950720_147640_166_0003_alto.xml-29-2	bib11653790_19000529_145648_42_0004_alto.xml-6-15	Benjamin	4.0	 	2023-07-15 19:49:17.041	bedömande
bib11653811_19010701_145317_99_0002_alto.xml-61-12	bib19349359_18950321_148383_34_0004_alto.xml-81-11	Benjamin	4.0	 	2023-07-15 19:49:30.565	bedömande
bib11653825_18190515_145134_57_0002_alto.xml-7-49	bib19277277_18270719_147682_166_0001_alto.xml-17-247	Benjamin	3.0	 	2023-07-15 19:49:54.432	bedömande
bib11653828_18221014_144028_239_0003_alto.xml-0-18	bib19223423_18240207_145063_11_0002_alto.xml-15-12	Benjamin	4.0	 	2023-07-15 19:50:04.611	bedömande
bib19227462_18950720_147640_166_0003_alto.xml-29-2	bib19227291_18300120_145289_3_0005_alto.xml-10-61	Benjamin	4.0	 	2023-07-15 19:50:41.185	bedömande
bib19277277_18270719_147682_166_0001_alto.xml-17-247	bib19227291_18951112_145289_135_0002_alto.xml-91-20	Benjamin	4.0	 	2023-07-15 19:50:57.31	bedömande
