lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
färg	 	1830	1	bib11653828_18300406_144028_79_0002_alto.xml-9-11	 	icke mindre herre öfver passionernas språk, än öfver inbillningens rikaste färger; ilten det felas honom teaterkännedom oell detta höga genomträngande förstånd, sorn dea dramatisk * författaren äfven i sin högsta entusiasm aldrig får åsidosätta, sorn lian måste ha för ögonen jemväl under bildernas yppigast » rikedom, sorn motiverar och beräknar allt, utvecklar dea ena scenen ur dea andra oell Is-	75:81	0:399
färg	 	1828	1	bib13506739_18281122_144030_274_0006_alto.xml-8-20	 	Ett äkta Pcrl-HalSband innehällande 34 owanligt stora och felfria perlor, samt » n Perla till LäS, för sin färg och wackerher dnrbart.	107:111	0:134
färg	 	1791	1	bib13506739_17911102_144030_254_0004_alto.xml-2-13	 	Förleden Söndags afton förlorades en liten spänst hund, swart och hwit til färgen, halswa kroppen klipt.	75:81	0:104
färg	 	1809	1	bib15650837_18090906_146391_71_0001_alto.xml-3-23	 	Molnen ssingras, i wär mörka dag, Utaf tälamokeks milda strälar; Och den inre striden ger behag, Om dit hälsans färg ej Kinden mälar.	112:116	0:133
färg	 	1807	1	bib13506739_18070221_144030_43_0004_alto.xml-2-5	 	En Klippare, mörkbrun lill färgen med swart fwciff och mohn, fri frän alla fel, gär wäl för alla Lkdon, ksn nyttjas både till Arbet-häst.	27:33	0:137
färg	 	1808	1	bib11653828_18080825_144028_196_0002_alto.xml-10-11	 	grvnigt brott, wisar sig nu af en i hwitt dragande färg, samt en tätare sammansättning.	51:55	0:87
färg	 	1804	1	bib13506739_18040714_144030_161_0007_alto.xml-12-16	 	I sörwar tagit: Söndagen den i Julii pä eftermiddagen medföljde cn rund, hwit III färgen, nyligen ffipt 5-iver hela kroppen utom hufwudet, med twännc grädruna fläckar bar pä roggen, hängande bruna öron och kring » » Lönen brun.	82:88	0:227
färg	 	1825	1	bib11653828_18250315_144028_61_0003_alto.xml-20-24	 	5) enna lilla fägel har en ganska final, ledig och täck kroppsbyggnad; hanj fina fjädrar äro smyckade med de flönaste brokiga färger och hans ögon glänsa med en diamants eld.	126:132	0:174
färg	 	1810	1	bib19223423_18101031_145063_87_0003_alto.xml-3-15	 	Nägra stycken ukwaldt goda och unga Mjölke-Kor, helst af stor race och bruna till färgen, som antingen nyst hafwa eller snart & gt;?ola kalfiva, ästundas att köpa; adrcst om köparen lemnas pä Boktryckeriet.	82:88	0:206
färg	 	1895	2	bib15650837_18951130_146391_280_0003_alto.xml-44-11	 	Alla undersökningarna hade gifvit vid handen, att tapetrullen innehöll giftiga färger i så stor mängd, att den vore till försäljning förbjuden.	79:85	0:143
färg	 	1828	1	bib13506739_18280411_144030_84_0004_alto.xml-26-10	 	Onsdagen den 9 dennes bortkom pä Söder, en till färgen mörkgul Hynda med swart nos.	48:54	0:83
färg	 	1795	1	bib19225772_17950728_148003_60_0004_alto.xml-6-10	 	en rätt wacker Hnndwalp as Fogelbunds race, hwit til färgen med bruna öron, et brunt och er hwitt öga och heter Hardi.	53:59	0:118
färg	 	1895	2	bib19225758_18950802_144022_177_0002_alto.xml-79-12	 	Rummens inredning är ytterst enkel men vinnande genom det smakfulla valet af färger, hvarmed väggar och dörrar äro strukna.	77:83	0:123
färg	 	1823	1	bib13506739_18231114_144030_264_0010_alto.xml-0-21	 	Söndagen den 9 dennes kl. omkring 7 pä f. m. bortsprang frän ägaren en större Jagthund, ljuSr!d till färgen med widhckngande koppel, bwarsöre Ar att förmoda det den blifwit tillwaratagen; och anhäileS det mätte nämnde Hund emot nöjaktig wedergällninj; aflemnas i HornS Tull.	101:107	0:274
färg	 	1895	2	bib19227462_18950904_147640_205_0002_alto.xml-112-23	 	emblem samt de båda Halmstadslogerua Oscars och Sirius ’ vapen, alltsammans i upphöjdt arbete ocb de sist nämda utförda i sina respektive färger.	138:144	0:145
färg	 	1895	2	bib15873371_18950620_145112_165_0001_alto.xml-37-9	 	— Såsom mått angifves bröstvidd och armlängd samt den färg som önskas.	54:58	0:70
färg	 	1827	1	bib13506739_18270518_144030_115_0003_alto.xml-26-6	 	En Norrfl Häst, ljuSgul till färgen, Sex är gammal, helt felfri, pär mycket wäl bäde under Selar fom för Äkdon, cn Reskärra nied Sele, samt c » modern Engelsk FruntimmceS-Ridsadcl, endast en Somniar nyttjad.	29:35	0:207
färg	 	1898	2	bib11653811_18981008_145317_155_0001_alto.xml-16-7	 	För klädernas hållbarhet, passning oell äkta färger garanteras.\"	45:51	0:64
färg	 	1903	2	bib11653811_19030527_145317_81_0001_alto.xml-58-15	 	Hvita stråhattar blekas och fernissas samt hvita plymer tvättas och färgas i fina, ljusa färger.	89:95	0:96
färg	 	1895	2	bib19227462_18950827_147640_198_0003_alto.xml-152-6	 	man riksvapnet i guld och lysande färger, omgifvet af flaggor, och på ömse sidor derom Smålands och Jönköpings regementes vapen.	34:40	0:128
färg	 	1824	1	bib19277277_18240930_147682_227_0002_alto.xml-3-52	 	genast alla tänkbara förcmäl, förmedelst ett wackert och rikt af honom iiopfiinnit Laboratorium, hivari hail drifwcr cldwärnian till högsta möiliga grad, utan os eller rök, och förwandlar t ett ögonblick Sand med alkaliskt Salt tilt Glas, som hail genom metallist Kalk ger de wackraste tranSvarenta och ooacta färger.	310:316	0:317
färg	 	1895	2	bib19277277_18950513_147683_129_0004_alto.xml-52-15	 	landskap är ock ett alster af god iakttagelse, Öfverflyttad på duken med kraftigt mättad färg.	89:93	0:94
färg	 	1901	2	bib11653790_19010927_145648_76_0002_alto.xml-6-2	 	ångfärgeri för färg- och beredningsgods samt kemisk tvättning af kläder.	15:20	0:72
färg	 	1829	1	bib11653828_18290330_144028_73_0003_alto.xml-8-20	 	Hela det Öfriga nästet är förstörd t, är sönderslagit liksom tårtan; man ser intet annat än några gula färger och några stycken af lermurar af senaps- eller rättare rostlärg.	103:109	0:174
färg	 	1805	1	bib13506739_18050513_144030_109_0003_alto.xml-2-1	 	i Färg och Lju^, jämte Dag - och Natt-Scener; en Representation af Engclsta Flottan, som seglar genom Cundet förki Kronobergs Fästning; äswen Slaget pä Köpenhamns Redd den s.dra April 1801.	2:6	0:189
färg	 	1901	2	bib11653811_19010916_145317_143_0003_alto.xml-74-41	 	liten bit af marken, som varit svårodlad — ej många alnar i omkrets — som gjorts täck genom små slingrande gångar emellan små upplagda stenrös af märkvärdiga stenar, som hon hittat under ti demas lopp, blommor i alla färger på kanterna omkring, en mjuk torfbänk och en dito af trä med ett bord framfor, täekt med en ren hvit duk, der mor dricker sin kaffetår med dottern sedan denne korn mit hem från sitt arbete på herregården, der hon tjenar.	217:223	0:444
färg	 	1806	1	bib13506739_18060821_144030_191_0003_alto.xml-7-54	 	Vortstulne sch Zörlorade S^ker: I d.g pa morgonen emellan kl. s vch 6 äro medelst inbrott utur ett Rum en trappa upp uti Huset Nio 87 wid Blasi.holmcn följande Persedlar bortiiulnc, nemligen: en wänd grä Klädesfrack med dubbla stag, & gt; amelgarnsknappar, fodrad baktill med Chalong af samma färg vch framtill med nägot liusare Lärft; i bröstfickan wvro inlagde z:ne 2 Rds och en 12 fj.	293:297	0:387
färg	 	1895	2	bib15975087_18950923_145596_147_0003_alto.xml-94-11	 	hvarigenom hvarje målning kan fotografiskt återgifvas i tidningen i dess naturliga färger.	83:89	0:90
färg	 	1899	2	bib11653811_18990104_145317_2_0003_alto.xml-95-12	 	mönstervaror, Damasteväfnader etc. (c:a 240 olika qvaliteter och 2,000 olika färger, mönster etc.), levereras tull- och fraktfritt till köparen.	77:83	0:144
färg	 	1818	1	bib19277346_18180103_147394_1_0003_alto.xml-2-35	 	\" jemte beständigt ännu dest fördelen, ait befinna sig bland männistjvr med\" - vilka han kunde tala, som moro honom lika till lefnads«satt oH feder, ' eller\" ät ainstone kill färg och stapnad.	175:179	0:192
färg	 	1824	1	bib19277277_18240819_147682_191_0001_alto.xml-4-56	 	allt hwad som Mälaren eller Gravöre » inetz Penseln eller Grafff ckeln kan åstadkomma, säsom: Djur, Insekter, Väfer, Blomster, Frukter, och i allmänhet allt hwatz Konsternas Älfta!e kunna begära; och alla bestå föremäl, ehurnwäl tillftapatze likasom genom förtrollning, äro emellertid fullkomliga till sitta former och färger.	319:325	0:326
färg	 	1821	1	bib13506739_18210416_144030_89_0009_alto.xml-7-8	 	Jroft oÄ kulört Kambrick, Bomullslclrst af alla färger, samt Rtinnings ' och Insta n Bomullsgarn af alla nummer, hwitt och fä-gadt, finnas till falu för godt prls uti undertecknad?	48:54	0:180
färg	 	1829	1	bib15650837_18290606_146391_45_0003_alto.xml-12-14	 	Nasta Tisdagsmorgon inkommer till salu pä Gamla torget, en ko, mörkröd till färgen, som är tillreds att kalswa.	76:82	0:111
