identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib11653825_18190130_145134_13_0002_alto.xml-3-8	bib19225772_18270314_148004_31_0003_alto.xml-0-26	Benjamin	1.0	 	2023-07-16 19:28:44.391	medium
bib11653828_17960729_144028_170_0003_alto.xml-3-14	bib19225792_18080730_147359_31_0008_alto.xml-6-8	Benjamin	2.0	 	2023-07-16 19:31:59.204	medium
bib11653836_18951011_147011_41_0004_alto.xml-52-11	bib11653806_18010114_145120_5_0004_alto.xml-11-2	Benjamin	2.0	 	2023-07-16 19:32:21.774	medium
bib13506739_18300303_144030_51_0001_alto.xml-1-16	bib11653806_18010114_145120_5_0004_alto.xml-11-2	Benjamin	2.0	 	2023-07-16 19:33:00.058	medium
bib19227462_18950724_147640_169_0006_alto.xml-70-30	bib11653823_18300204_144010_28_0002_alto.xml-4-26	Benjamin	1.0	 	2023-07-16 19:34:28.886	medium
bib11653825_18190130_145134_13_0002_alto.xml-3-8	bib19277301_18960608_145146_46_0003_alto.xml-33-7	Benjamin	1.0	 	2023-07-16 19:40:51.423	medium
bib11653828_17960729_144028_170_0003_alto.xml-3-14	bib15650837_18290530_146391_43_0004_alto.xml-7-23	Benjamin	1.0	 	2023-07-16 19:43:45.067	medium
bib13506739_18261110_144030_251_0002_alto.xml-8-34	bib19277277_18260803_147682_177_0001_alto.xml-21-17	Benjamin	4.0	 	2023-07-16 19:44:07.376	medium
bib11653806_18010114_145120_5_0004_alto.xml-11-2	bib11653823_18300204_144010_28_0002_alto.xml-4-26	Benjamin	1.0	 	2023-07-16 19:45:43.92	medium
bib19227291_18960818_145289_99_0002_alto.xml-46-14	bib11653823_18251128_144010_276_0003_alto.xml-12-35	Benjamin	2.0	 	2023-07-16 19:46:13.649	medium
bib11653823_18270531_144010_125_0002_alto.xml-0-7	bib19225792_18080730_147359_31_0008_alto.xml-6-8	Benjamin	4.0	 	2023-07-16 19:46:23.702	medium
bib19227291_18951224_145289_153_0002_alto.xml-116-19	bib11653823_18300204_144010_28_0002_alto.xml-4-26	Benjamin	1.0	 	2023-07-16 19:46:52.823	medium
bib19277277_18950417_147683_103_0004_alto.xml-147-9	bib11653828_17960729_144028_170_0003_alto.xml-3-14	Benjamin	1.0	 	2023-07-16 19:48:58.983	medium
bib19277346_18251008_147394_40_0001_alto.xml-4-5	bib15873371_18950802_145112_207_0002_alto.xml-14-31	Benjamin	1.0	 	2023-07-16 19:49:15.585	medium
bib13506739_18031006_144030_228_0004_alto.xml-4-25	bib19225772_18270314_148004_31_0003_alto.xml-0-26	Benjamin	1.0	 	2023-07-16 19:49:43.414	medium
bib19277301_18960608_145146_46_0003_alto.xml-33-7	bib13506739_17980509_144030_105_0007_alto.xml-6-10	Benjamin	4.0	 	2023-07-16 19:49:58.288	medium
