identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib19225758_18950119_144022_16_0006_alto.xml-112-13	bib15650814_18950419_146365_91_0002_alto.xml-87-60	Benjamin	1.0	 	2023-07-26 14:12:54.137	medium
bib15873936_18960225_147385_23_0004_alto.xml-85-5	bib19225772_18300528_148004_60_0003_alto.xml-2-9	Benjamin	1.0	 	2023-07-26 14:13:36.401	medium
bib11653811_19011209_145317_191_0004_alto.xml-121-119	bib19225772_18300528_148004_60_0003_alto.xml-2-9	Benjamin	1.0	 	2023-07-26 14:57:22.599	medium
bib15761097_18950803_145020_91_0003_alto.xml-172-24	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	1.0	 	2023-07-26 14:58:50.482	medium
bib19277349_18951109_147403_142_0002_alto.xml-215-9	bib13506739_18170609_144030_130_0003_alto.xml-5-14	Benjamin	1.0	 	2023-07-26 15:05:11.674	medium
bib15650837_18950730_146391_174_0004_alto.xml-69-33	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 15:20:51.351	medium
bib15873371_18950802_145112_207_0002_alto.xml-8-49	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	1.0	 	2023-07-26 15:36:08.124	medium
bib15650837_18950629_146391_148_0005_alto.xml-5-18	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 15:37:50.81	medium
bib19227462_18950123_147640_19_0004_alto.xml-185-5	bib11653828_18050427_144028_96_0003_alto.xml-10-33	Benjamin	1.0	 	2023-07-26 15:55:21.664	medium
bib19227462_18950123_147640_19_0004_alto.xml-185-5	bib15761097_18950423_145020_48_0004_alto.xml-2-0	Benjamin	1.0	 	2023-07-26 15:59:19.023	medium
bib15873371_18950802_145112_207_0003_alto.xml-134-17	bib11653828_17940203_144028_27_0003_alto.xml-3-29	Benjamin	1.0	 	2023-07-26 16:01:36.844	medium
bib19225758_18950516_144022_113_0003_alto.xml-249-33	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 16:34:08.654	medium
bib19277277_18300709_147682_155_0006_alto.xml-4-11	bib11653790_18951227_145648_53_0006_alto.xml-60-13	Benjamin	1.0	 	2023-07-26 14:16:17.354	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib11653828_18120217_144028_39_0002_alto.xml-7-9	Benjamin	4.0	 	2023-07-26 14:17:19.349	medium
bib13506739_18170609_144030_130_0003_alto.xml-5-14	bib11653790_18960313_145648_11_0006_alto.xml-219-14	Benjamin	1.0	 	2023-07-26 14:18:44.251	medium
bib19227462_18951207_147640_286_0005_alto.xml-76-2	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 14:19:27.827	medium
bib15650837_18950730_146391_174_0004_alto.xml-84-30	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	1.0	 	2023-07-26 14:20:35.436	medium
bib15873371_18950802_145112_207_0003_alto.xml-134-17	bib19227462_18951118_147640_269_0002_alto.xml-208-10	Benjamin	1.0	 	2023-07-26 14:24:05.153	medium
bib19277277_18300709_147682_155_0006_alto.xml-4-11	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	1.0	 	2023-07-26 14:25:54.109	medium
bib11653828_18050727_144028_171_0002_alto.xml-4-20	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 14:27:21.003	medium
bib15873371_18950429_145112_115_0004_alto.xml-49-5	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	4.0	 	2023-07-26 14:29:15.644	medium
bib19227291_18960818_145289_99_0002_alto.xml-46-14	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 14:31:08.538	medium
bib13506739_18170609_144030_130_0003_alto.xml-5-14	bib15873936_18950309_147385_30_0004_alto.xml-9-11	Benjamin	1.0	 	2023-07-26 14:33:49.027	medium
bib15650814_18950419_146365_91_0002_alto.xml-87-60	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 14:34:04.979	medium
bib19225772_18210126_148004_11_0004_alto.xml-5-13	bib19349359_18950831_148383_103_0003_alto.xml-130-20	Benjamin	1.0	 	2023-07-26 14:34:24.244	medium
bib19277277_18300305_147682_53_0003_alto.xml-10-14	bib11653828_18050427_144028_96_0003_alto.xml-10-33	Benjamin	1.0	 	2023-07-26 14:35:29.808	medium
bib19227291_18970417_145289_46_0003_alto.xml-135-8	bib11653828_17940203_144028_27_0003_alto.xml-3-29	Benjamin	1.0	 	2023-07-26 14:36:07.989	medium
bib19225758_18950506_144022_104_0005_alto.xml-220-14	bib19225772_18300528_148004_60_0003_alto.xml-2-9	Benjamin	1.0	 	2023-07-26 14:37:24.715	medium
bib13506739_17980830_144030_199_0006_alto.xml-9-19	bib19225772_18300528_148004_60_0003_alto.xml-2-9	Benjamin	1.0	 	2023-07-26 14:39:11.404	medium
bib11653811_19030703_145317_100_0004_alto.xml-49-42	bib15873936_18950309_147385_30_0004_alto.xml-9-11	Benjamin	1.0	 	2023-07-26 14:39:57.445	medium
bib11653811_19030703_145317_100_0004_alto.xml-49-42	bib11653790_19030313_12541_20_0002_alto.xml-60-0	Benjamin	1.0	 	2023-07-26 14:41:18.619	medium
bib11653828_18110911_144028_211_0003_alto.xml-3-11	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	3.0	 	2023-07-26 14:43:01.184	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 14:47:48.293	medium
bib19277277_18300709_147682_155_0006_alto.xml-4-11	bib19227462_18951118_147640_269_0002_alto.xml-208-10	Benjamin	1.0	 	2023-07-26 14:48:18.681	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib11653828_18050427_144028_96_0003_alto.xml-10-33	Benjamin	4.0	 	2023-07-26 14:51:35.812	medium
bib13506739_18170609_144030_130_0003_alto.xml-5-14	bib11653828_18020317_144028_62_0002_alto.xml-11-9	Benjamin	1.0	 	2023-07-26 14:52:43.611	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib19225772_18300528_148004_60_0003_alto.xml-2-9	Benjamin	4.0	 	2023-07-26 14:54:18.315	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	4.0	 	2023-07-26 14:54:25.879	medium
bib15873371_18951104_145112_301_0004_alto.xml-107-1	bib19227462_18951118_147640_269_0002_alto.xml-208-10	Benjamin	2.0	 	2023-07-26 14:54:58.438	medium
bib19227291_18960818_145289_99_0002_alto.xml-46-14	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 14:55:29.876	medium
bib19227291_18960818_145289_99_0002_alto.xml-46-14	bib11653828_18050427_144028_96_0003_alto.xml-10-33	Benjamin	1.0	 	2023-07-26 14:56:16.889	medium
bib19227291_18960818_145289_99_0002_alto.xml-46-14	bib15761097_18950418_145020_46_0003_alto.xml-2-0	Benjamin	1.0	 	2023-07-26 14:56:30.176	medium
bib13506739_17980830_144030_199_0006_alto.xml-9-19	bib11653790_19030313_12541_20_0002_alto.xml-60-0	Benjamin	1.0	 	2023-07-26 14:56:41.804	medium
bib19225772_18210126_148004_11_0004_alto.xml-5-13	bib11653790_18951227_145648_53_0006_alto.xml-60-13	Benjamin	1.0	 	2023-07-26 14:57:34.044	medium
bib11653811_19030703_145317_100_0004_alto.xml-49-42	bib11653790_18951227_145648_53_0006_alto.xml-60-13	Benjamin	1.0	 	2023-07-26 14:57:44.404	medium
bib19277277_18300305_147682_53_0003_alto.xml-10-14	bib11653790_18951227_145648_53_0006_alto.xml-60-13	Benjamin	1.0	 	2023-07-26 14:58:26.794	medium
bib19225772_18210126_148004_11_0004_alto.xml-5-13	bib11653790_19030313_12541_20_0002_alto.xml-60-0	Benjamin	1.0	 	2023-07-26 14:58:57.256	medium
bib13506739_17920123_144030_18_0001_alto.xml-2-4	bib11653828_18050427_144028_96_0003_alto.xml-10-33	Benjamin	1.0	 	2023-07-26 14:59:13.072	medium
bib13506739_17980830_144030_199_0006_alto.xml-9-19	bib11653828_18050427_144028_96_0003_alto.xml-10-33	Benjamin	1.0	 	2023-07-26 14:59:57.705	medium
bib19277277_18300305_147682_53_0003_alto.xml-10-14	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 15:00:37.876	medium
bib19225772_18210126_148004_11_0004_alto.xml-5-13	bib15761097_18950418_145020_46_0003_alto.xml-2-0	Benjamin	1.0	 	2023-07-26 15:02:12.633	medium
bib11653811_19030703_145317_100_0004_alto.xml-49-42	bib15761097_18950418_145020_46_0003_alto.xml-2-0	Benjamin	1.0	 	2023-07-26 15:04:03.673	medium
bib13506739_18170609_144030_130_0003_alto.xml-5-14	bib19225772_18300528_148004_60_0003_alto.xml-2-9	Benjamin	3.0	 	2023-07-26 15:04:10.551	medium
bib19225758_18950506_144022_104_0005_alto.xml-220-14	bib19225772_18070123_148004_9_0004_alto.xml-3-13	Benjamin	3.0	 	2023-07-26 15:04:28.287	medium
bib19225758_18950803_144022_178_0006_alto.xml-147-4	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 15:05:23.588	medium
bib15650814_18950419_146365_91_0002_alto.xml-87-60	bib11653823_18270531_144010_125_0002_alto.xml-0-7	Benjamin	3.0	 	2023-07-26 15:10:33.816	medium
bib15650814_18950419_146365_91_0002_alto.xml-87-60	bib15873936_18950309_147385_30_0004_alto.xml-9-11	Benjamin	1.0	 	2023-07-26 15:10:55.74	medium
bib15873371_18950429_145112_115_0004_alto.xml-49-5	bib11653790_18951227_145648_53_0006_alto.xml-60-13	Benjamin	1.0	 	2023-07-26 15:12:01.403	medium
bib19227462_18950119_147640_16_0003_alto.xml-112-14	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 15:12:40.655	medium
bib13506739_18170609_144030_130_0003_alto.xml-5-14	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 15:15:00.346	medium
bib19225758_18950506_144022_104_0005_alto.xml-220-14	bib11653790_19030313_12541_20_0002_alto.xml-60-0	Benjamin	1.0	 	2023-07-26 15:17:18.499	medium
bib19227291_18970417_145289_46_0003_alto.xml-135-8	bib13506739_18170609_144030_130_0003_alto.xml-5-14	Benjamin	1.0	 	2023-07-26 15:17:26.578	medium
bib19227291_18960421_145289_48_0003_alto.xml-69-25	bib11653828_18050427_144028_96_0003_alto.xml-10-33	Benjamin	1.0	 	2023-07-26 15:20:40.295	medium
bib19227291_18960818_145289_99_0002_alto.xml-46-14	bib15873936_18950309_147385_30_0004_alto.xml-9-11	Benjamin	2.0	 	2023-07-26 15:21:28.919	medium
bib13506739_18170609_144030_130_0003_alto.xml-5-14	bib19225772_18070123_148004_9_0004_alto.xml-3-13	Benjamin	1.0	 	2023-07-26 15:22:50.985	medium
bib19277277_18300709_147682_155_0006_alto.xml-4-11	bib19349359_18950831_148383_103_0003_alto.xml-130-20	Benjamin	1.0	 	2023-07-26 15:24:33.773	medium
bib15650837_18951118_146391_269_0003_alto.xml-168-4	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	2.0	 	2023-07-26 15:25:00.213	medium
bib15650814_18950419_146365_91_0002_alto.xml-87-60	bib15761097_18950423_145020_48_0004_alto.xml-2-0	Benjamin	4.0	 	2023-07-26 15:27:35.931	medium
bib15650814_18950419_146365_91_0002_alto.xml-87-60	bib11653790_19010104_145648_1_0004_alto.xml-155-28	Benjamin	3.0	 	2023-07-26 15:32:01.222	medium
bib19277277_18950702_147683_176_0006_alto.xml-111-25	bib11653790_19030313_12541_20_0002_alto.xml-60-0	Benjamin	1.0	 	2023-07-26 15:32:31.47	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib15761097_18950423_145020_48_0004_alto.xml-2-0	Benjamin	4.0	 	2023-07-26 15:35:36.211	medium
bib19277277_18300305_147682_53_0003_alto.xml-10-14	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 15:35:47.298	medium
bib19227462_18951207_147640_286_0005_alto.xml-76-2	bib19225772_18070123_148004_9_0004_alto.xml-3-13	Benjamin	2.0	 	2023-07-26 15:37:43.397	medium
bib19227291_18970417_145289_46_0003_alto.xml-135-8	bib15650814_18950419_146365_91_0002_alto.xml-87-60	Benjamin	1.0	 	2023-07-26 15:40:49.78	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib19225772_18070123_148004_9_0004_alto.xml-3-13	Benjamin	1.0	 	2023-07-26 15:42:01.198	medium
bib19277277_18300709_147682_155_0006_alto.xml-4-11	bib15650814_18950419_146365_91_0002_alto.xml-87-60	Benjamin	1.0	 	2023-07-26 15:43:49.225	medium
bib19225772_18210126_148004_11_0004_alto.xml-5-13	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	2.0	 	2023-07-26 15:47:15.969	medium
bib19227462_18950119_147640_16_0003_alto.xml-112-14	bib11653790_19030313_12541_20_0002_alto.xml-60-0	Benjamin	1.0	 	2023-07-26 15:47:22.404	medium
bib15650814_18950419_146365_91_0002_alto.xml-87-60	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	4.0	 	2023-07-26 15:50:15.317	medium
bib15650837_18951118_146391_269_0003_alto.xml-168-4	bib19225772_18300528_148004_60_0003_alto.xml-2-9	Benjamin	1.0	 	2023-07-26 15:51:31.117	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib11653790_18960313_145648_11_0006_alto.xml-219-14	Benjamin	1.0	 	2023-07-26 15:52:33.332	medium
bib19225758_18950506_144022_104_0005_alto.xml-220-14	bib15761097_18950423_145020_48_0004_alto.xml-2-0	Benjamin	1.0	 	2023-07-26 15:52:40.593	medium
bib13506739_18170609_144030_130_0003_alto.xml-5-14	bib19225758_18950131_144022_26_0004_alto.xml-68-6	Benjamin	1.0	 	2023-07-26 15:54:00.063	medium
bib15650814_18950419_146365_91_0002_alto.xml-87-60	bib19225772_17941219_148003_101_0003_alto.xml-3-88	Benjamin	1.0	 	2023-07-26 15:54:17.666	medium
bib11653811_19030703_145317_100_0004_alto.xml-49-42	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 15:57:06.561	medium
bib19227462_18951207_147640_286_0005_alto.xml-76-2	bib19225772_18300528_148004_60_0003_alto.xml-2-9	Benjamin	1.0	 	2023-07-26 16:03:23.676	medium
bib13506739_18170609_144030_130_0003_alto.xml-5-14	bib11653828_18120217_144028_39_0002_alto.xml-7-9	Benjamin	3.0	 	2023-07-26 16:05:13.12	medium
bib15650837_18950629_146391_148_0005_alto.xml-5-18	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	1.0	 	2023-07-26 16:05:56.565	medium
bib19277277_18300305_147682_53_0003_alto.xml-10-14	bib11653811_18990929_145317_149_0003_alto.xml-35-18	Benjamin	2.0	 	2023-07-26 16:06:20.49	medium
bib11653811_19020509_145317_69_0001_alto.xml-50-20	bib11653790_19030313_12541_20_0002_alto.xml-60-0	Benjamin	1.0	 	2023-07-26 16:07:04.396	medium
bib19277277_18300305_147682_53_0003_alto.xml-10-14	bib13506739_18170609_144030_130_0003_alto.xml-5-14	Benjamin	1.0	 	2023-07-26 16:09:32.997	medium
bib13506739_17980830_144030_199_0006_alto.xml-9-19	bib11653828_18080224_144028_45_0002_alto.xml-9-8	Benjamin	1.0	 	2023-07-26 16:10:04.531	medium
bib15873371_18950429_145112_115_0004_alto.xml-49-5	bib19225772_18070123_148004_9_0004_alto.xml-3-13	Benjamin	2.0	 	2023-07-26 16:10:23.662	medium
bib11653790_18990224_145648_15_0004_alto.xml-92-13	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 16:11:17.966	medium
bib15650814_18950419_146365_91_0002_alto.xml-87-60	bib19225772_18070123_148004_9_0004_alto.xml-3-13	Benjamin	1.0	 	2023-07-26 16:11:31.192	medium
bib15760600_18950824_146401_100_0003_alto.xml-198-4	bib19227462_18951118_147640_269_0002_alto.xml-208-10	Benjamin	2.0	 	2023-07-26 16:11:50.384	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib19225772_17941219_148003_101_0003_alto.xml-3-88	Benjamin	1.0	 	2023-07-26 16:15:23.014	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib15873936_18950309_147385_30_0004_alto.xml-9-11	Benjamin	1.0	 	2023-07-26 16:15:54.602	medium
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib15761097_18950418_145020_46_0003_alto.xml-2-0	Benjamin	3.0	 	2023-07-26 16:17:19.856	medium
bib11653811_19030703_145317_100_0004_alto.xml-49-42	bib11653806_18060819_145120_87_0008_alto.xml-5-6	Benjamin	1.0	 	2023-07-26 16:17:25.1	medium
