lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
medium	 	1825	1	bib19277346_18251112_147394_45_0004_alto.xml-4-11	 	Dem af Respektiwe Tegelbruksägare tom wid fdrsta Wardag eller sednast lill medier af Iur cti månad nästa ät / wilia lefwerera ett större rarkie Takregel samt något Murtegel fritt ombord wid narmtra hamn eller lallatztplgtS, behagade med fnarane lill Cowmerce.Radtl C.	75:81	0:267
medium	 	1825	1	bib19223423_18251207_145063_97_0003_alto.xml-1-20	 	ka wid andra delens uttagande godtgöra » - Hud » fFriptton dr Loven hvS de flefie Dvkdaadlare t Riket till medier al Januaris månad nästa är.	107:113	0:141
medium	 	1895	2	bib15760690_18950824_145050_129_0004_alto.xml-41-5	 	— Om Paul är ett medium, sam han pästär — sade hon — sä är saken lätt nog utredd.	17:23	0:81
medium	 	1828	1	bib19223423_18281224_145063_103_0001_alto.xml-3-14	 	hemma härstäoeS, och söranve Skeppet Kronprinsen härilrän Staden, sol » afgick i media af förra mänatzen, har, efter att lsafwa legat i hamn i Norrige och wid utgäenvet rerifrän af stark westanstorm blifwit drifwen mor Swensta kusten, ren 3 dennes lidit ffeppsdrott i GäSöffären, 3 mil ftårutifrån.	81:86	0:298
medium	 	1813	1	bib11653806_18130305_145120_25_0002_alto.xml-0-5	 	Utdrag af Kongs, Collegii Medier Protocoll, häller i Stockholm Mändagen den 1 Februari!	26:32	0:87
medium	 	1828	1	bib11653828_18281206_144028_281_0003_alto.xml-0-0	 	medium, hvarefter hvarje län, genom en kommité, fördelar länets summa på hvarje socken inom detsamma, och slutligen socknen emellan sina invånare i mån af deras kännedom om hvarje individs tillgångar.	0:6	0:200
medium	 	1803	1	bib13506739_18030702_144030_146_0002_alto.xml-13-6	 	» ansta illa sjuk, och Media ärv tit Henne förskrefne sä wäl frän Verlin, som Leipzig och Hamburg.	23:28	0:98
medium	 	1896	2	bib19227291_18960421_145289_48_0003_alto.xml-69-25	 	uppfatta som ljus beror på svängningar af eterpartiklar vinkelrätt mot l jusstrålens fortplantningsriktning, så skulle deremot X-strålarne utgöras af en hvirfvelrörelse hos ett intermolekulärt medium, se i tili widare kan kallas eter.	193:199	0:234
medium	 	1794	1	bib15650837_17940122_146391_6_0003_alto.xml-0-5	 	Emot saker inteckning är i media af Mar- nästkommande ek Capital af zo^o 8 ane o ledigt till utlänande.	27:32	0:103
medium	 	1795	1	bib13506739_17951222_144030_293_0001_alto.xml-3-0	 	medium tagit, ger mer än 24 procent, sä Sr ock Stkomsten bärlik aldeles owisi, ej vlik fistet i utfissadc ©jörnr, Det är sant, at i stere uti Sawolar och Sfwcn Karelen belägne smärre Träjk, sinnes Järn-Walm, men vet Sr ock lika - sant, at den llgger sZ tunn och pä fä fä ställen, at stera dagar » tgii äsive?	0:6	0:308
