identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib19227462_18950405_147640_80_0002_alto.xml-39-5	bib19225772_18260630_148004_74_0005_alto.xml-6-30	Benjamin	2.0	 	2023-07-25 13:47:56.092	uppläggning
bib15650814_18951203_146365_283_0004_alto.xml-83-14	bib15650835_18950219_146472_14_0004_alto.xml-145-5	Benjamin	2.0	 	2023-07-25 13:50:10.597	uppläggning
bib19225792_18260527_147359_20_0007_alto.xml-6-2	bib15873371_18950621_145112_166_0001_alto.xml-31-17	Benjamin	2.0	 	2023-07-25 13:54:29.284	uppläggning
bib19277277_18950130_147683_29_0008_alto.xml-66-2	bib19225758_18950222_144022_45_0004_alto.xml-103-17	Benjamin	2.0	 	2023-07-25 13:54:40.338	uppläggning
bib19227291_18951210_145289_147_0003_alto.xml-25-15	bib15873371_18950621_145112_166_0001_alto.xml-31-17	Benjamin	2.0	 	2023-07-25 13:55:11.836	uppläggning
bib15761097_18950912_145020_108_0001_alto.xml-7-1	bib19225772_18060912_148004_102_0003_alto.xml-6-30	Benjamin	3.0	 	2023-07-25 13:55:40.752	uppläggning
bib11653811_18981014_145317_158_0002_alto.xml-29-0	bib19225772_18060912_148004_102_0003_alto.xml-6-30	Benjamin	2.0	 	2023-07-25 13:57:15.768	uppläggning
bib19277277_18261218_147682_294_0004_alto.xml-35-19	bib15650835_18950219_146472_14_0004_alto.xml-145-5	Benjamin	2.0	 	2023-07-25 13:57:24.032	uppläggning
bib15761097_18950912_145020_108_0001_alto.xml-7-1	bib15873371_18950207_145112_37_0004_alto.xml-2-8	Benjamin	2.0	 	2023-07-25 13:57:32.036	uppläggning
bib19277277_18261218_147682_294_0004_alto.xml-35-19	bib15650814_18950930_146365_228_0002_alto.xml-69-8	Benjamin	2.0	 	2023-07-25 13:57:54.887	uppläggning
bib13506739_18090926_144030_223_0005_alto.xml-5-6	bib15978012_18950121_148361_17_0002_alto.xml-26-12	Benjamin	4.0	 	2023-07-25 13:58:10.654	uppläggning
bib15975087_18951207_145596_190_0002_alto.xml-114-12	bib19277277_18950128_147683_27_0010_alto.xml-95-2	Benjamin	2.0	 	2023-07-25 14:01:32.338	uppläggning
bib15650814_18951203_146365_283_0004_alto.xml-83-14	bib19225772_18060912_148004_102_0003_alto.xml-6-30	Benjamin	2.0	 	2023-07-25 14:01:47.038	uppläggning
bib19225792_18260527_147359_20_0007_alto.xml-6-2	bib19277277_18950128_147683_27_0010_alto.xml-95-2	Benjamin	2.0	 	2023-07-25 14:03:47.519	uppläggning
bib13506739_18090926_144030_223_0005_alto.xml-5-6	bib19277349_18950808_147403_101_0004_alto.xml-19-30	Benjamin	2.0	 	2023-07-25 14:04:08.611	uppläggning
bib15975090_18950117_148377_7_0001_alto.xml-55-13	bib15873371_18950621_145112_166_0001_alto.xml-31-17	Benjamin	2.0	 	2023-07-25 14:04:37.993	uppläggning
bib15650814_18951203_146365_283_0004_alto.xml-83-14	bib19277277_18950128_147683_27_0010_alto.xml-95-2	Benjamin	2.0	 	2023-07-25 14:07:26.441	uppläggning
bib19277277_18261218_147682_294_0004_alto.xml-35-19	bib15873371_18950207_145112_37_0004_alto.xml-2-8	Benjamin	4.0	 	2023-07-25 14:08:05.434	uppläggning
bib19277277_18261218_147682_294_0004_alto.xml-35-19	bib19225772_18060912_148004_102_0003_alto.xml-6-30	Benjamin	2.0	 	2023-07-25 14:09:13.423	uppläggning
bib13506739_18280905_144030_207_0004_alto.xml-10-15	bib15650814_18951203_146365_283_0004_alto.xml-83-14	Benjamin	2.0	 	2023-07-25 14:09:25.028	uppläggning
bib19225792_18260527_147359_20_0007_alto.xml-6-2	bib19277349_18950808_147403_101_0004_alto.xml-19-30	Benjamin	2.0	 	2023-07-25 14:10:46.82	uppläggning
bib15650835_18950212_146472_12_0004_alto.xml-172-5	bib15873371_18950207_145112_37_0004_alto.xml-2-8	Benjamin	2.0	 	2023-07-25 14:13:34.98	uppläggning
bib11653811_18981014_145317_158_0002_alto.xml-29-0	bib19277277_18950128_147683_27_0010_alto.xml-95-2	Benjamin	4.0	 	2023-07-25 14:15:29.152	uppläggning
bib15975090_18950117_148377_7_0001_alto.xml-55-13	bib15978012_18950121_148361_17_0002_alto.xml-26-12	Benjamin	4.0	 	2023-07-25 14:16:26.144	uppläggning
bib19277277_18261218_147682_294_0004_alto.xml-35-19	bib15978012_18950121_148361_17_0002_alto.xml-26-12	Benjamin	2.0	 	2023-07-25 14:16:38.87	uppläggning
bib19277277_18261218_147682_294_0004_alto.xml-35-19	bib15760690_18951209_145050_190_0002_alto.xml-52-12	Benjamin	4.0	 	2023-07-25 14:17:59.62	uppläggning
bib11653811_18981014_145317_158_0002_alto.xml-29-0	bib15873371_18950207_145112_37_0004_alto.xml-2-8	Benjamin	2.0	 	2023-07-25 14:20:37.908	uppläggning
bib15761097_18950912_145020_108_0001_alto.xml-7-1	bib15650814_18950930_146365_228_0002_alto.xml-69-8	Benjamin	2.0	 	2023-07-25 14:21:57.098	uppläggning
bib11653811_19021011_145317_156_0003_alto.xml-143-16	bib19277330_18950601_0_64_0004_alto.xml-73-22	Benjamin	2.0	 	2023-07-25 14:22:57.201	uppläggning
