identifier1	identifier2	annotator	judgment	comment	lemma
bib11653828_18020317_144028_62_0002_alto.xml-6-9	bib11653828_18300111_144028_7_0002_alto.xml-0-8	katarinalbrekt	2	 	aktiv
bib15650837_18020507_146391_37_0002_alto.xml-9-20	bib11653828_18300212_144028_35_0002_alto.xml-11-61	katarinalbrekt	2	 	aktiv
bib11653790_19020805_145648_60_0002_alto.xml-61-11	bib19223423_18221026_145063_86_0002_alto.xml-3-21	katarinalbrekt	0	 	aktiv
bib19225772_18121007_148004_114_0001_alto.xml-0-4	bib11653811_18981029_145317_167_0002_alto.xml-151-12	katarinalbrekt	3	 	aktiv
bib15873371_18950227_145112_57_0002_alto.xml-40-21	bib11653828_17960213_144028_36_0001_alto.xml-3-17	katarinalbrekt	3	 	aktiv
bib11653815_18970830_146944_99_0003_alto.xml-61-13	bib11653828_18301018_144028_241_0003_alto.xml-2-1	katarinalbrekt	3	 	aktiv
bib19277349_18950611_147403_76_0002_alto.xml-188-11	bib19225772_18071118_148004_132_0002_alto.xml-13-7	katarinalbrekt	3	 	aktiv
bib11653828_18290428_144028_96_0003_alto.xml-9-19	bib15760600_18950126_146401_11_0001_alto.xml-84-9	katarinalbrekt	2	 	aktiv
bib19225772_18121007_148004_114_0001_alto.xml-0-4	bib11653815_18970830_146944_99_0003_alto.xml-61-13	katarinalbrekt	4	 	aktiv
bib11653828_17921106_144028_257_0003_alto.xml-11-8	bib11653811_19020602_145317_82_0002_alto.xml-58-12	katarinalbrekt	3	 	aktiv
bib15760600_18950820_146401_98_0003_alto.xml-179-9	bib11653828_18290915_144028_213_0002_alto.xml-8-3	katarinalbrekt	3	 	aktiv
bib19277277_18291116_147682_266_0001_alto.xml-4-26	bib15873371_18950225_145112_55_0003_alto.xml-32-44	katarinalbrekt	3	 	aktiv
bib11653828_18260316_144028_63_0004_alto.xml-9-19	bib11653828_18290909_144028_208_0003_alto.xml-11-13	katarinalbrekt	4	 	aktiv
bib11653825_18050204_145134_14_0002_alto.xml-11-23	bib11653811_19000207_145317_20_0002_alto.xml-10-20	katarinalbrekt	1	 	aktiv
bib11653828_17920619_144028_139_0001_alto.xml-2-3	bib11653811_19000822_145317_129_0004_alto.xml-62-20	katarinalbrekt	3	 	aktiv
bib11653828_17900706_144028_152_0004_alto.xml-4-21	bib19225758_18950617_144022_138_0003_alto.xml-66-54	katarinalbrekt	3	 	aktiv
bib11653838_19031002_147024_40_0002_alto.xml-187-31	bib11653838_19000427_147024_17_0002_alto.xml-20-10	katarinalbrekt	3	 	aktiv
bib19225758_18950504_144022_103_0006_alto.xml-194-5	bib11653811_18950209_145317_23_0003_alto.xml-115-4	katarinalbrekt	3	 	aktiv
bib15873936_18950810_147385_93_0003_alto.xml-44-1	bib15650814_18950919_146365_219_0001_alto.xml-69-0	katarinalbrekt	1	 	aktiv
bib19223423_18221026_145063_86_0001_alto.xml-0-6	bib15760600_18950820_146401_98_0003_alto.xml-179-9	katarinalbrekt	3	 	aktiv
bib15650835_18960313_146472_41_0007_alto.xml-45-0	bib19225758_18951123_144022_274_0001_alto.xml-8-3	katarinalbrekt	4	 	aktiv
bib19227462_18950725_147640_170_0002_alto.xml-92-26	bib19277346_18260603_147394_22_0003_alto.xml-4-28	katarinalbrekt	1	 	aktiv
bib19225772_18160906_148004_102_0001_alto.xml-14-26	bib11653792_17950502_146919_18_0001_alto.xml-1-2	katarinalbrekt	2	 	aktiv
bib11653836_18950524_147011_21_0004_alto.xml-88-33	bib15978012_18951204_148361_283_0002_alto.xml-80-6	katarinalbrekt	3	 	aktiv
bib19277330_18950214_0_19_0002_alto.xml-48-24	bib11653828_18271004_144028_232_0001_alto.xml-2-6	katarinalbrekt	3	 	aktiv
bib19225758_18950816_144022_189_0002_alto.xml-128-9	bib11653838_19001221_147024_51_0001_alto.xml-44-45	katarinalbrekt	3	 	aktiv
bib19227291_18960901_145289_105_0003_alto.xml-56-20	bib11653828_18271004_144028_232_0001_alto.xml-2-6	katarinalbrekt	3	 	aktiv
bib15975090_18960922_148377_118_0003_alto.xml-99-15	bib19277277_18290406_147682_79_0001_alto.xml-4-13	katarinalbrekt	3	 	aktiv
bib15761570_18951003_146176_164_0002_alto.xml-2-4	bib11653792_18070711_146919_28_0002_alto.xml-6-3	katarinalbrekt	3	 	aktiv
bib11653838_19011115_147024_46_0001_alto.xml-95-18	bib19225772_18210321_148004_34_0002_alto.xml-6-8	katarinalbrekt	3	 	aktiv
bib19225758_18950216_144022_40_0007_alto.xml-69-6	bib15761570_18951003_146176_164_0002_alto.xml-2-4	katarinalbrekt	4	 	aktiv
bib11653823_18290908_0_207_0002_alto.xml-12-14	bib19277277_18290220_147682_42_0001_alto.xml-4-68	hatsab	4	 	aktiv
bib19227291_18950223_145289_23_0003_alto.xml-68-34	bib11653790_18960131_145648_5_0006_alto.xml-71-2	hatsab	4	 	aktiv
bib11653811_19020127_145317_14_0003_alto.xml-92-6	bib11653828_18301015_144028_239_0004_alto.xml-2-24	hatsab	4	 	aktiv
