identifier1	identifier2	annotator	judgment	comment	lemma
bib11653811_19001224_145317_200_0004_alto.xml-4-6	bib13506739_18270201_144030_26_0002_alto.xml-1-20	Magdalena	3	 	bearbeta
bib11653828_18250525_144028_117_0001_alto.xml-8-7	bib11653790_18961023_145648_43_0004_alto.xml-22-9	Magdalena	2	 	bearbeta
bib19227291_18950115_145289_6_0002_alto.xml-78-15	bib15650837_18300526_146391_42_0003_alto.xml-6-27	Magdalena	2	 	bearbeta
bib19227291_18950115_145289_6_0002_alto.xml-78-15	bib11653806_18160605_145120_61_0001_alto.xml-3-50	Magdalena	2	 	bearbeta
bib11653828_18020821_144028_189_0004_alto.xml-3-9	bib11653823_18260824_144010_195_0003_alto.xml-26-10	Magdalena	0	 	bearbeta
bib11653838_19020815_147024_33_0003_alto.xml-107-2	bib11653828_18241216_144028_293_0002_alto.xml-7-8	Magdalena	3	 	bearbeta
bib11653823_18291219_0_295_0004_alto.xml-12-24	bib11653828_18270529_144028_123_0002_alto.xml-19-27	Magdalena	2	 	bearbeta
bib13506739_18250127_144030_21_0002_alto.xml-3-8	bib19227462_18950809_147640_183_0003_alto.xml-236-6	Magdalena	3	 	bearbeta
bib11653806_18110501_145120_48_0002_alto.xml-6-32	bib19225758_18950911_144022_211_0002_alto.xml-163-12	Magdalena	2	 	bearbeta
bib11653823_18250528_144010_120_0002_alto.xml-18-21	bib11653823_18210328_144010_73_0007_alto.xml-5-20	Magdalena	3	 	bearbeta
bib15650837_18950110_146391_8_0001_alto.xml-3-14	bib11653823_18281122_144010_274_0004_alto.xml-8-5	Magdalena	2	 	bearbeta
bib19277277_18950406_147683_94_0006_alto.xml-89-7	bib11653811_18950710_145317_104_0003_alto.xml-189-7	Magdalena	2	 	bearbeta
bib11653790_18980513_145648_36_0008_alto.xml-42-31	bib13506739_17951221_144030_292_0001_alto.xml-1-6	Magdalena	2	 	bearbeta
bib11653828_18220429_144028_98_0002_alto.xml-9-30	bib11653828_18270529_144028_123_0002_alto.xml-19-27	Magdalena	4	 	bearbeta
bib11653828_18280119_144028_16_0002_alto.xml-13-3	bib19227291_18950115_145289_6_0002_alto.xml-78-15	Magdalena	2	 	bearbeta
bib19277330_18950411_0_43_0003_alto.xml-7-35	bib11653823_18281122_144010_274_0004_alto.xml-8-5	Magdalena	4	 	bearbeta
bib11653828_18190622_144028_141_0002_alto.xml-10-41	bib11653836_18950823_147011_34_0004_alto.xml-128-14	Magdalena	2	 	bearbeta
bib11653828_18200222_144028_43_0002_alto.xml-0-13	bib19227462_18950809_147640_183_0003_alto.xml-236-6	Magdalena	3	 	bearbeta
bib11653830_18950311_146968_30_0002_alto.xml-137-30	bib13506739_18231011_144030_235_0010_alto.xml-14-3	Magdalena	0	 	bearbeta
bib11653823_18281122_144010_274_0004_alto.xml-8-5	bib11653823_18250324_144010_69_0001_alto.xml-7-14	Magdalena	2	 	bearbeta
bib11653790_18961023_145648_43_0004_alto.xml-22-9	bib11653828_18260128_144028_23_0004_alto.xml-3-17	Magdalena	4	 	bearbeta
bib19227462_18950515_147640_112_0003_alto.xml-141-22	bib11653790_18980513_145648_36_0008_alto.xml-42-31	Magdalena	2	 	bearbeta
bib11653790_18980513_145648_36_0008_alto.xml-42-31	bib11653823_18230408_144010_79_0003_alto.xml-4-1	Magdalena	2	 	bearbeta
bib11653811_19011009_145317_156_0004_alto.xml-28-15	bib11653815_18970205_146944_14_0002_alto.xml-35-44	Magdalena	2	 	bearbeta
bib15650814_18950911_146365_212_0003_alto.xml-137-15	bib19223423_18250518_145063_39_0002_alto.xml-4-18	Magdalena	2	 	bearbeta
bib11653815_18970205_146944_14_0002_alto.xml-35-44	bib19223423_18250518_145063_39_0002_alto.xml-4-18	Magdalena	4	 	bearbeta
bib11653830_18980801_146968_59_0002_alto.xml-23-11	bib19223423_18250518_145063_39_0002_alto.xml-4-18	Magdalena	2	 	bearbeta
bib15760690_18950527_145050_80_0003_alto.xml-105-4	bib11653828_18110608_144028_131_0002_alto.xml-4-23	Magdalena	2	 	bearbeta
bib19223423_18250212_145063_12_0002_alto.xml-8-9	bib19227462_18951012_147640_238_0004_alto.xml-95-2	Magdalena	2	 	bearbeta
bib19227462_18951012_147640_238_0004_alto.xml-95-2	bib15978012_18950701_148361_149_0003_alto.xml-38-10	Magdalena	2	 	bearbeta
bib19277277_18950902_147683_238_0007_alto.xml-133-5	bib19227291_18300602_145289_22_0004_alto.xml-16-16	Magdalena	4	 	bearbeta
bib15978012_18950701_148361_149_0003_alto.xml-38-10	bib11653828_18220514_144028_111_0001_alto.xml-0-18	Magdalena	2	 	bearbeta
bib11653790_18961023_145648_43_0004_alto.xml-22-9	bib15761570_18950815_146176_134_0004_alto.xml-102-18	Magdalena	2	 	bearbeta
bib11653836_18950823_147011_34_0004_alto.xml-128-14	bib11653815_18970205_146944_14_0002_alto.xml-35-44	Magdalena	2	 	bearbeta
bib19277277_18300611_147682_132_0001_alto.xml-19-11	bib13506739_18231011_144030_235_0010_alto.xml-14-3	Magdalena	0	 	bearbeta
bib19225772_18241020_148004_121_0002_alto.xml-4-9	bib11653823_18241214_144010_291_0003_alto.xml-4-28	Magdalena	2	 	bearbeta
bib11653828_18190206_144028_30_0003_alto.xml-5-11	bib19223423_17900430_145063_18_0002_alto.xml-3-8	Magdalena	0	 	bearbeta
bib19225758_18950907_144022_208_0008_alto.xml-70-4	bib15650837_18140914_146391_73_0002_alto.xml-5-30	Magdalena	2	 	bearbeta
