identifier1	identifier2	annotator	judgment	comment	lemma
bib19227306_18290304_147700_9_0001_alto.xml-5-16	bib11653790_18980506_145648_34_0005_alto.xml-12-27	katarinalbrekt	3	 	beredning
bib19277277_18260201_147682_26_0004_alto.xml-16-20	bib11653806_18010415_145120_41_0004_alto.xml-8-12	katarinalbrekt	4	 	beredning
bib11653806_18010415_145120_41_0004_alto.xml-8-12	bib15650837_18260819_146391_66_0004_alto.xml-17-5	katarinalbrekt	4	 	beredning
bib19225758_18950525_144022_120_0001_alto.xml-71-61	bib11653825_18170726_145134_89_0003_alto.xml-6-8	katarinalbrekt	1	 	beredning
bib19349359_18950910_148383_107_0001_alto.xml-33-6	bib11653825_18170726_145134_89_0003_alto.xml-6-8	katarinalbrekt	3	 	beredning
bib13506739_18190507_144030_104_0007_alto.xml-7-13	bib15975087_18951218_145596_196_0004_alto.xml-75-1	katarinalbrekt	0	 	beredning
bib19277277_18950201_147683_31_0003_alto.xml-16-7	bib13506739_18250208_144030_31_0003_alto.xml-24-3	katarinalbrekt	2	 	beredning
bib15873371_18951002_145112_268_0002_alto.xml-104-22	bib19277301_18950207_145146_11_0001_alto.xml-55-75	katarinalbrekt	4	 	beredning
bib15760690_18950706_145050_101_0002_alto.xml-224-23	bib11653790_19001113_145648_90_0001_alto.xml-14-6	katarinalbrekt	2	 	beredning
bib19225772_18080108_148004_2_0003_alto.xml-4-19	bib13506739_18081111_144030_263_0003_alto.xml-3-36	katarinalbrekt	0	 	beredning
bib19277346_18130403_147394_15_0002_alto.xml-0-73	bib11653825_18000315_145134_28_0007_alto.xml-5-8	katarinalbrekt	1	 	beredning
bib19227462_18950307_147640_56_0002_alto.xml-227-1	bib15650814_18951207_146365_287_0004_alto.xml-51-10	katarinalbrekt	1	 	beredning
bib11653811_18980603_145317_83_0002_alto.xml-87-12	bib19520388_17910420_147487_16_0001_alto.xml-0-3	katarinalbrekt	2	 	beredning
bib15873371_18951002_145112_268_0002_alto.xml-104-22	bib11653823_18300716_144010_161_0004_alto.xml-9-0	katarinalbrekt	1	 	beredning
bib15761097_18950221_145020_22_0003_alto.xml-9-13	bib11653828_18031212_144028_284_0004_alto.xml-9-11	katarinalbrekt	2	 	beredning
bib15873936_18950907_147385_105_0004_alto.xml-18-4	bib19277346_18160420_147394_16_0004_alto.xml-4-43	katarinalbrekt	0	 	beredning
bib15975087_18950911_145596_140_0004_alto.xml-13-3	bib15873936_18950907_147385_105_0004_alto.xml-18-4	katarinalbrekt	2	 	beredning
