identifier1	identifier2	annotator	judgment	comment	lemma
bib19223423_18010221_145063_16_0001_alto.xml-0-6	bib19277330_18950323_0_35_0003_alto.xml-82-9	katarinalbrekt	0	 	blockera
bib19277346_18100908_147394_34_0002_alto.xml-12-18	bib15978012_18950131_148361_26_0003_alto.xml-31-7	katarinalbrekt	3	 	blockera
bib19225772_18160227_148004_24_0001_alto.xml-10-10	bib11653811_19011213_145317_193_0003_alto.xml-76-9	katarinalbrekt	3	 	blockera
bib15650837_17901006_146391_80_0001_alto.xml-9-4	bib19225772_18140729_148004_85_0001_alto.xml-6-4	katarinalbrekt	3	 	blockera
bib19277330_18951221_0_151_0003_alto.xml-85-31	bib11653828_18290328_144028_72_0002_alto.xml-13-13	katarinalbrekt	4	 	blockera
bib15760600_18950129_146401_12_0003_alto.xml-17-0	bib11653815_18970412_146944_42_0003_alto.xml-72-14	katarinalbrekt	4	 	blockera
bib19223423_18050717_145063_57_0002_alto.xml-2-20	bib19225772_18130820_148004_95_0002_alto.xml-5-18	katarinalbrekt	4	 	blockera
bib15650837_18950112_146391_10_0005_alto.xml-49-5	bib11653828_18290218_144028_40_0003_alto.xml-8-14	katarinalbrekt	2	 	blockera
bib11653811_19010304_145317_36_0002_alto.xml-59-14	bib11653825_18050617_145134_72_0003_alto.xml-13-11	katarinalbrekt	2	 	blockera
bib19225772_17931231_148003_103_0002_alto.xml-5-6	bib11653825_18000405_145134_37_0002_alto.xml-14-3	katarinalbrekt	4	 	blockera
bib19227291_18281015_145289_42_0001_alto.xml-4-2	bib19277277_18950506_147683_122_0005_alto.xml-132-6	katarinalbrekt	3	 	blockera
bib19277349_18950131_147403_15_0004_alto.xml-10-5	bib19227291_18250119_145289_3_0002_alto.xml-23-3	katarinalbrekt	4	 	blockera
bib15650835_18950226_146472_17_0003_alto.xml-232-3	bib15650837_17901006_146391_80_0001_alto.xml-9-4	katarinalbrekt	2	 	blockera
bib19225772_18140729_148004_85_0001_alto.xml-6-4	bib19225772_18130820_148004_95_0002_alto.xml-5-18	katarinalbrekt	4	 	blockera
bib19277330_18950323_0_35_0003_alto.xml-82-9	bib11653811_18970319_145317_43_0003_alto.xml-31-3	katarinalbrekt	4	 	blockera
bib11653830_18970311_146968_20_0002_alto.xml-57-7	bib15978012_18950425_148361_95_0003_alto.xml-53-6	katarinalbrekt	3	 	blockera
bib11653790_18981115_145648_88_0003_alto.xml-110-7	bib19227291_18960721_145289_87_0002_alto.xml-68-39	katarinalbrekt	0	 	blockera
bib15650835_18950226_146472_17_0004_alto.xml-129-2	bib11653828_18290126_144028_20_0003_alto.xml-18-35	katarinalbrekt	4	 	blockera
