identifier1	identifier2	annotator	judgment	comment	lemma
bib13506739_18121021_144030_245_0008_alto.xml-7-11	bib13506739_17921121_144030_270_0003_alto.xml-10-30	katarinalbrekt	3	 	dun
bib15760600_18950817_146401_97_0002_alto.xml-2-16	bib13506739_18050114_144030_11_0005_alto.xml-6-14	katarinalbrekt	4	 	dun
bib13506739_18150606_144030_128_0008_alto.xml-0-9	bib19277330_18950323_0_35_0001_alto.xml-87-66	katarinalbrekt	0	 	dun
bib15873936_18960331_147385_38_0004_alto.xml-28-52	bib19225758_18950225_144022_47_0004_alto.xml-103-129	katarinalbrekt	4	 	dun
bib13506739_18150821_144030_192_0002_alto.xml-0-1	bib13506739_18060324_144030_68_0006_alto.xml-13-16	katarinalbrekt	0	 	dun
bib19227291_18960523_145289_62_0001_alto.xml-27-10	bib11653828_17991101_144028_251_0002_alto.xml-13-66	katarinalbrekt	0	 	dun
bib15873936_18950511_147385_56_0004_alto.xml-39-32	bib15760600_18950817_146401_97_0002_alto.xml-2-16	katarinalbrekt	3	 	dun
bib11653815_18960606_146944_45_0004_alto.xml-51-61	bib15873936_18960220_147385_21_0004_alto.xml-34-168	katarinalbrekt	0	 	dun
bib11653828_18281205_144028_280_0002_alto.xml-10-13	bib15760600_18950907_146401_106_0002_alto.xml-9-16	katarinalbrekt	1	 	dun
bib11653790_18980715_145648_53_0004_alto.xml-37-8	bib11653792_18060823_146919_34_0003_alto.xml-8-24	katarinalbrekt	4	 	dun
bib11653828_17941213_144028_286_0001_alto.xml-0-6	bib19277330_18950905_0_105_0001_alto.xml-0-4	katarinalbrekt	0	 	dun
bib19227291_18960527_145289_63_0001_alto.xml-4-10	bib13506739_18180129_144030_23_0005_alto.xml-7-6	katarinalbrekt	4	 	dun
bib19277277_18250928_147682_224_0004_alto.xml-0-9	bib19225772_18151003_148004_113_0003_alto.xml-5-4	katarinalbrekt	0	 	dun
bib19225772_18230711_148004_77_0003_alto.xml-6-15	bib15873936_18950912_147385_107_0004_alto.xml-81-32	katarinalbrekt	4	 	dun
bib13506739_18080920_144030_218_0005_alto.xml-4-21	bib13506739_17910418_144030_89_0016_alto.xml-1-0	katarinalbrekt	1	 	dun
bib13506739_18170418_144030_88_0007_alto.xml-10-3	bib15873936_18960314_147385_31_0004_alto.xml-96-52	katarinalbrekt	3	 	dun
bib15873936_18950919_147385_110_0004_alto.xml-45-60	bib19227462_18950417_147640_88_0003_alto.xml-271-8	katarinalbrekt	0	 	dun
bib19277330_18951003_0_117_0001_alto.xml-10-23	bib15650837_18300901_146391_70_0002_alto.xml-1-101	katarinalbrekt	4	 	dun
bib13506739_18050605_144030_128_0006_alto.xml-9-7	bib19277330_18950323_0_35_0001_alto.xml-87-66	katarinalbrekt	3	 	dun
bib19223423_18150107_145063_2_0001_alto.xml-3-27	bib19277180_18951212_147374_101_0002_alto.xml-2-7	katarinalbrekt	1	 	dun
bib15873936_18950511_147385_56_0004_alto.xml-39-32	bib11653815_18960606_146944_45_0004_alto.xml-51-61	katarinalbrekt	1	 	dun
bib19277277_18250928_147682_224_0004_alto.xml-0-9	bib13506739_18050605_144030_128_0006_alto.xml-9-7	katarinalbrekt	1	 	dun
bib13506739_18170418_144030_88_0007_alto.xml-10-3	bib15873936_18950910_147385_106_0004_alto.xml-74-14	katarinalbrekt	3	 	dun
bib19277330_18951019_0_124_0003_alto.xml-145-3	bib11653828_18141207_144028_284_0003_alto.xml-14-4	katarinalbrekt	0	 	dun
bib19277330_18950323_0_35_0001_alto.xml-87-66	bib15873936_18960220_147385_21_0004_alto.xml-89-55	katarinalbrekt	4	 	dun
bib13506739_17970327_144030_70_0005_alto.xml-13-18	bib13506739_18050605_144030_128_0006_alto.xml-9-7	katarinalbrekt	3	 	dun
bib15873936_18950511_147385_56_0004_alto.xml-39-32	bib15873371_18950304_145112_62_0004_alto.xml-133-117	katarinalbrekt	4	 	dun
