lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
dun	nan	1901	2	bib11653811_19010208_145317_22_0001_alto.xml-53-39	 	Carl Oskar Petersson, Johan Constans Pet tersson, Johan Petter August Carlson, Otto Ferdinand Dunberg och Johan Erik Eriksson idka i Lönneberga socken tillverkning af och handel med fotogénmotorer och gjutgods under firma » Lönneberga Mekaniska Verkstad Dun berg, Petersson & Comp. », som tecknas endast af Carl Oskar Petersson.	254:257	0:328
dun	nan	1803	1	bib13506739_18030820_144030_188_0007_alto.xml-5-24	 	En medelålders Änka ästundar at komma til mig.Ni Herre, antingen Ungkarl eller Änkling; hälst sä: ges om det tvm en til dun kommen Herre svin hon kunde fa hushätla före.	120:123	0:169
dun	nan	1895	2	bib15761570_18951203_146176_199_0001_alto.xml-12-69	 	mot kontant betalning försälja förfallna panter bestående af begagnade Manskläder, Guld- ocb Silfverarbeten, Vägg- ocb Fickur, Snickeriverktyger, diverse Möbler, Teaterobligationer, 3:ne fina Åkslädar, 1 Bryggaresläde med kälkar, Manufakturvaror, nya färdiggjorda Manskläder, Kostymer, Cheviot, Korderoj- ocb Vadmal sbyxor, Kostymtyger, Skjortor, Kalsonger, 2 st. bättre Skinnfoder, 1 Ryskt Thekök, Copiepress, Sängkläder af dun, Mattor m. m. m. m.	425:428	0:448
dun	nan	1818	1	bib13506739_18180828_144030_197_0007_alto.xml-16-38	 	Alla de som wcta sig haswa inlemnat ttr till reparation uti Huset N:s 9 & 10, Groarterct uöinKU baken, hörnet as Drottning- och ApelbergSgatorne, antingen till afledne Ur-Fabrikören Anton Muckle euer till undertecknad, inlöfe dun inom Scpt.	226:229	0:240
dun	nan	1895	2	bib15760600_18950831_146401_103_0002_alto.xml-9-16	 	Jungfru Åhrbergs Aseptin Kathreiners Maltkaffe Hampfröextrakt Sundhetssalt Sundhetsbalsam Fernissor Oljor Målarefärger Målarepenslar Fönsterglas Kreatursåpa Höganäs lerkärl Dun, Fjäder och Krollsplint Bomulls- & Ullgarn Jonsereds fabrikers Segel- & Presenningsduk Göteborgs Jästbolags l:ma Pressjäst	173:176	0:299
dun	nan	1799	1	bib13506739_17990208_144030_33_0003_alto.xml-3-5	 	Noa Sängkläder och M-draöer samt Dun och spritad Fjäder är til salu uti Huset sv kallat Solen vnder N:o 64 rev » Hornsgatan.	33:36	0:124
dun	nan	1806	1	bib13506739_18060423_144030_91_0004_alto.xml-4-29	 	Alla de, som weta sig wara nägot ssyldige till upplösta KraiichandelS-Bolaget Backan Sr Heren, öro sa goda och med det sirsta sina stUider htalfl, sa kart dun ärv att un div i ka Lagsökning.	155:158	0:190
dun	nan	1830	1	bib15650837_18300612_146391_47_0004_alto.xml-14-27	 	och ram, moderna Ljuskronor af siipadt glas, större och mindre Speglar; Jernsaker, hwaribland är Wågbalancer, allehanda trädwaror, mycket goda Sängkläder nied dun och ljäder samt Tagel, Golfmattor, ett större partte Linne, deribland filta Holländsta Damast-duktvger, dräller och andre finare och gröfre linnewäfuader.	159:162	0:317
dun	nan	1903	2	bib11653811_19030504_145317_68_0004_alto.xml-15-2	 	fem sex dun, och här lade honan sina ägg, som hon rufvade växelvis nied hannen.	8:11	0:79
dun	nan	1896	2	bib19227291_18960519_145289_60_0001_alto.xml-31-8	 	maskinrensad Gräs », And- och Fågelfjäder samt Dun ändigt på lager, billigt hos	47:50	0:79
