identifier1	identifier2	annotator	judgment	comment	lemma
bib11653828_18170927_144028_224_0001_alto.xml-2-3	bib13506739_18260304_144030_41_0005_alto.xml-6-7	katarinalbrekt	4	 	färg
bib19277180_18950722_147374_60_0004_alto.xml-10-8	bib11653811_18981216_145317_194_0003_alto.xml-13-18	katarinalbrekt	3	 	färg
bib13506739_18270509_144030_107_0004_alto.xml-7-23	bib19227291_18971016_145289_125_0003_alto.xml-4-6	katarinalbrekt	3	 	färg
bib15873936_18951109_147385_132_0002_alto.xml-92-12	bib19277277_18950725_147683_199_0004_alto.xml-5-19	katarinalbrekt	3	 	färg
bib19277180_18950722_147374_60_0004_alto.xml-10-8	bib15873371_18950326_145112_83_0002_alto.xml-217-36	katarinalbrekt	4	 	färg
bib15650837_18281015_146391_83_0004_alto.xml-19-24	bib11653790_18970820_145648_65_0001_alto.xml-18-47	katarinalbrekt	3	 	färg
bib15650837_18281015_146391_83_0004_alto.xml-19-24	bib11653811_18980305_145317_36_0009_alto.xml-0-1	katarinalbrekt	3	 	färg
bib19277277_18280607_147682_131_0003_alto.xml-32-8	bib19227462_18951022_147640_246_0006_alto.xml-34-14	katarinalbrekt	3	 	färg
bib19277277_18950212_147683_42_0002_alto.xml-77-2	bib13506739_18050219_144030_42_0003_alto.xml-4-12	katarinalbrekt	3	 	färg
bib19225792_18290103_147359_1_0008_alto.xml-4-88	bib19223423_18280412_145063_30_0004_alto.xml-10-6	katarinalbrekt	3	 	färg
bib13506739_18090617_144030_138_0006_alto.xml-3-10	bib11653830_18950429_146968_49_0003_alto.xml-118-22	katarinalbrekt	3	 	färg
bib19277277_18950526_147683_141_0003_alto.xml-151-11	bib13506739_18271201_144030_282_0004_alto.xml-5-10	katarinalbrekt	3	 	färg
bib11653828_18170927_144028_224_0001_alto.xml-2-3	bib13506739_18241103_144030_256_0011_alto.xml-4-7	katarinalbrekt	3	 	färg
bib19225772_18301217_148004_145_0006_alto.xml-4-25	bib19277277_18240622_147682_142_0002_alto.xml-4-56	katarinalbrekt	3	 	färg
bib13506739_18300302_144030_50_0002_alto.xml-8-4	bib19227462_18951022_147640_246_0006_alto.xml-34-14	katarinalbrekt	4	 	färg
bib15650837_18130922_146391_76_0004_alto.xml-11-9	bib15873371_18950916_145112_252_0002_alto.xml-184-10	katarinalbrekt	3	 	färg
bib15975090_18950305_148377_27_0003_alto.xml-99-16	bib13506739_18300302_144030_50_0002_alto.xml-8-4	katarinalbrekt	4	 	färg
bib11653792_18160727_146919_30_0001_alto.xml-1-22	bib19277277_18951209_147683_336_0002_alto.xml-67-4	katarinalbrekt	3	 	färg
bib13506739_17940501_144030_98_0004_alto.xml-2-4	bib15975090_18960627_148377_79_0002_alto.xml-12-14	katarinalbrekt	3	 	färg
bib11653792_17951212_146919_50_0005_alto.xml-2-35	bib19225758_18951204_144022_283_0005_alto.xml-141-25	katarinalbrekt	3	 	färg
