identifier1	identifier2	annotator	judgment	comment	lemma
bib15873936_18950528_147385_63_0001_alto.xml-46-0	bib19223423_18260826_145063_68_0004_alto.xml-7-12	katarinalbrekt	2	 	ingående
bib11653790_18981220_145648_98_0002_alto.xml-71-23	bib19227291_18960702_145289_79_0003_alto.xml-57-14	katarinalbrekt	4	 	ingående
bib19225758_18950220_144022_43_0003_alto.xml-188-8	bib11653811_19000112_145317_5_0001_alto.xml-36-24	katarinalbrekt	2	 	ingående
bib19277277_18951031_147683_297_0005_alto.xml-67-0	bib15873936_18960310_147385_29_0002_alto.xml-69-13	katarinalbrekt	4	 	ingående
bib19225792_18280503_147359_18_0008_alto.xml-1-13	bib11653830_18971101_146968_87_0002_alto.xml-21-15	katarinalbrekt	0	 	ingående
bib19277346_18270519_147394_20_0003_alto.xml-6-38	bib19225772_18251025_148004_123_0002_alto.xml-4-6	katarinalbrekt	1	 	ingående
bib11653811_18950213_145317_25_0004_alto.xml-2-9	bib13506739_18140412_144030_82_0008_alto.xml-4-35	katarinalbrekt	1	 	ingående
bib19225792_18080227_147359_9_0002_alto.xml-1-19	bib15650837_18950109_146391_7_0001_alto.xml-63-43	katarinalbrekt	4	 	ingående
bib19520388_18090222_147487_8_0006_alto.xml-0-58	bib19225772_18281022_148004_122_0002_alto.xml-6-4	katarinalbrekt	1	 	ingående
bib15650837_17920616_146391_48_0003_alto.xml-4-16	bib11653790_19030102_12541_1_0003_alto.xml-61-67	katarinalbrekt	1	 	ingående
bib19277301_18950923_145146_77_0001_alto.xml-30-1	bib19277277_18280628_147682_148_0004_alto.xml-44-5	katarinalbrekt	3	 	ingående
bib15650837_18950618_146391_139_0002_alto.xml-112-10	bib11653811_18991023_145317_163_0003_alto.xml-11-9	katarinalbrekt	2	 	ingående
bib11653815_18951123_146944_139_0002_alto.xml-34-9	bib15650837_18281206_146391_98_0003_alto.xml-2-2	katarinalbrekt	2	 	ingående
bib19223423_18260826_145063_68_0004_alto.xml-7-12	bib11653828_18110918_144028_217_0002_alto.xml-13-11	katarinalbrekt	4	 	ingående
bib11653811_19030814_145317_124_0001_alto.xml-8-9	bib11653823_18231209_144010_286_0006_alto.xml-6-65	katarinalbrekt	1	 	ingående
bib19227291_18270425_145289_17_0002_alto.xml-1-1	bib15650837_18950109_146391_7_0001_alto.xml-63-43	katarinalbrekt	4	 	ingående
bib19227291_18960702_145289_79_0003_alto.xml-57-14	bib19225758_18950612_144022_134_0006_alto.xml-26-0	katarinalbrekt	2	 	ingående
bib19225772_18270502_148004_50_0003_alto.xml-6-21	bib19227291_18960702_145289_79_0003_alto.xml-57-14	katarinalbrekt	1	 	ingående
bib11653811_18960914_145317_141_0004_alto.xml-17-15	bib19227291_18970525_145289_62_0004_alto.xml-16-13	katarinalbrekt	2	 	ingående
