lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ingående	nan	1798	1	bib13506739_17981016_144030_238_0004_alto.xml-1-7	 	Förleden Söndag förlorades uti Clarä Kyrka wid ingåendet til ^ögmä§an, en Guldring med pärlor i kanterne och eordcn i midten; den som samma uphittat ware g » d och inlämne den uti Huset Nio i; wid Drottning-gatan, inpå garden, emot hederlig wederg.Ulning.	47:56	0:255
ingående	nan	1896	2	bib15873936_18960310_147385_29_0002_alto.xml-69-13	 	Det var en högst omfattande motion, däri motionären visar sig ha gjort ingående studier i våra tidningsförhållanden i allmänhet och i Posttidningens i synnerhet, med hvilken publikation han är mycket missbelåten, emedan dess egare, Svenska akademin, icke gjort något för dess spridning, utan tvärtom motverkat detta genom att förse tidningen med ett » värdelöst textinnebåll. » En legal annonstidning beköfver ingen textafdelning.	71:79	0:430
ingående	nan	1899	2	bib11653790_18990530_145648_41_0002_alto.xml-85-2	 	hvarförutom intjänats ingående saldo å vinst och förlustkonto å kr.	22:30	0:67
ingående	nan	1806	1	bib11653825_18060901_145134_107_0006_alto.xml-9-58	 	efter för sig gängen inventering efter Bruksbok till sig lösa Bruks inventarier och balanecr n.cd mera, hwacutur Förläggaren tillkommer betalning för sin förlags fordran, samt att answara för detta a&gt; » AfradS-spannmäl och Öfrige utgående alla afgiftcr utås de under egit bruk warande heinman, sä ick för BrukSfvlketS och GärdS-arbetacueS Krono-utstylder för ärer säsvm ingående pä deras räkningar.	373:381	0:401
ingående	nan	1814	1	bib13506739_18140330_144030_73_0004_alto.xml-8-32	 	Undertecknad som med början af nästa April mä^ad upphör med sin Handelsrörelse, anhäller, att alia som äga fordringar, de mä wara nu förfali.ic eller intet, anmäla sia uti ingående April mänad till betai« nings undkäende; äswen som alla de bwilka ar » ffyldige för pä Kredit undfängnc waror, ärcn 1810, n, 12 och iz, böra ock infinna sig med betalning uti samma manad.	172:180	0:368
ingående	nan	1899	2	bib11653811_18991023_145317_163_0003_alto.xml-11-9	 	Snart nog insåg man, sedan de från Upsala ingående underrättelserna blif vit bekanta, att den man och den qvinna, som roddaren fört till holmen, utan tvifvel vore det eftersökta paret.	42:50	0:184
ingående	nan	1897	2	bib11653830_18970408_146968_28_0001_alto.xml-39-9	 	Alla i Wagners och Tiselii fröblandningar för mångåriga vallar ingående fröslag, samtliga af utmärktaste beskaffenhet, tillhandahållas och expedieras på ordres, hvarje sort för sig, hvarigenom reqvirenten får tillfälle att sjelf bedöma fröens godhet, hvilket blifver en omöjlighet, om fröen i blandning förekomma; men skulle någon önska af de Wagnerska fröblandningarne, kunna sådana genom mig erhållas.	63:71	0:403
ingående	nan	1895	2	bib19277277_18950309_147683_67_0006_alto.xml-63-16	 	D:r Wicksell ville att i sammanhang med den föreslagna förändringen i bevillningsför ordningen skulle anställas en ingående undersökning öfver huru ali beskattning verkade och hvilka den träffade.	115:123	0:196
ingående	nan	1828	1	bib19225792_18280510_147359_19_0008_alto.xml-2-15	 	Uti Chalnicrffa Zudu&gt; ^ric - Skolans Wäfnnderwisningsanstalt här i Staden knnna, nnder snart ingående Wäftermin, mindre bemedlade fruntimmer af alla clasier, som vnjka en fullkomligare kännedom i den mera owanliga wäf » adskonsten efter Ekenmarklka methodcn, erhälla fri nnderwisning.	96:104	0:287
ingående	nan	1827	1	bib19227291_18270425_145289_17_0002_alto.xml-1-1	 	Den ingående fastlagen och dermed följande Carnavalen, hindrade wär afresa frän Santa Martha för vägra dagar.	4:12	0:109
ingående	nan	1827	1	bib11653823_18270802_144010_178_0004_alto.xml-17-2	 	delta werk ingående bref och reqvlfilioncr, far jag härmedelst aran lillkäimngiswa, akt innehållet alltid noggrant observeras och!	11:19	0:130
ingående	nan	1895	2	bib11653790_18951115_145648_47_0003_alto.xml-9-28	 	vid snöfall öppenhålla berörda allmänna landsväg, hvart ploglag till den del däraf, som genom förenämda ploglagsindelning bestämts; hvarjämte föreskrifvits, att den i ploglagsindelningen icke ingående delen af allmänna vägen genom Marnäs by i Ludvika socken skall vid snöfall hållas i fargilt skick af vägstyrelsen på vägkassans bekostnad.	192:200	0:339
ingående	nan	1790	1	bib11653828_17900715_144028_160_0002_alto.xml-23-11	 	man stulle brista mi belcfiv, nhek, om han wid ingåendet uti tället kastade sig pä den matta.	47:56	0:93
ingående	nan	1895	2	bib15650837_18950618_146391_139_0002_alto.xml-112-10	 	och italienska eskadrarna voro synliga utanför, den senare på ingående.	62:70	0:71
ingående	nan	1895	2	bib11653811_18950220_145317_29_0004_alto.xml-37-10	 	• Alla i Wagners och Tiselii fröblandningar för mångåriga vallar ingående fröslag, samtliga af utmärktaste beskaffenhet, tillhandahållas och expedieras på ordres, hvarje sort lör sig, hvarigenom reqvirenten lår tillfälle att sjelf bedöma fröens godhet, hvilket blitver en omöjlighet om tröen i blandning förekomma; men skulle någon önska af de Wagnerska fröblandningarna, kunna sådana genom mig erhållas.	65:73	0:404
ingående	nan	1820	1	bib13506739_18200623_144030_143_0007_alto.xml-9-47	 	ll t b j n d e s « 11 arrendera sel, hvra En större Ladugård, en och en half mil sjö- och landwäg srän Stockholm, kan pä billigt arrende häll^S; men mage ej nägon göra sig beswär, som sör uppfyllandet af ingående förbindelse, ej kan sätta we » derhilstig borgen.	204:212	0:262
ingående	nan	1902	2	bib11653811_19020503_145317_66_0002_alto.xml-171-29	 	För hela riket framgår, att af fartyg som idkat sjöfart mellan inrikes orter, ha under 1900 verkställts 104,549 resor med 10, 525, 543 ton i ingående och 107,144 resor med 11, 155, 238 ton i utgående fart, medan af fartyg, som gått i utrikes fart, från utrikes orter ankommit 30,644 örn tillsammans 9, 603, 783 ton och till utrikes orter algått 27,818 fartyg med 8, 894, 628 tons dräktighet.	141:149	0:391
