identifier1	identifier2	annotator	judgment	comment	lemma
bib11653811_18951221_145317_198_0004_alto.xml-98-11	bib11653811_18960801_145317_116_0004_alto.xml-41-11	AngelikaM	4	 	kokärt
bib11653790_19021118_145648_90_0001_alto.xml-27-26	bib11653811_18960502_145317_66_0004_alto.xml-36-12	AngelikaM	4	 	kokärt
bib19225772_17960715_148003_56_0004_alto.xml-4-17	bib19225772_18231007_148004_114_0003_alto.xml-10-3	AngelikaM	4	 	kokärt
bib19225772_18270629_148004_74_0003_alto.xml-10-7	bib19225772_18030601_148004_62_0003_alto.xml-1-61	AngelikaM	4	 	kokärt
bib11653790_18971217_145648_99_0001_alto.xml-16-54	bib11653790_18991205_145648_95_0001_alto.xml-6-54	AngelikaM	4	 	kokärt
bib11653790_18971217_145648_99_0001_alto.xml-16-54	bib11653811_18951218_145317_196_0004_alto.xml-9-12	AngelikaM	4	 	kokärt
bib19225772_18270523_148004_59_0004_alto.xml-1-8	bib15650837_18950309_146391_58_0005_alto.xml-4-42	AngelikaM	4	 	kokärt
bib11653790_18951227_145648_53_0001_alto.xml-52-87	bib11653790_19001123_145648_93_0001_alto.xml-10-53	AngelikaM	4	 	kokärt
bib11653811_18960513_145317_72_0004_alto.xml-51-12	bib11653790_18950607_145648_24_0001_alto.xml-50-31	AngelikaM	4	 	kokärt
bib11653811_18960222_145317_29_0004_alto.xml-80-11	bib13506739_17970116_144030_12_0003_alto.xml-2-13	AngelikaM	4	 	kokärt
bib19225772_18270509_148004_53_0003_alto.xml-7-13	bib11653790_19001123_145648_93_0001_alto.xml-10-53	AngelikaM	4	 	kokärt
bib11653811_18951207_145317_190_0004_alto.xml-21-11	bib19225772_17950922_148003_76_0004_alto.xml-7-17	AngelikaM	4	 	kokärt
bib11653811_18960226_145317_31_0004_alto.xml-54-11	bib19225772_18261107_148004_129_0003_alto.xml-16-9	AngelikaM	4	 	kokärt
bib11653790_18970618_145648_47_0001_alto.xml-10-31	bib13506739_18271221_144030_299_0004_alto.xml-6-6	AngelikaM	4	 	kokärt
bib19277277_18300419_147682_88_0003_alto.xml-50-4	bib15761097_18950910_145020_107_0001_alto.xml-22-32	AngelikaM	4	 	kokärt
bib11653811_18981022_145317_163_0003_alto.xml-40-11	bib19225772_18211017_148004_121_0003_alto.xml-1-50	AngelikaM	4	 	kokärt
bib19225758_18950726_144022_171_0001_alto.xml-106-1	bib19225772_18261031_148004_126_0003_alto.xml-1-5	AngelikaM	4	 	kokärt
bib19227291_18130109_145289_2_0003_alto.xml-2-4	bib11653811_18960129_145317_15_0004_alto.xml-77-12	AngelikaM	4	 	kokärt
bib15761097_18950910_145020_107_0001_alto.xml-22-32	bib19225772_18270620_148004_70_0003_alto.xml-1-17	AngelikaM	4	 	kokärt
bib19225772_18010819_148004_94_0004_alto.xml-3-23	bib19225792_18250521_147359_20_0004_alto.xml-3-24	AngelikaM	4	 	kokärt
bib15873936_18950924_147385_112_0003_alto.xml-34-9	bib19225792_18231004_147359_39_0002_alto.xml-4-15	AngelikaM	4	 	kokärt
bib19225772_18021119_148004_134_0003_alto.xml-13-1	bib19225758_18950216_144022_40_0012_alto.xml-39-99	AngelikaM	4	 	kokärt
