identifier1	identifier2	annotator	judgment	comment	lemma
bib19223423_18021008_145063_81_0004_alto.xml-6-17	bib11653825_18030725_145134_85_0003_alto.xml-10-45	katarinalbrekt	3	 	konduktör
bib19277301_18960716_145146_57_0003_alto.xml-25-4	bib11653806_18020804_145120_82_0003_alto.xml-11-39	katarinalbrekt	1	 	konduktör
bib11653828_18300215_144028_37_0004_alto.xml-1-3	bib11653830_18970715_146968_56_0003_alto.xml-67-17	katarinalbrekt	2	 	konduktör
bib11653811_19030826_145317_131_0004_alto.xml-103-36	bib11653811_19031030_145317_168_0002_alto.xml-99-0	katarinalbrekt	4	 	konduktör
bib11653825_18031003_145134_115_0001_alto.xml-1-13	bib11653790_18980125_145648_7_0002_alto.xml-50-15	katarinalbrekt	2	 	konduktör
bib15978012_18950907_148361_208_0002_alto.xml-22-17	bib11653811_18970630_145317_98_0003_alto.xml-122-11	katarinalbrekt	3	 	konduktör
bib15975090_18950919_148377_111_0004_alto.xml-19-1	bib15975087_18950727_145596_114_0001_alto.xml-39-12	katarinalbrekt	4	 	konduktör
bib11653806_18020806_145120_83_0002_alto.xml-4-29	bib13506739_18250415_144030_85_0003_alto.xml-6-32	katarinalbrekt	1	 	konduktör
bib13506739_18240512_144030_109_0003_alto.xml-9-2	bib11653811_18970412_145317_57_0002_alto.xml-118-5	katarinalbrekt	2	 	konduktör
bib19277301_18950711_145146_56_0002_alto.xml-101-35	bib11653838_19010906_147024_36_0004_alto.xml-107-6	katarinalbrekt	0	 	konduktör
bib13506739_18190809_144030_181_0005_alto.xml-11-0	bib11653790_19000306_145648_19_0002_alto.xml-3-34	katarinalbrekt	2	 	konduktör
bib19277277_18300605_147682_127_0004_alto.xml-44-1	bib11653811_18980527_145317_80_0003_alto.xml-60-9	katarinalbrekt	2	 	konduktör
bib19277277_18291124_147682_273_0003_alto.xml-6-4	bib15760690_18951128_145050_184_0003_alto.xml-124-25	katarinalbrekt	2	 	konduktör
bib11653838_19001116_147024_46_0004_alto.xml-49-74	bib11653825_18030307_145134_27_0004_alto.xml-5-23	katarinalbrekt	2	 	konduktör
