identifier1	identifier2	annotator	judgment	comment	lemma
bib13506739_18290114_144030_10_0001_alto.xml-19-0	bib15650837_18951129_146391_279_0002_alto.xml-2-12	katarinalbrekt	1	 	ledning
bib19225772_18041011_148004_119_0002_alto.xml-3-15	bib19277277_18300222_147682_43_0001_alto.xml-42-19	katarinalbrekt	1	 	ledning
bib13506739_18290114_144030_10_0001_alto.xml-19-0	bib15650814_18951128_146365_279_0004_alto.xml-96-14	katarinalbrekt	2	 	ledning
bib11653823_18281213_144010_292_0001_alto.xml-4-0	bib11653811_19031209_145317_191_0002_alto.xml-161-13	katarinalbrekt	3	 	ledning
bib11653828_18260119_144028_15_0002_alto.xml-0-9	bib11653830_18960316_146968_22_0003_alto.xml-108-12	katarinalbrekt	2	 	ledning
bib11653828_17930529_144028_119_0001_alto.xml-0-0	bib19225772_18041011_148004_119_0002_alto.xml-3-15	katarinalbrekt	3	 	ledning
bib13506739_18261223_144030_288_0008_alto.xml-38-256	bib15650837_18011014_146391_82_0001_alto.xml-3-0	katarinalbrekt	1	 	ledning
bib15760690_18950306_145050_37_0003_alto.xml-222-5	bib11653790_18950308_145648_11_0005_alto.xml-19-4	katarinalbrekt	3	 	ledning
bib11653811_19010605_145317_85_0001_alto.xml-57-28	bib13506739_18200216_144030_38_0012_alto.xml-1-22	katarinalbrekt	2	 	ledning
bib19223423_18050608_145063_46_0003_alto.xml-1-181	bib11653823_18240722_144010_167_0002_alto.xml-3-10	katarinalbrekt	3	 	ledning
bib11653823_18270417_144010_88_0004_alto.xml-31-23	bib11653792_18011212_146919_49_0003_alto.xml-9-34	katarinalbrekt	1	 	ledning
bib11653790_19010402_145648_26_0003_alto.xml-164-26	bib15873371_18951206_145112_333_0003_alto.xml-199-15	katarinalbrekt	1	 	ledning
bib15761570_18951112_146176_186_0003_alto.xml-69-25	bib19277277_18950316_147683_74_0007_alto.xml-17-13	katarinalbrekt	1	 	ledning
bib19227462_18950102_147640_1_0003_alto.xml-33-24	bib11653823_18240722_144010_167_0002_alto.xml-3-10	katarinalbrekt	1	 	ledning
bib15760690_18950912_145050_140_0003_alto.xml-108-1	bib11653811_19020505_145317_67_0002_alto.xml-65-2	katarinalbrekt	1	 	ledning
bib11653823_18280410_144010_83_0002_alto.xml-3-15	bib11653828_18220920_144028_219_0004_alto.xml-2-16	katarinalbrekt	2	 	ledning
bib11653790_19010402_145648_26_0003_alto.xml-164-26	bib15873371_18950723_145112_197_0002_alto.xml-185-14	katarinalbrekt	1	 	ledning
bib19277349_18950608_147403_75_0002_alto.xml-21-3	bib11653811_18950628_145317_97_0002_alto.xml-20-12	katarinalbrekt	3	 	ledning
bib19277277_18241231_147682_305_0001_alto.xml-0-138	bib11653806_18190512_145120_53_0002_alto.xml-2-27	katarinalbrekt	1	 	ledning
bib15650835_18950524_146472_45_0003_alto.xml-174-51	bib19225758_18950517_144022_114_0002_alto.xml-185-10	katarinalbrekt	1	 	ledning
bib19277277_18950823_147683_228_0005_alto.xml-168-27	bib13506739_18300721_144030_165_0002_alto.xml-12-36	katarinalbrekt	2	 	ledning
bib11653811_19020416_145317_56_0002_alto.xml-113-2	bib13506739_18290114_144030_10_0001_alto.xml-19-0	AngelikaM	1	 	ledning
bib11653790_19021114_145648_89_0003_alto.xml-29-10	bib11653823_18260824_144010_195_0004_alto.xml-13-15	AngelikaM	1	 	ledning
bib11653790_18970521_145648_39_0002_alto.xml-61-6	bib11653838_19010208_147024_6_0001_alto.xml-59-16	AngelikaM	1	 	ledning
bib19277349_18950608_147403_75_0002_alto.xml-21-3	bib11653811_18950713_145317_106_0001_alto.xml-38-40	AngelikaM	2	 	ledning
bib19277277_18300222_147682_43_0001_alto.xml-42-19	bib15650837_18950724_146391_169_0003_alto.xml-146-1	AngelikaM	1	 	ledning
bib15760690_18950622_145050_94_0003_alto.xml-65-8	bib13506739_18280321_144030_69_0004_alto.xml-15-29	AngelikaM	4	 	ledning
bib15650837_18300515_146391_39_0002_alto.xml-18-4	bib13506739_18240709_144030_156_0003_alto.xml-3-29	AngelikaM	1	 	ledning
bib19227291_18300324_145289_12_0007_alto.xml-13-47	bib11653811_19031209_145317_191_0002_alto.xml-161-13	AngelikaM	1	 	ledning
bib15650837_18950724_146391_169_0003_alto.xml-146-1	bib19227462_18950102_147640_1_0003_alto.xml-33-24	AngelikaM	1	 	ledning
bib13506739_18170821_144030_192_0011_alto.xml-10-28	bib11653828_18260721_144028_166_0004_alto.xml-6-78	AngelikaM	4	 	ledning
bib11653792_18011212_146919_49_0003_alto.xml-9-34	bib11653828_18180409_144028_80_0001_alto.xml-1-24	AngelikaM	1	 	ledning
bib11653823_18300322_144010_67_0003_alto.xml-28-6	bib15650814_18951128_146365_279_0004_alto.xml-96-14	AngelikaM	0	 	ledning
