identifier1	identifier2	annotator	judgment	comment	lemma
bib13506739_17950518_144030_110_0008_alto.xml-7-23	bib11653811_19011227_145317_200_0003_alto.xml-116-13	katarinalbrekt	2	 	mode
bib15650814_18950510_146365_109_0004_alto.xml-24-3	bib11653811_19011227_145317_200_0003_alto.xml-116-13	katarinalbrekt	2	 	mode
bib15761097_18950912_145020_108_0003_alto.xml-74-21	bib19225758_18950829_144022_200_0001_alto.xml-60-1	katarinalbrekt	2	 	mode
bib19225792_18271215_147359_49_0008_alto.xml-2-13	bib15761570_18951015_146176_170_0002_alto.xml-56-12	katarinalbrekt	1	 	mode
bib11653811_18970410_145317_56_0003_alto.xml-145-24	bib19277277_18261016_147682_240_0002_alto.xml-34-3	katarinalbrekt	4	 	mode
bib11653811_19010712_145317_105_0003_alto.xml-30-0	bib19225772_18040710_148004_78_0002_alto.xml-7-31	katarinalbrekt	3	 	mode
bib11653828_18050427_144028_96_0002_alto.xml-10-9	bib13506739_17971117_144030_264_0002_alto.xml-4-18	katarinalbrekt	1	 	mode
bib11653828_17980801_144028_174_0001_alto.xml-3-11	bib11653811_18990602_145317_82_0003_alto.xml-104-35	katarinalbrekt	2	 	mode
bib15650837_18280409_146391_29_0001_alto.xml-0-21	bib15761097_18950323_145020_35_0004_alto.xml-25-15	katarinalbrekt	1	 	mode
bib19277277_18240519_147682_115_0005_alto.xml-6-8	bib11653828_18230613_144028_134_0004_alto.xml-8-24	katarinalbrekt	0	 	mode
bib11653830_18970125_146968_7_0002_alto.xml-26-25	bib13506739_18000228_144030_49_0012_alto.xml-9-28	katarinalbrekt	2	 	mode
bib15760690_18951005_145050_153_0004_alto.xml-89-9	bib13506739_17971117_144030_264_0002_alto.xml-4-18	katarinalbrekt	1	 	mode
bib11653828_18280905_144028_203_0002_alto.xml-13-28	bib15650837_18950802_146391_177_0004_alto.xml-97-12	katarinalbrekt	1	 	mode
bib11653811_19031030_145317_168_0004_alto.xml-52-33	bib11653828_18300703_144028_150_0002_alto.xml-3-9	katarinalbrekt	1	 	mode
bib11653828_18050427_144028_96_0002_alto.xml-10-9	bib11653828_18060925_144028_221_0003_alto.xml-5-12	katarinalbrekt	4	 	mode
bib15761097_18950912_145020_108_0003_alto.xml-87-25	bib15650837_18010819_146391_66_0002_alto.xml-14-2	katarinalbrekt	1	 	mode
bib19225772_17990125_148004_11_0002_alto.xml-8-42	bib11653838_19010809_147024_32_0001_alto.xml-159-22	katarinalbrekt	1	 	mode
bib11653811_19011227_145317_200_0003_alto.xml-116-13	bib19227291_18221106_145289_45_0001_alto.xml-1-8	katarinalbrekt	1	 	mode
bib11653811_19001012_145317_158_0003_alto.xml-90-37	bib15650814_18950119_146365_17_0002_alto.xml-80-16	katarinalbrekt	3	 	mode
bib19225772_17960809_148003_63_0001_alto.xml-2-7	bib19277180_18951202_147374_98_0003_alto.xml-12-35	katarinalbrekt	1	 	mode
bib11653811_19020827_145317_130_0003_alto.xml-26-7	bib11653811_19010619_145317_93_0001_alto.xml-27-7	katarinalbrekt	2	 	mode
bib19225792_18271215_147359_49_0008_alto.xml-2-13	bib15650837_18280409_146391_29_0001_alto.xml-0-21	katarinalbrekt	1	 	mode
bib19225772_18160124_148004_10_0002_alto.xml-4-36	bib19277330_18950502_0_52_0001_alto.xml-14-27	katarinalbrekt	1	 	mode
bib11653828_18130519_144028_114_0003_alto.xml-7-27	bib19277277_18261016_147682_240_0002_alto.xml-34-3	katarinalbrekt	2	 	mode
bib19277346_18120725_147394_31_0002_alto.xml-1-23	bib15650814_18950119_146365_17_0002_alto.xml-80-16	katarinalbrekt	1	 	mode
bib19223423_18210421_145063_32_0001_alto.xml-0-11	bib11653828_17980301_144028_50_0002_alto.xml-2-7	katarinalbrekt	1	 	mode
bib15873936_18961015_147385_120_0004_alto.xml-15-5	bib19225772_17990125_148004_11_0002_alto.xml-8-42	katarinalbrekt	1	 	mode
bib19277277_18950920_147683_256_0008_alto.xml-27-9	bib13506739_17970825_144030_193_0003_alto.xml-15-7	katarinalbrekt	2	 	mode
bib11653828_17980801_144028_174_0001_alto.xml-3-11	bib11653828_18250622_144028_141_0004_alto.xml-4-15	katarinalbrekt	1	 	mode
bib19227291_18251221_145289_51_0003_alto.xml-1-26	bib19277277_18950205_147683_35_0005_alto.xml-170-0	katarinalbrekt	1	 	mode
bib11653828_18250709_144028_155_0004_alto.xml-10-37	bib19277180_18951121_147374_95_0004_alto.xml-31-12	katarinalbrekt	1	 	mode
bib11653828_18300703_144028_150_0002_alto.xml-3-9	bib11653811_18980402_145317_51_0002_alto.xml-11-11	katarinalbrekt	1	 	mode
bib11653828_18280112_144028_10_0002_alto.xml-10-28	bib19227291_18270117_145289_3_0003_alto.xml-9-22	katarinalbrekt	1	 	mode
bib19225772_17960809_148003_63_0001_alto.xml-2-7	bib11653823_18281122_144010_274_0001_alto.xml-7-12	katarinalbrekt	1	 	mode
bib11653828_18241214_144028_291_0001_alto.xml-4-37	bib19223423_18010627_145063_52_0003_alto.xml-0-10	katarinalbrekt	1	 	mode
bib15760690_18951128_145050_184_0003_alto.xml-55-7	bib11653811_18950930_145317_151_0003_alto.xml-15-33	katarinalbrekt	3	 	mode
bib11653811_18970410_145317_56_0003_alto.xml-145-24	bib15975087_18950809_145596_121_0007_alto.xml-4-1	katarinalbrekt	1	 	mode
bib19223423_18010627_145063_52_0003_alto.xml-0-10	bib11653811_18960425_145317_62_0001_alto.xml-47-5	katarinalbrekt	3	 	mode
bib19225772_18160124_148004_10_0002_alto.xml-4-36	bib11653823_18260819_144010_191_0001_alto.xml-13-25	katarinalbrekt	1	 	mode
bib19277346_18100131_147394_1_0004_alto.xml-2-11	bib19225772_18021207_148004_141_0004_alto.xml-5-21	katarinalbrekt	1	 	mode
bib19277277_18290529_147682_122_0006_alto.xml-2-21	bib11653811_19031028_145317_167_0002_alto.xml-58-20	katarinalbrekt	1	 	mode
