lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
motiv	nan	1829	1	bib13506739_18290113_144030_9_0001_alto.xml-2-9	 	ansett förlagets antagande böra åt ' öljas af det motiv, att sådant (Bcbbe desto Hel.dre, som den mening, Kongl.	50:55	0:112
motiv	nan	1895	2	bib19227462_18950529_147640_123_0003_alto.xml-119-0	 	motiv, som dervid anfördes, var, att utvidgning- ou af den prindpiolt riktiga grundsatsen om do marens fria bevispröfniug förutsatte en omorganisation särskildt af våra landtdomstolar.	0:5	0:184
motiv	nan	1897	2	bib11653815_18970104_146944_1_0003_alto.xml-6-12	 	G. A- Geners ego befintligt anonymt bref rörande Z. hvari motiven till dennes skriftställeri skulle vara framstälda på ett efter Z:s förmenande skeft sätt,	58:65	0:155
motiv	nan	1895	2	bib19277277_18950616_147683_161_0003_alto.xml-108-7	 	Det är färre bilder än vanligt med motiv hemtade från kända engelska författare.	35:40	0:80
motiv	nan	1895	2	bib19227462_18950710_147640_157_0003_alto.xml-40-38	 	utställningsföremålen märkas: porsliner oell porslinspjeser flan Rörstrand; konstgjuterifö remål från firman Meyer; den stora, tor Svenska turistföreningen i Gösta Flormans atelier utförda vyen af Stockholm, hr Robert Lundbergs ännu ofullbordado målning med samma motiv; praktfuUa möbelklädnader och gobeliuer m. m.	264:269	0:315
motiv	nan	1820	1	bib19227291_18201004_145289_40_0006_alto.xml-3-19	 	jandet med si n lön enligt de grunder religion » n uvpgifwer, omisikänneligen tyckes wara enda och sanna motivet för den ädla täflan, som nu mer än någon » sin, i anseende till si.ia w a ' görande werkningar sprider sä mycken tröst och hug« swalelse ät nöden och eländets barn, samt i och med samma lismar den aktningswärdaste och ädlaste Esprit blind ett upplyst folk — torde ma!)	105:112	0:381
motiv	nan	1827	1	bib19227291_18270328_145289_13_0002_alto.xml-11-39	 	blefwo några Journalister i Rhone-Departementec nyligen fcikallade frän bestyllningen, alt de i en artikel rörande Jury-lagen samt i anmälan af ett poem, kalladt: ' ' Rom i Paris\", tillälit sig personliga allusioner, och motivet till domen lydde, att det ej är en domare killäkit akt sjelf utleta allusioner.	221:228	0:308
motiv	nan	1899	2	bib11653790_18990214_145648_12_0003_alto.xml-43-30	 	I den diskussion, soss föregick beslutet i Första kammaren, nppträdde fyra talare för bifall, en för återremiss och endast två för afslag; och om de sistnämdes motiv för sina afslagsvrkanden yttrade en talare » att han icke kunde finna de framlagda bevisen verkligt afgörande för ett afslag », en annan talare i samma kammare sade: att » de skäl, som voro anförda för afslag, syntes honom icke väga tungt » och frågade kammaren: » Hvad skall det tjäna till att i oträng di mål sätta oss i motsats emot Andra kammaren? » o. s. v. Jag skall dock här ej uppräkna de mån- ga och tungt vägande skäl, sorn både imotioner, af lagutskottet och under för.	160:165	0:646
motiv	nan	1895	2	bib15760690_18951224_145050_199_0003_alto.xml-27-34	 	Pen isrägawarande twätterfkan, som mänga är ombesörjt rengöringen af den högre soeietetenr allra intimaste plagg och derunder gjort sig känd och wärderad för absolut hedell lighet, dies mycket sörnärmad öfwer de anförda motiven.	220:227	0:228
motiv	nan	1895	2	bib15650837_18951009_146391_235_0005_alto.xml-90-30	 	Hvem må derför förtänka Simorreus, att han 1717 begär ett gratial af 8 tunnor årligen, så mycket mindre när man iur i betraktande de af honom anförda bebjertensvärda motiven till denna ansökan såsom 1) att han » länge trälat med collegetet i Nyköping och nu är en gammal utarbetad man », 2) att bostället är så klent, att » ingen pastor härstädes i mannaminne egt sofvel till bröd ».	166:173	0:383
motiv	nan	1896	2	bib15975090_18960404_148377_43_0005_alto.xml-3-76	 	Jag såg att hon erinrade sig förhållandet, men att hon icke igenkände mig, och jag fortsatte brådskande: — Jag nämner icke detta för att ställa mig in hos er, men jag ber er att godhetsfullt tro mig, då jag säger er, att ni kan fullt förlita er på min rättskaffenhet och beredvillighet att tjena er och att jag med hvad jag kommer att yttra, icke har några mindre goda motiv.	369:374	0:375
motiv	nan	1895	2	bib19227462_18950221_147640_44_0003_alto.xml-151-15	 	Det är bållet i modern romantisk stil, bygdt på vackra, ehuru något enformiga motiv oell väl instrumenteradt.	78:83	0:109
motiv	nan	1895	2	bib15873371_18950924_145112_260_0003_alto.xml-53-107	 	Hvarje dag framkommer en ny anklagelse: först får man veta, att den opraktiskt anlagda, mycket klandrade örlogshamnen i Majunga vore ett verk af en ung ingeniör, som hade den afundsvärda lyckan att kalla en minister för onkel; så heter det, att militärapoteket lemnar mycket öfrigt att önska, o. s. v. Af alla dessa klagomål torde många alls icke vara ogrundade; men äfven örn expeditionen skulle vara så uselt iscensatt, som de flesta tidningarna påstå, förefaller det likväl som örn den rastlösa ifver, med hvilken dessa anfalla Madagaskar-företaget, hade ännu andra, djupare liggande, politiska motiv.	598:603	0:604
motiv	nan	1815	1	bib11653828_18150726_144028_170_0003_alto.xml-13-11	 	den emot honom siäende sicndtliga Generalen, fä är detta intet motiv för öst att.	63:68	0:81
motiv	nan	1829	1	bib19277277_18291105_147682_257_0001_alto.xml-16-20	 	ott denna Lag endast sär tilläuiras pä sädan fänge, som Jill d^sstraff eller livstidsfängelse dömd är Utstottet har säsom motiv för b, ho ' & gt; v?t ak ten iirägawarande Lagen huswudsakligen anfört, alt Samhällsordningens beivarande päkallar kraftiga och stränga äigärder till förekommande af ^cn oro och wäoa, som sororsnkas af dylika pä flykten ckomne uiIKdädare^ hwiikus tillnänd i a!	122:127	0:388
motiv	nan	1895	2	bib15761570_18950626_146176_105_0003_alto.xml-168-1	 	Något motiv for sin handling kan han icke uppgifva.	6:11	0:51
motiv	nan	1895	2	bib15650814_18950403_146365_79_0003_alto.xml-33-21	 	för allt det moraliska elände, som vidlåder det moderna samhället, ostentativt kasta sig öfver några otaliga gånger dekorativt behandlade motiv ur den antika fabelvärlden och däraf söka göra ett stort indignationsnummer, det är i sanning att sila mygg och svälja kameler.	138:143	0:271
motiv	nan	1895	2	bib19277277_18950701_147683_175_0003_alto.xml-21-15	 	Venstertidningarna söka, så godt sig göra låter, att skyla öfver det lätt genomskinliga motivet till den häftiga försvarsifver, som nu gripit vensterns ledande män.	88:95	0:164
motiv	nan	1814	1	bib11653828_18140927_144028_223_0002_alto.xml-6-0	 	motivet mä wara hwilket sein helst, hufwudsakcn är att fä ett kraftigt bistånd, sä att Eongresien mä giswa utflaget lill wär formän; tp det synes klart, att ber är ben som stall afgöra wärl öde.	0:7	0:194
motiv	nan	1902	2	bib11653811_19020815_145317_123_0002_alto.xml-66-7	 	Notarien Lidforss yrkade, att då något motiv för eldens anläggande ej syntes förefinnas, vederbörande läkares utlåtande skulle infordras och handlingarna därefter underställas medici nalstyrelsen.	39:44	0:196
motiv	nan	1830	1	bib11653828_18300731_144028_174_0002_alto.xml-0-41	 	Men troligen är det likväl så, öch deraf förklaras det oändligt nära sambandet emellan kroppens och själens inverkan på hvarandra, till det yttre olika, men till det inre härledan ' ' de ' ' de sig ifrån samma motiv.	210:215	0:216
motiv	nan	1819	1	bib11653828_18190719_144028_163_0003_alto.xml-4-17	 	man cj till sig, fKr idel Lfw:rfigt blir ingen insigt » taf, för mängden af motiv kommer man sig icke till att wilja nägot, cch för idel fiälabot har man idel själasot.	76:81	0:168
motiv	nan	1815	1	bib11653828_18151118_144028_269_0001_alto.xml-6-11	 	Men, akt nytt)., ett yttrande » lans motiven?	37:44	0:45
motiv	nan	1895	2	bib11653830_18950710_146968_77_0001_alto.xml-44-17	 	4:o) Diskussion: 1) Föreningens angelägenheter; 2) Centralstyrelsens ärenden; 3) Hvilka motiv finnas för en opinionsyttring emot innehållet i och sättet för agitionen särskildt genom skriflspridning ernot helnykterheten bland Sveriges folkskollärarekår; 4) Frågan örn bildandet af ett pedagogiskt biliotek.	88:93	0:306
motiv	nan	1829	1	bib13506739_18290522_144030_117_0005_alto.xml-4-6	 	LyckligtwiS cifwisaS alla försök att wanstäila motiven för Styrelsens hand&gt; i&gt;?sr, med dcn nvilja, som hos den ' lugna medborqarcu aldrig uteblifwer wid Åhörandet af sniädclser.	47:54	0:183
motiv	nan	1818	1	bib11653828_18181016_144028_239_0002_alto.xml-12-13	 	och alltid lydige ivid de impressioner, sam gikwasdem, utan afseende pä motiv.	72:77	0:78
motiv	nan	1895	2	bib19227462_18950921_147640_220_0002_alto.xml-35-3	 	han uppskofvets verkliga motiv med all önskvärd tydlighet framstå.	25:30	0:66
motiv	nan	1795	1	bib11653828_17950428_144028_94_0001_alto.xml-9-48	 	handlar om Kanlifla Philosophie,,, finner man spär bertil i de flesta öfriga här recenserade Lysia Böcker, lil och med i de Theologisia; hwaraf man kan stuta hwatz framsteg denna nya Philosophie nu dagcligen gör i Tyskland, hwilket siter mäste bliswa et zodt motiv för Swenffa Philofopher och tänkande i gemen at lara kanna deiisamuur	259:264	0:334
motiv	nan	1902	2	bib11653811_19020809_145317_120_0002_alto.xml-175-3	 	sorn förljudes skall motivet till hans förtviflade handling vara den, att familjen motsatt sig hans giftermål med flickan.	21:28	0:122
motiv	nan	1824	1	bib11653828_18240914_144028_213_0004_alto.xml-7-8	 	sa stulle han kunnat rättfärdiga sig med samma motiv, nemligen: Frankrikes intresse, som kräfdc, att man stulle skaffa ur werlden en General, hwilketi genom btwerträdandet as kapitulationen i Paris giort sig answarig fåwäl till Martyrerna Nev ' s, Labedopere ' s med fleres utgjutna blod, som ock för museernas traktatwidripa plundring.. 6.	47:52	0:340
motiv	nan	1821	1	bib11653828_18210929_144028_228_0003_alto.xml-10-17	 	hos Kiaya-Bii för Turkista Hdftingarna och Bojarerna en strifwelfe af Paschan i Silistlria, som dels framställer motiven till Kaminar - Sawas och hans Arnaut-corps ' svrstöiing, tcls hos Kiaya-Bei och Bojarerna inskärper den pligten att waka för allmänna lugnets bibehållande.	113:120	0:276
