lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
notis	nan	1830	1	bib19277277_18300211_147682_34_0001_alto.xml-23-1	 	Nedanstående notiser från åtskilliga hall, torde fåtebc5 ej sakna iurereste: ----- Paris d.	13:20	0:91
notis	nan	1895	2	bib19225758_18951227_144022_301_0004_alto.xml-93-50	 	år jämte 20 öre i postarvode, för kortare tid ' proportion derefter — en på elegant papper qvartformat tryckt, hvarje vecka utkommande bilaga“ Kyrka och Skola11, hvilken är afsedd att i högre grad än hvad som hittills varit möjligt i vår dagliga upplaga meddela uppsatser och notiser rörande kyrkans och skolans angelägenheter.	276:283	0:327
notis	nan	1898	2	bib11653790_18980506_145648_34_0002_alto.xml-90-18	 	Gustafsson i Nås, Hedemora, att anställa, för hvilket vi redan i fjol i en längre notis redogjorde.	82:87	0:99
notis	nan	1829	1	bib11653828_18290812_144028_184_0004_alto.xml-1-15	 	följden deraf att Ministrarne under nuvarande session, under allahanda undflykler försummat att taga någon notis örn vinodlarenas billiga klagomål.	107:112	0:147
notis	nan	1895	2	bib19227462_18950410_147640_84_0002_alto.xml-112-11	 	Titansyra ingår nämligen till stor mängd uti de i dan norska notisen åsyftade mineralen.	61:68	0:88
notis	nan	1830	1	bib11653828_18300524_144028_117_0001_alto.xml-1-2	 	författaren flera notiser, hvaraf vi här anföra några.	18:25	0:54
notis	nan	1829	1	bib11653828_18290831_144028_200_0001_alto.xml-0-72	 	De så kallade Alellaniska skådespelen, Bomrarnes äldsta lustspel, uppfunna af Oscer na, ett gammalt, sedermera med Samniterna sammansmält, Italiskt stammfolk, hade sitt namn af den två mil från Aversa i Terra di Lavoro belägna staden Atelia, ocb öfvergingo troligen redan a5o år före Kristi födelse till Romrarne Som vi här sakna ali samtidig historisk ledning, mäste vi, genom sammanställning och jemförande af strödda notiser i åtskilliga sednare historiska och poetiska arbeten, söka förvärfva oss en nödtorftig kunskap örn deras principer, ursprungliga beskaffenhet, ämne, form och successiva förändringar.	420:427	0:610
notis	nan	1812	1	bib13506739_18120930_144030_227_0001_alto.xml-2-17	 	S- ^edan Kffirånöb, eller Förteckning, nu blilwit upprättad pä de Skattssyldige, som, i notisen stutaH ' llppbördssiämma därstädes ej betalt 1811 ärs Lrono-Utstylder, och inncwaranHc Lrs Fatliqwärds.afgift, fornt utmätning derföre skall genast börjas och uran uppskof fortsättas, för att me » mSjtliM- skyndsamhet lndriswa dche Krono-Utlaaor, som, i den öfrige delen af Riket bliiwit Ungt före detta erlsgde; (i rota tag härmed underrätta de Reststyldige att Kr«no&gt; UppbördS-Kommitzarierne w-rda föresteifne dea ordnwg hwari utmätningen skall för hivade dag WerkstSllas: att dermed göreS början bos dem som hätta för ft&tiia Reiisnlicbeloppet: att, emedlertid Uppbörds-Kontoren S Radhuset, skola TisdagS och T » rsi&gt; agS förmiddagar frän klockan 10 till l hällas öppne för den fattigare delen af de Skattstyldige, som hittills?j baft ulwäg ttS IllitylSernes albördande, men wilja undgä utmätning; och alt om, ivid Enkutions-Män » ticni unfomB, Utstylderne ej godwilligt erläggaS.	88:95	0:985
notis	nan	1827	1	bib11653828_18270120_144028_16_0004_alto.xml-5-8	 	Intendenten i Guavaquil den 9 anländt nied officiel notis, att Bolivar den 25 Augusti welat afgä frän Lima till Guayaquil (enligt direkta underrättelser frän Lima lär han likwäl ännu den 2 September warit owar der; jfr N:o «5) och, om möjligt, den 8 September derifrän öfwer Qvito och Popayan till Bogota.	52:57	0:305
notis	nan	1825	1	bib11653828_18250625_144028_143_0002_alto.xml-17-10	 	Om denna beryktade swärmerffas sista lefnadsdagar lemna utländska tidningar följande notiser: Lin sommaren 1824 tillrpggalaoe Baronestan v- Krädencr största delen af sin resa lill Krim pä Wolga, och ankom ben 19 Juli nied sin svit till Saratow.	85:92	0:244
