lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
sittning	nan	1895	2	bib15975087_18951002_145596_152_0002_alto.xml-122-7	 	De tre äldringarne äro fortfarande i be sittning af jämförelsewis goda själs- och kroppskrafter.	40:48	0:96
sittning	nan	1895	2	bib19225758_18951203_144022_282_0001_alto.xml-58-11	 	De som ej ha tillfälle till att personligen infinna sig för sittning kunna mycket väl till atelieren insända sina förut hos mig eller hos andra fotografer tagna kort, men bör detta ske i god tid för	60:68	0:198
sittning	nan	1828	1	bib15650837_18280726_146391_60_0002_alto.xml-15-30	 	faren troféerna frän Braila, jemte en utförlig föi teckning öfwer beloppet af de kanoner och de förrädc af alla forter, hwilka det lyckades ost att taga i b sittning wid intagningen af denna plats.	157:165	0:197
sittning	nan	1809	1	bib13506739_18091106_144030_258_0008_alto.xml-3-1	 	sorter Sittning, Mälning och Lavering, pasiande för bada könen,	7:15	0:63
sittning	nan	1825	1	bib11653823_18250819_144010_190_0001_alto.xml-10-13	 	Nyköpings Stad, hwileen länge hofe anledning att tacka Försynen för lugn lr sittning af hus och egendom, bar i dag warit botad af en cldswäda, sein bsidandc stor förstörelse, likwsil, ehuru bedröflig till sina följder, kunnat u » tan allt för sive ödcläggelse dämvas.	76:84	0:267
sittning	nan	1896	2	bib11653830_18961012_146968_82_0001_alto.xml-11-10	 	med att säga att han skulie anhålla om några flera sittningar dä han återkom till staden.	51:61	0:89
sittning	nan	1809	1	bib11653825_18091205_145134_142_0002_alto.xml-13-0	 	sittningarne, som Hertigdömet Warschau er » hällit, sse irga förändringar, innan Konun » gen af Sachsen ko«; mer tillbaka frän Frank » rike, som lär ste l början af nästa manad.	0:12	0:177
sittning	nan	1820	1	bib13506739_18200115_144030_11_0007_alto.xml-5-2	 	Till instundande sittning Sr att hyra hos Bryggaren Rosenblad, uti Huset N:o 5, Qw, Bryggaren wid Göthgatan: En PZäning om 8 Rum och Kök, i den mäst eleganta och moderna smak, förenade med alla de komodileter som möiliaen af ett större Hushall san önskas.	17:25	0:255
sittning	nan	1902	2	bib11653811_19020405_145317_50_0002_alto.xml-204-10	 	Deras afkomliDgar skulle således i lyckligaste fall komma i be sittning af det stora arfvet.	63:71	0:92
sittning	nan	1895	2	bib15650814_18951126_146365_277_0001_alto.xml-34-6	 	Dgr Mulen väderlek lika tjänlig vid sittning som klar.	36:44	0:54
sittning	nan	1895	2	bib15650814_18951014_146365_240_0003_alto.xml-123-33	 	tyst i bortåt tio minuter; men då kunde hon ej längre afhålla sig ifrån att fråga: — Nå, skall du nu låta modellera dig af Bruno Meinardi, och komma sittningarna att äga rum i ateliern?	149:161	0:185
sittning	nan	1814	1	bib13506739_18140302_144030_50_0009_alto.xml-1-8	 	ön rlcu Till isfiir; dont) e sittning it tit gammalt och för?&gt; - lak tq« Näringsställe ett dyra.	29:37	0:99
sittning	nan	1898	2	bib11653830_18981215_146968_98_0003_alto.xml-96-53	 	Chamberlain anförde ett ställe af president Mac Kinleys sista budskap och sade att han trodde att engelsmännen i framtiden icke skola blifva de enda väkt arne af“ den öppna dörren.11 Chamberlain vände sig därpå till frågan om allianserna rich säde: 11 Vi åro beredda, att ensamma försvara våra egna b sittningar och våra uteslutande intressen; därtill fordra vi ingen hjälp därtill behöfva vi ingen allians.	301:311	0:407
sittning	nan	1895	2	bib19277277_18950915_147683_251_0003_alto.xml-136-0	 	sittning af flersidiga språkliga kunskaper, ej kunnat gå riktigt i laad med sin icke så alldeles lätta uppgift.	0:8	0:111
sittning	nan	1810	1	bib13506739_18100806_144030_181_0010_alto.xml-0-14	 	Ofötinoöabt dar en kunnig och wsn Gårdsfogde blifmit sedig, och Mer till nästa sittning dylik tjenuz dan ar kunnig ined den i Södermanland och Upland bcuklige mttboö i Sandtbi-ufSiTötsel och RäkcnstaSers iförande.	79:87	0:213
sittning	nan	1895	2	bib15873371_18950219_145112_49_0002_alto.xml-26-30	 	» Jag kan få min bruddrägt öfver hit », sade Gwen med ett drag af elakhet kring munnen; » skall jag skaffa hit den och ge er några sittningar i min egenskap af brud? » Nej, jag tackar er, lady Strange », säde gossen med beundransvärd köld, » jag skall hålla fast vid idealet för min tafla, och jag skall arbeta flitigt på den.	131:141	0:326
sittning	nan	1812	1	bib11653828_18121214_144028_291_0001_alto.xml-5-0	 	sittning, hwarpä Mnandaö Armee retirerade till Maracap, hwilken plats likaledes snart besattes af te Kongl, tropparna, antingen genom förräderi eller uraktläienhet 5 Mirandaö sida.	0:8	0:180
sittning	nan	1828	1	bib13506739_18280828_144030_200_0001_alto.xml-10-34	 	i den desiutom se en, i alla statsmäns tanka, hwilka i England esterträdt hivar / andra i makten, högst wigtig alliance äfwentyrad, och kan hända ohjelpligt förlorad genom desia sista sittningar.	184:194	0:195
sittning	nan	1805	1	bib11653828_18050123_144028_19_0002_alto.xml-5-37	 	^En Egendomsherre i Kurland har gjort till sitt enda wigtigaste och gladaste före » mäl, alt i alla hänseenden förbättra sina Bönders tillständ, att ej blott med uppoffrande af egen winning sätta dem i bi sittning af en lämplig frihet, utan äfwen göra dem skicklige att njuta densamma.	205:213	0:285
sittning	nan	1823	1	bib11653823_18231201_144010_279_0003_alto.xml-2-24	 	makt, sädan soni Konungen arfi ben - ifrån sina närmaste förfader; för Gudstjeirjllen i desi fulla glans; för de andeliga in:i sittningarnas sutta insättande i deras gods, I-gendomar, privilegier och höga anseende; för & gt; rt hel.	127:140	0:232
sittning	nan	1895	2	bib19277277_18951027_147683_293_0004_alto.xml-142-10	 	förstå, att så snart hans morfar komme i be sittning af det stora arfvet och hans pappa derigenom hade utsigt att en gång blifva en lik man, skulle han sjelf bjuda os3 på äpplen hvar enda dag, köpta för de naturligtvis då alldeles oinskränkt ökade frukostpengarne.	44:52	0:264
sittning	nan	1815	1	bib19225772_18150315_148004_31_0008_alto.xml-3-3	 	med och utan sittning, De som ästuuda spannemälens ashäniining, behaga anmäla	13:21	0:77
sittning	nan	1830	1	bib19277277_18300621_147682_140_0004_alto.xml-20-14	 	Om ett grnmimmer, som fyr utmärkt wäl Snörlif, fä i afseende pä sittning, som fielfwa sömmen, Lnvensom Negligker asen enkel men wacker modell, lemnaS adreg uti Abrahamjoiis Kryddbod wid Norrlandegatan.	64:72	0:201
sittning	nan	1895	2	bib19277330_18950509_0_55_0001_alto.xml-31-16	 	Utom staden boende kunder behagade skriftligtn vända sig direkt till Banken, som utan annan er sittning än får porto besårjer deras angelägenhet med densamma.	95:103	0:158
sittning	nan	1896	2	bib11653830_18960601_146968_44_0003_alto.xml-47-3	 	som inbjöd till sittning å 12 öre pr haka.	16:24	0:42
sittning	nan	1813	1	bib13506739_18130312_144030_59_0013_alto.xml-1-22	 	En r el Hyresman älundar hyra twenne Rum, fria frän ohyra med eller utan Kik, till nu instun, Sande Sittning.	100:108	0:109
sittning	nan	1895	2	bib19277277_18951117_147683_314_0003_alto.xml-70-6	 	Prinsessan Maud lär vara i be sittning af en sällsynt samling af elefantbetar j00 * 1 andra djurs tänder.	30:38	0:105
sittning	nan	1895	2	bib15761570_18950119_146176_14_0003_alto.xml-164-19	 	Hon var mycket nyttig såsom modell — alltid till hands då hon behöfdes, antingen för att närvara vid sittningarne eller tjena till motstycke till miss Carlyons mörka skönhet i någon fantastisk skizz.	101:113	0:199
sittning	nan	1823	1	bib13506739_18230130_144030_24_0012_alto.xml-1-2	 	Till nusta sittning Sllundas tu trogen och ordentlig Barnpiza, som Sr barnkär, och w-n att £c«i smZrr- barn.	11:19	0:108
sittning	nan	1830	1	bib19277277_18300629_147682_146_0004_alto.xml-32-14	 	Om ett Fricktimmer, som syr utiliärkt wäl Snörlif, fä i afseende pä sittning, - som sjelswa sömmen, äfwensom Negligcer asen enkel men wacker modell, lemnas adrcS uti Acrahamjou » Kryddbod wid Norrlandsgatan.	68:76	0:207
sittning	nan	1827	1	bib19277277_18270118_147682_14_0004_alto.xml-15-15	 	Ett alswarsamt Fruntimmer lrän Norrland, fom är wan wid Stads- och LandthuShällningönstar nn till sittningen sä hushälla för nägon hederlig äldre Herre.	98:108	0:152
sittning	nan	1827	1	bib11653823_18270628_144010_148_0004_alto.xml-35-36	 	En drini^ och werksam Man, » ti sin bästa äkder, son » i flera är?gnat sin tid med dnfivande » ti » ariabVi arbeten, förenade & gt; » ed ' ' sittningar mi alla sorters Mekaller, i större och niintre genre, och således haft ett önstadt tillfälle, att förstaffa sig fullkomlig kännedom uri detta nrke; men en mindre gynnande conjunctur har satt honom nr ständ att fortsätta d&gt; ' t, och sramde ' eS beräkna si » bergning; föranledd af desta stäl, önstade han art blifiva emplojerad ivid nägor större Werk i Srad eller LandSor erna, wid nä on Fabriksinrättning, wid nägot Bruk, eller större omfattning, der det fordras u v re ' se och öfwerinseende öfwer mycket folk.	141:151	0:666
sittning	nan	1895	2	bib19225758_18950701_144022_149_0002_alto.xml-25-0	 	sittning af mandschuriskt område, eller åtminstone genast medgifva ryssarne tillåtelse att draga den sibiriska banan genom Mand schuriet.	0:8	0:137
sittning	nan	1830	1	bib19277277_18300825_147682_195_0004_alto.xml-4-27	 	En ung, med de mest hedrande betvg försedd Beilcnt, ^stundar t!eu&lt; i hos nigon Herre eller Herrskap, ml genast eller till uijitinbande sittning.	138:146	0:147
sittning	nan	1895	2	bib19225758_18950627_144022_146_0002_alto.xml-22-12	 	fabrikslagen, hvilken kunde bli färdig och antagen med blott ytterligare tre sittningar.	77:87	0:88
sittning	nan	1798	1	bib11653828_17981018_144028_240_0002_alto.xml-0-11	 	af T » sca«sta farwarrner och sätta- sig i b » sittning af Toscanste Hamnar.	47:55	0:76
sittning	nan	1895	2	bib19227462_18950824_147640_196_0002_alto.xml-59-25	 	Englands planer i Siam, öfver hvilket rike det i sin ordning gjorde sig till protektor, på samma gång det satie sig i be sittning af stora landssträckor vid öfre Mekong, utan att lyssna till de engelska yrkandena, att en s. k. br.flertstat derstädes skulle npprätta.i.	121:129	0:268
sittning	nan	1815	1	bib13506739_18150516_144030_110_0008_alto.xml-3-7	 	rimlige och säkra ti & gt; sittning a 40 (j.	27:35	0:44
sittning	nan	1903	2	bib11653811_19031026_145317_166_0004_alto.xml-57-24	 	herr Servet, och går till min tapetserare, t Därmed tryckte lian en kyss på sin dotters panna och gick, under det sittningen tog sin början.	114:124	0:140
sittning	nan	1895	2	bib11653811_18951122_145317_181_0004_alto.xml-17-5	 	«Lokomotivföraren skall vara i be sittning af sans, lugn och sinnesnär varo, vara nykter och uppmärksam till det yttersta, hafva stark helsa samt en viss grad af bokligt vetande jemte många andra egenskaper.	34:42	0:207
sittning	nan	1810	1	bib11653806_18100913_145120_104_0007_alto.xml-0-0	 	sittning af all boets tillhönzhet för sin lifstid, ucari ccf bejlutit, att efter beggrS dvd skull all dera?	0:8	0:107
sittning	nan	1802	1	bib11653828_18020108_144028_5_0003_alto.xml-3-2	 	e, sittning i Westphalen och ' genom ett Distoppsdbme i nedra Sachsen.	3:11	0:70
sittning	nan	1817	1	bib11653825_18171115_145134_137_0003_alto.xml-1-45	 	fig. Regeringen mäste instränla fig till att Återbringa handeln till Venedig, ech mäste ken hända upprätta vägra twinganse lagar, för att sätta V-ketzig i concurrence med Li, varna och Genua, t anseende till den proviartering Lombardlet och andra Lslerrlkissa be » sittningar l Italien behöfwa.	265:275	0:294
sittning	nan	1803	1	bib11653828_18030901_144028_198_0001_alto.xml-11-44	 	Regeringen underhäller stora Armeer uti Italien och H.lvetieu, och det underhällcr jcmwäl en Armee i norra Tyffland, helt wistt af ingen annan orsak än art försäkra sig emot de farm, sorn kunde hota dest i Norden för&gt; värflvade B&gt; sittningar.\"	237:247	0:249
sittning	nan	1903	2	bib11653811_19030328_145317_49_0002_alto.xml-147-26	 	fullmäktige förbinda sig att mot det son gått till botten omnämndes ej då att staden fortfarande får vara i be- af Andersson utan omtalade han detta sittning af rektorsgården, erlägga till först påföljande middag vid med hobonom 1,200 kronor i hyresersättning norn anställd!	149:157	0:274
sittning	nan	1824	1	bib11653823_18240612_144010_134_0003_alto.xml-1-21	 	Nederländernas Andra Kammare gillade, ben 25 Maj, enhälligt den bekanta mellan nämnde R-ke cch England afstulna trocraten örn b sittningarna i Ostindien.	128:140	0:153
sittning	nan	1815	1	bib11653792_18151104_146919_44_0004_alto.xml-0-5	 	^Spanien- och Portugal- be » sittningar i Amerika af Beuleriiz.	29:39	0:63
