identifier1	identifier2	annotator	judgment	comment	lemma
bib15650837_18950608_146391_131_0007_alto.xml-15-21	bib19277301_18960608_145146_46_0002_alto.xml-129-16	Magdalena	3	 	uppfostran
bib19277180_18950715_147374_57_0002_alto.xml-8-13	bib11653811_19001222_145317_199_0003_alto.xml-40-32	Magdalena	3	 	uppfostran
bib19227462_18950202_147640_28_0005_alto.xml-69-11	bib11653811_18990726_145317_112_0003_alto.xml-157-12	Magdalena	4	 	uppfostran
bib13506739_18210824_144030_197_0016_alto.xml-21-12	bib13506739_18070808_144030_181_0007_alto.xml-11-14	Magdalena	4	 	uppfostran
bib13506739_18241001_144030_228_0008_alto.xml-16-11	bib13506739_18250305_144030_53_0007_alto.xml-18-7	Magdalena	0	 	uppfostran
bib19227462_18950806_147640_180_0003_alto.xml-117-12	bib13506739_18280426_144030_97_0008_alto.xml-6-5	Magdalena	3	 	uppfostran
bib19277277_18280618_147682_140_0004_alto.xml-14-45	bib13506739_18270815_144030_189_0004_alto.xml-6-11	Magdalena	3	 	uppfostran
bib13506739_18280111_144030_9_0004_alto.xml-27-7	bib13506739_18291020_144030_243_0008_alto.xml-24-12	Magdalena	3	 	uppfostran
bib13506739_18180505_144030_101_0004_alto.xml-15-21	bib19277277_18950819_147683_224_0005_alto.xml-119-18	Magdalena	0	 	uppfostran
bib15869824_18960715_145700_56_0003_alto.xml-105-15	bib15975090_18950212_148377_18_0004_alto.xml-54-17	Magdalena	4	 	uppfostran
bib13506739_18181009_144030_233_0011_alto.xml-12-14	bib19277277_18251115_147682_265_0001_alto.xml-6-5	Magdalena	0	 	uppfostran
bib19227291_18970701_145289_78_0001_alto.xml-20-36	bib11653815_18960115_146944_4_0003_alto.xml-22-23	Magdalena	4	 	uppfostran
bib15978012_18950316_148361_64_0002_alto.xml-25-51	bib13506739_18080709_144030_156_0004_alto.xml-12-14	Magdalena	3	 	uppfostran
bib19227462_18950517_147640_114_0002_alto.xml-69-24	bib19225772_18051227_148004_149_0004_alto.xml-4-50	Magdalena	3	 	uppfostran
bib11653790_18970302_145648_17_0002_alto.xml-121-13	bib11653790_18990905_145648_69_0001_alto.xml-8-12	Magdalena	3	 	uppfostran
bib13506739_18290919_144030_217_0008_alto.xml-30-22	bib11653830_18980407_146968_28_0003_alto.xml-139-3	Magdalena	0	 	uppfostran
bib11653806_18120422_145120_44_0004_alto.xml-8-11	bib13506739_18290530_144030_123_0005_alto.xml-19-20	Magdalena	4	 	uppfostran
bib13506739_18240329_144030_73_0016_alto.xml-16-10	bib19277277_18251007_147682_232_0004_alto.xml-21-11	Magdalena	4	 	uppfostran
bib15650837_18950104_146391_3_0004_alto.xml-23-43	bib15650837_18290527_146391_42_0003_alto.xml-12-10	Magdalena	0	 	uppfostran
bib15975090_18960317_148377_34_0002_alto.xml-35-14	bib19277277_18280618_147682_140_0004_alto.xml-14-45	Magdalena	4	 	uppfostran
bib15869824_18961230_145700_103_0003_alto.xml-231-5	bib19227462_18950302_147640_52_0006_alto.xml-90-23	Magdalena	4	 	uppfostran
bib13506739_18181104_144030_255_0010_alto.xml-11-13	bib13506739_18301007_144030_232_0004_alto.xml-16-0	Magdalena	0	 	uppfostran
bib19227291_18950216_145289_20_0002_alto.xml-43-17	bib11653811_18990726_145317_112_0003_alto.xml-157-12	Magdalena	0	 	uppfostran
bib13506739_18241001_144030_228_0008_alto.xml-16-11	bib11653828_18200615_144028_136_0002_alto.xml-5-14	Magdalena	3	 	uppfostran
bib19277277_18300604_147682_126_0004_alto.xml-24-10	bib15650837_18270105_146391_2_0001_alto.xml-4-10	Magdalena	3	 	uppfostran
bib13506739_18181104_144030_255_0010_alto.xml-11-13	bib11653790_19020107_145648_2_0001_alto.xml-54-8	Magdalena	4	 	uppfostran
bib13506739_18110716_144030_162_0010_alto.xml-15-8	bib13506739_18140204_144030_28_0008_alto.xml-10-3	Magdalena	3	 	uppfostran
bib13506739_18050903_144030_203_0012_alto.xml-5-4	bib19277277_18251007_147682_232_0004_alto.xml-21-11	Magdalena	3	 	uppfostran
bib15978012_18950316_148361_64_0002_alto.xml-25-51	bib19225772_18230416_148004_42_0004_alto.xml-7-11	Magdalena	3	 	uppfostran
bib11653828_18270324_144028_70_0002_alto.xml-2-3	bib11653806_18060506_145120_47_0007_alto.xml-11-3	Magdalena	4	 	uppfostran
bib19227462_18950114_147640_11_0002_alto.xml-129-10	bib13506739_18280618_144030_140_0008_alto.xml-19-3	Magdalena	3	 	uppfostran
bib19227291_18950131_145289_13_0002_alto.xml-62-5	bib11653811_18970807_145317_120_0002_alto.xml-181-10	Magdalena	3	 	uppfostran
bib19223423_18131127_145063_95_0003_alto.xml-7-53	bib15873936_18960319_147385_33_0002_alto.xml-13-29	Magdalena	0	 	uppfostran
bib19277277_18950912_147683_248_0010_alto.xml-7-14	bib11653792_18120808_146919_32_0003_alto.xml-5-19	Magdalena	4	 	uppfostran
bib19277180_18950715_147374_57_0002_alto.xml-8-13	bib15873936_18960319_147385_33_0002_alto.xml-13-29	Magdalena	3	 	uppfostran
bib13506739_18080709_144030_156_0004_alto.xml-12-14	bib15975087_18950712_145596_105_0001_alto.xml-86-5	Magdalena	3	 	uppfostran
bib19277277_18950423_147683_109_0008_alto.xml-47-12	bib11653815_18971025_146944_123_0002_alto.xml-75-23	Magdalena	3	 	uppfostran
bib13506739_18240719_144030_164_0012_alto.xml-16-34	bib15650814_18951211_146365_290_0002_alto.xml-139-11	Magdalena	3	 	uppfostran
bib19277277_18950725_147683_199_0002_alto.xml-44-18	bib11653806_18030802_145120_79_0007_alto.xml-9-3	Magdalena	3	 	uppfostran
bib19277277_18280618_147682_140_0004_alto.xml-14-45	bib15650814_18950925_146365_224_0001_alto.xml-23-21	Magdalena	4	 	uppfostran
bib11653792_18120808_146919_32_0003_alto.xml-5-19	bib19277301_18960608_145146_46_0002_alto.xml-129-16	Magdalena	4	 	uppfostran
bib19227462_18951207_147640_286_0007_alto.xml-153-6	bib13506739_18280618_144030_140_0008_alto.xml-19-3	Magdalena	4	 	uppfostran
bib11653811_19001130_145317_186_0003_alto.xml-25-3	bib11653823_18220803_144010_178_0008_alto.xml-1-9	Magdalena	4	 	uppfostran
bib13506739_18291020_144030_243_0008_alto.xml-24-12	bib19225758_18950824_144022_196_0004_alto.xml-84-13	Magdalena	3	 	uppfostran
bib11653811_19001222_145317_199_0003_alto.xml-40-32	bib11653811_18990513_145317_72_0003_alto.xml-119-5	Magdalena	3	 	uppfostran
bib13506739_18140204_144030_28_0008_alto.xml-10-3	bib11653790_18990905_145648_69_0001_alto.xml-8-12	Magdalena	3	 	uppfostran
bib19277349_18950205_147403_17_0002_alto.xml-97-12	bib13506739_18290530_144030_123_0005_alto.xml-19-20	Magdalena	3	 	uppfostran
bib19227462_18950114_147640_11_0002_alto.xml-129-10	bib15650837_18950411_146391_85_0003_alto.xml-87-1	Magdalena	3	 	uppfostran
bib15650837_18950608_146391_131_0007_alto.xml-15-21	bib11653823_18210829_144010_201_0001_alto.xml-3-57	Magdalena	4	 	uppfostran
bib19227462_18950114_147640_11_0002_alto.xml-129-10	bib11653830_18980407_146968_28_0003_alto.xml-139-3	Magdalena	0	 	uppfostran
bib13506739_18240510_144030_107_0015_alto.xml-14-23	bib19277277_18280618_147682_140_0004_alto.xml-14-45	Magdalena	4	 	uppfostran
bib11653811_19030311_145317_40_0002_alto.xml-79-21	bib19277180_18950604_147374_45_0003_alto.xml-112-19	Magdalena	4	 	uppfostran
bib13506739_18070808_144030_181_0007_alto.xml-11-14	bib19277277_18300416_147682_86_0004_alto.xml-26-17	Magdalena	3	 	uppfostran
bib15873936_18951121_147385_137_0002_alto.xml-173-5	bib15650837_18950104_146391_3_0004_alto.xml-23-43	Magdalena	0	 	uppfostran
bib19277277_18950105_147683_5_0005_alto.xml-52-12	bib19277301_18960427_145146_34_0002_alto.xml-121-2	Magdalena	0	 	uppfostran
bib19277277_18240525_147682_120_0008_alto.xml-12-39	bib15873936_18960319_147385_33_0002_alto.xml-13-29	Magdalena	3	 	uppfostran
bib19277277_18950423_147683_109_0008_alto.xml-47-12	bib13506739_18280618_144030_140_0008_alto.xml-19-3	Magdalena	4	 	uppfostran
bib19277277_18300419_147682_88_0004_alto.xml-45-16	bib11653828_18140916_144028_214_0004_alto.xml-2-1	Magdalena	4	 	uppfostran
bib19223423_18130213_145063_13_0001_alto.xml-2-24	bib11653815_18971025_146944_123_0002_alto.xml-75-23	Magdalena	4	 	uppfostran
bib15869824_18960930_145700_78_0002_alto.xml-40-11	bib11653828_18220321_144028_68_0002_alto.xml-6-30	Magdalena	3	 	uppfostran
bib19277277_18951015_147683_281_0002_alto.xml-58-32	bib13506739_18240420_144030_90_0014_alto.xml-11-7	Magdalena	3	 	uppfostran
bib13506739_18291009_144030_234_0008_alto.xml-8-53	bib15650837_18950705_146391_153_0002_alto.xml-128-22	Magdalena	3	 	uppfostran
bib15650837_18950129_146391_24_0002_alto.xml-172-2	bib19277277_18280915_147682_215_0001_alto.xml-15-31	Magdalena	3	 	uppfostran
bib15873936_18960321_147385_34_0002_alto.xml-61-18	bib11653790_19010510_145648_36_0003_alto.xml-189-10	katarinalbrekt	4	 	uppfostran
bib19277277_18951127_147683_324_0007_alto.xml-69-11	bib19227291_18960725_145289_89_0003_alto.xml-68-22	katarinalbrekt	3	 	uppfostran
bib15975087_18950712_145596_105_0001_alto.xml-86-5	bib19227462_18950202_147640_28_0005_alto.xml-69-11	katarinalbrekt	4	 	uppfostran
bib15650837_18950705_146391_153_0002_alto.xml-128-22	bib13506739_18270901_144030_204_0007_alto.xml-26-7	katarinalbrekt	3	 	uppfostran
bib13506739_18201019_144030_243_0007_alto.xml-12-16	bib11653823_18220803_144010_178_0008_alto.xml-1-9	katarinalbrekt	4	 	uppfostran
bib15975087_18950712_145596_105_0001_alto.xml-86-5	bib13506739_18281017_144030_243_0004_alto.xml-28-30	katarinalbrekt	4	 	uppfostran
bib19227291_18960218_145289_21_0004_alto.xml-82-4	bib19277301_18960608_145146_46_0002_alto.xml-129-16	katarinalbrekt	4	 	uppfostran
bib15650835_18951224_146472_113_0003_alto.xml-151-2	bib15975087_18951106_145596_172_0003_alto.xml-41-9	katarinalbrekt	3	 	uppfostran
bib13506739_18140204_144030_28_0008_alto.xml-10-3	bib13506739_18240420_144030_90_0014_alto.xml-11-7	katarinalbrekt	3	 	uppfostran
bib15873936_18951121_147385_137_0002_alto.xml-173-5	bib19227291_18970722_145289_87_0003_alto.xml-14-33	katarinalbrekt	3	 	uppfostran
bib11653811_19030318_145317_44_0001_alto.xml-74-29	bib15650837_18270105_146391_2_0001_alto.xml-4-10	katarinalbrekt	4	 	uppfostran
bib13506739_18110315_144030_63_0011_alto.xml-4-13	bib13506739_18070808_144030_181_0007_alto.xml-11-14	katarinalbrekt	4	 	uppfostran
bib15975090_18950212_148377_18_0004_alto.xml-54-17	bib19227291_18950216_145289_20_0002_alto.xml-43-17	katarinalbrekt	4	 	uppfostran
bib11653811_18990717_145317_107_0003_alto.xml-24-20	bib13506739_18210312_144030_59_0016_alto.xml-2-25	katarinalbrekt	4	 	uppfostran
bib11653811_18990210_145317_22_0002_alto.xml-122-9	bib13506739_18240420_144030_90_0014_alto.xml-11-7	katarinalbrekt	4	 	uppfostran
bib15650835_18951224_146472_113_0003_alto.xml-151-2	bib11653830_18951125_146968_136_0002_alto.xml-5-8	katarinalbrekt	3	 	uppfostran
bib19227291_18301215_145289_50_0003_alto.xml-5-25	bib15873371_18950806_145112_211_0002_alto.xml-198-38	katarinalbrekt	3	 	uppfostran
bib13506739_18280618_144030_140_0008_alto.xml-19-3	bib19223423_18131127_145063_95_0003_alto.xml-7-53	katarinalbrekt	3	 	uppfostran
bib11653811_19030919_145317_145_0003_alto.xml-10-33	bib19277277_18280618_147682_140_0004_alto.xml-14-45	katarinalbrekt	4	 	uppfostran
bib19277277_18300416_147682_86_0004_alto.xml-26-17	bib19223423_18130213_145063_13_0001_alto.xml-2-24	katarinalbrekt	3	 	uppfostran
bib11653830_18980407_146968_28_0003_alto.xml-139-3	bib15760690_18951221_145050_197_0003_alto.xml-37-23	katarinalbrekt	3	 	uppfostran
bib15760600_18950413_146401_44_0001_alto.xml-46-11	bib13506739_18110702_144030_150_0003_alto.xml-3-7	katarinalbrekt	4	 	uppfostran
bib19223423_18131127_145063_95_0003_alto.xml-7-53	bib19277346_18101215_147394_48_0003_alto.xml-8-21	katarinalbrekt	3	 	uppfostran
bib13506739_18110702_144030_150_0003_alto.xml-3-7	bib13506739_18170823_144030_194_0010_alto.xml-7-7	katarinalbrekt	3	 	uppfostran
bib15650837_18290527_146391_42_0003_alto.xml-12-10	bib19277277_18950725_147683_199_0002_alto.xml-44-18	hatsab	2	 	uppfostran
bib19227291_18301215_145289_50_0003_alto.xml-5-25	bib19277277_18300419_147682_88_0004_alto.xml-45-16	hatsab	4	 	uppfostran
bib13506739_18281017_144030_243_0004_alto.xml-28-30	bib13506739_18181104_144030_255_0010_alto.xml-11-13	hatsab	4	 	uppfostran
bib11653828_18050907_144028_207_0001_alto.xml-4-58	bib11653811_19030919_145317_145_0003_alto.xml-10-33	hatsab	4	 	uppfostran
bib11653828_18201010_144028_235_0002_alto.xml-9-0	bib19277277_18950912_147683_248_0010_alto.xml-7-14	hatsab	4	 	uppfostran
bib15975090_18960317_148377_34_0002_alto.xml-35-14	bib11653811_18970109_145317_4_0002_alto.xml-122-6	hatsab	4	 	uppfostran
bib19227291_18960218_145289_21_0004_alto.xml-82-4	bib15869824_18961230_145700_103_0003_alto.xml-231-5	hatsab	4	 	uppfostran
bib11653836_18950830_147011_35_0001_alto.xml-110-23	bib11653811_18950420_145317_60_0003_alto.xml-97-7	hatsab	4	 	uppfostran
bib19225758_18950220_144022_43_0005_alto.xml-172-2	bib19277277_18240525_147682_120_0008_alto.xml-12-39	hatsab	4	 	uppfostran
bib19277301_18960427_145146_34_0002_alto.xml-121-2	bib19277346_18101215_147394_48_0003_alto.xml-8-21	hatsab	4	 	uppfostran
bib19225758_18950128_144022_23_0002_alto.xml-127-5	bib15975090_18950212_148377_18_0004_alto.xml-54-17	hatsab	4	 	uppfostran
bib19277277_18250615_147682_135_0004_alto.xml-16-9	bib19227462_18950806_147640_180_0003_alto.xml-117-12	hatsab	4	 	uppfostran
bib19227291_18960218_145289_21_0004_alto.xml-82-4	bib19277277_18251115_147682_265_0001_alto.xml-6-5	hatsab	4	 	uppfostran
bib13506739_18181104_144030_255_0010_alto.xml-11-13	bib15650837_18270105_146391_2_0001_alto.xml-4-10	hatsab	4	 	uppfostran
bib11653828_18050907_144028_207_0001_alto.xml-4-58	bib13506739_18240405_144030_79_0012_alto.xml-11-9	hatsab	4	 	uppfostran
bib13506739_18140204_144030_28_0008_alto.xml-10-3	bib19277277_18260923_147682_221_0004_alto.xml-7-11	hatsab	4	 	uppfostran
bib15975087_18950712_145596_105_0001_alto.xml-86-5	bib13506739_18201019_144030_243_0007_alto.xml-12-16	hatsab	4	 	uppfostran
bib15975090_18950212_148377_18_0004_alto.xml-54-17	bib19227462_18950517_147640_114_0002_alto.xml-69-24	hatsab	4	 	uppfostran
bib13506739_18171009_144030_234_0011_alto.xml-19-6	bib11653806_18120422_145120_44_0004_alto.xml-8-11	hatsab	4	 	uppfostran
bib13506739_18291020_144030_243_0008_alto.xml-24-12	bib13506739_18080709_144030_156_0004_alto.xml-12-14	hatsab	4	 	uppfostran
