lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
uppläggning	nan	1895	2	bib19225758_18950508_144022_106_0001_alto.xml-17-17	 	Hvarje Föremål, sorn lemnäs till förvaring i Parasiticidas enkom derför inredda rymliga magasiner, undergår före uppläggningen fullständig desinfektion och rengöring, hvarigenom den möjligheten att sjukdomsfrön kunna öfverföras från ett föremål till ett annat, absolut förekommes.	113:126	0:280
uppläggning	nan	1895	2	bib19277277_18950709_147683_183_0004_alto.xml-39-2	 	redogörelse för uppläggning å nederlag, fyr- och båkafgifter samt lastpenningarna.	16:27	0:82
uppläggning	nan	1895	2	bib19225758_18950222_144022_45_0004_alto.xml-103-17	 	En duglig och bra kokerska, fullt hemmastadd i såväl enklare som finare matlagning samt vand vid uppläggning, erhåller den 24 instundande April förmäulig anställning i landsortsstad.	97:108	0:182
uppläggning	nan	1895	2	bib15873371_18950429_145112_115_0002_alto.xml-247-58	 	2) När fartyg ankommer från eller afgår till utländsk ort, skola, med de undantag, hvarom nedan säges, lotspenningar enligt taxa jemte hemvägsersättniug enligt lotsledsiörteckning erläggas vid ingående för alla de lotsleder, som passeras från öppen sjö före ankomsten till första lossnings- eller lastningsort äfvensom till plats, som anlöpes för order eller uppläggning, och vid utgåonde från sista lastningsorten eller, örn fartyget är barlastadt, från sista afgångsorteu genom alla de lotsleder, som passeras, der det icke är öppen sjö.	359:370	0:539
uppläggning	nan	1816	1	bib13506739_18160815_144030_188_0007_alto.xml-18-17	 	^ Ett Ma.afin med stort utrymme och godt lage, samt i man deras tjenligt bade tifll uppläggning v » fiifitlintnp, of Waror, en snygg Kammare derinnanföre, med egen ingång, samt en torr och rymlig Källarr, förut begagnad till uppläggning as Brä„nwin, är att hyra reid Skeppsbron.	84:95	0:278
uppläggning	nan	1807	1	bib19225772_18071009_148004_115_0004_alto.xml-4-13	 	I Florenssa huset wid Tillegatehörnet äro en stor Bod, tjenlig till Lins uppläggning, och ett SrannemZlsloft nu genast lediga att emot hyra fa tillicädg.	73:84	0:153
uppläggning	nan	1808	1	bib19225792_18081001_147359_40_0005_alto.xml-2-12	 	Uti huset N:o 80 tvid Wallgatan är ett Hwalf torra » varors uppläggning nu genast ledigt ali pras; widare bested fas pä stallet.	60:71	0:128
uppläggning	nan	1895	2	bib19227462_18950913_147640_213_0003_alto.xml-181-187	 	tulibehandlingen af gods, sorn i jernvägsvagnar inkommer på ångfärja från Köpenhamn till Malmö för vidare befordran till Norge, förordna: de ’ s att resgods, som med ångfärja anländer från Köpenhamn till Malmö, må, utan afvisitering och tullbehandling i Malmö och utan att hvarje särskildt kolli derstädes väges och plomberas, direkt befordras till städerne Fredrikshald och Kristiania i Norge, under vilkor bland annat, att det till hvardera destina tionsorten stälda resgodset, hvarom här är fråga, förvaras i särskild vagn eller af tullkammaren i Malmö för ändamålet godkänd vagnsafdelning, hvari nämda tullkammare meddelar behöiig plombering samt med angifvande af icke blott V3gnens eller vagnsafdelningens märke och nummer, utan äfven deraf, att innehållet utgöres af icke undersökt resgods, meddelar förpassning i två exemplar, af hvilka det ena skall åtfölja godset och det andra med först afgående post försändas till vederbörande tullförvaltning i bestämmelseorten m. m.; dels äfven att fraktgods, utgörande hel vagnslast och af beskaffenhet, att hinder iemlikt § 1 mom. 3 i gällande tallstadga icke möter för dess uppläggning å transitonpplag, hvilket med ångfärja anländer från Köpenhamn till Malmö för att utan omlastning genom omedelbar transitoförsändning befordras vidare med jernväg till ort i Norge, der tullkammare finnes och förtnllning får ega ram, må å ångfärjans märkrnlla upptagas såsom ett kolli och jemväl såsom ett kolli angifvas i vanlig ordning hos tullkammaren i Malmö och af nämda tullkammare förpassas till destinationsorten, under vilkor att i en och samma vagn icke må förvaras gods, som skall på ifrågavarande sätt försändaB till mer än en emottogare i destinationsorten, för så vidt godset icke är emballe rädt, m. m; äfvensom att, för den händelse K.	1125:1136	0:1787
uppläggning	nan	1818	1	bib13506739_18180216_144030_38_0005_alto.xml-18-18	 	Som den sednast ifrän ^ ötheborg af Herr LorentS tillwerkning hitkomne Porter, numera cfter skedd utpacknina och uppläggning uti warmt Rum, uvpnätt sin wanliga godhet, fä fortsätreS försäljningen der« af Uti Huset N:o 2 wid Slottsbacken, Qwart, Äolus, Skulle nägon, som direkte isran Fartrgct eller ifrån Magasin erhållit af d&gt; ' nne sednast och under Wintern inkomne £orter, finna detz qvalite mindre god, sa kan äfwen ombyte deras emot bättre Wara äga rum.	113:124	0:461
uppläggning	nan	1821	1	bib19225772_18210501_148004_49_0003_alto.xml-0-47	 	Lerfter, Flaggduk och Gefle Segelduk, stulen Kork och Korkträd, samt Tage werk af Linor frän dest Reparbana » vid sägen, hwatcst finnes till uppläggiäng af » varor, goda och frän eld fria Magofiner mot billig hyra, och därest äfweir planer till uppläggning af plankor, stenkohl m. m.	245:256	0:283
