identifier1	identifier2	annotator	judgment	comment	lemma
bib19227291_18950822_145289_100_0002_alto.xml-33-6	bib13506739_18280130_144030_25_0003_alto.xml-0-7	hatsab	1	 	uppslag
bib13506739_18270119_144030_15_0002_alto.xml-6-18	bib15873936_18961212_147385_145_0003_alto.xml-137-6	hatsab	1	 	uppslag
bib11653815_18950917_146944_110_0002_alto.xml-6-2	bib15650814_18950426_146365_97_0002_alto.xml-57-51	hatsab	4	 	uppslag
bib19520388_18060521_147487_20_0002_alto.xml-1-13	bib19277277_18950704_147683_178_0004_alto.xml-44-3	hatsab	2	 	uppslag
bib19225792_18111123_147359_47_0007_alto.xml-6-33	bib19225758_18950209_144022_34_0006_alto.xml-188-15	hatsab	1	 	uppslag
bib11653828_18290721_144028_165_0003_alto.xml-18-11	bib11653823_18280829_144010_201_0003_alto.xml-1-2	hatsab	1	 	uppslag
bib11653823_18270122_144010_17_0002_alto.xml-17-23	bib19520388_18060521_147487_20_0002_alto.xml-1-13	hatsab	1	 	uppslag
bib15873371_18950322_145112_80_0002_alto.xml-159-4	bib15650837_18951216_146391_293_0003_alto.xml-113-0	hatsab	3	 	uppslag
bib11653828_18020507_144028_102_0002_alto.xml-12-15	bib11653828_18281230_144028_299_0003_alto.xml-3-76	hatsab	4	 	uppslag
bib19227291_18950427_145289_50_0002_alto.xml-91-100	bib19227462_18950128_147640_23_0003_alto.xml-57-21	hatsab	4	 	uppslag
bib15873936_18960118_147385_7_0004_alto.xml-61-17	bib15975087_18950102_145596_1_0004_alto.xml-12-74	hatsab	4	 	uppslag
bib13506739_18270605_144030_128_0002_alto.xml-43-3	bib11653823_18231108_144010_260_0004_alto.xml-2-14	hatsab	1	 	uppslag
bib19277277_18951212_147683_339_0006_alto.xml-167-31	bib15873936_18960204_147385_14_0002_alto.xml-70-10	Magdalena	3	 	uppslag
bib15650837_18180218_146391_14_0004_alto.xml-3-7	bib13506739_18270605_144030_128_0002_alto.xml-43-3	Magdalena	4	 	uppslag
bib13506739_18270119_144030_15_0002_alto.xml-6-18	bib13506739_18110322_144030_69_0013_alto.xml-1-79	Magdalena	4	 	uppslag
bib11653815_18970127_146944_10_0003_alto.xml-11-12	bib13506739_18221121_144030_272_0013_alto.xml-0-18	Magdalena	0	 	uppslag
bib11653823_18231219_144010_295_0005_alto.xml-1-34	bib11653790_18990210_145648_11_0002_alto.xml-39-9	Magdalena	1	 	uppslag
bib13506739_18110322_144030_69_0010_alto.xml-7-24	bib13506739_18270605_144030_128_0002_alto.xml-43-3	Magdalena	1	 	uppslag
bib11653823_18291215_0_291_0002_alto.xml-4-2	bib11653828_18031017_144028_237_0002_alto.xml-2-7	Magdalena	0	 	uppslag
bib19223423_18030129_145063_8_0001_alto.xml-2-17	bib19225758_18950124_144022_20_0003_alto.xml-203-10	Magdalena	1	 	uppslag
bib19227291_18170709_145289_28_0004_alto.xml-3-12	bib13506739_18260218_144030_29_0003_alto.xml-1-9	Magdalena	0	 	uppslag
bib19520388_18060521_147487_20_0002_alto.xml-1-13	bib13506739_18221121_144030_272_0013_alto.xml-0-18	Magdalena	0	 	uppslag
bib11653823_18291121_0_271_0003_alto.xml-6-2	bib11653811_18961007_145317_154_0003_alto.xml-84-9	Magdalena	0	 	uppslag
bib19277346_18200219_147394_8_0003_alto.xml-1-3	bib19227462_18950128_147640_23_0003_alto.xml-57-21	Magdalena	1	 	uppslag
bib11653790_18980812_145648_61_0005_alto.xml-12-12	bib19227291_18950822_145289_100_0002_alto.xml-33-6	Magdalena	0	 	uppslag
bib11653790_19010212_145648_12_0003_alto.xml-192-11	bib15873936_18961212_147385_145_0003_alto.xml-137-6	Magdalena	1	 	uppslag
bib19277277_18950303_147683_61_0002_alto.xml-10-9	bib19277346_18200219_147394_8_0003_alto.xml-1-3	Magdalena	0	 	uppslag
bib11653828_18281229_144028_298_0004_alto.xml-6-26	bib13506739_18190202_144030_26_0012_alto.xml-3-19	Magdalena	0	 	uppslag
bib19227462_18951128_147640_278_0003_alto.xml-141-13	bib11653823_18280724_144010_170_0002_alto.xml-7-7	Magdalena	0	 	uppslag
bib15975087_18950102_145596_1_0004_alto.xml-12-74	bib19227462_18951128_147640_278_0003_alto.xml-141-13	Magdalena	4	 	uppslag
bib11653823_18260113_144010_10_0003_alto.xml-1-3	bib19349359_18950330_148383_38_0002_alto.xml-4-4	Magdalena	1	 	uppslag
bib19277277_18951124_147683_321_0003_alto.xml-135-9	bib19227462_18950504_147640_103_0007_alto.xml-20-32	Magdalena	1	 	uppslag
bib15975087_18950102_145596_1_0004_alto.xml-12-74	bib11653823_18301104_144010_256_0003_alto.xml-19-2	Magdalena	1	 	uppslag
bib19277277_18290113_147682_9_0001_alto.xml-1-6	bib11653790_19030508_12541_35_0004_alto.xml-96-13	Magdalena	1	 	uppslag
bib11653823_18270611_144010_133_0002_alto.xml-9-11	bib13506739_18091125_144030_275_0004_alto.xml-5-10	Magdalena	1	 	uppslag
bib11653823_18231219_144010_295_0005_alto.xml-1-34	bib11653828_18020507_144028_102_0002_alto.xml-12-15	Magdalena	1	 	uppslag
bib13506739_18130217_144030_39_0006_alto.xml-0-21	bib11653838_19020829_147024_35_0003_alto.xml-88-7	Magdalena	1	 	uppslag
