lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
uppslag	nan	1815	1	bib11653806_18150421_145120_42_0004_alto.xml-0-8	 	förrättas, sörsäljeS till den Mestbindande endast i uppslag eller som lös egendom: Kopparflagaren & gt; Söderhamn Olof StcringS ompndige barn tillhörige, Ä Södermalm här i Staden einella » nedre Badstufwugatan och Sjön MÄaren under N:o i / z » ch 174 gammal, men l ny Nummer, uti Qwarlcret Skinnarwiken, a ^fri och egen grund belägne, oförsäkrade fasta eze^om, med ttföljande lägenheter a ' Brädgärd, Tobaksland och Hästmangel; hwilket till a!la we&gt; erbörandet efterrättelse härmedelst kungjordt warher.	52:59	0:506
uppslag	nan	1826	1	bib13506739_18260218_144030_29_0003_alto.xml-1-9	 	Auktion, som anställes ä Wärdshuset Sandsborg, i uppslag till de » inestbiudande försäljas att genast tillträdas.	49:56	0:113
uppslag	nan	1895	2	bib15978012_18950304_148361_53_0001_alto.xml-56-18	 	Om penningarna voro borta, Nevitt mördad och Guy höll sig dold, hvem kunde veta hvilka nya uppslag, som väntade honom?	91:98	0:118
uppslag	nan	1806	1	bib19520388_18060521_147487_20_0002_alto.xml-1-13	 	Först Zizianoff begai stg till eit emellan K&lt; inS läger och staden uppslaget tält, för att medSraVens Deputerade underhandla; men dlef ivid inträdet i tältet af uagre lönnmördare öfwerfallen och dödad.	70:79	0:204
uppslag	nan	1895	2	bib19277277_18951114_147683_311_0003_alto.xml-42-34	 	Men förhållandet är i sjelfva verket — alldeles motsatt För att finna detta behöfver man blott erinra sig innehållet af den beklagliga artikel i Nya Dagligt Allehanda den 31 sistlidne juli, som gaf uppslaget till hela agitationen och angaf dess mål.	198:207	0:249
uppslag	nan	1827	1	bib13506739_18270410_144030_84_0002_alto.xml-17-27	 	Dcn & gt; 7 och i8 dennes försäljs ätjk^liiga stirre och wlntre Fastigheter l och Utom Westeräs Stod pä film ' Big Auktion och endast i uppslag.	136:143	0:144
uppslag	nan	1895	2	bib19225758_18950209_144022_34_0006_alto.xml-188-15	 	Ingen har ännu lyckats tillfredsställande förklara, hvarför kvinnan knäpper sin dräkt med det högra uppslaget öfver det vänstra, medan mannen finner det enda praktiska sättet vara att,, knäppa vänster öfver höger.	100:109	0:213
uppslag	nan	1898	2	bib11653790_18980617_145648_46_0008_alto.xml-22-5	 	Duellen med Dellbright var egentligen uppslaget till Rocheforts många politiska strider.	38:47	0:88
uppslag	nan	1895	2	bib19277180_18951223_147374_104_0020_alto.xml-38-27	 	allt, sorn kan roa och bilda den uppväxande ungdomen, underhåller och förströr på lediga stunder, för omkring i vetenskapens och fantasiens riken, gifver uppslag till angenäma sysselsättningar, lärorika » samlingar », idrott, lekar och hern treflig slöjd.	154:161	0:255
uppslag	nan	1896	2	bib15873936_18960118_147385_7_0004_alto.xml-61-17	 	I Fäderna, en af ett mäktigt patos buren dikt, samlingens första, finna vi liksom uppslaget till de följande.	82:91	0:109
