lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
vegetation	nan	1829	1	bib15650837_18290930_146391_78_0001_alto.xml-9-47	 	^farande regn har ingifwit det mest oroande bekymkfwer wärsadens inbergande: ännu star den pä, stallen grön och pä andra äter ssuren och nära vorad; och ett lika underwerk af torka behöswes som, kort efter midsommar, ett wälgörande regn dåde och undersamt beredde vegetationen och skinide wära sarhägor för misiwert, onl den ej här i ort nu mera ssall wara gifwen.	264:276	0:364
vegetation	nan	1795	1	bib19225792_17950314_147359_11_0001_alto.xml-0-57	 	cT^irän medlet af October til medlet af May är sot » dea, rusen och b graswcn i snö: mänga djur för * ändra dä färgen och biiswa hwitå; under denna lid ar ganska farligt at resa, emedan man har exempel til öfweiflöd at mänga bliswik sördärfwade af kölden » Icke Deg mindre är vegetation otroligt snäll sS snart solen kan nedkasta sina upliswande strälar, Faktoristerne som sä uti medlet af Junis mänav, kunna inom kort lid störda.	276:286	0:430
vegetation	nan	1897	2	bib11653815_18971122_146944_135_0003_alto.xml-104-27	 	Från Sierrao går vägen ned till Sacramento, Californiens nufvudstad, genom en ful och ödslig trakt, der solen midt på sommaren obarmhertigt sveder bort hvarje vegetation.	159:169	0:170
vegetation	nan	1830	1	bib13506739_18300603_144030_125_0001_alto.xml-1-33	 	för 8rstiden owanligt kylig luft, och som landtmannen ansett för största för » man i miftcnde till 8rswexten, tyckas med dagen sol och sommartid wil&gt; a 8terkomma; imellertid har vegetationen med en förmanande hastighet sortskyndat i de sednare daaarne, och lofwar allt godt.	181:193	0:277
vegetation	nan	1900	2	bib11653790_19000706_145648_53_0002_alto.xml-62-56	 	vackraste och blomrikaste tid är det ock förtjusande här uppe, och på alla möjliga språk hör man här dagen om orden: » förtjusande », skönt », » vackert » o. s. v. Den rika och feta svartmyllan på berget frambringar den rikligaste växtlighet, och man kommer att tänka på Kinnekulles beryktade vegetation, då man går på Skansen under det herrliga löf verket och blickar kring på markens blommor och gräs.	293:303	0:403
vegetation	nan	1898	2	bib11653830_18980307_146968_19_0002_alto.xml-47-33	 	Man skulle kunna säga, att, då hos Nan sen den hårda graniten ligger uppe i dagen, år den hos Hedin höljd af ett älskvärdt och humoristiskt gemyts blomstrande och leende vegetation.	170:180	0:181
vegetation	nan	1895	2	bib19277277_18950623_147683_168_0002_alto.xml-109-2	 	med rik vegetation, inklämd mellan ett par klippor, hvilken fordom tjenade skansens bosättning till begrafningsplats, — många af dem slumra der i iorden, söfda af vågornas lätta Blag mot stranden.	8:18	0:196
vegetation	nan	1896	2	bib19277301_18960827_145146_70_0002_alto.xml-138-5	 	för swamparna tjenliga wäderleken är vegetationen Yppig, och swampwännec kunna göra en mycket god störd.	37:49	0:104
vegetation	nan	1895	2	bib19225758_18950809_144022_183_0001_alto.xml-22-48	 	Jag kallade trädgården för en lustgård, och jag är ej rädd för att tillägga hvilket superlativt epitet, ni behagar; ty jag trotsar er att visa mig maken, om jag nämligen tar hänsyn till både belägenhet och vegetation på en gång, Hvad nu denna vegetation angår, så är den fullkomligt sydländsk, till så väl art som frodighet, och när jag går där om aftnarne, då månens stora rödgula klot står bakom S:t Olof, under det orkesterns toner ljuda från paviljongen, ackompagDerade af vågornas taktmässiga slag mot lummig strand, så tycker jag nästan jag fått uppfylld min varma längtan » Till ett fjärran land i söder ».	243:253	0:613
vegetation	nan	1827	1	bib11653828_18270718_144028_165_0004_alto.xml-5-19	 	mecka, dä bläst och regn utmärkte hwarje dag, war den likmäl troligen en wäl » gerning för vegetationen, sam derigenom nägot upplifwatö efter den längwariga torrkans förhärjningar. '	91:103	0:182
